hurdling,"n a footrace in which contestants must negotiate a series of hurdles
v jump a hurdle"
boxing,n. fighting with the fists
hula hooping,none
pogo stick jumping,none
jumping jack,none
somersaulting,"n an acrobatic feat in which the feet roll over the head (either forward or backward) and return
v do a somersault"
lunge,"n. (fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward
v. make a thrusting forward movement"
Ashrita Furman,none
Guinness,"n. English stage and screen actor noted for versatility (1914-2000)
n. a kind of bitter stout"
Guinness Book of World Records,none
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
exact,a. marked by strict and particular and complete accordance with fact
approximately,r. (of quantities) imprecise but fairly close to correct
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
laughter,n. the activity of laughing; the manifestation of joy or mirth or scorn
reality,"n. the state of being actual or real
n. the state of the world as it really is rather than as you might want it to be
n. the quality possessed by something that is real"
in reality,none
adjustment,"n. making or becoming suitable; adjusting to circumstances
n. the act of adjusting something to match a standard"
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
vomit,"n. the matter ejected in vomiting
n. the reflex act of ejecting the contents of the stomach through the mouth
v. eject the contents of the stomach through the mouth"
gymnastics,n. a sport that involves exercises intended to display strength and balance and agility
gymnastically,adv. In a gymnastic manner.
unfit,"a. below the required standards for a purpose
a. not in good physical or mental condition; out of condition"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
meditation,"n. continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
n. (religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
Sri Chinmoy,none
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
accomplish,"v put in effect
v to gain with effort"
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
soul,"n. the immaterial part of a person; the actuating cause of an individual life
n. deep feeling or emotion
n. the human embodiment of something
n. a secular form of gospel that was a major Black musical genre in the 1960s and 1970s"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
deed,n. a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it
conception,n. the act of becoming pregnant; fertilization of an ovum by a spermatozoon
tact,n. consideration in dealing with others and avoiding giving offense
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
repentance,n. remorse for your past conduct
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
noble,"a. of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times
a. having or showing or indicative of high or elevated character
s. inert especially toward oxygen"
doom,"n. an unpleasant or disastrous destiny
v. make certain of the failure or destruction of"
bid,"n. an attempt to get something
n. a formal proposal to buy at a specified price
n. (bridge) the number of tricks a bridge player is willing to contract to make
v. ask for or request earnestly"
juggle,"n. the act of rearranging things to give a misleading impression
n. throwing and catching several objects simultaneously
v. influence by slyness
v. manipulate by or as if by moving around components"
Paralympics,none
Paralympic,none
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
triathlon,none
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
Barcelona,n. a city in northeastern Spain on the Mediterranean; 2nd largest Spanish city and the largest port and commercial center; has been a center for radical political beliefs
springboard,"n. a flexible board for jumping upward
n. a beginning from which an enterprise is launched"
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
Slovenia,n. a mountainous republic in central Europe; formerly part of the Habsburg monarchy and Yugoslavia; achieved independence in 1991
entire,"s. constituting the full quantity or extent; complete
s. (of leaves or petals) having a smooth edge; not broken up into teeth or lobes
s. (used of domestic animals) sexually competent"
the Danube River,none
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
the Parana River,none
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
courageous,a possessing or displaying courage; able to face and deal with danger or fear without flinching
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
accountant,n. someone who maintains and audits business accounts
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
lawyer,n. a professional person authorized to practice law; conducts lawsuits or gives legal advice
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
zip,"n a quantity of no importance
n a code of letters and digits added to a postal address to aid in the sorting of mail
n forceful exertion
n a fastener for locking together two toothed edges by means of a sliding tab
v close with a zipper
v move very fast"
underwear,n. undergarment worn next to the skin and under the outer garments
overcoat,n. an additional protective coating (as of paint or varnish)
salary,n something that remunerates
wage,n. something that remunerates
Marco Polo,none
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
voyage,"n. a journey to some distant place
v. travel on water propelled by wind or by other means"
mercy,"n. something for which to be thankful
n. alleviation of distress; showing great kindness toward the distressed"
at the mercy of,none
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
alongside,r side by side
exploration,"n. to travel for the purpose of discovery
n. a careful systematic search
n. a systematic consideration"
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
celestial,"a. of or relating to the sky
a. relating to or inhabiting a divine heaven
s. of heaven or the spirit"
pole,"n. a long (usually round) rod of wood or metal or plastic
n. a native or inhabitant of Poland
n. one of two divergent or mutually exclusive opinions
n. one of two points of intersection of the Earth's axis and the celestial sphere"
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
overhead,"n. (nautical) the top surface of an enclosed space on a ship
n. a hard return hitting the tennis ball above your head
a. located or originating from above
r. above your head; in the sky"
seaweed,"n. plant growing in the sea, especially marine algae"
nowhere,"n. an insignificant place
r. not anywhere; in or at or to no place"
offshore,"a. (of winds) coming from the land
s. at some distance from the shore
r. away from shore; away from land"
outward,"a. relating to physical reality rather than with thoughts or the mind
r. toward the outside"
tide,"n. the periodic rise and fall of the sea level under the gravitational pull of the moon
n. something that may increase or decrease (like the tides of the sea)
n. there are usually two high and two low tides each day
v. rise or move forward"
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
knot,"n. a tight cluster of people or things
n. any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
n. a hard cross-grained round piece of wood in a board where a branch emerged
n. something twisted and tight and swollen"
log,"n. a segment of the trunk of a tree when stripped of branches
n. a written record of messages sent or received
n. a written record of events on a voyage (of a ship or plane)
n. measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"
nautical,a. relating to or involving ships or shipping or navigation or seamen
nautical mile,none
magnetic,"a. of or relating to or caused by magnetism
a. having the properties of a magnet; i.e. of attracting iron or steel
a. capable of being magnetized
a. determined by earth's magnetic fields"
bearing circle,none
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
astrolabe,n. an early form of sextant
awkward,"s. causing inconvenience
a. lacking grace or skill in manner or movement or performance
s. difficult to handle or manage especially because of shape
s. not elegant or graceful in expression"
reference,"n. the most direct or specific meaning of a word or expression; the class of objects that an expression refers to
n. the act of referring or consulting
n. a publication (or a passage from a publication) that is referred to
n. the relation between a word or phrase and the object or idea it refers to"
quadrant,"n. a quarter of the circumference of a circle
n. any of the four areas into which a plane is divided by two orthogonal coordinate axes
n. the area enclosed by two perpendicular radii of a circle"
precise,a. sharply exact or accurate or delimited
simplify,v. make simpler or easier or reduce in complexity or extent
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
shortcoming,n a failing or deficiency
sextant,"n. a unit of angular distance equal to 60 degrees
n. a measuring instrument for measuring the angular distance between celestial objects; resembles an octant"
update,"n. news that updates your information
v. modernize or bring up to date
v. bring up to date; supply with recent information
v. bring to the latest state of technology"
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
reliable,a. worthy of reliance or trust
Samuel,n. (Old Testament) Hebrew prophet and judge who anointed Saul as king
swoop,"n. (music) rapid sliding up or down the musical scale
n. a very rapid raid
n. a swift descent through the air
v. move with a sweep, or in a swooping arc"
parcel,"n. the allotment of some amount by dividing something
v. divide into parts
v. cover with strips of canvas
v. make into a wrapped container"
peck,"n. a British imperial capacity measure (liquid or dry) equal to 2 gallons
n. a United States dry measure equal to 8 quarts or 537.605 cubic inches
v. hit lightly with a picking motion
v. eat by pecking at, like a bird"
cliff,n. a steep high face of rock
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
compulsory,s. required by rule
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
survival,"n. a state of surviving; remaining alive
n. a natural process resulting in the evolution of organisms best adapted to the environment
n. something that survives"
Captain Bligh,none
Tahiti,n. an island in the south Pacific; the most important island in French Polynesia; made famous by Robert Louis Stevenson and Paul Gauguin
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
departure,n. the act of departing
crew,"n. the men and women who man a vehicle (ship, aircraft, etc.)
n. the team of men manning a racing shell
v. serve as a crew member on"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
drawback,n. the quality of being a hindrance
dusk,v. become dusk
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
reckon,v. take account of
reckoning,n. a bill for an amount due
starvation,"n. a state of extreme hunger resulting from lack of essential nutrients over a prolonged period
n. the act of depriving of food or subjecting to famine"
psychology,n. the science of mental life
psychologically,"r. with regard to psychology
r. in terms of psychology"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
gradually,r. in a gradual manner
foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
foresaw,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
foreseen,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
thirst,"n. a physiological need to drink
v. feel the need to drink"
Timor,n. an island in Indonesia in the Malay Archipelago; the largest and most eastern of the Lesser Sunda Islands
set loose,none
tear,"n. a drop of the clear salty saline solution secreted by the lacrimal glands
n. the act of tearing
v. separate or cause to separate abruptly
v. to separate or be separated by force"
hardship,n. something that causes or entails suffering
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
jaws of death,none
Greenland,n. the largest island in the world; lies between the North Atlantic and the Arctic Ocean; a self-governing province of Denmark
Shetland Islands,none
the Faroe Islands,none
roar,"n. the sound made by a lion
v. make a loud noise, as of wind, water, or vehicles
v. act or proceed in a riotous, turbulent, or disorderly way
v. laugh unrestrainedly and heartily"
background,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
associate ... with ...,none
Perth,n. the state capital of Western Australia
Kakadu,none
Canberra,n. the capital of Australia; located in southeastern Australia
Uluru,none
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
Great Barrier Reef,none
brochure,n a small book usually having a paper cover
Commonwealth,"n. the official name of some states in the United States (Massachusetts and Pennsylvania and Virginia and Kentucky) and associated territories (Puerto Rico)
n. a world organization of autonomous states that are united in allegiance to a central power but are not subordinate to it or to one another"
Kosciuszko,none
Oceania,n. a large group of islands in the south Pacific including Melanesia and Micronesia and Polynesia (and sometimes Australasia and the Malay Archipelago)
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
Melbourne,"n. a resort town in east central Florida
n. the capital of Victoria state and 2nd largest Australian city; a financial and commercial center"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
