fallacy,n. a misconception resulting from incorrect reasoning
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
loop,"n. anything with a round or oval shape (formed by a curve that is closed and does not intersect itself)
n. an inner circle of advisors (especially under President Reagan)
n. the basic pattern of the human fingerprint
n. a computer program that performs a series of instructions repeatedly until some specified condition is satisfied"
plaza,"n. a public square with room for pedestrians
n. mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
overstate,v. to enlarge beyond bounds or the truth
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
testify,"v. give testimony in a court of law
v. provide evidence for"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
recount,"n. an additional (usually a second) count; especially of the votes in a close election
v. count again"
retention,n. the act of retaining something
retrieval,"n. (computer science) the operation of accessing information from the computer's memory
n. the cognitive operation of accessing information in memory"
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
rape,"n. Eurasian plant cultivated for its seed and as a forage crop
n. the act of despoiling a country in warfare
n. the crime of forcing a woman to submit to sexual intercourse against her will
v. force (someone) to have sex against their will"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
empirical,a. derived from experiment and observation rather than theory
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
casino,"n. a public building for gambling and entertainment
n. a card game in which cards face up on the table are taken with eligible cards in the hand"
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
threshold,"n. the starting point for a new state or experience
n. the smallest detectable sensation"
trillion,"n. the number that is represented as a one followed by 18 zeros
n. the number that is represented as a one followed by 12 zeros
s. one quintillion in Great Britain
s. one million million in the United States"
erroneous,s. containing or characterized by error
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
watertight,s. not allowing water to pass in or out
by virtue of,none
factor sth. into sth.,none
attribute sth. to sb.,none
attribute sth. to sth.,none
in reality,none
come into play,none
in that,none
call for,none
play the odds,none
in a row,none
be stuck on sth.,none
get stuck on sth.,none
subject to sth.,none
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
bald,"v. grow bald; lose hair on one's head
s. with no effort to conceal
s. lacking hair on all or most of the scalp
s. without the natural or usual covering"
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
allotment,"n. a share set aside for a specific purpose
n. the act of distributing by allotting or apportioning; distribution according to a plan"
groom,"n. a man participant in his own marriage ceremony
n. a man who has recently been married
v. care for one's external appearance"
grooming,"n activity leading to skilled behavior
n the activity of getting dressed; putting on clothes
v educate for a future role or function
v give a neat appearance to
v care for one's external appearance"
strand,"n. a pattern forming a unity within a larger structural whole
n. line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
n. a poetic term for a shore (as the area periodically covered and uncovered by the tides)
n. a street in west central London famous for its theaters and hotels"
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
magnify,"v. increase in size, volume or significance"
deficient,"s. inadequate in amount or degree
s. falling short of some prescribed norm"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
inborn,"s present at birth but not necessarily hereditary; acquired during fetal development
s normally existing at birth"
thigh,n. the part of the leg between the hip and the knee
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
violet,"n. any of numerous low-growing violas with small flowers
n. a variable color that lies beyond blue in the spectrum"
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
aisle,"n. a long narrow passage (as in a cave or woods)
n. passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
n. part of a church divided laterally from the nave proper by rows of pillars or columns"
warfare,"n the waging of armed conflict against an enemy
n an active struggle between competing entities"
bronze,"n. an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin
n. a sculpture made of bronze
v. give the color and appearance of bronze to something
s. of the color of bronze"
appliance,"n. a device or control that is very useful for a particular job
n. durable goods for home or office use"
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
elasticity,n. the tendency of a body to return to its original shape after it has been stretched or compressed
complexion,"n. the coloring of a person's face
n. a combination that results from coupling or interlinking
n. a point of view or general attitude or inclination
n. texture and appearance of the skin of the face"
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
cosmetic,"n. a toiletry designed to beautify the body
s. serving an esthetic rather than a useful purpose
s. serving an aesthetic purpose in beautifying the body"
obsession,n. an unhealthy and compulsive preoccupation with something or someone
obsessed,s. influenced or controlled by a powerful force such as a strong emotion
lipstick,"n. makeup that is used to color the lips
v. form by tracing with lipstick
v. apply lipstick to"
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
gorgeous,s. dazzlingly beautiful
homogeneous,a. all of the same or similar kind or nature
conformity,"n. correspondence in form or appearance
n. acting according to certain accepted standards
n. orthodoxy in thoughts and belief"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
prosecution,"n. the institution and conduct of legal proceedings against a defendant for criminal behavior
n. the lawyers acting for the state to put the case against the defendant"
outrage,n. a wantonly cruel act
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
subjective,a. taking place within the mind and modified by individual bias
excuse oneself,none
come up with,none
stick to sth.,none
affix value to sth.,none
in hopes of,none
reach out to,none
become obsessed with ...,none
be obsessed with ...,none
voice an opinion on,none
addicted,a. compulsively or physiologically dependent on something habit-forming
biomedical,a. relating to the activities and applications of science to clinical medicine
physiological,a. of or relating to the biological study of physiology
corrode,"v. cause to deteriorate due to the action of water, air, or an acid
v. become destroyed by water, air, or a corrosive such as an acid"
criterion,n. the ideal in terms of which something can be judged
sensual,s. sexually exciting or gratifying
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
esthetic,"n (philosophy) a philosophical theory as to what is beautiful
a concerning or characterized by an appreciation of beauty or good taste
a relating to or dealing with the subject of aesthetics
s aesthetically pleasing"
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
jealousy,"n. a feeling of jealous envy (especially of a rival)
n. zealous vigilance"
preface,"n a short introductory essay preceding the text of a book
v furnish with a preface or introduction"
naked,"s. having no protecting or concealing cover
s. (of the eye or ear e.g.) without the aid of an optical or acoustical device or instrument
s. devoid of elaboration or diminution or concealment; bare and pure
s. lacking any cover"
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
predominant,"s most frequent or common
s having superior power and influence"
underscore,"n. a line drawn underneath (especially under written matter)
v. give extra weight to (a communication)"
dietary,"n. a regulated daily food allowance
a. of or relating to the diet"
capsule,"n. a small container
n. a pill in the form of a small rounded gelatinous container with medicine inside
n. a dry dehiscent seed vessel or the spore-containing structure of e.g. mosses
n. a structure that encloses a body part"
meditation,"n. continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
n. (religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
regiment,"n. army unit smaller than a division
v. subject to rigid discipline, order, and systematization
v. form (military personnel) into a regiment
v. assign to a regiment"
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
stylish,a. having elegance or taste or refinement in manners or dress
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
symphony,n. a long and complex sonata for symphony orchestra
majestic,s. majestic in manner or bearing; superior to mundane matters
bruise,"n. an injury that doesn't break the skin but results in some discoloration
v. injure the underlying soft tissue or bone of
v. break up into small pieces for food preparation
v. damage (plant tissue) by abrasion or pressure"
collide,"v. cause to collide
v. crash together with violent impact"
elicit,v. derive by reason
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
lure,n. qualities that attract by seeming to promise some kind of reward
novelty,n. originality by virtue of being new and surprising
interwoven,"v interlace by or as if by weaving
s linked or locked closely together as by dovetailing"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
saint,"n. a person who has died and has been declared a saint by canonization
n. person of exceptional holiness"
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
embodiment,"n. a new personification of a familiar idea
n. giving concrete form to an abstract concept"
mortal,"a. subject to death
s. unrelenting and deadly"
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
checkpoint,n. a place (as at a frontier) where travellers are stopped for inspection and clearance
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
divine,"v. perceive intuitively or through some inexplicable perceptive powers
v. search by divining, as if with a rod
s. emanating from God
s. being or having the nature of a god; 'tis God-like to create""-J.G.Saxe"
be addicted to,none
on the rise,none
be exempt from,none
distract from sth.,none
distract sb. from sth.,none
stumble through,none
stumble across,none
stumble into,none
approve of,none
enquire about,none
wear out,none
seek out,none
from a ... perspective,none
be accountable to,none
rectangular,s. having four right angles
reshuffle,"n. a redistribution of something
n. shuffling again
v. shuffle again
v. reorganize and assign posts to different people"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
stockholder,n. someone who holds shares of stock in a corporation
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
clan,n group of people related by blood or marriage
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
invalid,"n. someone who is incapacitated by a chronic illness or injury
v. force to retire, remove from active duty, as of firemen
a. having no cogency or legal force
s. no longer valid"
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
skyline,n. the outline of objects seen against the sky
terrain,n. a piece of ground having specific characteristics or military potential
radar,n. measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
alumnus,n. a person who has received a degree from a school (high school or college or university)
administrate,v work in an administrative capacity; supervise or be in charge of
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
disrupt,v. throw into disorder
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
prototype,n. a standard or typical example
region,"n. the extended spatial location of something
n. a large indefinite location on the surface of the Earth
n. the approximate amount of something (usually used prepositionally as in `in the region of')
n. a knowledge domain that you are interested in or are communicating about"
quantify,"v. use as a quantifier
v. express as a number or measure or quantity"
elapse,v. pass by
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
patriot,n. one who loves and defends his or her country
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
intermediary,n a negotiator who acts as a link between parties
hub,"n. the central part of a car wheel (or fan or propeller etc) through which the shaft or axle passes
n. a center of activity or interest or commerce or transportation; a focal point around which events revolve"
streamline,v. contour economically or efficiently
disjointed,"s. taken apart at the joints
s. separated at the joint"
decentralize,v. make less central
decentralized,a. withdrawn from a center or place of concentration; especially having power or function dispersed from a central to local authorities
stab,"n. a strong blow with a knife or other sharp pointed instrument
v. stab or pierce"
frugality,n. prudence in avoiding waste
gasoline,n. a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
dental,"a. of or relating to the teeth
a. of or relating to dentistry"
centralization,"n. the act of consolidating power under a central control
n. gathering to a center"
fixture,n. an object firmly fixed in place (especially in a household)
trappings,"n (usually plural) accessory wearing apparel
n stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse"
courier,n a person who carries a message
forerunner,"n a person who goes before or announces the coming of another
n something that precedes and indicates the approach of something or someone
n anything that precedes something similar in time"
sphere,"n. a particular environment or walk of life
n. any spherically shaped artifact
n. the geographical area in which one nation is very influential
n. a solid figure bounded by a spherical surface (including the space it encloses)"
touch down,"n. a score in American football; being in possession of the ball across the opponents' goal line
n. a landing (as the wheels touch the landing field); especially of airplanes"
hold sb. in high regard,none
hold sth. in high regard,none
pick on sb.,none
be onto something,none
take a stab at ...,none
have a stab at ...,none
make a stab at ...,none
boil down to sth.,none
from time to time,none
retailer,n. a merchant who sells goods at retail
velocity,n distance travelled per unit time
snapshot,n. an informal photograph; usually made with a small hand-held camera
brew,"n. drink made by steeping and boiling and fermenting rather than distilling
v. prepare by brewing
v. sit or let sit in boiling water so as to extract the flavor"
merge,"v become one
v mix together different elements
v join or combine"
borough,"n. one of the administrative divisions of a large city
n. an English town that forms the constituency of a member of parliament"
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
hound,"n. any of several breeds of dog used for hunting typically having large drooping ears
v. pursue or chase relentlessly"
tease,"n. someone given to teasing (as by mocking or stirring curiosity)
n. the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
v. annoy persistently
v. harass with persistent criticism or carping"
predecessor,n. one who precedes you in time (as in holding a position or office)
vocational,a. of or relating to a vocation or occupation; especially providing or undergoing training in special skills
bud,"n. a partially opened flower
n. a swelling on a plant stem consisting of overlapping immature leaves or petals
v. develop buds
v. start to grow or develop"
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
stimulus,n any stimulating information or event; acts to arouse action
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
partnership,"n. the members of a business venture created by contract
n. a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal
n. a contract between two or more persons who agree to pool talent and money and share profits or losses"
beverage,n. any liquid suitable for drinking
multilateral,a. having many parts or sides
brass,"n. an alloy of copper and zinc
n. a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece
n. an ornament or utensil made of brass
n. a memorial made of brass"
orchestra,"n. a musical organization consisting of a group of instrumentalists including string players
n. seating on the main floor in a theater"
orchestral,a. relating to or composed for an orchestra
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
reigning,"v have sovereign power
v be larger in number, quantity, power, status or importance
s exercising power or authority"
royalty,"n. payment to the holder of a patent or copyright or resource for the right to use their property
n. royal persons collectively"
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
eligible,a. qualified for or allowed or worthy of being chosen
optical,a. of or relating to or involving light or optics
vocal,"a. relating to or designed for or using the singing voice
a. having or using the power to produce speech or sound
s. full of the sound of voices"
sturdy,s. substantially made or constructed
stipulate,"v. specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement
v. give a guarantee or promise of
v. make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force"
utilization,n. the state of having been made use of
turnover,n. a dish made by folding a piece of pastry over a filling
numerical,a. relating to or having ability to think in or work with numbers
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
reminiscence,n. a mental impression retained and recalled from the past
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
diagnosis,n. identifying the nature or cause of some phenomenon
crowning,"s. representing a level of the highest possible achievement or attainment
s. forming or providing a crown or summit"
in a span of,none
within a span of,none
over a span of,none
go public,none
adjacent to,none
a trace of,none
be eligible for,none
be critical to,none
beat sb. down,none
beat down sb.,none
lip service,none
remain committed to,none
be embedded in sth.,none
become embedded in sth.,none
democracy,"n. the political orientation of those who favor government by the people or by their elected representatives
n. a political system in which the supreme power lies in a body of citizens who can elect people to represent them"
congressman,n. a member of the United States House of Representatives
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
sane,a. mentally healthy; free from mental disorder
ecological,"a. characterized by the interdependence of living organisms in an environment
a. of or relating to the science of ecology"
ozone,n. a colorless gas (O3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
deplete,v use up (resources or materials)
depletion,"n. the act of decreasing something markedly
n. the state of being depleted"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
thermal,"n. rising current of warm air
a. relating to or associated with heat
a. of or relating to a hot spring
s. caused by or designed to retain heat"
atlas,"n. (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
n. a collection of maps in book form
n. the 1st cervical vertebra
n. a figure of a man used as a supporting column"
planetary,a. of or relating to or characteristic of the planet Earth or its inhabitants
reversible,"n. a garment (especially a coat) that can be worn inside out (with either side of the cloth showing)
a. capable of reversing or being reversed
a. capable of being reversed or used with either side out"
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
parameter,"n. a constant in the equation of a curve that can be varied to yield a family of similar curves
n. any factor that defines a system and determines (or limits) its performance
n. a quantity (such as the mean or variance) that characterizes a statistical population and that can be estimated by calculations from sample data"
overt,a. open and observable; not secret or hidden
allege,v. report or maintain
incompatible,"a. not compatible
a. incapable of being used with or connected to other devices or components without modification
s. used especially of solids or solutions; incapable of blending into a stable homogeneous mixture"
dreadful,s. very unpleasant
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
sovereignty,"n. government free from external control
n. the authority of a state to govern another state"
coalition,n. the state of being combined into one body
legislative,"a. relating to a legislature or composed of members of a legislature
a. of or relating to or created by legislation"
legalization,n. the act of making lawful
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
bizarre,s. conspicuously or grossly unconventional or unusual
caribou,n. Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America
standoff,"n the finish of a contest in which the score is tied and the winner is undecided
n the act of repulsing or repelling an attack; a successful defensive stand"
versus,"prep. Against; as, John Doe versus Richard Roe; -- chiefly
   used in legal language, and abbreviated to v. or vs."
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
saw,"n. hand tool having a toothed blade for cutting
v. cut with a saw"
chop,"n. the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
n. a small cut of meat including part of a rib
n. a jaw
n. a tennis return made with a downward motion that puts backspin on the ball"
timber,"n. a beam made of wood
n. a post made of wood"
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
habitat,n. the type of environment in which an organism or group normally lives or occurs
