shouter,n someone who communicates vocally in a very loud voice
shabby,s. mean and unworthy and despicable
stride,"n. significant progress (especially in the phrase ""make strides"")
v. walk with long steps
v. cover or traverse by taking long steps"
storm,"n. a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n. a violent commotion or disturbance
n. a direct and violent assault on a stronghold
v. take by force"
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
addiction,"n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n. an abnormally strong craving
n. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master"
airlift,"n. transportation of people or goods by air (especially when other means of access are unavailable)
v. fly people or goods to or from places not accessible by other means"
nightly,"s. happening every night
r. at the end of each day"
skinny,"n. confidential information about a topic or person
a. of or relating to or resembling skin"
trunk,"n. the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
n. luggage consisting of a large strong case used when traveling or for storage"
yank,"v. pull, or move with a sudden movement"
sideways,"r. with one side forward or to the front
r. toward one side"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
stomp,"n. a dance involving a rhythmical stamping step
v. walk heavily"
donate,v. give to a charity or good cause
sapling,n. young tree
ream,"n. a large quantity of written matter
n. a quantity of paper; 480 or 500 sheets; one ream equals 20 quires
v. squeeze the juice out (of a fruit) with a reamer
v. remove by making a hole or by boring"
wield,"v. have and exercise
v. handle effectively"
shovel,"n. a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n. the quantity a shovel can hold
n. a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace
v. dig with or as if with a shovel"
tag,"n. a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.
n. a label associated with something for the purpose of identification
n. a game in which one child chases the others; the one who is caught becomes the next chaser
n. (sports) the act of touching a player in a game (which changes their status in the game)"
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
squeal,"n. a high-pitched howl
v. utter a high-pitched cry, characteristic of pigs"
idle,"n. the state of an engine or other mechanism that is idling
v. run disconnected or idle
v. be idle; exist in a changeless situation
a. not in action or at work"
swing,"n. a state of steady vigorous action that is characteristic of an activity
n. mechanical device used as a plaything to support someone swinging back and forth
n. a sweeping blow or stroke
n. changing location by moving back and forth"
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
bark,"n. tough protective covering of the woody stems and roots of trees and other woody plants
n. a noise resembling the bark of a dog
n. a sailing ship with 3 (or more) masts
n. the sound made by a dog"
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
choke,"n. a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current
n. a valve that controls the flow of air into the carburetor of a gasoline engine
v. breathe with great difficulty, as when experiencing a strong emotion
v. be too tight; rub or press"
crabgrass,n. grasses with creeping stems that root freely; a pest in lawns
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
clamber,"n. an awkward climb
v. climb awkwardly, as if by scrambling"
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
trellis,"n. latticework used to support climbing plants
v. train on a trellis, as of a vine"
lemon,"n. yellow oval fruit with juicy acidic flesh
n. a small evergreen tree that originated in Asia but is widely cultivated for its fruit
n. a distinctive tart flavor characteristic of lemons
n. an artifact (especially an automobile) that is defective or unsatisfactory"
apricot,"n. Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
n. downy yellow to rosy-colored fruit resembling a small peach"
fig,"n. Mediterranean tree widely cultivated for its edible fruit
n. fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried"
redwood,n. the soft reddish wood of either of two species of sequoia trees
fir,"n. nonresinous wood of a fir tree
n. any of various evergreen trees of the genus Abies; chiefly of upland areas"
shipyard,n. a workplace where ships are built or repaired
