describe,v. give a description of
connect,"v. connect, fasten, or put together two or more pieces
v. be or become joined or united or linked
v. join by means of communication equipment
v. land on or hit solidly"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
e-mail,v. communicate electronically on the computer
Net,"n. a trap made of netting to catch fish or birds or insects
n. a goal lined with netting (as in soccer or hockey)
n. game equipment consisting of a strip of netting dividing the playing area in tennis or badminton
n. an open fabric of string or rope or wire woven together at regular intervals"
Internet,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
World Wide Web,none
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
URL,n. the address of a web page on the world wide web
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
surf,"n. waves breaking on the shore
v. switch channels, on television"
popular,"a. regarded with great favor, approval, or affection especially by the general public
s. carried on by or for the people (or citizens) at large
s. (of music or art) new and of general appeal (especially among young people)"
search engine,none
Google,"n. a widely used search engine that uses text-matching techniques to find web pages that are important and relevant to a user's search
v. search the internet (for information) using the Google search engine"
watch out,none
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
official,"n. a worker who holds or is invested with an office
n. someone who administers the rules of a game or sport
a. having official authority or sanction
a. of or relating to an office"
personal,"n. a short newspaper article about a particular person or group
a. concerning or affecting a particular person or his or her private life and personality
s. particular to a given individual
a. of or arising from personality"
source,"n. a document (or organization) from which information is obtained
n. anything that provides inspiration for later work
n. a facility where something is available
n. (technology) a process by which energy or a substance enters a system"
nowadays,r. in these times
netizen,none
teenager,n a juvenile between the onset of puberty and maturity
widen,"v. become broader or wider or more extensive
v. make wider
v. extend in scope or range or area"
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
relax,"v. become less tense, rest, or take one's ease
v. make less taut
v. cause to feel relaxed
v. become less tense, less formal, or less restrained, and assume a friendlier manner"
spare,"n. a score in tenpins; knocking down all ten after rolling two balls
v. refrain from harming
v. save or relieve from an experience or action
v. give up what is not strictly needed"
phone,n. (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
favorite,"n. something regarded with special favor or liking
s. appealing to the general public"
in a way,none
in a good way,none
online,"a on a regular route of a railroad or bus or airline system
a connected to a computer network or accessible by computer
s being in progress now"
fail,"v. fail to do something; leave something undone
v. be unsuccessful
v. disappoint, prove undependable to; abandon, forsake
v. stop operating or functioning"
according to,none
indulge in,none
in order to,none
make good use of,none
keep away from,none
make clear,none
take the place of,none
tip,"n. the extreme end of something; especially something pointed
n. an indication of potential opportunity
v. cause to tilt
v. mark with a tip"
pay attention to,none
unacquainted,s. having little or no knowledge of
offline,none
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
give out,none
message,"n. a communication (usually brief) that is written or spoken or signaled
n. what a communication that is about something is about
v. send a message to
v. send as a message"
confused,"s. lacking orderly continuity
s. having lost your bearings; confused as to time or place or personal identity
a. mentally confused; unable to think with clarity or act intelligently"
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
mean,"n. an average of n numbers computed by adding some function of the numbers and dividing by some function of n
v. mean or intend to express or convey
v. denote or connote
v. have a specified degree of importance"
depend on,none
depend upon,none
calligraphy,n. beautiful handwriting
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
criterion,n. the ideal in terms of which something can be judged
finesse,n subtly skillful handling of a situation
allure,n. the power to entice or attract through personal charm
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
celebrated,"s. widely known and esteemed
s. having an illustrious past"
strategist,n. an expert in strategy (especially in warfare)
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
wield,"v. have and exercise
v. handle effectively"
succumb,v. be fatally overwhelmed
amnesia,n. partial or total loss of memory
word processors,plural of word-processor
"""three handwritings""",none
charity,"n. a foundation created to promote the public good (not for assistance to any particular individuals)
n. a kindly and lenient attitude toward people
n. an activity or gift that benefits the public at large
n. an institution set up to provide help to the needy"
splurge,"n. an ostentatious display (of effort or extravagance etc.)
v. indulge oneself
v. be showy or ostentatious"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
neutrality,"n. nonparticipation in a dispute or war
n. pH value of 7"
emotionally,"r. in an emotional manner
r. with regard to emotions"
uninterrupted,s. having undisturbed continuity
respondent,"n. the codefendant (especially in a divorce proceeding) who is accused of adultery with the corespondent
n. someone who responds"
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
spouse,n. a person's partner in marriage
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
long for,none
leave over,none
carve out,none
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
slow down,n. the act of slowing down or falling behind
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
lunch break,none
spa,"n a health resort near a spring or at the seaside
n a fashionable hotel usually in a resort area
n a place of business with equipment and facilities for exercising and improving physical fitness"
Strike while the iron is hot.,none
accounting,"n. a convincing explanation that reveals basic causes
n. a system that provides quantitative information about finances
n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts"
photography,"n. the act of taking and printing photographs
n. the process of producing images of objects on photosensitive surfaces
n. the occupation of taking and printing photographs or making movies"
kayak,"n. a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
v. travel in a small canoe"
archery,n. the sport of shooting arrows with a bow
yoga,"n. Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquility that is achieved through the three paths of actions and knowledge and devotion
n. a system of exercises practiced as part of the Hindu discipline to promote control of the body and mind"
belly-dancing,none
motivational,a. of or relating to motivation
audio,"n. the audible part of a transmitted signal
n. an audible acoustic wave frequency
n. the sound elements of television"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
wander,v. go via an indirect route or at no set pace
liner,"n. (baseball) a hit that flies straight out from the batter
n. a piece of cloth that is used as the inside surface of a garment
n. a large commercial ship (especially one that carries passengers on a regular schedule)"
proud,a. feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
super,"s. including more than a specified category
s. extremely large"
voyage,"n. a journey to some distant place
v. travel on water propelled by wind or by other means"
luxurious,"s displaying luxury and furnishing gratification to the senses
s rich and superior in quality"
imagine,v. form a mental image of something that is not present or that is not the case
one behind the other,none
at sea,none
hull,"n. dry outer covering of a fruit or seed or nut
n. persistent enlarged calyx at base of e.g. a strawberry or raspberry
n. United States naval officer who commanded the `Constitution' during the War of 1812 and won a series of brilliant victories against the British (1773-1843)
n. United States diplomat who did the groundwork for creating the United Nations (1871-1955)"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
compartment,"n. a space into which an area is subdivided
n. a partitioned section, chamber, or separate room within a larger enclosed area"
watertight,s. not allowing water to pass in or out
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
palace,"n. a large and stately mansion
n. the governing group of a kingdom
n. a large ornate exhibition hall
n. official residence of an exalted person (as a sovereign)"
passenger,n. a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
stateroom,n. a guest cabin
elegant,"a. refined and tasteful in appearance or behavior or style
s. suggesting taste, ease, and wealth
s. displaying effortless beauty and simplicity in movement or execution"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
sauna,n. a Finnish steam bath; steam is produced by pouring water over heated rocks
steam,"n. water at boiling temperature diffused in the atmosphere
v. emit steam
v. rise as vapor
v. get very angry"
Turkish bath,none
maiden,"n an unmarried girl (especially a virgin)
n (cricket) an over in which no runs are scored
s serving to set in motion"
Millionaires' Special,none
enquiry,"n an instance of questioning
n a search for knowledge
n a systematic investigation of a matter of public interest"
disaster,n. an act that has disastrous consequences
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
design,"n. the act of working out the form of something (as by making a sketch or outline or plan)
n. an arrangement scheme
n. a decorative or artistic work
n. a preliminary sketch indicating the plan for something"
iceberg,n. a large mass of ice floating at sea; usually broken off of a polar glacier
crew,"n. the men and women who man a vehicle (ship, aircraft, etc.)
n. the team of men manning a racing shell
v. serve as a crew member on"
escape,"n. the act of escaping physically
n. an inclination to retreat from unpleasant realities through diversion or fantasy
n. an avoidance of danger or difficulty
n. a means or way of escaping"
lifeboat,n. a strong sea boat designed to rescue people from a sinking ship
introduce,"v. cause to come to know personally
v. bring something new to an environment
v. bring in or establish in a new place or environment
v. bring before the public for the first time, as of an actor, song, etc."
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
make sure,none
pigment,"n. dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)
n. any substance whose presence in plant or animal tissues produces a characteristic color
v. acquire pigment; become colored or imbued
v. color or dye with a pigment"
quintessence,"n. the fifth and highest element after air and earth and fire and water; was believed to be the substance composing all heavenly bodies
n. the purest and most concentrated essence of something
n. the most typical example or representative of a type"
fabric,n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
