describe,v. give a description of
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
clan,n group of people related by blood or marriage
phoenix,"n. the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation
n. a large monocotyledonous genus of pinnate-leaved palms found in Asia and Africa
n. a legendary Arabian bird said to periodically burn itself to death and emerge from the ashes as a new phoenix; according to most versions only one phoenix lived at a time and it renewed itself every 500 years"
the Warring States Period,none
vigor,n. active strength of body or mind
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
"landscape painting, figures painting and bird-and-flower painting",none
intensity,"n. the amount of energy transmitted (as by acoustic or electromagnetic radiation)
n. high level or degree; the property of being intense"
conception,n. the act of becoming pregnant; fertilization of an ovum by a spermatozoon
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
exaggerated,"s. represented as greater than is true or reasonable
s. enlarged to an abnormal degree"
at work,none
at home,none
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
all at once,none
blackout,"n. a suspension of radio or tv broadcasting
n. darkness resulting from the extinction of lights (as in a city invisible to enemy aircraft)
n. the failure of electric power for a general region
n. a momentary loss of consciousness"
get stuck,none
traffic,"n. the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n. buying and selling; especially illicit trade
n. the amount of activity over a communication system during a given period of time
v. deal illegally"
flight,"n. a formation of aircraft in flight
n. an instance of traveling by air
n. a stairway (set of steps) between one floor or landing and the next
n. an air force unit smaller than a squadron"
cancel,"v. postpone indefinitely or annul something that was scheduled
v. make up for
v. declare null and void; make ineffective
v. make invalid for use"
renewable,"a. that can be renewed or extended
s. capable of being renewed; replaceable"
over and over again,none
fossil fuels,none
natural gas,none
takes time to do sth.,none
takes sb time to do sth.,none
as ... as ...,none
dinosaur,n. any of numerous extinct terrestrial reptiles of the Mesozoic era
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
run out of,none
at the moment,none
shortage,"n the property of being an amount by which something is less than expected or required
n an acute insufficiency"
give off,none
carbon dioxide,none
unhealthy,"a. not in or exhibiting good health in body or mind
s. not conducive to good health"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
take ... in,n. the act of taking in as by fooling or cheating or swindling someone
turn ... into,none
light,"n. (physics) electromagnetic radiation that can produce a visual sensation
n. any device serving as a source of illumination
n. a particular perspective or aspect of a situation
n. an illuminated area"
heat,"n. a form of energy that is transferred by a difference in temperature
n. the sensation caused by heat energy
n. the trait of being intensely emotional
n. a preliminary race in which the winner advances to a more important race"
windmill,"n. a mill that is powered by the wind
n. generator that extracts usable energy from winds"
blade,"n. especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
n. a dashing young man
n. something long and thin resembling a blade of grass
n. a cut of beef from the shoulder blade"
propeller,n. a mechanical device that rotates to push against air or water
generator,"n. an apparatus that produces a vapor or gas
n. engine that converts mechanical energy into electrical energy by electromagnetic induction
n. someone who originates or causes or initiates something
n. an electronic device for producing a signal voltage"
hydro,none
hydroelectric,a. of or relating to or used in the production of electricity by waterpower
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
turbine,n. rotary engine in which the kinetic energy of a moving fluid is converted into mechanical energy by causing a bladed rotor to rotate
efficient,a. being effective without wasting time or effort or expense
uranium,n. a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
plutonium,n. a solid silvery grey radioactive transuranic element whose atoms can be split when bombarded with neutrons; found in minute quantities in uranium ores but is usually synthesized in nuclear reactors; 13 isotopes are known with the most important being plutonium 239
reactor,n. an electrical device used to introduce reactance into a circuit
CV,"n a summary of your academic and work history
s being five more than one hundred"
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
recruiter,"n. someone who supplies members or employees
n. an official who enlists personnel for military service"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
strategic,"a. relating to or concerned with strategy
s. highly important to or an integral part of a strategy or plan of action especially in war"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
ramble,n. an aimless amble on a winding course
specification,"n. a detailed description of design criteria for a piece of work
n. naming explicitly
n. (patent law) a document drawn up by the applicant for a patent of invention that provides an explicit and detailed description of the nature and use of an invention"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
transferable,"s capable of being moved or conveyed from one place to another
s legally transferable to the ownership of another"
orientate,v determine one's position with reference to another point
exemplary,s. worthy of imitation
criteria,"n a basis for comparison; a reference point against which other things can be evaluated
n the ideal in terms of which something can be judged"
contribute to,none
liaise,v act between parties with a view to reconciling differences
formulate,v. prepare according to a formula
utilize,v. convert (from an investment trust to a unit trust)
maintain,v. state or assert
mismatch,"n. a bad or unsuitable match
v. match badly; match two objects or people that do not go together"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
punchy,"a. Short and thick, or fat."
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
look like,none
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
wonder about,none
drought,"n. a shortage of rainfall
n. a prolonged shortage"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
scorched,s. having everything destroyed so nothing is left salvageable by an enemy
suffer,"v. undergo or be subjected to
v. undergo (as of injuries and illnesses)
v. experience (emotional) pain
v. get worse"
thirst,"n. a physiological need to drink
v. feel the need to drink"
Father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
pray,"v. address a deity, a prophet, a saint or an object of worship; say a prayer"
asleep,"a. in a state of sleep
s. lacking sensation
s. dead
r. into a sleeping state"
prayer,"n. the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
n. reverent petition to a deity
n. a fixed text used in praying
n. someone who prays to God"
grocer,n. a retail merchant who sells foodstuffs (and some household supplies)
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
decide,"v. reach, make, or come to a decision about something
v. bring to an end; settle conclusively
v. cause to decide
v. influence or determine"
fall into,none
doze,n. a light fitful sleep
keep on doing sth.,none
unless,"conj. Upon any less condition than (the fact or thing stated
   in the sentence or clause which follows); if not; supposing that not;
   if it be not; were it not that; except; as, we shall fail unless we are
   industrious."
push one's way in,none
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
matter,"n. a vaguely specified concern
n. that which has mass and occupies space
n. a problem
n. (used with negation) having consequence"
instead of,none
march,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
all one's life,none
honesty,"n. the quality of being honest
n. southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
rob,v. take something away by force or without the consent of the owner
customer,n. someone who pays for goods or services
short weight,none
dead silence,none
blow,"n. a powerful stroke with the fist or a weapon
n. an impact (as from a collision)
n. forceful exhalation through the nose or mouth
v. exhale hard"
miracle,"n. any amazing or wonderful occurrence
n. a marvellous event manifesting a supernatural act of a divine agent"
one by one,none
merchant,n. a businessperson engaged in retail trade
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
at times,none
mean to do sth.,none
do wrong,none
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
Celtic,"n. a branch of the Indo-European languages that (judging from inscriptions and place names) was spread widely over Europe in the pre-Christian era
a. relating to or characteristic of the Celts"
gospel,"n. the four books in the New Testament (Matthew, Mark, Luke, and John) that tell the story of Christ's life and teachings
n. an unquestionable truth
n. folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul)
n. a doctrine that is believed to be of great importance"
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
western swing,none
Honky-Tonk,n a cheap drinking and dancing establishment
bluegrass,"n. any of various grasses of the genus Poa
n. an area in central Kentucky noted for it bluegrass and thoroughbred horses
n. a type of country music played at a rapid tempo on banjos and guitars"
rockabilly,n. a fusion of black music and country music that was popular in the 1950s; sometimes described as blues with a country beat
new country,none
derisive,s. abusing vocally; expressing contempt or ridicule
mainstream,n. the prevailing current of thought
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
predominantly,r. much greater in number or influence
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
melody,n. the perception of pleasant arrangements of musical notes
instrumental music,none
virtuosity,n. technical skill or fluency or style exhibited by a virtuoso
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
syncopation,"n. a musical rhythm accenting a normally weak beat
n. music (especially dance music) that has a syncopated rhythm"
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
poetic,"a. of or relating to poetry
s. characterized by romantic imagery
a. of or relating to poets
s. characteristic of or befitting poetry"
evocative,s. serving to bring to mind
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
heredity,"n. the biological process whereby genetic factors are transmitted from one generation to the next
n. the total of inherited attributes"
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
to a large extent,none
light-colored,a (used of color) having a relatively small amount of coloring agent
not ... at all,none
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
outdoor,"a. located, suited for, or taking place in the open air
a. pertaining to or concerning the outdoors or outdoor activities"
indoor,"a. located, suited for, or taking place within a building
s. within doors"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
century,n. a period of 100 years
nobleman,n a titled peer of the realm
on the other hand,none
tell ... from ...,none
as a result,none
vein,"n. a blood vessel that carries blood from the capillaries toward the heart
n. a distinctive style or manner
n. any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ
n. a layer of ore between layers of rock"
dimly-lit,none
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
leisure,"n. time available for ease and relaxation
n. freedom to choose a pastime or enjoyable activity"
desirable,"a. worth having or seeking or achieving
s. worthy of being chosen especially as a spouse"
bleach,"n. the whiteness that results from removing the color from something
n. the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent)
v. remove color from
v. make whiter or lighter"
lead to,none
invention,"n. the creation of something in the mind
n. a creation (a new device or process) resulting from study and experimentation
n. the act of inventing"
artificially,r. not according to nature; not by natural means
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
bring about,none
pill,"n. something that resembles a tablet of medicine in shape or size
n. a dose of medicine in the form of a small pellet
n. a unpleasant or tiresome person
n. something unpleasant or offensive that must be tolerated or endured"
lotion,"n. any of various cosmetic preparations that are applied to the skin
n. liquid preparation having a soothing or antiseptic or medicinal action when applied to the skin"
suntan,v. get a tan from being exposed to the sun
drugstore,n. a retail shop where medicine and other articles are sold
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
hemp,n. a plant fiber
the Silk Road,none
traverse,"v. travel across or pass over
v. deny formally (an allegation of fact by the opposing party) in a legal suit"
movable type printing,none
moisten,v. make moist
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
redistribute,v. distribute anew
explosive,"n. a chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck
a. serving to explode or characterized by explosion or sudden outburst
s. liable to lead to sudden change or violence
s. sudden and loud"
sulfur,n. an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
charcoal,"n. a carbonaceous material obtained by heating wood or other organic matter in the absence of air
n. a stick of black carbon material used for drawing
n. a very dark grey color
n. a drawing made with a stick of black carbon material"
potassium nitrate,none
catapult,"n. a device that launches aircraft from a warship
n. an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles
v. shoot forth or launch, as if from a catapult"
magnet,n. (physics) a device that attracts iron and produces a magnetic field
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
rest,"n. freedom from activity (work or strain or responsibility)
n. a state of inaction
n. euphemisms for death (based on an analogy between lying in a bed and in a tomb)
n. a support on which things can be put"
get along on,none
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
psychiatrist,n. a physician who specializes in psychiatry
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
finding,"n. the decision of a court on issues of fact or law
n. something that is found"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
differ from,none
physically,r. in accord with physical laws
psychologically,"r. with regard to psychology
r. in terms of psychology"
vary,"v. be subject to change in accordance with a variable
v. make something more diverse and varied"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
tend,"v. have a tendency or disposition to do or be something; be inclined
v. have care of or look after
v. manage or run"
conformist,"n. someone who conforms to established standards of conduct (especially in religious matters)
a. marked by convention and conformity to customs or rules or styles"
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
bunch,"n. a grouping of a number of similar things
n. any collection in its entirety
v. gather or cause to gather into a cluster"
overt,a. open and observable; not secret or hidden
psychopathology,"n the branch of psychology concerned with abnormal behavior
n the branch of medicine dealing with the diagnosis and treatment of mental disorders"
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
rather than,none
refresh,"v. make (to feel) fresh
v. make fresh again"
contrast,"n. the opposition or dissimilarity of things that are compared
n. the act of distinguishing by comparing differences
n. the perceptual effect of the juxtaposition of very different colors
n. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)"
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
somewhat,"r to a small degree or extent
r to a moderately sufficient extent or degree"
