abbreviate,v. shorten
ablaze,"s. keenly excited (especially sexually) or indicating excitement
s. lighted up by or as by fire or flame
s. resembling flame in brilliance or color
s. lighted with red light as if with flames"
abort,"n. the act of terminating a project or procedure before it is completed
v. terminate before completion
v. cease development, die, and be aborted
v. terminate a pregnancy by undergoing an abortion"
abrasion,"n. an abraded area where the skin is torn or worn off
n. erosion by friction"
absenteeism,n. habitual absence from work
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
abut,v lie adjacent to another or share a boundary
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
acclaim,"n. enthusiastic approval
v. praise vociferously"
accredit,"v. grant credentials to
v. provide or send (envoys or embassadors) with official credentials
v. ascribe an achievement to"
acronym,n. a word formed from the initial letters of the several words in the name
actual,"a. presently existing in fact and not merely potential or possible
s. taking place in reality; not pretended or imitated
s. being or reflecting the essential or genuine character of something
s. existing in act or fact"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
adept,s. having or showing knowledge and skill and aptitude
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
adobe,"n. the clay from which adobe bricks are made
n. sun-dried brick; used in hot dry climates"
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
advisable,a. worthy of being recommended or suggested; prudent or wise
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
agile,"s. moving quickly and lightly
s. mentally quick"
ailment,n. an often persistent bodily disorder or disease; a cause for complaining
ajar,s. slightly open
akin,"s. similar in quality or character
s. related by blood"
alignment,"n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
n. the act of adjusting or aligning the parts of a device in relation to each other"
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
alliteration,n. use of the same consonant at the beginning of each stressed syllable in a line of verse
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
allude,v. make a more or less disguised reference to
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
aloof,"s. remote in manner
r. in an aloof manner"
