abbreviate,v. shorten
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
ambience,"n a particular environment or surrounding influence
n the atmosphere of an environment"
ambivalent,s. uncertain or unable to decide about what course to follow
amble,"n. a leisurely walk (usually in some public place)
v. walk leisurely"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amenity,n pleasantness resulting from agreeable conditions
amid,"prep. See Amidst.
prep. In the midst or middle of; surrounded or encompassed by;
   among."
amnesia,n. partial or total loss of memory
anarchist,n. an advocate of anarchism
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
anecdote,n. short account of an incident (especially a biographical one)
anesthesia,n. loss of bodily sensation with or without loss of consciousness
animated,"a. having life or vigor or spirit
s. made to appear to move as living creatures do"
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
annihilate,v kill in large numbers
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
anthem,n. a song of devotion or loyalty (as to a nation or school)
anthology,n. a collection of selected literary passages
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
antiseptic,"n. a substance that destroys micro-organisms that carry disease without harming body tissues
a. thoroughly clean and free of or destructive to disease-causing organisms
s. clean and honest
s. freeing from error or corruption"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
apportion,"v distribute according to a plan or set apart for a special purpose
v give out as one's portion or share"
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
arboreal,"a. inhabiting or frequenting trees
s. resembling a tree in form and branching structure"
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
armor,"n. protective covering made of metal and used in combat
n. a military unit consisting of armored fighting vehicles
n. tough more-or-less rigid protective covering of an animal or plant"
armory,"n. a collection of resources
n. a place where arms are manufactured"
aroma,n. a distinctive odor that is pleasant
arsenal,"n. all the weapons and equipment that a country has
n. a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms"
arthritis,n. inflammation of a joint or joints
aspiring,"v have an ambitious plan or a lofty goal
s desiring or striving for recognition or advancement"
assorted,"s. consisting of a haphazard assortment of different kinds
s. of many different kinds purposefully arranged but lacking any uniformity"
astounding,s. bewildering or striking dumb with wonder
astute,s. marked by practical hardheaded intelligence
asymmetrical,"a. characterized by asymmetry in the spatial arrangement or placement of parts or components
s. irregular in shape or outline"
atheist,"n. someone who denies the existence of god
a. related to or characterized by or given to atheism"
atrophy,"n. a decrease in size of an organ caused by disease or disuse
n. any weakening or degeneration (especially through lack of use)
v. undergo atrophy"
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
attire,n. clothing of a distinctive style or for a particular occasion
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
audition,"n. a test of the suitability of a performer
v. perform in order to get a role"
autobiography,n. a biography of yourself
automated,s. operated by automation
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
aversion,n. the act of turning yourself (or your gaze) away
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
avocation,n. an auxiliary activity
baby-sitter,n a person engaged to care for children when the parents are not home
backbone,"n. fortitude and determination
n. the part of a network that connects other networks together"
backdrop,n. scenery hung at back of stage
barb,"n. the pointed part of barbed wire
n. a subsidiary point facing opposite from the main point that makes an arrowhead or spear hard to remove
n. one of the parallel filaments projecting from the main shaft of a feather"
barge,"n. a flatbottom boat for carrying heavy loads (especially on canals)
v. push one's way
v. transport by barge on a body of water"
barter,"n. an equal exchange
v. exchange goods without involving money"
bead,"n. a small ball with a hole through the middle
v. form into beads, as of water or sweat, for example
v. decorate by sewing beads onto
v. string together like beads"
beak,"n. beaklike mouth of animals other than birds (e.g., turtles)
n. horny projecting mouth of a bird
n. a beaklike, tapering tip on certain plant structures
n. informal terms for the nose"
bedrock,n. solid unweathered rock lying beneath surface deposits of soil
belie,"v be in contradiction with
v represent falsely"
bellows,n. a mechanical device that blows a strong current of air; used to make a fire burn more fiercely or to sound a musical instrument
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bequest,n. (law) a gift of personal property by will
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
bestow,v. give as a gift
beverage,n. any liquid suitable for drinking
bilateral,"s. having identical parts on each side of an axis
s. affecting or undertaken by two parties
s. having two sides or parts"
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
bleach,"n. the whiteness that results from removing the color from something
n. the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent)
v. remove color from
v. make whiter or lighter"
blink,"n. a reflex that closes and opens the eyes rapidly
v. briefly shut the eyes"
blizzard,n. a storm with widespread snowfall accompanied by strong winds
blues,"n. a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes
n. a state of depression"
bluff,"n. a high steep bank (usually formed by river erosion)
n. pretense that your position is stronger than it really is
n. the act of bluffing in poker; deception by a false show of confidence in the strength of your cards
v. deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand"
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
bonanza,n. an especially rich vein of precious ore
boon,s. very close and convivial
boring,"n. the act of drilling a hole in the earth in the hope of producing petroleum
s. so lacking in interest as to cause mental weariness"
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
bouquet,"n. an arrangement of flowers that is usually given as a present
n. a pleasingly sweet olfactory property"
braid,"n. a hairdo formed by braiding or twisting the hair
n. trimming used to decorate clothes or curtains
v. make by braiding or interlacing
v. decorate with braids or ribbons"
brawl,"n. a noisy fight in a crowd
v. to quarrel noisily, angrily or disruptively"
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
breakup,"n the termination or disintegration of a relationship (between persons or nations)
n coming apart"
breathtaking,s tending to cause suspension of regular breathing
brighten,v. make lighter or brighter
briny,"n any very large body of (salt) water
s slightly salty (especially from containing a mixture of seawater and fresh water)"
brook,n. a natural stream of water smaller than a river (and often a tributary of a river)
buckle,"n. fastener that fastens together two ends of a belt or strap; often has loose prong
v. fasten with a buckle or buckles
v. fold or collapse"
burgeon,v. grow and flourish
burning,"n. the act of burning something
n. execution by fire
n. a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin
s. of immediate import"
burrow,"n. a hole made by an animal, usually for shelter
v. move through by or as by digging"
bust,"n. a sculpture of the head and shoulders of a person
n. an occasion for excessive eating or drinking"
cab,"n. a compartment at the front of a motor vehicle or locomotive where driver sits
n. small two-wheeled horse-drawn carriage; with two seats and a folding hood
n. a car driven by a person whose job is to take passengers where they want to go in exchange for money"
cadence,"n. the close of a musical section
n. a recurrent rhythmical series"
calibration,n. the act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument
candid,"s. informal or natural; especially caught off guard or unprepared
s. openly straightforward and direct without reserve or secretiveness"
canopy,"n. the transparent covering of an aircraft cockpit
n. the umbrellalike part of a parachute that fills with air
n. a covering (usually of cloth) that serves as a roof to shelter an area from the weather
v. cover with a canopy"
capitalism,n. an economic system based on private ownership of capital
capsule,"n. a small container
n. a pill in the form of a small rounded gelatinous container with medicine inside
n. a dry dehiscent seed vessel or the spore-containing structure of e.g. mosses
n. a structure that encloses a body part"
carapace,n. hard outer covering or case of certain organisms such as arthropods and turtles
carat,n. a unit of weight for precious stones = 200 mg
cardiac,a. of or relating to the heart
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
careless,"a. marked by lack of attention or consideration or forethought or thoroughness; not careful
s. effortless and unstudied
s. (usually followed by `of') without due thought or consideration"
caricature,"n. a representation of a person that is exaggerated for comic effect
v. represent in or produce a caricature of"
carnival,"n. a festival marked by merrymaking and processions
n. a traveling show; having sideshows and rides and games of skill etc."
carnivorous,"a. relating to or characteristic of carnivores
a. (used of plants as well as animals) feeding on animals"
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
catching,"n. (baseball) playing the position of catcher on a baseball team
n. becoming infected
s. (of disease) capable of being transmitted by infection"
cavern,"n. any large dark enclosed space
n. a large cave or a large chamber in a cave
v. hollow out as if making a cavern"
celestial,"a. of or relating to the sky
a. relating to or inhabiting a divine heaven
s. of heaven or the spirit"
centennial,"n. the 100th anniversary (or the celebration of it)
a. of or relating to or completing a period of 100 years"
ceremonial,s. marked by pomp or ceremony or formality
chafe,"n. soreness and warmth caused by friction
v. become or make sore by or as if by rubbing
v. feel extreme irritation or anger"
chagrin,n. strong feelings of embarrassment
chaste,"a. morally pure (especially not having experienced sexual intercourse)
s. pure and simple in design or style
s. abstaining from unlawful sexual intercourse"
chef,n. a professional cook
chisel,"n. an edge tool with a flat steel blade with a cutting edge
v. carve with a chisel"
chivalry,"n. courtesy towards women
n. the medieval principles governing knighthood and knightly conduct"
chore,n a specific piece of work required to be done as a duty or for a specific fee
choreography,"n. the representation of dancing by symbols as music is represented by notes
n. a notation used by choreographers"
chubby,s. sufficiently fat so as to have a pleasing fullness of figure;
chunk,n. a substantial amount
cider,n. a beverage made from juice pressed from apples
cipher,"n. a message written in a secret code
n. a person of no influence
n. a secret method of writing"
circumscribe,"v. draw a line around
v. to draw a geometric figure around another figure so that the two are in contact but do not intersect"
citizenship,"n. the status of a citizen with rights and duties
n. conduct as a citizen"
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
clamor,"n. loud and persistent outcry from many people
v. make loud demands
v. utter or proclaim insistently and noisily"
clan,n group of people related by blood or marriage
clap,"v. put quickly or forcibly
v. cause to strike the air in flight
v. clap one's hands together
v. strike the air in flight"
clergy,"n. in Christianity, clergymen collectively (as distinguished from the laity)"
cliff,n. a steep high face of rock
clog,"n. footwear usually with wooden soles
n. any object that acts as a hindrance or obstruction
v. become or cause to become obstructed
v. dance a clog dance"
coalesce,v. fuse or cause to grow together
coalition,n. the state of being combined into one body
coax,"n a transmission line for high-frequency signals
v influence or urge by gentle urging, caressing, or flattering"
coexist,"v. coexist peacefully, as of nations
v. exist together"
collective,"n. members of a cooperative enterprise
a. forming a whole or aggregate
s. set up on the principle of collectivism or ownership and production by the workers involved usually under the supervision of a government"
colloquial,s. characteristic of informal spoken language or conversation
colossal,s. so great in size or force or extent as to elicit awe
combustible,"n. a substance that can be burned to provide heat or power
a. capable of igniting and burning"
comic,a. of or relating to or characteristic of comedy
communal,"s. for or by a group rather than individuals
a. relating to a small administrative district or community"
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
complacent,s. contented to a fault with oneself or one's actions
complicity,n. guilt as an accomplice in a crime or offense
complimentary,"a. conveying or resembling a compliment
s. costing nothing"
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
concave,a. curving inward
concentric,a. having a common center
conclusive,a. forming an end or termination; especially putting an end to doubt or question
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
concurrent,s occurring or operating at the same time
condiment,n. a preparation (a sauce or relish or spice) to enhance flavor or enjoyment
confederate,"n. a supporter of the Confederate States of America
n. someone who assists in a plot
v. form a confederation with; of nations
s. of or having to do with the southern Confederacy during the American Civil War"
confide,v. reveal in private; tell confidentially
confluence,"n. a place where things merge or flow together (especially rivers)
n. a flowing together"
congenial,"a. suitable to your needs
s. (used of plants) capable of cross-fertilization or of being grafted"
congestion,"n. excessive accumulation of blood or other fluid in a body part
n. excessive crowding"
congregate,"v. come together, usually for a purpose"
conjecture,n. reasoning that involves the formation of conclusions from incomplete evidence
connoisseur,n. an expert able to appreciate a field; especially in the fine arts
consonant,"n. a speech sound that is not a vowel
n. a letter of the alphabet standing for a spoken consonant
s. involving or characterized by harmony"
consort,"n. the husband or wife of a reigning monarch
v. keep company with; hang out with"
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
constellation,n. a configuration of stars as seen from the earth
constrict,v. become tight or as if tight
contagious,s. easily diffused or spread as from one person to another
contiguous,s. very close or connected in space or time
continuum,n. a continuous nonspatial whole or extent or succession in which no part or portion is distinct or distinguishable from adjacent parts
contour,"n. a line drawn on a map connecting points of equal height
n. a feature (or the order or arrangement of features) of anything having a complex structure
v. form the contours of"
convex,a. curving or bulging outward
convivial,s. occupied with or fond of the pleasures of good company
cosmopolitan,"n. a sophisticated person who has travelled in many countries
a. growing or occurring in many parts of the world
a. composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests
s. of worldwide scope or applicability"
counteract,v. oppose and mitigate the effects of by contrary actions
counterfeit,"n. a copy that is represented as the original
a. not genuine; imitating something superior"
countless,s. too numerous to be counted
courier,n a person who carries a message
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
cover,"n. the act of concealing the existence of something by obstructing the view of it
n. fire that makes it difficult for the enemy to fire on your own individuals or formations
n. a recording of a song that was first recorded or made popular by somebody else
n. a false identity and background (especially one created for an undercover agent)"
cowhand,n a hired hand who tends cattle and performs other duties on horseback
cozy,"s. enjoying or affording comforting warmth and shelter especially in a small space
s. having or fostering a warm or friendly and informal atmosphere
s. suggesting connivance"
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
crayon,"n. writing implement consisting of a colored stick of composition wax used for writing and drawing
v. write, draw, or trace with a crayon"
credentials,"n a document attesting to the truth of certain stated facts
n a document attesting to the truth of certain stated facts"
creek,n. any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma
crevice,n. a long narrow depression in a surface
crimson,"n. a deep and vivid red color
s. characterized by violence or bloodshed
s. (especially of the face) reddened or suffused with or as if with blood from emotion or exertion"
crisscross,"n. a marking that consists of lines that cross each other
v. cross in a pattern, often random
v. mark with or consist of a pattern of crossed lines
v. mark with a pattern of crossing lines"
critique,"n an essay or article that gives a critical evaluation (as of a book or play)
n a serious examination and judgment of something
v appraise critically"
crooked,"a. having or marked by bends or angles; not straight or aligned
a. not straight; dishonest or immoral or evasive"
crumble,"v. fall apart
v. break or fall apart into fragments"
crumple,"v fall apart
v fold or collapse
v to gather something into small wrinkles or folds
v become wrinkled or crumpled or creased"
culinary,a. of or relating to or used in cooking
cumbersome,s. difficult to handle or use especially because of size or weight
curator,n. the custodian of a collection (as a museum or library)
curse,"n. profane or obscene expression usually of surprise or anger
n. a severe affliction
v. utter obscenities or profanities
v. heap obscenities upon"
cushion,"n. the layer of air that supports a hovercraft or similar vehicle
n. a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.
v. protect from impact"
custodian,n. one having charge of buildings or grounds or animals
dagger,"n. a short knife with a pointed blade used for piercing or stabbing
n. a character used in printing to indicate a cross reference or footnote"
daisy,n. any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
daring,"n a challenge to do something dangerous or foolhardy
n the trait of being willing to undertake things that involve risk or danger
v take upon oneself; act presumptuously, without permission
v to be courageous enough to try or do something
v challenge
s disposed to venture or take risks
s radically new or original"
dart,"n. a small narrow pointed missile that is thrown or shot
n. a tapered tuck made in dressmaking
v. run or move very quickly or hastily
v. move with sudden speed"
dated,s. marked by features of the immediate and usually discounted past
daunting,s. discouraging through fear
debatable,"s. open to doubt or debate
s. capable of being disproved"
debris,n. the remains of something that has been destroyed or broken up
decadent,"n. a person who has fallen into a decadent state (morally or artistically)
s. marked by excessive self-indulgence and moral decay"
deceptive,"s. causing one to believe what is not true or fail to believe what is true
s. designed to deceive or mislead either deliberately or inadvertently"
deciduous,"a. (of plants and shrubs) shedding foliage at the end of the growing season
s. (of teeth, antlers, etc.) being shed at the end of a period of growth"
defecate,v have a bowel movement
defer,"v hold back to a later time
v yield to another's wish or opinion"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
deform,"v. make formless
v. become misshapen
v. alter the shape of (something) by stress"
deft,s. skillful in physical movements; especially of the hands
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
deign,v do something that one considers to be below one's dignity
deity,n. any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force
delectable,"s. extremely pleasing to the sense of taste
s. capable of arousing desire"
delirium,n. a usually brief state of excitement and mental confusion often accompanied by hallucinations
delta,"n. a low triangular area of alluvial deposits where a river divides before entering a larger body of water
n. an object shaped like an equilateral triangle
n. the 4th letter of the Greek alphabet"
demobilize,"v. release from military service or remove from the active list of military service
v. retire from military service"
demolish,"v. destroy completely
v. defeat soundly"
denomination,"n. a group of religious congregations having its own organization and a distinctive faith
n. a class of one kind of unit in a system of numbers or measures or weights or money"
dent,"n. an appreciable consequence (especially a lessening)
n. an impression in a surface (as made by a blow)"
dentistry,n. the branch of medicine dealing with the anatomy and development and diseases of the teeth
deplete,v use up (resources or materials)
depot,"n station where transport vehicles load or unload passengers or goods
n a depository for goods"
depreciation,"n. a decrease in price or value
n. decrease in value of an asset due to obsolescence or use"
depredation,n. an act of plundering and pillaging and marauding
deputy,"n. someone authorized to exercise the powers of sheriff in emergencies
n. an assistant with power to act when his superior is absent
n. a member of the lower chamber of a legislative assembly (such as in France)
n. a person appointed to represent or act on behalf of others"
desalination,n. the removal of salt (especially from sea water)
desolate,s. crushed by grief
despoil,"v steal goods; take as spoils
v destroy and strip of its possession"
deter,v. try to prevent; show opposition to
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
determinant,"n. a determining or causal element or factor
n. a square matrix used to solve simultaneous equations"
detest,v dislike intensely; feel antipathy or aversion towards
detrimental,s (sometimes followed by `to') causing harm or injury
devastate,v. overwhelm or overpower
devoid,s completely wanting or lacking
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
diagonal,"n. (geometry) a straight line connecting any two vertices of a polygon that are not adjacent
n. a line or cut across a fabric that is not at right angles to a side of the fabric
n. an oblique line of squares of the same color on a checkerboard
n. (mathematics) a set of entries in a square matrix running diagonally either from the upper left to lower right entry or running from the upper right to lower left entry"
diction,"n the articulation of speech regarded from the point of view of its intelligibility to the audience
n the manner in which something is expressed in words"
digestion,"n. the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat
n. the organic process by which food is converted into substances that can be absorbed into the body
n. learning and coming to understand ideas and information"
digression,"n. a message that departs from the main subject
n. wandering from the main path of a journey"
dilate,v. become wider
dioxide,n. an oxide containing two atoms of oxygen in the molecule
disciple,n. someone who believes and helps to spread the doctrine of another
discomfort,"n. the state of being tense and feeling pain
n. an uncomfortable feeling of mental painfulness or distress"
discourse,"n. extended verbal expression in speech or writing
v. to consider or examine in speech or writing"
disgrace,"n a state of dishonor
v bring shame or dishonor upon
v reduce in worth or character, usually verbally
v damage the reputation of"
disillusion,"n freeing from false belief or illusions
v free from enchantment"
disintegrate,"v. break into parts or components or lose cohesion or unity
v. cause to undergo fission or lose particles
v. lose a stored charge, magnetic flux, or current"
disinterested,s. unaffected by self-interest
dismal,s causing dejection
dismember,"v. separate the limbs from the body
v. divide into pieces"
disorganize,v. remove the organization from
dispense,v. grant a dispensation; grant an exemption
disproportionate,"a. out of proportion
s. not proportionate"
disrepute,n. the state of being held in low esteem
disseminate,v cause to become widely known
dissenter,n. a person who dissents from some established policy
dissertation,n. a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
dissimilar,a. not similar
distasteful,s. not pleasing in odor or taste
distinctive,s. of a feature that helps to distinguish a person or thing
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
divergent,"s. diverging from another or from a standard
a. tending to move apart in different directions"
diversity,n. the condition or result of being changeable
dogged,s. stubbornly unyielding
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
dolphin,n. any of various small toothed whales with a beaklike snout; larger than porpoises
domesticate,"v. adapt (a wild plant or unclaimed land) to the environment
v. overcome the wildness of; make docile and tractable
v. make fit for cultivation, domestic life, and service to humans"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
dorsal,a. belonging to or on or near the back or upper surface of an animal or organ or part
drama,"n. an episode that is turbulent or highly emotional
n. the literary genre of works intended for the theater
n. the quality of being arresting or highly emotional"
dreary,"s lacking in liveliness or charm or surprise
s causing dejection"
drowsy,"s. half asleep
s. showing lack of attention or boredom"
drudgery,n. hard monotonous routine work
ductile,"s. easily influenced
s. capable of being shaped or bent or drawn out"
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
dynasty,n. a sequence of powerful leaders in the same family
eclecticism,n. making decisions on the basis of what seems best instead of following some single doctrine or style
economize,"v use cautiously and frugally
v spend sparingly, avoid the waste of"
edifice,n a structure that has a roof and walls and stands more or less permanently in one place
educated,"a. possessing an education (especially having more than average knowledge)
s. characterized by full comprehension of the problem involved"
effluent,"n. water mixed with waste matter
s. that is flowing outward"
election,"n. a vote to select the winner of a position or political office
n. the act of selecting someone or something; the exercise of deliberate choice
n. the status or fact of being elected
n. the predestination of some individuals as objects of divine mercy (especially as conceived by Calvinists)"
elixir,"n. a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste
n. a substance believed to cure all ills"
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
elongate,"v. make long or longer by pulling and stretching
s. having notably more length than width; being long and slender"
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
emancipate,v. give equal rights to; of women and minorities
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
emblem,"n. special design or visual object representing a quality, type, group, etc.
n. a visible symbol representing an abstract idea"
emboss,v. raise in a relief
embroider,"v. decorate with needlework
v. add details to"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
empty,"n. a container that has been emptied
v. make void or empty of contents
v. become empty or void of its content
v. remove"
enact,v. act out; represent or perform as if in a play
encase,"v. enclose in, or as if in, a case"
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
encroach,v. advance beyond the usual limit
endless,"s. tiresomely long; seemingly without end
s. infinitely great in number
s. having the ends united so as to form a continuous whole"
engaging,s. attracting or delighting
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
enrage,v. put into a rage; make violently angry
ensemble,"n. a group of musicians playing or singing together
n. a cast other than the principals
n. an assemblage of parts or details (as in a work of art) considered as forming a whole
n. a coordinated outfit (set of clothing)"
entanglement,n an intricate trap that entangles or ensnares its victim
enterprising,"a. marked by imagination, initiative, and readiness to undertake new projects"
entrenched,"s. dug in
s. established firmly and securely"
envious,s showing extreme cupidity; painfully desirous of another's advantages
envision,v. picture to oneself; imagine possible
ephemeral,s. lasting a very short time
equitable,a. fair to all parties as dictated by reason and conscience
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
