cinema,n. a theater where films are shown
cry out,none
exercise,"n. the activity of exerting your muscles in various ways to keep fit
n. systematic training by multiple repetitions
n. a task performed or problem solved in order to develop skill or understanding
n. (usually plural) a ceremony that involves processions and speeches"
few,"n. a small elite group
a. a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"
get along,none
grade,"n. a relative position or degree of value in a graded group
n. the gradient of a slope or road or other surface
n. a degree of ablaut
n. the height of the ground on which something stands"
left,"n. location near or direction toward the left side; i.e. the side to the north when a person or object faces east
n. those who support varying degrees of social or political or economic change designed to promote the public welfare
n. the hand that is on the left side of the body
n. a turn toward the side of the body that is on the north when the person is facing east"
plan,"n. a series of steps to be carried out or goals to be accomplished
n. scale drawing of a structure
v. have the will and intention to carry out some action
v. make plans for something"
spend,"v. pass time in a specific way
v. pay out
v. spend completely"
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
That's all right.,none
That's OK.,none
trip,"n. a journey for some purpose (usually including the return)
n. a hallucinatory experience induced by drugs
n. an exciting or stimulating experience
n. a light or nimble tread"
turn on,n. something causing excitement or stimulating interest
will,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
by,r. so as to pass a given point
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
drama,"n. an episode that is turbulent or highly emotional
n. the literary genre of works intended for the theater
n. the quality of being arresting or highly emotional"
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
French,"n. the Romance language spoken in France and in countries colonized by France
n. the people of France
n. United States sculptor who created the seated marble figure of Abraham Lincoln in the Lincoln Memorial in Washington D.C. (1850-1931)"
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
history,"n. the aggregate of past events
n. a record or narrative description of past events
n. the discipline that records and interprets past events involving human beings
n. the continuum of events occurring in succession leading from the past to the present and even into the future"
ICT,none
language,"n. a systematic means of communicating by the use of sounds or conventional symbols
n. the mental faculty or power of vocal communication"
nice,"n. a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
a. pleasant or pleasing or agreeable in nature or appearance
s. done with delicacy and skill"
play,"n. a dramatic work intended for performance by actors on a stage
n. a theatrical performance of a drama
n. a preset plan of action in team sports
n. a state in which action is feasible"
pop,"n. a sweet drink containing carbonated water and flavoring
n. a sharp explosive sound as from a gunshot or drawing a cork
v. hit a pop-fly
v. make a sharp explosive noise"
south,"n. the region of the United States lying to the south of the Mason-Dixon line
n. the cardinal compass point that is at 180 degrees
n. a location in the southern part of a country, region, or city
n. the direction corresponding to the southward cardinal compass point"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
at the moment,none
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
by,r. so as to pass a given point
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
