harpoon,"n. 鱼叉
vt. 用鱼叉叉, 用鱼叉捕获"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
defunct,"a. 死的, 不能使用的
n. 死者"
debris,"n. 碎片, 残骸
[医] 碎屑"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
cautionary,a. 警告的
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
cognitively,adv. 认知地
nimble,"a. 敏捷的, 伶俐的, 聪明的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
[计] 并联; 并行"
confounding,n. 混杂；混淆
mechanisation,[经] 机械化
ungulate,"a. 蹄状的, 有蹄的, 有蹄类哺乳动物的
n. 有蹄类动物"
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
ride-hailing,无
borough,"n. 区；自治的市镇
n. (Borough)人名；(英)伯勒"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
rational,"a. 理性的, 合理的
n. 有理数"
transportation,输送，运输，运输工具
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
independent,"adj. 独立的；自主的；自治的；不相干的人所做的（或提供的）
n. 无党派议员（或候选人等）
[网络] 有主见的；独立报；独立自主的"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
collision,"n. 碰撞, 冲突, 抵触
[计] 冲突"
causation,"n. 因果关系, 原因
[法] 因果律, 原因作用, 因果关系"
foreshadow,"vt. 成为前兆, 预示"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
[经] 仓库, 栈房, 贮藏所"
layman,"n. 外行；门外汉；俗人；一般信徒
n. (Layman)人名；(英)莱曼"
ground-breaking,"adj. 全新的；开创性的
[网络] 破土动工；破土性；开拓性"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
[计] 无记录"
top-flight,"最高层, 最高级；第一流"
half-measure,"[经] 权宜办法, 折衷办法"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
be abuzz with,无
blazing,"a. 炽燃的, 强烈的"
lightweight,"un. 轻载重量；轻的
[网络] 轻量级；重量轻；轻量化"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
seniority,"n. 长辈, 老资格
[经] 资历, 服务年限"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
oddsmaker,[网络] 赔率工作人员
prevail,"vi. 获胜, 流行, 盛行
[医] 流行, 盛行"
ambivalent,"a. 矛盾的, 模棱两可的
[医] 矛盾情绪的"
versatile,"a. 多才多艺的, 万用的, 万向的"
startling,a. 令人吃惊的
frazzled,"a. 穿破了的, 磨损了的, 疲惫的, (美)(非正式)喝醉了的"
honed,v. 把（刀、剑等）磨光( hone的过去式和过去分词 )
well-rounded, [体]技术全面的
picky,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
credential,"n. 国书, 凭据, 证明书
[经] 凭证, 证书"
dubiously,adv. 怀疑地；可疑地
tabulate,"vt. 作成表, 作成一览表, 使成平面
a. 平板状的, 平面的
[计] 制表"
compensate,"v. 偿还, 补偿, 付报酬"
anthropologist,n. 人类学家
knowingly,"adv. 会意地, 心照不宣地, 故意地, 有意地, 老练地
[法] 心照不宣地, 故意地, 有意地"
arduous,"a. 费力的, 努力的, 险峻的"
resourcefulness,n. 足智多谋
disorientation,"n. 迷向, 迷惑
[化] 解取向; 乱取向"
