abandon oneself to,沉溺于
above all,"尤其是, 首先"
according to,"na. 据…所说
[网络] 按照；根据；依照"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
accuse ... of ...,"un. 控告
[网络] 指责；指控；因某事控告某人"
act as,"abbr. 学报；反假冒贸易协议（Anti-Counterfeiting Trade Agreement）；促皮质素
n. (Acta)人名；(法)阿克塔"
adapt to,适应…;适合…
add in,"n. 外接程序（程序名）
n. (Addin)人名；(阿拉伯)阿丁"
adjust to,[计] 调整至
admit doing sth.,[网络] 承认做某事；承认做过某事；承认做了某事
after all,adv. 毕竟；终究
agree on,"就…取得一致意见,商定"
ahead of,在…之前
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
all alone,独立地
all but,"na. 几乎跟…一样
[网络] 差一点；除了…都；差不多"
all of a sudden,突然
all one's life,一生
all over,"a. 布满全面的, 布满全面之花样的
n. 印花布"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
[网络] 好吧；好的；行"
all round,"a. 多面的, 多才多艺的"
all around,adj. 万能的；多方面的；综合性的
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
all the same,仍然
all the way,"从远道, 自始至终, 一路上"
all through,"na. 从来就
[网络] 一直；始终；自始至终"
all together,一起，一道；同时
allow for,"虑及, 体谅"
along with,"与…一道,与…一起,连同…"
and so on,等等
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
anything but,"单单除...之外, 决不"
apart from,除了...之外
apologize to sb. for sth.,[网络] 因某事向某人道歉
apologize to sb. for doing sth.,无
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
arm in arm,[经] 臂挽臂
around the corner,"在拐角处, 在附近, 即将来临"
arrive at,"到达, 达到"
as a consequence,"因此, 结果是"
as a matter of fact,事实上
as a result,因此;结果
as far as,"远到, 直到, 至于"
as follows,如下
as for,至于
as if,"na. 彷佛；活像
[网络] 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
[网络] 仿佛；好象；似乎"
as long as,只要...
so long as,只要
as soon as,一...就
as usual,a. 照常
as well,n. (Aswell)人名；(英)阿斯韦尔
as well as,"也, 又"
ask for,"na. 要(价)；来找
[网络] 请求；要求；要求得到"
at a distance,有相当距离
at a loss,"困惑, 亏本地"
at a low price,"[经] 廉价, 低价"
at a time,"每次, 在某时"
at all,"na. 全然；既然
[网络] 根本；究竟；丝毫"
at all costs,不惜任何代价
at any rate,"无论如何, 至少"
at ease,"na. 自由自在；=stand at ease.
[网络] 稍息；安逸；舒适"
at first,起先，首先；最初
at first sight,乍一看
at hand,"在手边, 在附近, 即将到来"
at last,终于
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
at length,"最后, 详细地"
at most,至多
at the most,"至多, 最多, 不超过, 充其量"
at once,na. 立刻；同时
at one's best,处在最佳状态
at present,"现在, 目前"
at random,"胡乱地, 随便地
[法] 任意地, 遂意地"
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
at one's convenience,"最方便地, 最合适地"
at one's expense,无
at one's service,"乐意帮助,听.使唤"
at table,在餐桌边
at the age of,在…年龄的时候
at the beginning of,在…刚开始的时候
at the bottom of,在…的底部
at the end of,"在…末尾,在…结束时"
at the moment,此刻
at war,在交战状态中
at work,"na. 做着；在做活；起着作用；运转中
[网络] 在工作；仲介；忙于"
attach ... to ...," （使）贴[系, 粘]在…上; （使）相关; （使）牵连; （使）依附"
attempt to do sth.,v. 尝试去做
attend to, 处理; 注意; 听取; 致力于
attitude to,"un. 对…态度
[网络] 看法；对……的态度；归因于"
attitude toward,vt. 对。。。的态度，意见
attribute ... to ...,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
avoid doing sth.,[网络] 避免做某事；避免干某事；防止做某事
awake to,"意识到,察觉到"
back and forth,[网络] 来来回回的
bargain with sb. for sth.,无
base ... on ...,"v. 根据
[网络] 基于；以……为基础；以…为根据"
be able to do sth.,[网络] 能够做某事；能做某事；有能力做某事
be about to do sth., 即将做某事
be absorbed in,"全神贯注于, 专心于"
be abundant in,"富于,有很多"
be accustomed to,习惯于
be addicted to,沉迷于…
be admitted into, 入
be admitted to, 加入
be angry with,对(某人)生气
be anxious about,"渴望, 担忧"
be ashamed of,"感到羞耻, 惭愧"
be associated with, 和…联系在一起; 与…有关
be aware of,知道
be blessed with,在…方面有福气;幸运地享有
be bored with,对…感到厌倦
be bound to do sth.,[网络] 注定；一定会做某事；必然
be busy with sth.,忙于
be capable of,能够
be close to,"接近于..., 在...附近, 在...左近"
be concerned about,关心...
be content with,以...为满足
be crazy about,"狂热爱好..., 着迷..."
be curious about,对...感到好奇
be different from,"与…不同,和…不一样"
be equal to,"胜任, 相等, 合适"
be faced with,"面对,面临着…"
be familiar to,对…熟悉的
be famous as,作为…而闻名遐迩
be fit for,适合于
be fond of,"喜爱, 爱好"
be frightened to death,吓得要死
be full of,充满
be good at,擅长
be interested in,对…很感兴趣
be known as,被认为是
be likely to,"有可能…,很可能…"
be lost in,沉醉于…
be opposed to,"反对..., 与...相对"
be particular about,"对…很挑剔,过于讲究"
be pleased at,"对…感到高兴,喜欢…"
be pleased about,无
be pleased with,"对…喜欢,满意于"
be popular with,为...所喜欢
be proud of,"自豪, 高兴"
be ready for,为…作好准备
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be relevant to,与...有关
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
[法] 对...负责"
be sensitive to,"敏感, 灵敏"
be short for, 是…的简称；是…的缩写
be similar to,与...相似
be strict in,[网络] 对某事严格要求；对某事要求严格；严于
be supposed to,"应该, 被期望"
be sure about,对…有把握
be sure of,"确信..., 肯定..., 对...有把握"
be tired of,厌烦
be true of,符合于
be unique to,[网络] 为…特有；对……来说是独一无二的；为…所独有
be willing to do sth., 愿意做某事
because of,因为
become of," 发生, 结果是"
before long,不久以后
begin with,"以…开始,首先"
believe in,"信仰, 信任"
believe it or not,信不信由你
belong to,属于
benefit from,从…获利
beyond control,"na. 无法控制
[网络] 难以控制；超越控制；失控"
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
[网络] 刮走；吹散；吹跑"
break away,"n. 脱离, (美)(非正式)一碰就散开/脱落的, 分裂"
break away from,"摆脱,脱离"
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
build up,n. 建立；组合；(在数量、力量、影响等方面)逐渐增加，增长，增强，加强，发展；成长过程
burn down,"na. 烧光；(蜡烛等)逐渐烧完；火力减弱
[网络] 燃尽图；烧毁；把…烧成平地"
burst into,"闯入, 开出, 突然出现"
but for,要不是
by accident,偶然
by air,乘飞机
by all means,"na. 必定；千方百计；不惜一切；好的
[网络] 务必；一定；无论如何"
by chance,"偶然, 也许"
by name,"名叫..., 用名字, 凭名字"
by nature,天生地
call attention to,[网络] 唤起注意；引起对…的注意；关注
call at,"na. 访问(某家)；(车船)停靠(某地)
[网络] 拜访"
calm down,"平静下来, 镇定下来"
can't but,[网络] 不得不
can't help but,〈美〉不得不; 不能不; 必须; 只好
can't help doing sth.,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
can't wait to,无
care about,担心
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
[网络] 运走；使入迷；使失去自制力"
cast about for,四处寻找，设法找到；设法；筹划
cast aside,"na. 抛弃
[网络] 废除；消除；唾弃"
catch a glimpse of,瞥见
catch fire, 着火着火; 失火; 发火; 走水
catch hold of,抓住
catch on,"变得流行, 理解, 明白"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
[网络] 赶上；追上；跟上"
catch up with,赶上
cater for,"供应伙食, 迎合"
center on," 以…为中心; 重点在于…, 主要与…有关"
center upon,无
change ... for ...,交换
change into,变成
change one's mind,"改变主意
[法] 改变主意, 改变计划"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
[网络] 控告；指控；指控…犯有罪"
check in,"v. 〔美国〕报到；(旅馆)登记；签到；登记归还
[网络] 证实一下"
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
[网络] 向…欢呼；为…加油；鼓励"
cheer up,"v. 鼓舞；振作一点
[网络] 振作起来；高兴起来；使高兴起来"
chew over,"na. “chew upon”的变体
[网络] 仔细考虑；仔细商量；深思，细想"
chip in,"na. 插嘴；捐助；拿钱赌
[网络] 切球入洞；切球进洞"
choke off, 中止做; 使放弃做; 批评; 责备
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
clear away,"na. 扫除；砍去；(雾等)消散
[网络] 收拾；把…清除掉；去掉"
clear up,"n. 整理; 破案; 治愈
a. （案件）已经了结的; （罪犯）已捉拿的"
click on, 点击鼠标
close down,"[计] 停机, 关机, 停歇"
collect oneself,"心平气和,平心静气,镇定一下"
come about,"发生, 改变方向"
come across,偶遇
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
come into being,"形成, 产生"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come to terms with,"与…达成协议,慢慢习惯"
come true,"实现, 成为事实"
come up with,"赶上, 提出"
compare ... to ..., 把…比作， 喻为; 与…相比
compensate for,赔偿
complain about,抱怨
complain of,"抱怨, 抗议"
concentrate on,"集中, 全神贯注于"
concentrate upon,集中在;专心于
congratulate ... on ...,"un. 祝贺
[网络] 恭贺；就…向某人表示祝贺；祝贺某人某事"
congratulate ... upon ...,无
connect with,"连接, 联络"
consider ... as ..., 看成
consist in,存在于
contrary to,与…相反
contribute to,捐献
convince ... of ...,"na. 使(人)承认
[网络] 确信；使确信；使信服"
cool down,"变凉, 平静下来
[建] 冷却"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
[网络] 平静下来；冷却；冷静下来"
correspond to,"相当于..., 与...相对应"
count on,"依靠, 指望"
count upon,仰赖
cross out,"na. 取消
[网络] 删去；划掉；删除"
crowd in,"un. 围住；围观；接踵而来；挤进
[网络] 众骑"
cry out,大声呼喊
cut across,抄近路通过
dance to,跟着…摇摆
dare to, 敢于
date from, 始于
day after day,日复一日
deal with,"安排, 处理, 涉及, 做生意"
debate on, 关于…进行辩论
debate about,辩论，讨论(问题)；考虑，细想，盘算
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
declare against,v. 表态反对
dedicate ... to ...,献身
defend ... against ...,"防御,防卫"
defend ... from ...,保卫
depend on,"依靠, 依赖"
depend upon," 依赖, 依靠"
deposit ... in ...,在…处储存
descend from,从…下来;是…的后裔
describe ... as ...,描述为
develop into,"演变成…,发展成为…"
devote ... to ..., 把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注
die away,"a. 消沉的, 憔悴的"
differ from,不同
dig into,"钻研, 掘进去"
distinguish between ... and ...,无
dive into,"把手伸入, 投入, 钻研"
divide ... into ...,"把…划分成,分成"
do away with,"废除, 弄死"
do harm to, 损害。。。，伤害。。。; 残害
do without,没有...也可以
donate ... to ...,赠送，赠款，捐款，捐赠
dozens of,"几十个,数十个;许多…"
draw a conclusion,得出结论
draw in,"na. 拉入；流入；收(网等)；收回(借款等)
[网络] 到站；拉缩回；进站"
dream about,"想见,梦见,考虑"
dream of,"梦见,梦想,向往,渴望"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
drop away,"na. 一滴一滴落下；(一个个)走掉；(不知不觉间)跑掉；同“drop”
[网络] 转体弯腰躲闪；脱扣"
drop out,"n. 退学学生, 中途退学
[电] 离去"
drop out of,"退出,辍学,脱离"
dry out,n. 变干； (的过程)；干燥；[口语] (酒精中毒) 解毒办法 (或设备)
due to,"由于, 应归于"
each other,"na. 彼此；互相
[网络] 相互；海誓山盟；两棵树"
earn a living,"谋生,挣钱,自食其力"
earn one's living,"谋生, 维持生活"
ease off,"放松, 缓和, 减轻"
eat one's words,认错道歉
eat up,"吃光, 耗尽, 吞灭"
either ... or ...,"a. 两者择一, 两者择一的, 非此即彼的
[计] ""异"", 二者择一"
end up with,"以…作为结局,以…而告终"
enjoy oneself,过得快乐
