speak to,"对...说话, 说到, 责备, 证明"
mobile phone, 移动电话
phone call,n. 电话
make a phone call,[网络] 打电话；打个电话；打电话号码
Internet,[网络] 互联网；因特网；网际网路
go on the Internet,无
send,[网络] 结束；路程尽头；四十六的下场
send a message, （含蓄或通过行动）表达重要意思
read an e-book,无
e-mail,无
send an e-mail,无
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
take a message, 捎个口信
think about,"考虑, 回想"
a bowl of,[网络] 一碗；一大碗；一篓-一桶
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
a plate of,[网络] 一盘；一盘子；一碟
a glass of, 一杯
a bottle of, 一瓶
a cup of,一杯…
a piece of,"一块..., 一片..."
anything,pron. 任何事
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
take up,"na. 拿起；举起；拾起；给搭(火车等)
[网络] 占据；从事；开始"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
[医] 瞳孔"
actor,"n. 男演员, 行动者
[医] 作用物, 反应物"
singer,n. 歌手
reporter,n. 记者
scientist,"n. 科学家
[医] 科学家"
police,"n. 警察，警方；治安
vt. 监督；管辖；维持治安；为…配备警察
adj. 警察的；有关警察的"
police officer,n. 警察
player,P层（花冈岩质层）
set up,"na. 建立；创立；发起；开办
[网络] 设立；设置；成立"
a hope school,无
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
grassland,"un. 草地
[网络] 草原；草地土壤；草场"
age,comb. 表示数量;表示动作;表示身份;表示地方
at the age of,在…年龄的时候
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
difficult,[网络] 困难的
meeting,"n. 会议, 会面
[法] 会议, 会谈, 集会"
have a sports meeting,无
throwing,n. 投掷
meter, [医]〔后缀〕意为：测量用的计、表、量器
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
100-meter race,无
long jump, 跳远
high,"adj. 高的；高级的；崇高的；高音调的
n. 高水平；天空；由麻醉品引起的快感；高压地带
adv. 高；奢侈地
n. (High)人名；(英)海伊"
high jump, 跳高
running race, [体]赛跑
take part in,"参与, 参加
[经] 参加, 参与"
anyway,无论如何
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
clever,"a. 聪明的, 精明的"
outgoing,a. 外向的
shy,na. 讨厌…的
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的
n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德"
friendly,[网络] -友善
hard-working,无
serious,"a. 严肃的, 认真的, 重要的, 严重的
[电] 严重的"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
understand,"vt. 理解；懂；获悉；推断；省略
vi. 理解；懂得；熟悉"
Ms.,"abbr. 多发性硬化
n. “M”的复数
[网络] 质谱(mass spectrum)；时间；毫秒"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
Mrs.,n. 先生
smile,[网络] 众人仰慕
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
sale,[网络] 整车销售
notebook,票据簿
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
[计] 卡片箱, 介质装卸程序"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
story book,"na. 故事书
[网络] 故事书籍；英语童话书；分级阅读故事书"
model plane, 模型飞机
toy car,n. 玩具车
scissors,"pl. 剪刀
[医] 剪"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
money,[网络] 抠抠
before,"prep. 在…之前，先于
adv. 以前；在前
conj. 在…以前；在…之前"
bring,【天文学】B环
and so on,等等
southeast,"n. 东南；东南方；东南地区
[网络] 东南区；东南部；英格兰东南"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
northwest,"un. 西北
[网络] 西北省；西北地区；西北部"
northeast,[地名] 东北镇 ( 美 )
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
southwest,"n. 西南；西南方；西南地区
[网络] 西南部；西南区；英格兰西南"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
somewhere,[网络] 在某处；不知处
by,[网络] -通过
