swimmer,n. 游泳者
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
take pride in,以...为傲
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
be proud of,"自豪, 高兴"
Paula,n. 保拉（女子名）
Alfred,n. 阿尔佛雷德（男子名）
Billy,"n. 警棍, 伙伴"
Candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
Jerry,"a. 草率的, 偷工减料的
[经] 偷工减料的, 工程粗略的"
Emily,n. 埃米莉（女子名）
chopstick,n. 筷子
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧
n. (Fork)人名；(英、德)福克"
blouse,n. 宽松的上衣
silver,"n. 银；银色；银器；银白色
v. 给…镀（或包）银；给…镀（或包）似银的物质；使具有银色光泽
adj. 银色的；银白色的；银灰色的
[网络] 白银；银子"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
environmental,"a. 周围的, 环境的
[经] 环境的, 环保的"
grass,"n. 草；草地；牧草；青草
v. （向警方）告密
[网络] 草编家具"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
widely,adv. 广泛地
be known for,因...而众所周知
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
[计] 进程"
product,"n. 产品, 结果, 乘积
[化] 生产物"
no matter,"无论, 没关系"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
[计] 本地的; 局部"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
handbag,"手提袋, 手提包"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
Germany,n. 德国
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
[计] 通信量, 传输量"
postman,"n. 邮递员
[法] 邮递员, 理财法庭的高级律师"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷"
glove,"n. 手套
vt. 给...戴手套"
international,"a. 国际的
n. 国别设定
[计] 国别设定"
competitor,"n. 竞争者
[经] 竞争者, 竞争对手"
its,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
[网络] 智能交通系统(Intelligent Transportation System)；智能运输系统"
clay,"n. 黏土；陶土
[网络] 泥土；克莱顿；院外人士"
celebration,"n. 庆祝, 庆典"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
paper cutting,adj. paper cutter的变形
scissors,"pl. 剪刀
[医] 剪"
fairy,"n. 仙女, 精灵
a. 仙女的"
historical,"a. 历史的, 史实的, 历史上的
[法] 历史性的"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
Korea,"n. 朝鲜, 韩国"
Switzerland,n. 瑞士
San Francisco,n. 旧金山
Marcus,n. 马库斯（男子名）
Pam,"n. 【女名】女子名
[网络] 聚丙烯酰胺(Polyacrylamide)；脉冲幅度调制(pulse amplitude modulation)；脉幅调制"
