abide,"vi.坚持,遵守;vt.忍受,容忍"
predecessor,"n.前辈,前任,(被取代的)原有事物"
recede,v.后退
ascend,"v.攀登,上升"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
transcend,"vt.超越,胜过"
accelerate,"v.加速,促进"
concede,"vt.勉强,承认,退让vi.让步"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
accomplish,"vt.完成,达到,实现"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
accordingly,"adv.因此,从而"
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意"
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
concerning, prep.关于
discern,"v.目睹,认识,洞悉,辨别,看清楚"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
discount,n.折扣
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的"
county,"n.县,郡"
accumulate,"v.积聚,堆积"
accurate,"adj.正确的,精确的"
accuse,"vt.控告,谴责,非难"
accustom,vt.使习惯于
achieve,"vt.完成,达到"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
acknowledge,"vt.承认,答谢,报偿"
acquaint,"vt.使熟知,通知"
acquaintance,"n.相识,熟人"
acquire,"vt.获得,学到"
acre,"n.英亩,(pl.)地产,大片田地"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
acute,"adj.敏锐的,[医]急性的,剧烈"
adapt,"vt.使适应,改编"
adaptive,adj.适应的
additional,"adj.另外的,附加的,额外的"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adequate,
adhere,"vi.粘附,胶着,坚持v.坚持"
adjective,n.形容词
adjoin,"v.邻接,毗连"
adjust,"vt.调整,调节,校准,使适合"
administer,"v.管理,给予,执行"
admire,"v.赞美,钦佩,羡慕"
adore,"v.崇拜,爱慕,(口语)喜爱"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
advantageous,adj.有利的
adverb,n.副词
advisable,"adj.可取的,明智的"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事"
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
gossip,"n.闲话,闲谈"
business,"n.商业,买卖,交易,生意,事情,事物,营业,商行"
trifle,"n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄"
affect,"vt.影响,感动,侵袭,假装"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
affection,"n.友爱,爱情,影响,疾病,倾向"
defect,"n.过失,缺点"
shortcoming,"n.缺点,短处"
infect,"vt.[医] 传染,感染"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
efficient,"adj.(直接)生效的,有效率的,能干的"
coefficient,n.[数]系数
sufficient,"adj.充分的,足够的"
deficient,"adj.缺乏的,不足的,不完善的"
factor,"n.因素,要素,因数,代理人"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
afford,"vt.提供,给予,供应得起,"
afraid,"adj.害怕,担心"
fraction,"n.小部分,片断,分数"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
fragile,"adj.易碎的,脆的"
frequent,"adj.时常发生的,频繁的"
fridge,n.电冰箱
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
fragrance,"n.芬芳,香气,香味"
friction,"n.摩擦,摩擦力"
fright,"n.惊骇,吃惊"
fragment,"n.碎片,断片,片段"
freight,"n.货物,船货,运费,货运vt.装货,使充满,运送"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
friend,"n.朋友,赞助者,助手"
fret,"v.(使)烦恼,(使)焦急,(使)腐蚀,(使)磨损"
fro,"adv.往,去,回,向后"
against," prep.相反,反对,逆着,靠着,倚着"
agent,n.代理(商)
aggregate,"n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计"
aggress,"v.攻击,侵犯"
agitate,"v.搅动,摇动,煽动,激动"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agreeable,"adj.使人愉快的,惬意的,适合的"
agriculture,"n.农业,农艺,农学"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
alcohol,"n.酒精,酒"
alert,"adj.提防的,警惕的n.警惕,警报"
alienate,v.疏远
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
alloy,"n.合金vt.使成合金,减低成色"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
almost,"adv.几乎,差不多"
along,"adv.往前,向前 prep.顺着,沿着"
alphabet,n.字母表
alter,v.改变
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
although," conj.虽然,尽管"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
aluminum,n.[化]铝
sulfur,"n.[化] 硫磺,硫黄vt.用硫磺处理"
oxide,n.[化]氧化物
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
hydrogen,n.氢
hydrocarbon,"n.烃,碳氢化合物"
hydrate,n.氢氧化物v.与水化合
nitrogen,n.[化]氮
uranium,n.铀
silicon,"n.[化]硅,硅元素"
zinc,n.锌vt.涂锌于
tin,"n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的"
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
amaze,vt.使吃惊
ambassador,n.大使
ambiguous,"adj.暧昧的,不明确的"
ambition,"n.野心,雄心"
ambulance,"n.战时流动医院,救护车"
amount,"n.数量vi.(to) 总计,等于"
amplify,"vt.放大,增强v.扩大"
amuse,"vt.使发笑,使愉快"
album,"n.集邮本,照相簿,签名纪念册"
algebra,n.代数学
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
align,"vi.排列vt.使结盟,使成一行"
amateur,"n.业余爱好者,业余艺术家"
ambient,adj.周围的n.周围环境
Arctic,
ass,"n.驴,笨人,臀部"
analog,"n.类似物,相似体"
analyze,"vt.分析,分解"
ancient,"adj.远古的,旧的"
ankle,n.[解]踝
skull,"n.头脑,头骨"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
beard,n.胡须
lip,"n.嘴唇,唇缘"
tooth,n.牙齿
tongue,"n.舌头,舌状物,语言,说话方式,口语vt.舔,闲谈,斥责vi.吹管乐器"
chin,"n.下巴,下颚"
skin,"n.皮,皮肤,兽皮,皮毛,外皮,外壳v.长皮"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
elbow,n.肘
wrist,"n.手腕,腕关节"
lung,"n.肺,呼吸器,肺脏"
pneumonia,n.[医] 肺炎
stomach,"n.胃,胃口,胃部v.容忍"
liver,"n.居住者,生活优裕的人,肝脏"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
spine,"n.脊骨,书脊,地面隆起地带,中心,剌"
waist,"n.腰部,腰,衣服的上身部分,背心"
hip,"n.臀,蔷薇果,忧郁adj.熟悉内情的vt.使忧郁,给(屋顶)造屋脊int.喝彩声"
thigh,"n.大腿,股"
kneel,vi.跪下
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表"
heel,"n.脚后跟,踵,跟部"
wheel,"n.轮,车轮,轮子"
anniversary,n.周年纪念
announce,"vt.宣布,通告"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
antenna,n antenae <动>触角 (antenna)n.天线
anthropology,n.人类学
ecology,"n.生态学,[社会]环境适应学,均衡系统"
geology,"n.地质学,地质概况"
psychology,"n.心理学,心理状态"
physiology,n.生理学
antique,"n.古物,古董adj.古时的,过时的"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
apparatus,"n.器械,设备,仪器"
apparent,"adj.显然的,外观上的"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
appendix,"n.附录,附属品,[解]阑尾"
depend,"vi.依靠,依赖"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
pendulum,"n.钟摆,摇锤"
suspend,"vt.吊,悬挂v.延缓"
appetite,"n.食欲,胃口,欲望,爱好"
applaud,"v.拍手喝彩,称赞,赞同"
apply,"vt.申请,应用vi.申请,适用"
appliance,"n.用具,器具"
applicable,"adj.可适用的,可应用的"
applicant,"n.申请者,请求者"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appraise,v.评价
praise,"vt.赞扬,歌颂,称赞n.赞扬,赞美的话,赞美,荣耀,称赞"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
appreciable,"adj.可感知的,可评估的"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
reproach,v.责备
appropriate,adj.适当的
approve,"vi.赞成,满意vt.批准,通过v.批准"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
monarch,n.君主
architecture,"n.建筑,建筑学 体系机构"
argue,"vi.争论,辩论vt.说服"
arithmetic,"n.算术,算法"
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
arrange,"v.安排,排列,协商"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
arrow,"n.箭,箭头记号"
art,"n.艺术,艺术品,技术,巧妙,美术"
artificial,"adj.人造的,假的,非原产地的"
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
aerospace,n.航空宇宙
aspect,"n.样子,外表,面貌,(问题等的)方面"
inspect,"vt.检查,视察v.检查"
expect,"vt.期待,预期,盼望,指望,<口>(料)想,认为"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
despise,vt.轻视
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意vt.尊敬,尊重,不防碍"
respective,"adj.分别的,各自的"
irrespective,"adj.不顾的,不考虑的,无关的"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
retrospect,n.回顾
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
spectacular,"adj.引人入胜的,壮观的"
spectator,n.观众(指比赛或表演)
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
assassinate,"vt.暗杀,行刺"
assault,"n.攻击,袭击v.袭击"
assemble,"vt.集合,聚集,装配vi.集合"
assert,"v.断言,声称"
insert,"vt.插入,嵌入n.插入物"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
dessert,n.餐后甜点
assess,"vt.估定,评定"
session,"n.会议,开庭"
semester,n.学期
obsess,"vt.迷住,使困扰"
possess,"vt.占有,拥有,持有,摆布,支配"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
assist,"v.援助,帮助"
consist,"vi.由...组成,在于,一致"
insist,"v.坚持,强调"
persist,"vi.坚持,持续"
resist,"vt.抵抗,反抗,抗,忍得住"
transistor,n.[电子]晶体管
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
deputy,"n.代理人,代表"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
assume,"vt.假定,设想,采取,呈现"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
presume,"vt.假定,假设,认为"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
assure,"vt.断然地说,确告,保证,担保"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
insure,vt.给...保险v.确保
astonish,vt.使惊讶
astronaut,"n.太空人,宇航员"
astronomy,n.天文学
athlete,"n.运动员,运动选手"
atmosphere,"n.大气,空气,气氛"
area,"n.范围,区域,面积,地区,空地"
field,"n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的 扫描场"
realm,n.领域
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
environment,"n.环境,外界"
atom,n.原子
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attempt,"n.努力,尝试,企图vt.尝试,企图"
attitude,"n.姿势,态度,看法,意见"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
longitude,"n.经度,经线"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
multitude,"n.多数,群众"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
attribute,"n.属性,品质,特征,加于,归结于"
contribute,"v.捐助,捐献,贡献,投稿"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
audio,"adj.音频的,声频的,声音的"
aural,adj.听觉的
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
automate,"v.使自动化,自动操作"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
aviation,"n.飞行,航空,航空学,航空术"
avoid,"vt.避免,消除"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
awake,"vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的"
aware,"adj.知道的,明白的,意识到的"
beware,"v.小心,谨防"
warehouse,"n.仓库,货栈,大商店vt.贮入仓库,<俚>[经]以他人名义购进(股票)"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
awkward,"adj.难使用的,笨拙的"
axis,
bachelor,"n.单身汉,文理学士,幼雄兽"
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
bacon,"n.咸肉,熏肉"
bacterium,n.细菌
datum,"n.数据,资料"
badge,"n.徽章,证章"
baggage,"n.行李,[军] 辎重"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
bake,"v.烘焙,烤,烧硬"
baffle,"vt.困惑,阻碍,为难"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
balcony,"n.阳台,包厢,(戏院)楼厅"
bald,"adj.光秃的,单调的,枯燥的"
ball,"n.球,球状物,子弹,舞会,尽情地玩"
bamboo,n.竹子
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
bind,"v.绑,镶边,装订,凝固,约束"
bend,"v.弯曲,专心于,屈服n.弯曲"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
bundle,"n.捆,束,包v.捆扎"
bandit,n.强盗
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
boundary,"n.边界,分界线"
frontier,"n.国境,边疆,边境"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
banner,"n.旗帜,横幅,标语"
banquet,n.宴会
barber,"n.理发员,理发师vt.为...理发,刮脸等"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
barn,"n.[农]谷仓,畜棚,畜舍,机器房"
baron,n.男爵(英国世袭的最低级的贵族爵位)
barrel,n.桶vt.装入桶内
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
basement,"n.地下室,墙脚"
basin,"n.盆,盆地,水池"
bath,"n.沐浴,浴室"
battery,"n.电池,殴打"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
bearing,"n.轴承,关系,方面,意义,[pl.] 方向,方位"
beast,"n.兽,畜牲,人面兽心的人"
bee,
beetle,"n.甲虫vi.悬垂,突出"
before,"adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可"
beforehand,adv.预先
behalf,"n.为,利益"
behave,"vi.举动,举止,运转v.行为表现"
below," prep.在...下面,adv.在下,在页底"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
beside," prep.在旁边,和...比较"
besides,adv.此外 prep.除...之外
bestow,"vt.给予,安放"
betrayal,"n.出卖,辜负,暴露"
between," prep.在...之间,连接...,由...协力合作"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
biscuit,"n.饼干,小点心"
bishop,n.主教
bitter,"adj.苦的,痛苦的,怀恨的"
blacksmith,"n.锻工,铁匠"
blade,"n.刀刃,刀片"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
blanket,n.毯子vt.覆盖
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
bleach,"v.漂白,变白"
blend,vt.混和n.混和
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
loom,"n.织布机,织机v.隐现,迫近"
gloom,"n.阴暗,阴沉v.(使)变阴暗,优伤地说,繁荣"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
blouse,"n.宽松的上衣,似衬衫的上衣"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
broaden,"v.放宽,变宽,扩大,加宽"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
boat,"n.小船,艇v.划船"
boil,"n.沸点,沸腾,疖子v.煮沸,激动"
oil,"n.油,石油,油类vt.给(机器等)加油,上油,涂油"
soil,"n.土壤,土地,国土,国家,温床,粪便,务农vt.弄脏,污辱vi.变脏"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
coil,"v.盘绕,卷"
bold,adj.大胆的n.粗体
bolt,"n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑"
bomb,"n.炸弹vt.投弹于,轰炸"
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索"
dumb,"adj.哑的,无说话能力的,不说话的,无声音的"
numb,adj.麻木的v.失去知觉
thumb,"n.拇指vt.以拇指拨弄,笨拙处理,弄坏,翻阅,作搭车手势vi.用拇指翻书页"
tomb,n.坟墓v.埋葬
bourgeois,"n.中产阶级,商人,资产阶级adj.中产阶级的,平庸的n.九点活字"
box,"n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击"
booth,"n.货摊,售货亭,棚"
bosom,"n.胸部,胸,胸怀,内心,内部,中间,任何温暖、舒适而熟悉的地方vt.怀抱,隐匿"
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
brace,"n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持"
brake,"n.闸,刹车v.刹车"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
brandy,"n.白兰地酒,(夹心)糖果"
brass,"n.黄铜,黄铜制品,厚脸皮"
brave,adj.勇敢的
breadth,"n.宽度,(布的)幅宽,(船)幅"
breakdown,"n.崩溃,衰弱,细目分类"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
peep,"n.窥看,隐约看见vi.窥视,偷看"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
peel,"v.剥,削,剥落"
speech,"n.演说,讲话 语音"
seemingly,adv.表面上地
seek,"v.寻找,探索,寻求"
seed,"n.种子,萌芽,原由,根据,子孙,精液vt.播种,结实,成熟,去...籽vi.结实,播种"
reed,"n.芦苇,芦笛,簧片,管乐器"
greed,"n.贪欲,贪婪"
feedback,"n.[无]回授,反馈,反应"
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入"
creep,"vi.爬,蹑手蹑脚,蔓延"
steer,"v.驾驶,掌舵"
steel,"n.钢,钢铁"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走"
freeze,"v.(使)结冰,(使)冷冻,冻结"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
sneeze,n.喷嚏vi.打喷嚏
bribe,"n.贿赂vt.贿赂,向...行贿"
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
bridge,"n.桥,船桥,鼻梁,桥牌vt.架桥,渡过;网桥"
bridle,"n.马勒,缰绳v.上笼头,昂首(表傲慢.愤怒等),抑制(欲望)"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
brilliant,"adj.灿烂的,闪耀的,有才气的"
bright,"adj.明亮的,辉煌的,欢快的,聪明的,伶俐的"
brim,"n.(杯,碗等)边,边缘,(河)边vt.注满,使满溢vi.满溢"
rim,"n.边,轮缘,蓝框vt.镶边,为...装边,沿...边缘滚动vi.形成边状"
grim,adj.严酷的
pilgrim,"n.圣地朝拜者,朝圣"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
brittle,"adj.易碎的,脆弱的"
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
