Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
abacterial,"a. 非细菌性的
[医] 非细菌性的; 无细菌的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
abdomen,"n. 腹部
[医] 腹[部]"
abdominal,"a. 腹部的, 有腹鳍的
[医] 腹[部]的"
abduct,"vt. 诱拐, 绑架, 使外展
[医] 外展, 展"
abduction,"n. 诱拐, 绑架, 外展
[医] 外展, 展"
abductor,"n. 诱拐者, 绑架者, 外展肌
[医] 展肌, 外展肌"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
[化] 异常的"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
[化] 光行差; 像差"
abiogenesis,"n. 自然发生论, 无生源说
[化] 无生源说"
abiotic,"a. 无生命的, 非生物的
[医] 无生命的; 生活力缺失的"
abiotrophy,"n. [医]营养性衰竭,生活力缺失"
ablate,"v. 切除, 腐蚀, 溶化掉, 烧蚀"
ablation,"n. 腐蚀, 切除, 烧蚀
[化] 烧蚀"
ablepsia,盲; 目盲; 视觉缺失
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abnormality,"n. 反常, 畸形, 变态
[化] 反常; 非正态性"
abnormally,"adv. 不正常, 异常, (贬)不同寻常, 不规则, 变态, 反常"
abolish,"vt. 废止, 革除, 消灭
[经] 废除, 取消, 裁撤"
abortifacient,"n. 堕胎药
a. 堕胎的"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
[医] 流产, 小产; 顿挫"
abortive,"a. 流产的, 堕胎的, 失败的
[医] 流产的; 顿挫的"
abound,"vi. 大量存在, 富于, 充满"
abrasion,"n. 磨擦, 磨损, 磨损处
[化] 磨耗; 磨蚀"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
abruption,"n. 突然分离, 分裂, 断裂"
abscess,"n. 脓肿
vi. 形成脓肿"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absolutely,adv. 绝对地；完全地
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
absorbable,"a. 可吸收的, 容易被吸收的
[医] 可吸收的"
absorbance,"n. 吸光率
[化] 吸光度; 吸收度"
absorbent,"a. 能吸收的
n. 吸收剂"
