intellect,n.智力
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
quake,n.地震
rabbit,"n.兔,野兔"
safari,"n.旅行,狩猎远征,旅行队,旅行队(狩猎远征队)及装备"
tact,"n.机智,手法,老练,角觉vt.对(刺激)操作性应答vi.(以言语或声音)操作性应答"
wake,"vt.叫醒,激发vi.醒来,醒着,警觉,振奋n.醒,守夜,尾迹,(人,车等经过的)痕迹,守丧"
zeal,"n.热心,热情,热诚"
abandon,"vt.放弃,遗弃;n.放任,狂热"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话"
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
earn,"vt.赚,挣得,获得v.赚得,获得"
game,"n.比赛,游戏,竞赛,[复]运动会,玩耍,比分,比赛规则,策略vi.赌博adj.勇敢的,有胆量的,关于野味的,跛的"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
kill,"v.杀死,毁掉,杀伤"
labor,"n.劳动,努力,工作,劳工,分娩,阵痛vi.劳动,努力争取(for),苦干vt.详细分析,麻烦"
labour,"n.劳动,劳力,劳工,努力,分娩,工作v.劳动,苦干,费力地前进,分娩,工作,悉心完成adj.支持工党的,与工党有关的"
mad,"adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒"
name,"n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的"
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包"
prose,n.散文
quality,"n.质量,品质,性质"
race,"n.种族,种族气质,种族特征,赛跑,急流,姜根vi.赛跑,疾走vt.与...赛跑,使空转"
safe,"n.保险箱,饭橱,菜橱,冷藏室adj.免受攻击的,安全的,可靠的,有把握的"
unable,"adj.不能的,不会的"
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
wall,"n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙"
zest,"n.风味,强烈的兴趣,热情,热心vt.给...调味"
ability,"n.能力,才干"
backload,
calm,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的v.(使)平静,(使)镇定,平息"
damn,v.谴责
earth,"n.地球,陆地,泥土,洞穴,地球上的人类,尘世,[电]接地vt.埋入土中,把...赶入洞内,把...接地vi.躲入洞内"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
fact,"n.事实,实际,实情,真相,(犯罪)行为,论据"
gaping,adj.多洞穴的
hair,"n.头发,毛发,毛状物,绒毛,些微"
jeans,"n.斜纹布裤,牛仔裤"
kin,"n.家属(集合称),亲戚,同族,血缘关系,家族adj.有亲属关系的,性质类似的,同类的"
magazine,"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒"
narrow,"n.狭窄部分,海峡,隘路adj.狭窄的,精密的,严密的,有限的,气量小的,勉强的,眼光短浅的vi.变窄vt.使变狭窄,使缩小"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
quantity,"n.量,数量"
saint,"n.圣人,道德崇高的人,圣徒adj.神圣v.成为圣徒"
store,"vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备"
tailor,
unacceptable,"adj.无法接受的,不受欢迎的"
war,"n.战争vi.作战,打仗"
abound,"vi.多,大量存在,富于,充满"
back-up,
calorie,n.卡路里
damp,"n.湿气adj.潮湿的vt.使潮湿,阻尼,使衰减,使沮丧,控制,抑止"
easy,"adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息"
factor,"n.因素,要素,因数,代理人"
haircut,"n.理发,剪发的方式"
join,"vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点 [计] 用子目录名取代驱动器符"
king,"n.国王,君主,(部落的)首领,纸牌中的Kvt.立...为王vi.做国王,统治"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
observe,"vt.观察,观测,遵守,评述,说"
packet,"n.小包裹,小捆;v.包装"
quarrel,"n.吵架,反目,怨言,争吵的原因vi.吵架,争论,挑剔"
raft,"n.筏,救生艇,橡皮船,大量vi.乘筏vt.筏运,制成筏"
salary,n.薪水vt.给...加薪
take,"v.拿,拿走,取,抓,占领,获得,接受,感受n.捕获量"
ward,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔vt.守护,保卫,防止,挡住,躲开,避免"
bizarre,"adj.奇异的(指态度,容貌,款式等)"
budding,"adj.萌芽的,发育的,少壮的n.发芽"
clue,n.线索
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
conspiracy,"n.共谋,阴谋"
co-worker,
dense,"adj.密集的,浓厚的"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
goal-focused,
heaven,"n.天,天空,天堂"
impinge,v.撞击
ink,
introductory,adj.介绍性的
landowner,"n.地主,土地所有者"
lone,"adj.孤独的,独立的"
methodology,"n.方法学,方法论"
oversimplify,v.(使)过分地单纯化
phrase,"n.短语,习语,惯用语,成语,措词vt.用短语表达"
prejudice,"n.偏见,成见,损害,侵害v.损害"
publishing,"adj.出版的,出版业的"
rising,"adj.上升的,上涨的,增加的,有前途的n.上升,起立,起义"
screener,
skyscraper,"n.摩天楼,高丛的烟囱"
supporter,"n.支持者,赡养者,拥护者"
thinness,"n.细,瘦,薄"
unnamed,
viscerally,
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
camp,"n.露营地,阵营vi.露营,扎营"
continue,"v.继续,连续,延伸"
dance,"n.跳舞,舞蹈,舞会,舞曲,舞蹈艺术v.跳舞,舞蹈,(旗等)飘扬"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
fad,"n.时尚,一时流行的狂热,一时的爱好"
theory,"n.理论,学说,...论,原理,意见,推测"
gate,n.大门
hale,"adj.强壮的,健壮的(尤指老人),矍铄的vt.<古>强拉,硬拖"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
kit,"n.成套工具,用具包,工具箱,成套用具"
lamb,"n.小羊,羔羊v.生小羊"
nation,"n.国家,民族"
page,"n.页,记录,事件,专栏vt.标明...的页数,翻...的书页vi.翻书页"
quarter,"n.四分之一,[常 pl.] 方向,地区,方面,季,季度,一刻钟 num.四分之一,刻"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
sale,"n.出售,卖出,贱卖,廉价出售,销路,销售额"
talent,"n.天才,才干,才能"
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
danger,"n.危险,危险物,威胁"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
gather,"n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断"
half,"n.一半,半时,(球赛)半场,半学年adj.一半的,不完全的,半途的adv.一半地,部分地,相当的"
ill,"adj.有病的,坏的,恶意的,生病"
joke,"n.笑话,玩笑v.(和...)开玩笑"
knight,"n.(欧洲中世纪的)骑士,爵士,武士vt.授以爵位"
relic,"n.遗物,遗迹,废墟,纪念物"
runner,"n.奔跑者,信使"
self-defence,
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
tier,"n.列,行,排,层,等级vt.使造成递升排列,使层叠vi.成递升徘列"
unrealistically,
volcano,n.火山
wholly,"adv.整个,统统,全部,专门地"
achieve,"vt.完成,达到"
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
create,"vt.创造,创作,引起,造成"
mutual,"adj.相互的,共有的"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
proficiency,"n.熟练,精通,熟练程度"
trigger,"vt.引发,引起,触发n.板机"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
transcendence,"n.卓越,出类拔萃"
disintegrate,"vt.(使)分解,(使)碎裂"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
major,"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
stakeholder,n.赌金保管者
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
downhill,"adj.下坡的,倾斜的adv.往下,每况愈下"
streetlight,n.街灯
wrongdoing,"n.坏事,不道德行为"
clawback,
worsen,"v.(使)变得更坏,恶化,损害"
plum,"n.[植] 李子,洋李"
pudding,"n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)"
dub,"vt.[电影]配音,轻点,授予称号,打击n.鼓声,笨蛋"
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负"
bury,"vt.埋葬,掩埋,隐藏"
aligned,
retake,"vt.再取,取回,重摄n.取回"
nationwide,adj.全国性的
pain,"n.痛苦,疼,痛,劳苦,努力vt.使痛苦"
protoscience,
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
saliva,"n.口水,唾液"
talk,"v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话"
value,"n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视"
warn,"vt.警告,注意,通知vi.发出警告,发出预告"
absence,"n.不在,缺席,缺乏,没有"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
canal,"n.运河,小道,导管,槽,沟渠vt.开运河"
bipedal,n.两足动物adj.两足动物的
dare,"n.挑战vi.敢,胆敢vt.敢冒,不惧"
edit,"vt.编辑,校订,剪辑n.编辑工作"
editor,"n.编辑,编辑器,编者"
fail,"vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者"
gay,"adj.欢迎的,<美俚>同性恋的,放荡的,快乐的n.<美俚> 同性恋者,尤指男性同性者"
hall,"n.会堂,礼堂,大厅,走廊,门厅"
knit,"v.编织,密接,结合"
lance,"n.标枪,长矛,矛状器具,捕鲸枪v.切开"
legal,"adj.法律的,法定的,合法"
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情"
native,"n.本地人,土产,土人adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的"
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述"
quest,n.寻求
railroad,n.铁路vt.<美> 由铁道运输
salt,"n.食盐,风趣,刺激adj.含盐的,咸的,风趣的,辛辣的vt.加盐于,用盐腌 SALT [缩写] 限制战略武器会谈"
wash,"n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
cancel,"vt.取消,删去"
database,"n.[计] 数据库,资料库"
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
vulnerable,"adj.易受攻击的,易受...的攻击"
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
journey,"n.旅行,旅程v.旅行"
knock,"v.敲,敲打,敲击,(使)碰撞n.敲,击,敲打"
land,"n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于"
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类"
pair,"n.一对,一双"
question,"n.问题,疑问,询问v.询问,审问,怀疑"
rain,"n.雨,下雨,雨天vi.下雨vt.使大量落下,大量地给"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
steer,"v.驾驶,掌舵"
taste,"v.品尝,辨味,(of)有 ...味道,领略vt.体验,感到n.味道,味觉"
uncertain,"adj.无常的,不确定的,不可预测的,靠不住的"
waste,"n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗"
banquet,n.宴会
cancer,"n.癌,毒瘤"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
date,"n.日期,日子,(历史上某一)年代,时期,约会,枣椰子vt.约会,定日期vi.注明...的日期,过时 [计] 显示或设置系统日期"
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴"
gender,"n.[语法] 性,<口>性别,性,性交"
hamper,"v.妨碍,牵制"
joy,"n.欢乐,喜悦,快乐,乐事,乐趣v.高兴 Joy 乔伊(女子名)"
know,"v.知道,了解,认识,熟悉,认出,分辨,确信"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
male,"adj.男的,雄的,男性"
near,"adj.亲近的,亲密的,近,(车,马等)左侧的,吝啬的adv.(时间,空间方面)近,不远 prep.在...近旁,近...v.接近,走近"
occupy,"vt.占,占用,占领,占据"
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
quick,"adj.快的,迅速的,敏捷的,急剧的,活泼的adv.快n.活人,生物,要点,本质,核心,感觉敏锐的部位"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
sand,"n.沙,沙子,[pl.] 沙滩,沙地v.撒沙子"
street,"n.街,街道"
tax,"n.税,税款,税金vt.对...征税,使负重担,指控,责备"
vase,"n.花瓶,瓶"
watch,"n.注视,注意,手表,看守,守护,监视,值班人vt.看,注视,照顾,监视,警戒,守护,看守vi.观看,注视,守侯adj.手表的,挂表的"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
automobile,"n.<主美>汽车(=<英>motor car,car)"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
conspire,"v.共谋,阴谋,(指事件)凑合起来"
cozy,"adj.舒适的,安逸的,惬意的"
deserving,"adj.应得的,该受奖赏的"
education,"n.教育,训导,训练,培养,教育学"
enviable,"adj.令人羡慕的,可羡慕的"
flywheel,n.调速轮
heel,"n.脚后跟,踵,跟部"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
landscape,"n.风景,山水画,地形,前景v.美化"
lottery,n.抽彩给奖法
Midwestern,
necessity,"n.必要性,需要,(常 pl.) 必需品"
Olympiad,
overwhelming,"adj.压倒性的,无法抵抗的"
physics,n.物理学
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
puffed-out,
regrettably,"adv.抱歉地,遗憾地,可悲地"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
ritualistic,adj.仪式的
searing,
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
statistician,"n.统计员,统计学家"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
thorny,"adj.多刺的,痛苦的"
challenge,n.挑战vt.向...挑战
translate,"vt.翻译,解释,转化,转变为,调动vi.翻译,能被译出"
unnatural,adj.不自然的
visibility,"n.可见度,可见性,显著,明显度,能见度"
well-being,
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
candidate,"n.候选人,投考者"
dawn,"n.黎明,拂晓,破晓vi.破晓,开始现生,变得(为人所)明白v.破晓 Dawn 道恩(女子名)"
effort,"n.努力,成就"
faith,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定"
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给"
knowledge,"n.知识,学问,认识,知道,<古>学科"
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家"
man,"n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网"
necessary,"n.必需品adj.必要的,必需的,必然的"
pan,"n.平底锅,盘子,面板 Pan <希神>潘(半人半羊的山林和畜牧之神)"
quirk,"n.急转,遁词,怪癖"
sandal,"n.凉鞋,檀香,便鞋v.穿上便鞋"
strong,"adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的"
teach,"v.讲授,教授"
unchangeable,"adj.不变的,不能改变的"
water,"n.水,雨水,海水,水位,水面,流体vt.喷淋,供以水,注入水,使湿vi.流泪,加水adj.水的,水上的,水生的,含水的"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
cane,"n.细长的茎,藤条vt.以杖击,以藤编制"
day,"n.天,白天,日子,白昼,黎明,工作日,节日,重要日子"
egregious,"adj.异乎寻常的,过分的,惊人的"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
genealogy,"n.系谱,家系,宗谱"
judiciary,"adj.司法的,法院的n.司法部,司法官,审判员"
large,"adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
ocean,"n.大海,海洋,许多,广阔"
quote,"vt.引用,引证,提供,提出,报(价)"
satellite,n.人造卫星
stern,"adj.严厉的,苛刻的n.船尾"
team,"n.队,组"
unchanged,"adj.无变化的,未改变的"
verbal,adj.口头的
wave,"n.波,波浪,(挥手)示意,致意vi.(挥手)示意,致意,波动,飘动,摇动"
cook,"n.厨师v.烹调,煮,伪造"
daze,"vt.使茫然,发昏,使晕眩n.迷惑,眼花缭乱"
eightfold,"adj.八倍的,八层的adv.八倍地,八层地"
fall,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的"
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地"
imagine,"vt.想象,设想"
jump,"n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨"
last,"adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头"
biomedical,
mandarin,"n.官话,普通话,满清官吏,中国柑桔adj.官僚的,保守知识界的,(语言或文体)繁复而华美的,(中国式)紧身马褂的"
public,"n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
satire,"n.讽刺文学,讽刺"
metrics,"n.韵律学,作诗法"
bulb,"n.鳞茎,球形物"
foreshadow,v.预示
reflex,"adj.反射的,反省的,反作用的,优角的n.反射,反映,映象"
input,n.输入v.输入
spring,"n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发"
surveillance,"n.监视,监督"
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
shortfall,"n.不足,不足量"
soak,"v.浸,泡,浸透n.浸透"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
stressed-out,
technical,"adj.技术的,技术上的,技巧方面的"
unclear,adj.不清楚的
way,"n.路,路线,路途,习惯,行业,规模,道路,情形adj.中途,途中的adv.远远地,大大地,非常"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
cool,"n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
generate,"vt.产生,发生"
harm,"vt.伤害,损害n.伤害,损害"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
indictment,n.控告
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过"
late,"adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期"
neighbor,"n.<美> 邻居,邻国"
neighbour,n.邻居(美作:neighbor)
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
pull,"v.拉,拖,拔n.拉,拖,拉力,牵引力"
rapid,"adj.迅速的,飞快的,险峻的n.急流,高速交通工具,高速交通网"
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的"
technique,"n.技术,技巧,方法,表演法,手法"
technic,"n.技术,手法"
weak,"adj.不牢固的,弱的,虚弱的,软弱的,淡的,疲软的,无力的,不耐用的"
absurd,"adj.荒谬的,可笑的"
alongside,adv.在旁 prep.横靠
await,vt.等候
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
buzzword,
cream,"n.乳酪,奶油,(护肤)面霜"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
electronic,adj.电子的
environmentalist,
extremely,"adv.极端地,非常地"
foe,"n.反对者,敌人,危害物"
government,"n.政府,<英>内阁,政治,政体"
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰"
improvement,"n.改进,进步"
inquire,"v.询问,问明,查究"
intrusiveness,
lawmaker,n.立法者
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
Netherlands,
onerous,"adj.繁重的,费力的,负有法律责任的"
overwhelmingly,"adv.压倒性地,不可抵抗地"
physique,"n.(男子的)体格,体形"
preside,v.主持
punishment,"n.惩罚,处罚,惩处"
permanent,"adj.永久的,持久的"
reinterpretation,
ruby,n.红宝石
second,"n.秒,片刻,第二者,第二人,助手,次货,二等品adj.另一个,又一个 num.第二vt.赞成,支持"
slot,"n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹vt.开槽于,跟踪"
steadily,"adv.稳定地,有规则地"
survival,"n.生存,幸存,残存,幸存者,残存物"
thousand," num.一千,一千个n.[pl.] 许多,无数"
unplug,"v.拔去(塞子,插头等),去掉...的障碍物"
vocabulary,"n.词汇,词汇量,词表"
whereas," conj.然而,反之,鉴于,尽管,但是"
access,"n.通路,访问,入门vt.存取,接近"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
cope,"vi.(善于)应付,(善于)处理"
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
elder,"n.年长者,老人,父辈adj.年长的,资格老的,"
generous,"adj.慷慨的,大方的,有雅量的"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
mankind,"n.人类,男性,男子"
neither,"adj.pron.两者都不 conj.既不...又不,也不"
office,"n.办公室,办事处,事务所,<英>政府机关,部,公职,职责,帮助"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
string,"n.线,细绳,一串,一行v.排成一列"
strip,"vt.剥,剥去n.条,带"
unconventional," /n.非常规,异常ly//adv.不依惯例l/adj.非传统的"
very,"adv.很,甚,及其,非常,完全adj.真正的,真实的,恰好的,绝对的,十足的,特别的"
worth," prep.相当...价值n.价值,财产adj.值钱的,值的看中的"
baseline,n.[计]基线
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭"
core,"n.果核,中心,核心"
die,"vi.死亡,消逝,平息,渴望,漠然,熄灭vt.死n.骰子,钢型,硬模,冲模"
genre,"n.类型,流派"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
justify,v.证明...是正当的
laureate,adj.佩戴桂冠的n.戴桂冠的人
manner,"n.礼貌,风格,方式,样式,习惯"
old-fashioned,
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
purchase,"vt.买,购买n.买,购买"
rat,
save,"vt.解救,保存,保全,保留,节省,储蓄vi.挽救,节省,救球 prep.除...之外n.救球 /v.[计]保存/更新"
strive,"v.努力,奋斗,力争,斗争"
teenager,n.十几岁的青少年
uncool,
perception,"n.理解 感知,感觉 DPS公司出的数字影像压缩卡"
wear,"vt.穿,戴v.(～ out) 磨损,用旧,(～ out) 穿着"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
card,"n.纸牌,卡片"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒"
debate,"v.争论,辩论n.争论,辩论"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
fantasy,"n.幻想,白日梦"
geography,"n.地理学,地理"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
lay,"vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的 vbl.lie的过去式"
manufacture,"vt.制造,加工n.制造,制造业,产品"
