novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
omit,"vt.省略,疏忽,遗漏"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
mood,"n.心情,情绪,语气,状态"
emotion,"n.情绪,情感,感情"
awkward,"adj.难使用的,笨拙的"
gradual,"adj.逐渐的,逐步的,渐进的"
amaze,vt.使吃惊
startle,v.震惊
amuse,"vt.使发笑,使愉快"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
trait,"n.显著的特点,特性"
stimulate,"vt.刺激,激励v.刺激,激励"
appearance,"n.出现,露面,外貌,外观"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
tense,"adj.紧张的,拉紧的v.(使)紧张,(使)拉紧n.[语法]时态"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
access,"n.通路,访问,入门vt.存取,接近"
assess,"vt.估定,评定"
assignment,"n.分配,委派,任务,(课外)作业"
exception,"n.除外,例外,反对,异议"
motivate,v.激发
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
necessarily,adv.必要地
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
regulate,"vt.管制,控制,调节,校准"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
reconcile,"vt.使和解,使和谐,使顺从"
response,"n.回答,响应,反应"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
settlement,"n.沉降,解决,结算,殖民,殖民地"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
reap,"v.收割,收获"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
decrease,"n.减少,减少之量v.减少"
deduct,"vt.扣除,演绎"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
expense,"n.费用,代价,损失,开支,费钱之物"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
advisable,"adj.可取的,明智的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
regardless,"adj.不管,不顾,不注意"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
possibility,"n.可能性,可能发生的事物"
reveal,"vt.展现,显示,揭示,暴露"
revise,"vt.修订,校订,修正,修改"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
accuse,"vt.控告,谴责,非难"
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
interval,"n.间隔,距离,幕间休息n.时间间隔"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
undermine,v.破坏
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
passion,"n.激情,热情,耶稣的受难和死亡"
pollute,"vt.弄脏,污染"
stain,"n.污点,瑕疵v.染污,沾污"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
resist,"vt.抵抗,反抗,抗,忍得住"
sustain,"vt.支撑,撑住,维持,持续"
tolerate,"vt.忍受,容忍"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
boundary,"n.边界,分界线"
association,"n.协会,联合,结交,联想"
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
intention,"n.意图,目的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西adj.五彩缤纷的"
ribbon,"n.缎带,丝带,带,带状物,带子"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
occupy,"vt.占,占用,占领,占据"
classify,"vt.分类,分等"
glimpse,"n.一瞥,一看v.瞥见"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
absorb,"vt.吸收,吸引"
concentrate,"v.集中,浓缩"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
switch,"n.开关,电闸,转换vt.转换,转变"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
fruitful,"adj.果实结得多的,多产的,富有成效的"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
expansive,"adj.易膨胀的,易扩张的,广阔的,豪爽的,豪华的"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
define,"vt.定义,详细说明"
definite,"adj.明确的,一定的"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
assert,"v.断言,声称"
proclaim,"vt.宣布,声明,显示,显露"
amount,"n.数量vi.(to) 总计,等于"
tend,"vi.趋向,往往是vt.照管,护理"
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
largely,"adv.主要地,大量地,很大程度上"
guilty,"adj.犯罪的,有罪的,心虚的"
oblige,"vt.迫使,责成"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
expose,"vt.使暴露,受到,使曝光v.揭露"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
acquire,"vt.获得,学到"
inquire,"v.询问,问明,查究"
furnish,"vt.供应,提供,装备,布置v.供给"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
dense,"adj.密集的,浓厚的"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
bold,adj.大胆的n.粗体
efficient,"adj.(直接)生效的,有效率的,能干的"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
purchase,"vt.买,购买n.买,购买"
particularly,"adv.独特地,显著地"
retain,"vt.保持,保留"
endure,"v.耐久,忍耐"
maintain,"vt.维持,维修,继续,供养,主张"
survive,"v.幸免于,幸存,生还"
minimum,"adj.最小的,最低的n.最小值,最小化"
modest,"adj.谦虚的,谦让的,适度的"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
assume,"vt.假定,设想,采取,呈现"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
sufficient,"adj.充分的,足够的"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
reaction,"n.反应,反作用,反动(力)"
comment,"n.注释,评论,意见vi.注释,评论"
artificial,"adj.人造的,假的,非原产地的"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
contribute,"v.捐助,捐献,贡献,投稿"
sole,"adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底"
attain,"vt.达到,获得v.达到"
observe,"vt.观察,观测,遵守,评述,说"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
growth,"n.生长,种植,栽培,发育,等比级数"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
deny,"v.否认,拒绝"
miserable,"adj.痛苦的,悲惨的,可怜"
opportunity,"n.机会,时机"
reality,"n.真实,事实,本体,逼真"
consequently,"adv.从而,因此"
relieve,"vt.减轻,解除,援救,救济,换班"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
toss,"v.投,掷"
insert,"vt.插入,嵌入n.插入物"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
adjust,"vt.调整,调节,校准,使适合"
harm,"vt.伤害,损害n.伤害,损害"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
replace,"vt.取代,替换,代替,把...放回原处"
accomplish,"vt.完成,达到,实现"
surround,"vt.包围,环境v.围绕"
circumstance,"n.环境,详情,境况"
generate,"vt.产生,发生"
create,"vt.创造,创作,引起,造成"
creative,adj.创造性的
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
thorough,"adj.十分的,彻底的"
procedure,"n.程序,手续"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
participate,"vi.参与,参加,分享,分担"
cliff,"n.悬崖,绝壁"
respectively,"adv.分别地,各个地"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
usage,"n.使用,用法"
utility,"n.效用,有用"
stable,adj.稳定的
abolish,"vt.废止,废除(法律、制度、习俗等)"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
candidate,"n.候选人,投考者"
capable,"adj.有能力的,能干的,有可能的,可以...的"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
identical,"adj.同一的,同样的"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
raw,"n.生肉,擦伤处,身上的痛处adj.未加工的,生疏的,处于自然状态的,,不掺水的,擦掉皮的,阴冷的,刺痛的vt.擦伤"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
salary,n.薪水vt.给...加薪
wage,n.[常pl.] 工资v.发动
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
assembly,"n.集合,装配,集会,集结,汇编"
clue,n.线索
code,"n.代码,代号,密码,编码v.编码"
collective,adj.集体的n.集体
construct,"vt.建造,构造,创立"
crew,"n.全体人员,(工作)队 vbl.crow的过去式"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
evolve,"v.(使)发展,(使)进展,(使)进化"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
precaution,"n.预防,警惕,防范"
prior,"adj.优先的,在前的n.预先adv.在"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
revolt,"v.反抗,起义,反叛,反感,厌恶"
scatter,"v.分散,散开,撒开,驱散"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
stir,"n.轰动,搅动,监牢vt.动,移动,摇动,激起,搅和,惹起vi.走动,传播,流行"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
substance,"n.物质,实质,主旨,物质,物"
up-to-date,
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
vessel,"n.船,容器,器皿,脉管,导管"
agenda,n.pl.议程
alongside,adv.在旁 prep.横靠
banner,"n.旗帜,横幅,标语"
chap,
charity,"n.慈善,施舍,慈善团体,"
charter,"vt.租,包(船、车等)n.宪章"
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
declaration,"n.宣布,宣言,声明"
echo,"n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射 [计] 禁止(或允许)在屏幕上显示批处理命令行"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
elderly,"adj.过了中年的,稍老的"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
feedback,"n.[无]回授,反馈,反应"
fertile,"adj.肥沃的,富饶的,能繁殖的"
finding,"n.发现,发现物,决定,[律]裁决"
immense,"adj.极广大的,无边的,<口>非常好的"
painful,"adj.疼痛的,使痛苦的"
perceive,"vt.察觉v.感知,感到,认识到"
perception,"n.理解 感知,感觉 DPS公司出的数字影像压缩卡"
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
senator,"n.参议员,(大学的)评议员,(古罗马的)元老院议员"
sexual,"adj.性的,性别的,[生]有性的"
shortly,"adv.立刻,不久,简略地,简言之,即刻"
sigh,"n.叹息,叹息声vi.叹息,叹气"
ski,n.滑雪橇vi.滑雪
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
quiver,"n.震动,颤抖,箭袋,箭袋中的箭vi.颤抖,振动,射中vt.使颤动adj.敏捷的"
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导"
union,"n.联合,合并,结合,联盟,协会"
unload,"vi.卸货,退子弹vt.摆脱...之负担,倾销,卸"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
expel,"v.驱逐,开除,排出,发射"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
democracy,"n.民主政治,民主主义"
accent,"n.重音,口音,重音符"
acceptable,"adj.可接受的,合意的"
definitely,"adv.明确地,干脆地"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
amusement,"n.娱乐,消遣,娱乐活动"
aspect,"n.样子,外表,面貌,(问题等的)方面"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
dot,"n.点,圆点,园点vt.在...上打点"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
applaud,"v.拍手喝彩,称赞,赞同"
bonus,"n.奖金,红利"
dental,adj.牙齿的
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
anyway,"adv.无论如何,总之"
colleague,"n.同事,同僚"
album,"n.集邮本,照相簿,签名纪念册"
combination,"n.结合,联合,合并,化合,化合物"
philosophy,"n.哲学,哲学体系,达观,冷静"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
compatible,"adj.谐调的,一致的,兼容的"
committee,n.委员会
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
consensus,"n.一致同意,多数人的意见,舆论"
presence,"n.出席,到场,存在"
contaminate,v.污染
airline,n.定期航线
ambitious,"adj.有雄心的,野心勃勃的"
