alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
guru,"n.[印度教](个人的)宗教老师(或指导),(受下属崇敬的)领袖,头头"
imam,"n.[伊斯兰]阿訇,教长"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
intern,"n.实习医师,被拘留者vi.作实习医师vt.拘留"
liquidate,v.清算
mediate,"v.仲裁,调停,作为引起...的媒介,居中调停"
millennium,"n.太平盛世,一千年"
nonetheless,"adv.虽然如此,但是"
notable,"adj.值得注意的,显著的,著名的"
pastor,n.牧师
portal,n.入口
puppy,"n.(常指未满一岁的)小狗,小动物,自负的青年"
rabbi,"n.拉比(犹太人的学者),法学博士,法师,先生"
retailer,"n.零售商人,传播的人"
saturation,"n.饱和(状态),浸润,浸透 饱和度"
settler,"n.移民者,殖民者,[律]财产赠予者,托管财产者"
sophisticated,"adj.诡辩的,久经世故的"
swap,v.交换n.交换
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
weblog,
whiz,n.嗽嗽声v.发出呼啸声
a batch of ...,
have access to ...,
pal around,
crop up,
from the cradle to the grave,
get ... up,
get up ...,
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
apparent,"adj.显然的,外观上的"
authoritative,"adj.权威的,有权威的,命令的"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
casualty,n.伤亡
Catholic,
cease,"v.停止,终了"
census,n.人口普查
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
controversial,"adj.争论的,争议的"
counterpart,"n.副本,极相似的人或物,配对物"
county,"n.县,郡"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
demographically,
despite," prep.不管,尽管,不论"
disproportionately,
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
entrepreneurial,
immensely,"adv.无限地,广大地,庞大地,非常"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
immigration,"n.外来的移民,移居入境"
innovative,"adj.创新的,革新(主义)的"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
lifetime,"n.一生,终生,寿命"
manufacturing,n.制造业adj.制造业的
migration,"n.移民,移植,移往,移动"
net,"n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网 [域] Nerwork operations and service centers,网络服务商"
offspring,"n.(单复数同形)儿女,子孙,后代,产物"
profitably,"adv.有利地,有益地"
resident,"n.居民adj.居住的,常驻的"
roll,"adj.滚动,滚转,(使)摇摆,(使)摇晃,卷起,卷拢vt.辗,轧n.(一)卷,卷形物,摇晃,摆动,名单"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
shrink,"v.收缩,(使)皱缩,缩短"
silicon,"n.[化]硅,硅元素"
spectrum,"n.光,光谱,型谱 频谱"
successive,"adj.继承的,连续的"
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
terrorist,n.恐怖分子
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
undermine,v.破坏
assimilate into,
assimilate to,
draw ... from ...,
in the name of,
not to mention,
out of proportion,
out of all proportion to sth.,
agency,"n.代理处,行销处,代理,中介"
alter,v.改变
anime,n.芳香树脂
clout,"n.敲打,轻叩,破布vt.叩,敲一下"
commerce,n.商业
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
currency,n.流通
deepen,"v.加深,深化"
democracy,"n.民主政治,民主主义"
dim sum,
diner,n.用餐者
dominate,"v.支配,占优势"
emerging,
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
flagship,n.旗舰
flick,"n.(用鞭)快速的轻打,轻打声,弹开v.轻弹,轻轻拂去,忽然摇动,(翅)拍动,(旗)飘扬"
forge,"v.稳步前进,铸造,伪造"
forum,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
geopolitics,n.地缘政治学
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
globalization,"n.全球化,全球性"
globalize,v.使全球化
humanity,"n.人性,人类,博爱,仁慈"
inclusive,
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
knit,"v.编织,密接,结合"
lavish,"adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予"
Marxism,
meager,n.兆
multilateral,"adj.多边的,多国的"
naysayer,
negotiation,"n.商议,谈判,流通"
networking,
offload,"v.卸下,卸货"
one-way,
outpace,"vt.超过...速度,赶过"
portfolio,n.部长职务
processor,n.处理机 处理器
proliferate,v.增生扩散
renewed,"adj.更新的,重建的,复兴的,重申的"
reshore,
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
storied,"adj.以历史画装饰的,历史上有名的,分层的"
strive,"v.努力,奋斗,力争,斗争"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
telecom, telecommunication 电信
trend,"n.倾向,趋势vi.伸向,倾向,通向"
run out of steam,
be sought after,
be set to do sth.,
account for,
muscle in,
muscle in on ...,
