stair,"n.(阶梯的某)一级,楼梯"
as well,
jail,n.监狱vt.监禁
behind bars,
guilty,"adj.犯罪的,有罪的,心虚的"
discover,"vt.发现,发觉v.发现"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
pause,"n.中止,暂停,休止符vi.暂停,中止,停顿,踌躇n.暂停"
mystery,"n.神秘,神秘的事物"
murder,"n.谋杀,凶杀vt.谋杀,凶杀v.谋杀"
affect,"vt.影响,感动,侵袭,假装"
comic strip,
robbery,"n.抢掠,抢夺"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
variety,"n.变化,多样性,种种,品种,种类"
mainly,"adv.大体上,主要地"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
speech,"n.演说,讲话 语音"
thought,"n.思考,想法,思想,思潮,关心,关怀,挂念 vbl.think的过去式和过去分词"
text,"n.正文,原文,课文,课本"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
excitement,"n.刺激,兴奋,激动,搔动"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
scenery,"n.风景,景色"
come to life,
serious,"adj.严肃的,认真的,严重的"
row,"n.排,行v.划(船)"
point,"n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明"
emotion,"n.情绪,情感,感情"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
recently,adv.最近
confident,"adj.自信的,确信的"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
burst out,
burst out doing,
pale,"n.栅栏,界线,范围,(围篱用的)尖板条adj.苍白的,暗淡的,无力的vi.变苍白,失色vt.使变苍白,使失色,用栅栏围"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
