accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
intend,"vt.想要,打算,意指,意谓"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
security,n.安全
individual,"n.个人,个体adj.个别的,单独的,个人的"
likely,"adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
tend,"vi.趋向,往往是vt.照管,护理"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
financial,"adj.财政的,金融的"
legal,"adj.法律的,法定的,合法"
major,"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
risk,"vt.冒...的危险n.冒险,风险"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
economic,"adj.经济(上)的,产供销的,经济学的"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
involve,"vt.包括,笼罩,潜心于,使陷于"
moral,"adj.道德(上)的,精神的n.道德"
agent,n.代理(商)
inclusive,
intelligence,"n.智力,聪明,智能"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
