accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
reveal,"vt.展现,显示,揭示,暴露"
substance,"n.物质,实质,主旨,物质,物"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
concept,"n.观念,概念"
hover,v.盘旋
infer,v.推断
investment,"n.投资,可获利的东西"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
ambition,"n.野心,雄心"
competition,"n.竞争,竞赛"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
avoid,"vt.避免,消除"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
policy,"n.政策,方针"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
status,"n.身份,地位,情形,状况"
sustain,"vt.支撑,撑住,维持,持续"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
analysis,"n.分析,分解"
challenge,n.挑战vt.向...挑战
conduct,"n.行为,操行v.引导,管理,为人,传导"
debate,"v.争论,辩论n.争论,辩论"
humanity,"n.人性,人类,博爱,仁慈"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
commercial,"adj.商业的,贸易的"
complex,"adj.复杂的,合成的,综合的n.联合体"
contribute,"v.捐助,捐献,贡献,投稿"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
global,"adj.球形的,全球的,全世界的"
obvious,"adj.明显的,显而易见的"
purchase,"vt.买,购买n.买,购买"
access,"n.通路,访问,入门vt.存取,接近"
behave,"vi.举动,举止,运转v.行为表现"
cater,"vi.备办食物,满足(需要),投合"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
define,"vt.定义,详细说明"
despite," prep.不管,尽管,不论"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
justify,v.证明...是正当的
layman,n.外行
majority,"n.多数,大半n.[律] 成年"
predict,"v.预知,预言,预报"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
reflect,"v.反射,反映,表现,反省,细想"
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
resource,"n.[pl.] 资源,财力,办法,智谋"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
according to,
affect,"vt.影响,感动,侵袭,假装"
alter,v.改变
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
compare,"v.比较,相比,比喻 n.比较"
creative,adj.创造性的
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
democracy,"n.民主政治,民主主义"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
powerful,"adj.强大的,有力的"
publish,"v.出版,刊印vt.公布,发表"
religion,"n.宗教,信仰"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
agency,"n.代理处,行销处,代理,中介"
association,"n.协会,联合,结交,联想"
conservative,"adj.保守的,守旧的n.保守派"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
insist,"v.坚持,强调"
maintain,"vt.维持,维修,继续,供养,主张"
moreover,"adv.而且,此外"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
rake,"n.耙子,斜度,向船尾的倾斜,放荡者v.搜索,掠过,用耙子耙,(使)倾斜"
response,"n.回答,响应,反应"
responsibility,"n.责任,职责"
reward,"n.报酬,奖金vt.酬劳,奖赏"
site,"n.地点,场所,遗址vt.定...的地点n.站点"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
comment,"n.注释,评论,意见vi.注释,评论"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
consumption,"n.消费,消费量,肺病"
criticism,"n.批评,批判"
emphasis,"n.强调,重点"
factor,"n.因素,要素,因数,代理人"
grant,"vt.同意,准予,承认(某事为真)～"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
infrastructure,"n.下部构造,基础下部组织"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
opportunity,"n.机会,时机"
overall,"adj.全部的,全面的"
recur,"vi.复发,重现,再来"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
supreme,"adj.极度的,极大的,至高的,最高的"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
unique,"adj.唯一的,独特的"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
assess,"vt.估定,评定"
assume,"vt.假定,设想,采取,呈现"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
conscious,
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
contrive,"v.发明,设计,图谋"
crucial,adj.至关紧要的
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
eventually,"adv.最后,终于"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
insurance,"n.保险,保险单,保险业,保险费"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
optimistic,adj.乐观的
originate,"vt.引起,发明,发起,创办vi.起源,发生"
psychology,"n.心理学,心理状态"
pursuit,n.追击
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
radical,"adj.根本的,基本的,激进的n.激进分子"
refund,"v.退还,偿还n.归还,偿还额,退款"
refute,"vt.驳倒,反驳"
regulation,"n.规则,规章,调节,校准"
rely,"v.依赖,依靠,信赖,信任,依赖于"
respond,"v.回答,响应,作出反应vi.有反应"
royal,"adj.王室的,皇家的,第一流的,高贵的"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
sensitive,"adj.敏感的,灵敏的,感光的"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
admit,"v.容许,承认,接纳"
aggravate,"vt.使恶化,加重"
appropriate,adj.适当的
aspect,"n.样子,外表,面貌,(问题等的)方面"
astronomy,n.天文学
attempt,"n.努力,尝试,企图vt.尝试,企图"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
category,"n.种类,别,[逻]范畴"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
deserve,"vt.应受,值得v.应受"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
embryo,"n.胚胎,胎儿,胚芽adj.胚胎的,初期的"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
emotion,"n.情绪,情感,感情"
existence,"n.存在,实在,生活,存在物,实在物"
explore,"v.探险,探测,探究"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
hug,
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
institution,"n.公共机构,协会,制度"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
interior,"adj.内部的,内的n.内部"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
possibility,"n.可能性,可能发生的事物"
preclude,n.排除
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
procedure,"n.程序,手续"
publication,"n.出版物,出版,发行,公布,发表"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
replace,"vt.取代,替换,代替,把...放回原处"
reputation,"n.名誉,名声"
series,"n.连续,系列,丛书,级数"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
survive,"v.幸免于,幸存,生还"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
variety,"n.变化,多样性,种种,品种,种类"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
acknowledge,"vt.承认,答谢,报偿"
acquire,"vt.获得,学到"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
ancient,"adj.远古的,旧的"
artificial,"adj.人造的,假的,非原产地的"
asset,"n.资产,有用的东西"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
attractive,"adj.吸引人的,有魅力的"
behalf,"n.为,利益"
capable,"adj.有能力的,能干的,有可能的,可以...的"
characterize,"vt.表现...的特色,刻画的...性格"
characterise,vt.<英>=characterize
conclusion,"n.结束,缔结,结论"
conservation,"n.保存,保持,守恒"
constitute,"vt.制定(法律),建立(政府),组成,任命"
contact,"n.接触,联系vt.接触,联系"
convey,"vt.搬运,传达,转让"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
decade,"n.十年,十"
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
deny,"v.否认,拒绝"
distinction,"n.区别,差别,级别,特性,声望,显赫"
dynamic,"adj.动力的,动力学的,动态的"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
efficiency,"n.效率,功效"
element,"n.要素,元素,成分,元件,自然环境"
evolve,"v.(使)发展,(使)进展,(使)进化"
excessive,"adj.过多的,过分的,额外"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
expose,"vt.使暴露,受到,使曝光v.揭露"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
generate,"vt.产生,发生"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
inevitable,"adj.不可避免的,必然的"
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
internal,"adj.内在的,国内的"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
motion,"n.运动,动作v.运动"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
observe,"vt.观察,观测,遵守,评述,说"
occur,"vi.发生,出现"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
phenomenon,n.现象
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
proceed,"vi.进行,继续下去,发生"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
quote,"vt.引用,引证,提供,提出,报(价)"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
rarely,"adv.很少地,罕有地"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
relate,"vt.叙述,讲,使联系,发生关系"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
revenue,"n.收入,国家的收入,税收"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
segment,"n.段,节,片断v.分割"
select,"vt.选择,挑选adj.精选的"
selection,"n.选择,挑选,选集,精选品"
skeptical,"adj.怀疑性的,好怀疑的,<口>无神论的"
social,"adj.社会的,爱交际的,社交的,群居的"
statistics,"n.统计学,统计表"
undergo,"vt.经历,遭受,忍受"
union,"n.联合,合并,结合,联盟,协会"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
approval,"n.赞成,承认,正式批准"
assert,"v.断言,声称"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
candidate,"n.候选人,投考者"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
comparison,"n.比较,对照,比喻,比较关系"
complain,"v.抱怨,悲叹,控诉"
confidence,n.信心
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
contribution,"n.捐献,贡献,投稿"
counterpart,"n.副本,极相似的人或物,配对物"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
demonstrate,"vt.示范,证明,论证vi.示威"
detail,"n.细节,详情vt.详述,细说"
discipline,"n.纪律,学科v.训练"
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
diverse,"adj.不同的,变化多的"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
eliminate,"vt.排除,消除v.除去"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
elsewhere,adv.在别处
endure,"v.耐久,忍耐"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
grind,"v.磨(碎),碾(碎),折磨"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
illegal,"adj.违法的,不合规定的"
immune,adj.免疫的
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
innovation,"n.改革,创新"
inquiry,"n.质询,调查"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
legislation,"n.立法,法律的制定(或通过)"
legitimate,"adj.合法的,合理的,正统的v.合法"
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
necessity,"n.必要性,需要,(常 pl.) 必需品"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
outcome,"n.结果,成果"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
perceive,"vt.察觉v.感知,感到,认识到"
principle,"n.法则,原则,原理"
pursue,"vt.追赶,追踪,追击,继续,从事"
relieve,"vt.减轻,解除,援救,救济,换班"
retain,"vt.保持,保留"
revise,"vt.修订,校订,修正,修改"
routine,"n.例行公事,常规,日常事务,程序"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
significant,"adj.有意义的,重大的,重要的"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
skilled,adj.熟练的
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
sympathy,"n.同情,同情心"
temporary,"adj.暂时的,临时的,临时性"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
typical,"adj.典型的,象征性的"
unemployment,"n.失业,失业人数"
version,"n.译文,译本,翻译"
absolute,"adj.完全的,绝对的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
addition,"n.加,加起来,增加物,增加,加法"
adjust,"vt.调整,调节,校准,使适合"
administration," /[)n/n.管理,经营,衅]网络管理"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
amateur,"n.业余爱好者,业余艺术家"
apparent,"adj.显然的,外观上的"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
barely,"adv.仅仅,刚刚,几乎不能"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
bind,"v.绑,镶边,装订,凝固,约束"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
boost,v.推进
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
casual,"adj.偶然的,不经意的,临时的"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
cite,"vt.引用,引证,提名表扬"
climate,"n.气候,风土,思潮"
code,"n.代码,代号,密码,编码v.编码"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
commodity,n.日用品
compete,"vi.比赛,竞争"
component,"n.成分adj.组成的,构成的"
conflict,"n.斗争,冲突vi.抵触,冲突"
confront,"vt.使面临,对抗"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
consequently,"adv.从而,因此"
consist,"vi.由...组成,在于,一致"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
controversy,"n.论争,辩论,论战"
convention,"n.大会,协定,习俗,惯例"
convince,"vt.使确信,使信服"
cooperate,"vi.合作,协作"
deprive,"vt.剥夺,使丧失"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
differ,"vi.不一致,不同"
diminish,"v.(使)减少,(使)变小"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
distinguish,"v.区别,辨别"
dominate,"v.支配,占优势"
efficient,"adj.(直接)生效的,有效率的,能干的"
enable,"vt.使能够,授予权利或方法"
estimate,"v.估计,估价,评估n.估计,估价,评估"
ethic,"n.道德规范,伦理"
exception,"n.除外,例外,反对,异议"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
explosion,"n.爆发,发出,爆炸,[矿]煤气爆炸"
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
garment,"n.衣服,外衣,外表"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
helmet,"n.头盔,钢盔"
hence,"adv.因此,从此"
hospitality,"n.好客,宜人,盛情"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
imply,"vt.暗示,意味"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
ingredient,"n.成分,因素"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
invest,"v.投(资),购买(有用之物)～,授予,投资"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
massive,"adj.厚重的,大块的,魁伟的,结实的"
military,"adj.军事的,军用的"
modify,"vt.更改,修改v.修改"
option,"n.选项,选择权,[经]买卖的特权"
outlook,"n.景色,风光,观点,见解,展望,前景"
permanent,"adj.永久的,持久的"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
prejudice,"n.偏见,成见,损害,侵害v.损害"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
privacy,"n.独处而不受干扰,秘密"
profitable,adj.有利可图的
prolong,"vt.延长,拖延"
purify,vt.使纯净v.净化
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
representative,"n.代表adj.典型的,有代表性的"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
scope,"n.(活动)范围,机会,余地"
speculate,"vi.推测,思索,做投机买卖"
strengthen,"v.加强,巩固"
substantial,"adj.坚固的,实质的,真实的,充实的"
sufficient,"adj.充分的,足够的"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
suspend,"vt.吊,悬挂v.延缓"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
acquisition,"n.获得,获得物"
adapt,"vt.使适应,改编"
adopt,"vt.采用,收养"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
approve,"vi.赞成,满意vt.批准,通过v.批准"
arise,"vi.出现,发生,起因于"
arrange,"v.安排,排列,协商"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
charter,"vt.租,包(船、车等)n.宪章"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
cognitive,"adj.认知的,认识的,有感知的"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
committee,n.委员会
comprehension,"n.理解,包含"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
construct,"vt.建造,构造,创立"
controversial,"adj.争论的,争议的"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
curiosity,n.好奇心
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
designate,"vt.指明,指出,任命,指派v.指定,指派"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
detach,"vt.分开,分离,分遣,派遣(军队)"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
enhance,"vt.提高,增强v.提高"
enthusiastic,"adj.热心的,热情的"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
exemplify,"vt.例证,例示,作为...例子"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
foresee,"vt.预见,预知"
formation,"n.形成,构成,编队"
furthermore,"adv.此外,而且"
genetic,"adj.遗传的,起源的"
geology,"n.地质学,地质概况"
