fallacy,"n.谬误,谬论"
disclosure,"n.揭发,败露,败露的事情"
make a pact,
in exchange for,
set a date for,
appeal to,
make an analogy between,
draw an analogy between,
make sth. out of ...,
give sb. the axe,
be dripping with sth.,
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
realm,n.领域
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
layman,n.外行
stainless,"adj.纯洁的,无瑕疵的,不锈的"
incompetence,"n.无能力,不适当 [律]无行为能力,法律上无资格"
accountability,"n.有责任,有义务,可说明性"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
veto,"n.否决,禁止,否决权vt.否决,禁止"
refute,"vt.驳倒,反驳"
hypothesis,n.假设
hack,v.砍n.出租
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
trigger,"vt.引发,引起,触发n.板机"
hacker,电脑黑客
rivalry,"n.竞争,竞赛,敌对,敌对状态"
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
loop,"n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环"
plaza,"n.广场,露天汽车停车场,购物中心"
overstate,"vt.夸大的叙述,夸张"
prophet,"n.先知,预言者,提倡者"
testify,"v.证明,证实,作证"
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
recount,v.叙述
retention, 保持力
retrieval,"n.取回,恢复,修补,重获,挽救,拯救"
assault,"n.攻击,袭击v.袭击"
rape,"n.掠夺,强奸,葡萄渣,油菜vt.掠夺,强奸"
repel,"vt.击退,抵制,使厌恶,使不愉快"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
incidence,"n.落下的方式,影响范围,[物理]入射"
periodic,"adj.周期的,定期的"
casino,"n.娱乐场(供表演跳舞、赌博的地方),(=cassino)一种由二至四人玩的纸牌游戏"
slot,"n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹vt.开槽于,跟踪"
threshold,"n.开始,开端,极限"
trillion, num.万亿
erroneous,"adj.错误的,不正确的"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
watertight,"adj.不漏水的,水密的"
by virtue of,
factor sth. into sth.,
attribute sth. to sb.,
attribute sth. to sth.,
in reality,
come into play,
in that,
call for,
play the odds,
in a row,
be stuck on sth.,
get stuck on sth.,
subject to sth.,
rehearsal,"n.排演,演习,预演,试演"
bald,"adj.光秃的,单调的,枯燥的"
arrogant,"adj.傲慢的,自大的"
transient,"adj.短暂的,瞬时的n.瞬时现象"
affix,"vt.使附于,粘贴n.[语]词缀"
allotment,n.分配
groom,"n.马夫,新郎,男仆vt.喂马,推荐,整饰vi.修饰"
grooming,
strand,"n.绳、线之一股,线,绳,串,海滨,河岸vi.搁浅vt.使搁浅,使落后,使陷于困境,弄断,搓"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
deficient,"adj.缺乏的,不足的,不完善的"
chronic,"adj.慢性的,延续很长的"
inborn,"adj.天生的,生来的,先天的"
thigh,"n.大腿,股"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
violet,n.紫罗兰adj.紫罗兰色的 Violet 维奥莱特(女子名)
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
aisle,"n.走廊,过道"
warfare,"n.战争,作战,冲突,竞争"
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
appliance,"n.用具,器具"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
adhere,"vi.粘附,胶着,坚持v.坚持"
via," prep.经,通过,经由"
elasticity,"n.弹力,弹性"
complexion,"n.面色,肤色,情况,局面"
plaster,"n.石膏,灰泥,膏药,橡皮膏vt.涂以灰泥,敷以膏药,减轻,粘贴,重创"
cosmetic,n.化妆品adj.化妆用的
obsession,"n.迷住,困扰"
obsessed,
lipstick,"n.<美> 口红,唇膏"
perfume,"n.香味,芳香,香水vt.使发香,洒香水于,发香味"
gorgeous,"adj.华丽的,灿烂的"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
conformity,"n.一致,符合"
appease,"vt.平息,安抚,缓和,使满足"
prosecution,"n.进行,经营,检举,起诉"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
subjective,"adj.主观的,个人的"
excuse oneself,
come up with,
stick to sth.,
affix value to sth.,
in hopes of,
reach out to,
become obsessed with ...,
be obsessed with ...,
voice an opinion on,
addicted,adj.沉溺于某种嗜好中的
biomedical,
physiological,"adj.生理学的,生理学上的"
corrode,"v.使腐蚀,侵蚀"
criterion,"n.(批评判断的)标准,准据,规范"
sensual,"adj.肉欲的,色情的,世俗的,感觉的,感觉论的"
outgoing,"n.外出,开支,流出adj.即将离职的,对人友好的 喜欢外出的"
esthetic,adj.感觉的
scar,"n.伤痕,疤痕v.结疤,使留下伤痕,创伤"
jealousy,n.嫉妒
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
exempt,v.免除adj.被免除的
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
underscore,"vt.划线于...下,强调n.底线"
dietary,"adj.饭食的n.规定的食物,饮食之规定"
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
meditation,"n.沉思,冥想"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
hamper,"v.妨碍,牵制"
stylish,"adj.时髦的,漂亮的,流行的"
costume,"n.装束,服装"
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
symphony,"n.交响乐,交响曲"
majestic,"adj.宏伟的,庄严的"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
collide,"vi.碰撞,抵触"
elicit,"vt.得出,引出,抽出,引起"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
knit,"v.编织,密接,结合"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
ethic,"n.道德规范,伦理"
lure,v.引诱
novelty,"n.新颖,新奇,新鲜,新奇的事物"
interwoven, interweave的过去分词
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
saint,"n.圣人,道德崇高的人,圣徒adj.神圣v.成为圣徒"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
embody,"vt.具体表达,使具体化,包含,收录"
embodiment,"n.体现,具体化,化身"
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
degenerate,adj.退化的v.退化
checkpoint,"n.检查站,车站的行李房"
purify,vt.使纯净v.净化
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
be addicted to,
on the rise,
be exempt from,
distract from sth.,
distract sb. from sth.,
stumble through,
stumble across,
stumble into,
approve of,
enquire about,
wear out,
seek out,
from a ... perspective,
be accountable to,
rectangular,"adj.矩形的,成直角的"
reshuffle,n.改组v.改组
disperse,"v.(使)分散,(使)散开,疏散"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
stockholder,n.股东
deduce,"vt.推论,演绎出"
clan,"n.部落,氏族,宗族,党派"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
invalid,"n.病人,残废者adj.有病的,残废的"
alloy,"n.合金vt.使成合金,减低成色"
skyline,"n.地平线,以天空为背景映出轮廓"
terrain,n.地形
radar,"n.雷达,电波探测器"
navigation,"n.航海,航空,导航,领航,航行"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
alumnus,"n.男毕业生,男校友"
administrate,"vt.管理,支配"
charter,"vt.租,包(船、车等)n.宪章"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
prototype,n.原型
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
quantify,vt.确定数量v.量化
elapse,"vi.(时间)过去,消逝v.流逝"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
patriot,n.爱国者
fuse,"n.保险丝,熔丝v.熔合"
intermediary,"n.仲裁者,调解者,中间物adj.中间的,媒介的"
hub,"n.毂,木片,中心;n.网络集线器,网络中心"
streamline,adj.流线型的
disjointed,"adj.脱节的,杂乱的"
decentralize,
decentralized,
stab,"n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛v.剌,刺伤,伤害(感情等)"
frugality,"n.节俭,俭省"
gasoline,n.汽油
precedent,n.先例
dental,adj.牙齿的
centralization,"n.集中,中央集权化"
fixture,"n.固定设备,预定日期,比赛时间,[机]装置器,工作夹具"
trappings,"n.服饰,马饰"
courier,"n.送快信的人,旅行从仆"
forerunner,"n.先驱(者),传令官,预兆"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
touch down,
hold sb. in high regard,
hold sth. in high regard,
pick on sb.,
be onto something,
take a stab at ...,
have a stab at ...,
make a stab at ...,
boil down to sth.,
from time to time,
retailer,"n.零售商人,传播的人"
velocity,"n.速度,速率,迅速,周转率"
snapshot,"n.快照,急射,简单印象"
brew,"v.酿造,酝酿"
merge,"v.合并,并入,结合,吞没,融合"
borough,"n.自治的市镇,区"
ankle,n.[解]踝
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
predecessor,"n.前辈,前任,(被取代的)原有事物"
vocational,adj.职业的
bud,"n.芽,蓓蕾vi.发芽,萌芽"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
stimulus,"n.刺激物,促进因素,刺激,刺激"
magnitude,"n.大小,数量,巨大,广大,量级"
adjacent,"adj.邻近的,接近的"
partnership,"n.合伙,合股,合伙企业,合伙契约,[体]队友关系,(双人项目的)配对"
beverage,n.饮料
multilateral,"adj.多边的,多国的"
brass,"n.黄铜,黄铜制品,厚脸皮"
orchestra,"n.管弦乐队,乐队演奏处"
orchestral,"adj.管弦乐的,管弦乐队的"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
reigning,"adj.统治的,在位的,本届的,起支配作用的"
royalty,"n.皇室,王权"
decree,"n.法令,政令,教令,天命,判决v.颁布"
quota,"n.配额,限额"
eligible,"adj.符合条件的,合格的"
optical,"adj.眼的,视力的,光学的"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的n.元音,声乐作品"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
stipulate,"v.规定,保证"
utilization,n.利用
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
expenditure,"n.支出,花费"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
reminiscence,"n.回想,记忆力,怀旧"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
diagnosis,n.诊断
crowning,"adj.最高的,无比的"
in a span of,
within a span of,
over a span of,
go public,
adjacent to,
a trace of,
be eligible for,
be critical to,
beat sb. down,
beat down sb.,
lip service,
remain committed to,
be embedded in sth.,
become embedded in sth.,
democracy,"n.民主政治,民主主义"
congressman,"n.国会议员,众议院议员"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
segregate,v.隔离
consolidate,v.巩固
differentiate,"v.区别,区分"
definitive,"adj.最后的,确定的,权威性的"
sane,adj.健全的
ecological,"adj.生态学的,社会生态学的"
ozone,"n.新鲜的空气,[化]臭氧"
deplete,"vt.耗尽,使衰竭"
depletion,n.损耗
ecology,"n.生态学,[社会]环境适应学,均衡系统"
thermal,"adj.热的,热量的"
atlas,"n.地图,地图集"
planetary,n.行星的
reversible,adj.可逆的
chord,"n.弦,和音,情绪n.[解]腱"
regime,"n.政体,政权,政权制度"
parameter,"n.参数,参量,<口>起限定作用的因素"
overt,"adj.明显的,公然的"
allege,"vt.宣称,断言"
incompatible,"adj.性质相反的,矛盾的,不调和的"
dreadful,"adj.可怕的,<口>讨厌的"
eradicate,v.根除
sovereignty,"n.君主,主权,主权国家"
coalition,"n.合并,接合,联合"
legislative,"adj.立法的,立法机关的n.立法机关"
legalization,"n.合法化,得到法律认可"
propagate,"v.繁殖,传播,宣传"
bizarre,"adj.奇异的(指态度,容貌,款式等)"
caribou,n.北美产驯鹿(=Rangifer)
standoff,"adj.冷淡的,有支架的n.离岸,避开,冷淡,抵销,和局,平衡"
versus," prep.对(指诉讼,比赛等中),与...相对"
negligible,"adj.可以忽略的,不予重视的"
ecosystem,n.生态系统
saw,n.锯v.锯 vbl.see的过去式
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
timber,"n.木材,木料"
maneuver,v.机动n.机动
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
geology,"n.地质学,地质概况"
hierarchy,n.层次 层级
intelligible,adj.可理解的
differentiate between,
take on,
run against the grain,
go against the grain,
be incompatible with,
come through,
in part,
as ... as the next person,
as ... as the next man,
choose sth. over sth. else,
at a ... cost,
be bound up,
be bound together,
be in order,
frame of mind,
state of mind,
prairie,"n.大草原,牧场,<美方>林间小空地"
debris,"n.碎片,残骸"
converge,"v.聚合,集中于一点vt.会聚"
shrub,"n.灌木,灌木丛"
vegetation,"n.[植]植被,(总称)植物、草木,(植物的)生长、呆板单调的生活"
mattress,"n.床垫,空气垫,(用以护堤等的)沉床"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
plea,"n.恳求,请求,辩解,藉口"
preside,v.主持
impair,v.削弱
marsh,"n.湿地,沼泽,沼泽地"
crane,n.起重机
overpass,"n.<美>天桥,陆桥vt.胜过,通过,忽视"
contaminate,v.污染
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
zoological,adj.动物学的
mutation,"n.变化,转变,元音变化,(生物物种的)突变"
antelope,n.羚羊
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
obedient,"adj.服从的,孝顺的"
cord,"n.绳索,束缚"
repressive,"adj.压抑的,压制的"
hunch,"n.圆形之隆起物,肉峰,预感,大块vt.弯腰驼背,弓起背部,耸肩vi.向前移动,隆起"
detach,"vt.分开,分离,分遣,派遣(军队)"
detached,"adj.分开的,分离的"
concurrently,
inject,"vt.注射,注入"
entity,n.实体
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
greasy,"adj.多脂的,油脂的,油污的"
liquor,"n.液体,汁,酒精饮料,[药]溶液vt.浸水vi.喝酒"
peel,"v.剥,削,剥落"
repression,"n.镇压,抑制,抑压"
mansion,"n.大厦,官邸,公寓(用复数,用于专有名词中)"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
coexistence,n.共存
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
odor,"n.气味,名声"
botanical,adj.植物学的n.植物性药材
cavity,"n.洞,空穴,[解剖]腔"
alienate,v.疏远
intolerant,"adj.不宽容的,偏狭的"
deplore,v.表示悲痛
numb,adj.麻木的v.失去知觉
spice,"n.香料,调味品,趣味,意味,情趣"
dweller,"n.居住者,居民"
humidity,"n.湿气,潮湿,湿度<美>沼泽中的肥沃高地"
converge with,
preside over sth.,
be obedient to,
remold sb. into,
remold sth. into,
disconnect sb. from,
disconnect sth. from,
be tied to,
lean against sth.,
lean sth. against sth.,
lean on sth.,
lean sth. on sth.,
peel off,
peel sth. off,
alienate sb. from sth.,
be intolerant of,
plunge into,
shut out sth.,
shut out sb.,
peninsula,n.半岛
confidential,"adj.秘密的,机密的"
confidentially,
recipient,"adj.容易接受的,感受性强的n.容纳者,容器"
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
emigrant,"n.移居外国者,移民"
taboo,"n.(宗教)禁忌、避讳,禁止接近,禁止使用adj.禁忌的,忌讳的vt.禁忌,避讳,禁制,禁止"
scallop,"n.扇贝,干贝"
garlic,"n.[植]大蒜,(Akkuyn sadtium),蒜头"
flank,"n.腰窝,侧面,军队侧翼,侧腹,胁,腰窝肉vt.在...的侧面,侧翼包围,守侧面vi.侧面与...相接"
cucumber,n.[植]黄瓜
lunar,"adj.月的,月亮的"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
tray,"n.盘,碟,盘子"
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
magistrate,"n.文职官员,地方官员"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
etiquette,n.礼节
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
configuration,"n.构造,结构,配置,外形"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
tribe,"n.部落,部族"
censorship,"n.审查机构,审查制度"
consecutive,"adj.连续的,联贯的"
aerospace,n.航空宇宙
prod,
proceeding,"n.行动,进行,[pl.] 会议录,学报"
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
denote,"vt.指示,表示"
bracket,"n.墙上凸出的托架,括弧,支架v.括在一起"
inconsistency,n.矛盾
gulf,"n.海湾,深渊,漩涡,隔阂vt.吞没,使深深卷入"
spectator,n.观众(指比赛或表演)
deduction,"n.减除,扣除,减除额,推论,演绎"
temporal,"adj.时间的,当时的,暂时的,现世的,世俗的,[解]颞的n.世间万物,教会财产"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
intolerance,"n.(尤指对别人的意见)不能忍耐,不容异说,偏狭,[医](对食物,药物等)不耐性"
judiciary,"adj.司法的,法院的n.司法部,司法官,审判员"
malicious,"adj.怀恶意的,恶毒的"
honorary,"adj.荣誉的,名誉的,(债务的)道义上的"
sieve,"n.筛,滤网,不会保密的人v.筛,过滤"
nicety,"n.美好,准确,精密,纤细"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
composite,"adj.合成的,复合的n.合成物"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
junction,"n.连接,接合,交叉点,汇合处"
starve to death,
starve sb. to death,
starve oneself to death,
be attached to,
on the side,
be suspicious of,
get to the point,
come to the point,
wander around,
hedge ... in with ...,
hedge ... in by ...,
be representative of,
if anything,
torch,"n.火把,启发之物vi.像火炬一样燃烧vt.用火炬点燃"
finalize,"v.把(计划,稿件等)最后定下来,定案"
merger,"n.合并,归并"
emirate,"n.阿拉伯酋长(贵族、王公)之职位或阶级,酋长国"
detain,"v.拘留,留住,阻止"
memorandum,"n.备忘录,便笺,便函,买卖契约书"
compile,"vt.编译,编辑,汇编"
graph,"n.图表,曲线图"
decimal,"adj.十进的,小数的,以十为基础的,十进制n.小数"
exposition,"n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部"
certify,"v.证明,保证"
ribbon,"n.缎带,丝带,带,带状物,带子"
blue ribbon,
convertible,"adj.可改变的,自由兑换的"
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
commemorate,vt.纪念
briefing,n.简报
kidnap,"vt.诱拐(小孩),绑架,勒赎"
exasperated,
interrogation,"n.审问,问号"
nil,
friction,"n.摩擦,摩擦力"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
refund,"v.退还,偿还n.归还,偿还额,退款"
parachute,n.降落伞
bull,"n.[动]公牛,粗壮如牛的人"
rating,"n.等级级别(尤指军阶),额定,责骂,申斥"
sociologist,"n.社会学家,社会学者"
cohesion,"n.结合,凝聚,[物理]内聚力"
reactionary,"adj.反作用的,反动的n.反动分子"
nominee,"n.被提名的人,被任命者"
climax,"n.高潮,顶点"
unification,"n.统一,合一,一致"
solidarity,n.团结
compartment,"n.间隔间,车厢"
compartmentalize,
convene,"v.召集,集合"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于"
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
tactful,"adj.机智的,得体的,圆滑的"
courteous,"adj.有礼貌的,谦恭的"
glossary,n.术语表
clarification,"n.澄清,净化"
mediate,"v.仲裁,调停,作为引起...的媒介,居中调停"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
have an impact on,
have an impact upon,
put sb. in charge,
put sb. in charge of sb.,
put sb. in charge sth.,
close the deal,
close a deal,
seal the deal,
seal a deal,
divert ... to,
charge into,
charge down,
take a ... approach to sth.,
single sb. out,
incorporate sth. into sth.,
incorporate sth. in sth.,
grid,"n.格子,栅格"
commonwealth,"n.国民整体,共和国,联邦"
rooster,"n.雄禽,<主美>公鸡"
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
shepherd,"n.牧羊人,牧羊狗v.牧羊,看管,带领"
weld,"vt.焊接n.焊接,焊缝"
welder,n.焊接工
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
lubricate,vt.润滑v.加润滑油
tract,"n.广阔的地面,土地,地方,地域,(解剖)管道,小册子"
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
liver,"n.居住者,生活优裕的人,肝脏"
copper,"n.铜,警察"
mug,
brewery,n.酿酒厂
racecourse,"n.跑马场,赛马场"
spinal,"adj.脊骨的,脊髓的n.脊椎麻醉"
rib,
ulcer,"n.溃疡,腐烂物"
optic,"adj.眼的,视觉的,光学上的"
receptor,"n.接受器,感受器,受体"
martyr,"n.烈士,殉教者v.杀害,折磨"
patriotism,"n.爱国心,爱国精神"
fort,"n.堡垒,边界上的贸易站"
outpost,"n.前哨,边区村落"
wrench,"n.扳钳,扳手,猛扭,痛苦,扭伤,歪曲vt.猛扭,使扭伤,曲解,抢,折磨vi.猛扭,绞痛"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
levy,"n.征收,征税,征兵v.征收,征集,征用"
sovereign,"n.君主,统治adj.至高无上的,君主的,独立自主的,完全的"
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
allegedly,adv.依其申述
wedge,"n.楔vt.楔入,楔进"
textile,n.纺织品adj.纺织的
mill,"n.压榨机,磨坊,磨粉机,工厂,制造厂vt.碾磨,磨细,搅拌,使乱转,打vi.乱转,被碾磨"
banknote,n.钞票
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
lightweight,"n.轻量级选手,不能胜任者"
coupon,"n.息票,商家的优待券"
errand,"n.差事,差使,使命"
telescope,n.望远镜v.压缩
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
shaft,"n.轴,杆状物"
deductive,"adj.推论的,演绎的"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
emancipate,"vt.释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
symmetrical,"adj.对称的,均匀的"
symmetrically,"adv.对称性地,对称地,平衡地"
Republican,
lordship,"n.贵族身份(或权威),统治,支配"
rebellion,"n.谋反,叛乱,反抗,不服从"
mediator,"n.调停者,仲裁人,[宗]中保(指耶稣,<<圣经.新约>>中称他是上帝和人之间的中保)"
off grid,
off the grid,
scrape by,
extract sth. from sth.,
run errands,
cater to ...,
make a racket,
emancipate sb. from sth.,
a say on sth.,
a say over sth.,
have a say on sth.,
have a say over sth.,
feminist,"n.男女平等主义者,女权扩张论者"
feminism,n.女权运动
obscene,"adj.淫秽的,猥亵的"
dogma,n.教条
insurgency,"n.叛乱,叛乱状态,"
displace,"vt.移置,转移,取代,置换v.转移"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
