fallacy,"n.谬误,谬论"
pact,"n.合同,公约,协定"
shrewd,adj.精明
well-off,
dye,"n.染料,染色vt.染v.染"
makeup,"n.天性,化妆品,补充,虚构,组成,结构,补考,体格"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
radiant,"adj.发光的,辐射的,容光焕发的"
counterpart,"n.副本,极相似的人或物,配对物"
pearl,n.珍珠 Pearl 珀尔(女子名)
banner,"n.旗帜,横幅,标语"
situated,"adj.位于,被置于境遇,处于...的立场"
expressway,n.高速道路
venue,"n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地"
luminous,"adj.发光的,明亮的"
stereo,"n.立体声系统,立体声,[印]铅版,立体照片adj.立体的,立体感觉的"
pedal,n.踏板v.踩...的踏板
gum,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
stump,"n.树桩,残余,烟头v.掘去树桩,砍成树桩,绊倒,难住,截去"
obesity,"n.肥胖,肥大"
explanatory,"adj.说明的,解释性"
underway,"adj.起步的,进行中的,航行中的"
inference,n.推论
analytical,"adj.分析的,解析的"
conversion,"n.变换,转化"
premature,"adj.未成熟的,太早的,早熟的"
surpass,"vt.超越,胜过"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
tactic,"n.策略,战略adj.按顺序的,排列的"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
flattery,"n.谄媚,阿谀,巴结,奉承,捧场话,恭维话,谄媚的举动"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
proposition,"n.主张,建议,陈述,命题"
petitioner,n.请求者
axe,"n.斧,(经费的)大削减"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
muscular,"adj.肌肉的,强健的"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
drip,n.水滴v.(使)滴下
sarcasm,"n.挖苦,讽刺"
