take inventory,[经] 实地清点盘存
write a report,[网络] 写报告；写一份报告；写报导
speak to the boss,无
go to the bank,[网络] 上银行；去银行；我必须去趟银行
eat lunch,[网络] 吃午饭；吃午餐；吃中午饭
give out the paychecks,无
set up the meeting room,无
see the personnel officer,无
get gas,无
drive to the gym,无
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
do sit-ups,无
be,"linkv. 有；等同；存在；提供名称或信息时用
v. 到场；位于；在（某处）；（在某时或某地）发生
auxv. 与过去分词连用构成被动语态；与现在分词连用构成进行时
abbr. (=Bank of England)(英国)英格兰银行
[网络] 是；铍(Beryllium)；比利时(Belgium)"
was,be的过去式
were, (we are 的常用口语形式)
been,be的过去分词
begin,"v. 开始
[计] 开始"
began,begin的过去式
begun,"v. 开始（begin的过去分词）
n. (Begun)人名；(俄)别贡；(英)贝根"
blow,[网络] 打击
blew,blow的过去式和过去分词
blown,"a. 吹制的, 喘气的, 开着花的
blow的过去分词"
do,"v. 做；进行；完成；做出
auxv. 用于实义动词前构成否定句和疑问句；构成附加疑问句
n. 社交聚会；社交活动
[网络] 溶解氧(dissolved oxygen)；执行；行动"
did,do的过去式
done,"adj. 完成了；做好了的；煮熟的；合乎礼仪的
v. 做（do 的过去分词）
n. (Done)人名；(西、罗)多内；(英)多恩"
draw,[计] Acorn的基于对象的矢量图像文件
drew,draw的过去式
drawn,"a. 拔出的
draw的过去分词"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
[计] 驱动器"
drove,"n. 畜群
drive的过去式"
driven,"adj. 被动的，受到驱策的
v. 驾驶，开车（drive的过去分词）"
eat,"v. 吃；吃饭；用餐
[网络] 食；喝；进食"
ate,"v. eat(吃)的过去式
[网络] 自动测试设备(Automatic Test Equipment)；自动化测试设备(Automated Test Equipment)；吃的过去式"
eaten,eat的过去分词
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
fallen,"a. 堕落的, 落下来的, 陷落的
fall的过去分词"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
flew,fly的过去式
flown,fly的过去分词
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
got,[网络] -得到-
