take inventory,[经] 实地清点盘存
gotten,get的过去分词
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
gave,give的过去式
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
go,[网络] 困觉；绿基色输出；格拉苏蒂
went,"v. 去，过去（go的过去式）
n. (Went)人名；(德、匈、荷)文特；(英)温特"
gone,"a. 离去的, 死去的, 用完的
go的过去分词"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
grew,grow的过去式
grown,"a. 长大的, 成年的, 长满某物的
grow的过去分词"
know,"v. 知道, 了解, 认识, 确信"
knew,know的过去式
known,"a. 已知的, 有名的
know的过去分词"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
rode,"v. 骑（ride的过去式）
n. (Rode)人名；(英、法、德、俄、塞、瑞典)罗德"
ridden,"adj. 充斥…的；受虐待的
v. 骑（ride的过去分词）"
run,"vi. 经营；奔跑；运转
vt. 管理，经营；运行；参赛
n. 奔跑；赛跑；趋向；奔跑的路程
n. (Run)人名；(塞)鲁恩"
ran,run的过去式
run,"vi. 经营；奔跑；运转
vt. 管理，经营；运行；参赛
n. 奔跑；赛跑；趋向；奔跑的路程
n. (Run)人名；(塞)鲁恩"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
saw,[=surface area/weight]体表面积/体重
seen,see的过去分词
set,"v. 设置；放；树立；安排
n. 集；集合；一套；电视机
adj. 位于（或处于）…的；安排好的；确定的；固定的
abbr. (=safe electronic transaction)安全电子交易
[网络] 套装；设定(Settings)；组"
set,"v. 设置；放；树立；安排
n. 集；集合；一套；电视机
adj. 位于（或处于）…的；安排好的；确定的；固定的
abbr. (=safe electronic transaction)安全电子交易
[网络] 套装；设定(Settings)；组"
set,"v. 设置；放；树立；安排
n. 集；集合；一套；电视机
adj. 位于（或处于）…的；安排好的；确定的；固定的
abbr. (=safe electronic transaction)安全电子交易
[网络] 套装；设定(Settings)；组"
sing,"vi. 唱歌；歌颂；鸣叫；呼号
vt. 唱；用诗赞颂；唱着使
n. 演唱；鸣声；呼啸声
n. (Sing)人名；(老、德、泰)辛"
sang,sing的过去式
sung,sing的过去式和过去分词
speak,"v. 说；说话；讲话；发言
[网络] 谈话；演说"
spoke,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
spoken,"comb.form 表示“说话有…特点的”：blunt-spoken, quiet-spoken"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
swam,swim的过去式
swum,swim的过去分词
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
took,take的过去式
taken,take的过去分词
wear,"n. 穿著,磨损,耐久性
v. 穿著,用旧,耗损
n. (Wear)人名；(英)韦尔"
wore,wear的过去式和过去分词
worn,"a. 用旧的, 穿旧的
wear的过去分词"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
[计] 书写器"
wrote,write的过去式
written,"a. 书面的, 写成文字的
write的过去分词"
answer the phone,接电话
apologize,"vi. 道歉, 辩解"
daydream,"[医] 白日梦, 白日梦想"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
get lost,"迷路,迷失方向"
get stuck in traffic,无
hand over,交出；移交
oversleep,v. (使)睡过头
refuse,"n. 垃圾；废物
vt. 拒绝；不愿；抵制
vi. 拒绝"
shake hands, 握手; 搹
skip dessert,无
yell,[网络] 叫喊
answer the phone,接电话
daydream,"[医] 白日梦, 白日梦想"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
get lost,"迷路,迷失方向"
get stuck in traffic,无
hand over,交出；移交
refuse,"n. 垃圾；废物
vt. 拒绝；不愿；抵制
vi. 拒绝"
shake hands, 握手; 搹
skip dessert,无
yell,[网络] 叫喊
arrive late,无
dance well,无
do things differently,无
dress comfortably,无
drive carefully,无
get to ... early,无
practice more,无
run fast, 跑得快
speak confidently,无
speak loud,无
speak softly, 轻声细语
study hard, 努力学习; 攻读; 刻苦攻读
take ... out soon,无
write legibly,无
advanced,"a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
concerned,"adj. 有关的；关心的
v. 关心（concern的过去时和过去分词）；与…有关"
curious,"a. 好奇的, 求知的, 古怪的"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
exhausted,a. 耗尽的；疲惫的
financial,"a. 财政的, 金融的
[经] 财政的, 金融的, 财务的"
irritable,"a. 易怒的, 急躁的
[医] 应激性的, 过敏的"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
understanding,"(under-stand 的现在分词) vt. 理解；懂；获悉；推断；省略
vi. 理解；懂得；熟悉"
unimportant,a. 不重要的
bicyclist,"n. 骑自行车者, 骑脚踏车者"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
[化] 勺皿"
courier,"n. 送快信的人, 伴游服务员
[法] 信使, 送急件者"
decorations,n. 装修；装饰品（decoration的复数）
dinosaur skeleton,无
flowerpot,喇叭皮带线盆;大海棠盆
identification card,[计] 标识卡
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
pickpocket,[网络] 扒手；偷窃；钱包被扒
poodle,"n. 鬈毛狗, 追随者
vt. 把(狗)的毛修剪成拳曲状"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
sidewalk,人行道
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
windowsill,窗台
accident report,[机] 意外事故报告
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
[计] 体系结构"
bicyclist,"n. 骑自行车者, 骑脚踏车者"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
[化] 勺皿"
ceremonies,n. 典礼( ceremony的名词复数 ); 仪式; 礼节; 礼仪
construction,"n. 建筑, 构造, 建筑物
[化] 施工"
courier,"n. 送快信的人, 伴游服务员
[法] 信使, 送急件者"
decorations,n. 装修；装饰品（decoration的复数）
dinosaur skeleton,无
electric lights,n. 电灯；电光
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
flowerpot,喇叭皮带线盆;大海棠盆
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
[医] 节制器, 调节器"
headquarters, （机构， 企业等的）总部; 总店（head-quarter的名词复数）
identification card,[计] 标识卡
information technology,[电] 信息技术
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
materials,n. 材料；材料费；材料科学；材质（material的复数）
mayor,[地名] 马约河 ( 阿根、秘 )
meeting room,会议室
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
opening day,开幕日
overnight mail,无
pickpocket,[网络] 扒手；偷窃；钱包被扒
plumbing,"n. 测深, 管子工行业, 管道设备"
political cartoon,[网络] 政治漫画；政治卡通
poodle,"n. 鬈毛狗, 追随者
vt. 把(狗)的毛修剪成拳曲状"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
short story,n. 短篇小说
sidewalk,人行道
soldiers,n. [军] 士兵；战士数量（soldier的复数）
sonata,n. 奏鸣曲
statistics,"n. 统计学, 统计资料
[计] 统计信息"
structure,"n. 结构；构造；体系；结构体
v. 使形成体系；系统安排；精心组织
[网络] 建筑物；组织结构；市场结构"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
warehouse,"n. 仓库；货栈；大商店
vt. 储入仓库；以他人名义购进（股票）"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
windowsill,窗台
battery,"n. 电池, 殴打
[化] 蓄电池"
brakes,n. 刹车系统；制动；刹车（brake的复数）
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
headlight,前灯
hood,"n. 罩；风帽；（布质）面罩；学位连领帽（表示学位种类）
v. 覆盖；用头巾包；使(马,鹰等)戴头罩；给…加罩
[网络] 胡德；兜帽；引擎盖"
oil,[网络] 国际法制计量组织；油剂
rear window, 后窗玻璃
tires,n. 轮胎（tire的复数）
amazing,a. 令人惊异的
colorful,"a. 华美的, 富有色彩的, 有趣的"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
finest,n. [总称]警察
impressive,"a. 给人深刻印象的, 威严的"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
[机] 铸漏"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
destroy,vt. 破坏；消灭；毁坏
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
[计] 保留"
install,vt. 安装；设置；正式任命；使就职；任用；安顿；安置
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
[网络] 撞倒；击倒；击落"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
promote,"vt. 促进, 晋升, 创办, 推销
[经] 促进, 推广, 推销"
rebuild,"vt. 重建；改造, 重新组装；复原
vi. 重建"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
[计] 寄存器"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
reopen, 重张
repaint,"vt. 重画；重新绘制；重漆
n. 重新油漆的东西；重画的画"
replace,"vt. 取代, 代替；替换, 更换；归还, 偿还；把…放回原处"
rewrite,"v. 改写；重写
n. 重写或改写的文稿；改写的作品"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
tune up,"调音, 定弦, 调整, 调节"
conductor,"n. 领导者, 指挥者, 售票员, 向导
[化] 导体"
flight attendant,n. 飞行服务员
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
lifeguard,n. 救生员
prime minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
real estate agent,"n. 房地产经纪人
[网络] 房地产代理；房产中介；地产代理人"
receptionist,n. 接待员
security guard,[计] 安全保护
ticket agent,"代理售票人
[经] 售票代理处"
usher,"n. 引座员，带位员；接待员；门房
vt. 引导，招待；迎接；开辟
vi. 作招待员；当引座员
n. (Usher)人名；(英)厄舍；(西、科特)乌谢尔"
birthmark,"[法] 胎记, 痣, 人的特徵"
plane ticket,n. 飞机票
restrooms,n. 公共洗手间（restroom的复数）
scar,[网络] S号汽车
tonsils,n. 扁桃体( tonsil的复数形式 )
conductor,"n. 领导者, 指挥者, 售票员, 向导
[化] 导体"
flight attendant,n. 飞行服务员
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
lifeguard,n. 救生员
prime minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
real estate agent,"n. 房地产经纪人
[网络] 房地产代理；房产中介；地产代理人"
receptionist,n. 接待员
security guard,[计] 安全保护
ticket agent,"代理售票人
[经] 售票代理处"
usher,"n. 引座员，带位员；接待员；门房
vt. 引导，招待；迎接；开辟
vi. 作招待员；当引座员
n. (Usher)人名；(英)厄舍；(西、科特)乌谢尔"
birthmark,"[法] 胎记, 痣, 人的特徵"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
details,[网络] 细节
information sheet,单篇情报资料
missing person,[法] 失踪人
plane ticket,n. 飞机票
restrooms,n. 公共洗手间（restroom的复数）
scar,[网络] S号汽车
surprise quiz,无
tonsils,n. 扁桃体( tonsil的复数形式 )
assassinate,"vt. 暗杀, 行刺
[法] 暗杀, 行刺, 中伤"
check with,与...相符合
come by,"从旁边走过, 得到"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
rob,[网络] 船上所有
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
[计] 正负号; 符号; 符号字符"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
pollution,"n. 污染, 玷污
[化] 污染"
report card,n. 成绩单
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
wishing well, （投币）许愿井
drop in,顺便走访
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
hold hands,"na. 手搀手
[网络] 牵手；握住双手；手牵手"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
sneeze,"n. 喷嚏
vi. 打喷嚏"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
burnt,burn的过去式和过去分词
carsick,adj. 晕车的
dressed up,adj. 穿上盛装的；装扮成…的
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉
n. (Missing)人名；(德)米辛"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
[网络] 分手；结束；分解"
drop in,顺便走访
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
get accepted,无
get paid, 领工资
get worse,v. 转坏
hold hands,"na. 手搀手
[网络] 牵手；握住双手；手牵手"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
make a wish,"欲望, 企图, 幻想"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
sneeze,"n. 喷嚏
vi. 打喷嚏"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
bonus,"n. 奖金, 红利
[经] 奖金, 红利, 额外补贴"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
Congress,"n. 国会, 会议, 讨论会
[医] 会议, 会合"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
economy,[网络] 经济；电子经济
environment,"n. 环境, 外界, 围绕
[计] 环境"
physical condition,身体状况
pollution,"n. 污染, 玷污
[化] 污染"
profits,n. [会计] 收益，红利；盈利（profit的复数）
reaction,"n. 反应, 反作用, 反动
[医] 反应"
report card,n. 成绩单
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
[计] 声音"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
success,[网络] 越走越近
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
wishing well, （投币）许愿井
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
burnt,burn的过去式和过去分词
carsick,adj. 晕车的
dressed up,adj. 穿上盛装的；装扮成…的
important,[网络] 重要；紧要
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉
n. (Missing)人名；(德)米辛"
classified ad,n. 分类广告
day shift,"日班
[化] 日班"
night shift,"夜班
[经] 夜班"
full-time job,[网络] 全职工作；找工作当全职工作；全时工作
part-time job,"un. 零星工作
[网络] 兼职；不限地区不限时间单笔结算；兼职工作"
baby food,幼(婴)儿食品
baby picture, 婴儿照
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
driver's ed,[网络] 驾驶；驾驶课；驾驶员知识题
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
foreign language,n. 外文，外语; 外国语
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
pronunciation,"n. 发音, 读法"
taxes,n. 税收，税金；税务；[税收] 税捐
voter,"n. 选民, 投票人
[法] 选民, 选举人, 投票人"
baby food,幼(婴)儿食品
baby picture, 婴儿照
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
classified ad,n. 分类广告
day shift,"日班
[化] 日班"
driver's ed,[网络] 驾驶；驾驶课；驾驶员知识题
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
foreign language,n. 外文，外语; 外国语
full-time job,[网络] 全职工作；找工作当全职工作；全时工作
high-rise building,[网络] 高层建筑；高层建筑物；高楼
Internet company,[网络] 网络公司；国际网络公司；互联网公司
night shift,"夜班
[经] 夜班"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
part-time job,"un. 零星工作
[网络] 兼职；不限地区不限时间单笔结算；兼职工作"
pronunciation,"n. 发音, 读法"
repairs,"(re-pair 的第三人称 -s形式) vi. 修理；修复
vt. 修理；恢复；补救, 纠正
n. 修理, 修补；修补部位"
spare time,n. 消遣时间; 闲空; 余; 工余
suburbs,n. 郊外（suburb的复数）
taxes,n. 税收，税金；税务；[税收] 税捐
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
[计] 视图"
voter,"n. 选民, 投票人
[法] 选民, 选举人, 投票人"
borrow,"vt. 借, 借入, 借用
vi. 借
[计] 借位; 借位数"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
convince,"vt. 说服, 使相信
[法] 使确信, 使信服, 使人认识错误"
drop out of,"退出,辍学,脱离"
evict,"vt. 逐出, 赶出, 驱逐
[法] 逐出, 驱逐, 没收"
go out with,和…约会
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
angry,"a. 生气的, 愤怒的"
annoyed,a. 恼怒的；烦闷的
disappointed,a. 失望的
embarrassed,[网络] 尴尬
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
[网络] 自我意识；自我意识过剩"
unhappy,[网络] 不开心
upset,上端局设备
all thumbs, 笨手笨脚的
better ear,无
lose your shirt,[网络] 丧失全部财产；恤衫都输埋；失去你嘅裇衫
peace and quiet,[网络] 安定；不纷扰；安静
sick and tired,[网络] 十分厌烦；经受疾病与疲倦；烦透了
