diet,"n.通常所吃的食物,会议"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
lyrics,
solo,n.独奏曲adj.单独的
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
record,"n.履历,档案,诉状,最高纪录,报告,唱片vt.记录,标明,将...录音vi.录音,被录音adj.创纪录的"
lecturer,"n.演讲者,讲师"
mix,"v.使混和,混淆,混合n.混合"
like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能"
dislike,"vt.讨厌,不喜欢n.嫌恶"
artist,"n.艺术家,画家"
colourful,"adj.富色彩的,华美的"
contemporary,"n.同时代的人adj.当代的,同时代的"
delightful,"adj.令人愉快的,可喜的"
drawing,"n.图画,制图,素描术"
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述"
painter,"n.画家,油漆匠"
painting,"n.上油漆,着色,绘画,油画v.描绘"
scene,"n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置"
traditional,"adj.传统的,惯例的,口传的,传说的"
alive,"adj.活着的,活泼的"
aspect,"n.样子,外表,面貌,(问题等的)方面"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
observe,"vt.观察,观测,遵守,评述,说"
reality,"n.真实,事实,本体,逼真"
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画"
adopt,"vt.采用,收养"
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
unusual,"adj.不平常的,与众不同的,不寻常的"
exhibition,"n.表现,展览会,展览品,显示"
expression,
landscape,"n.风景,山水画,地形,前景v.美化"
portrait,"n.肖像,人像"
realise,"v.觉悟,明白"
realistic,adj.现实(主义)的
watercolour,n.水彩画
destroy,"vt.破坏,毁坏,消灭v.消灭,摧毁"
headline,n.大字标题
photograph,n.照片
celebrity,"n.名声,名人"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
politics,"n.政治,政治学,政纲,政见"
photographer, 摄影师;n.摄影师
cosmonaut,"n.宇航员,航天员"
navigator,n.航海家 Netscape公司出品的WEB浏览器
taikonaut,
universe,"n.宇宙,世界,万物,领域"
sailor,"n.海员,水手,不大会晕船的人,船员"
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
flight,"n.飞行,逃走,飞跃,飞机的航程,班机,追逐,楼梯的一段,射程vi.成群飞行,迁徙vt.射击(飞禽),使惊飞"
congratulation,"n.祝词,贺辞"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
welcome,n.欢迎vt.欢迎int.欢迎adj.受欢迎的
historical,"adj.历史(上)的,有关历史的"
achievement,"n.成就,功绩"
replace,"vt.取代,替换,代替,把...放回原处"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
amateur,"n.业余爱好者,业余艺术家"
astronomer,n.天文学家
autograph,"n.亲笔签名,手稿adj.署名v.署名"
delighted,"adj.欣喜的,快乐的"
fan,"n.扇子,鼓风机,风扇,迷,狂热者,爱好者vt.煽动,刺激,扇,吹拂vi.飘动,成扇形散开"
spaceship,n.太空船
telescope,n.望远镜v.压缩
actor,"n.男演员,行动者,参与者"
backstage,"adv.在后台,向后台"
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的"
politician,"n.政治家,政客"
belief,"n.信任,信心,信仰"
disbelief,n.怀疑
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
cultural,adj.文化的
financial,"adj.财政的,金融的"
review,"vt.回顾,复习n.回顾,复习,评论"
royal,"adj.王室的,皇家的,第一流的,高贵的"
found,"v.建立,创立,创办,使有根据,铸造,熔制"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
poster,"n.海报,招贴,(布告,标语,海报等的)张贴者"
thriller,"n.使人毛骨悚然的东西,使人毛骨悚然的小说"
comedy,"n.喜剧,喜剧性的事情"
sword,n.剑
actress,n.女演员
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
female,"n.女性,女人,雌兽adj.女性的,女子的,妇女的,雌的,柔弱的,(声,色)柔和的"
male,"adj.男的,雄的,男性"
masterpiece,"n.杰作,名著"
fiancé,
rooftop,n.屋顶
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
graceful,adj.优美的
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
brave,adj.勇敢的
moving, vbl.移动
occasionally,"adv.有时候,偶而"
ad,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD) 公元 (Anno Domini)"
argue,"vi.争论,辩论vt.说服"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
entertaining,"adj.愉快的,有趣的n.招待,款待"
telly,n.电视
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
shark,"n.[鱼]鲨鱼,骗子<俚>内行,专家v.敲诈"
section,"n.部分,断片,部件,节,项,区,地域,截面"
be connected with,
take exercise,
be crazy about,
have a temperature,
lie down,
begin with,
put ... into ...,
become ill,
related to,
break into,
belong to,
become addicted to,
take one's advice,
in order to,
so as to,
give up,
be impressed with,
split up,
make a note of,
be tired of,
get tired of,
be fond of,
tell by,
put off,
take turns,
a series of,
in total,
now that,
believe in,
be similar to,
come out,
fall in love with,
be in love with,
play a part,
to one's surprise,
in surprise,
care about,
every now and then,
at the age of,
