carpenter,n. 木匠
suited,comb.form 表示“穿…衣服(或套服)的”：red-suited
career,"n. 事业, 生涯, 成功
[法] 职业, 专业, 履历"
actually,"adv. 事实上, 竟然, 如今, 现在"
so-called,adj. 所谓的
glamorous,"a. 富有魅力的, 迷人的"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
baggage,"n. 行李
[经] 行李"
suitcase,"n. 化装箱
[网络] 手提箱；拉杆箱"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
[计] 中继线; 母线"
waiter,[地名] 韦特河 ( 澳 )
grocer,n. 食品商
option,"n. 选择权, 挑选, 选项
[计] 选项"
lawyer,"n. 律师；法学家
n. (Lawyer)人名；(英)劳耶"
well-paid, 报酬（或薪金）丰厚的
canyon,"n. 峡谷, 海底悬崖"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
[计] 卡片顶部的三行区; 区; 区域"
brewery,"n. 啤酒厂, 酿酒厂
[经] 酿造所"
litre,"n. 升, 公升
[计] 升"
shopkeeper,"[经] 零售商人, 店主, 业主"
barber,n. 理发师
barbershop,理发店
cleaner,"n. 清洁工人, 清洁剂, 干洗商
[化] 滤清器; 除垢器; 洗净剂; 清洁剂"
rat,[网络] 抽油杆和油管；冲压空气涡轮；大老鼠
go about,"从事, 走动, 传开"
salesgirl,n. 女店员
cucumber,"n. 黄瓜
[医] 黄瓜, 胡瓜"
sly,[网络] 硫酸盐硫
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
cast-iron,"铸铁
[化] 铸铁"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
martial,"a. 战争的, 军事的, 尚武的, 威武的
[医] 含铁的"
weed,"vt. 除草；铲除
n. 杂草，野草；菸草
vi. 除草
n. (Weed)人名；(英)威德"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
magician,"n. 魔术家, 幻术家, 术士"
bath,[网络] 阿拉伯复兴社会党；巴斯党
bedding,"n. 被褥, 寝具, 床上用品, 基床
[机] 褥草, 被褥"
bandage,"n. 绷带
[化] 帘布筒; 实心轮胎; 紧带; 绷带"
ward, 向…的
creative,"a. 有创造力的, 创作的, 产生的"
self-confident, [体]自信的
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
greengrocer,蔬菜水果商
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
investigative,"a. 审查的, 调查的, 好研究的
[法] 调查的, 审查的, 受调查研究的"
pianist,"n. 钢琴家, 钢琴演奏者"
violinist,"n. 小提琴演奏者, 小提琴家"
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
stewardess,"n. 空中小姐, 女管理人, 女管家"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
take pleasure in,乐于
typist,n. 打字员
Ltd,有限的
engineering,"n. 工程学, 工程, 操纵
[化] 机器; 机器学"
covering,"n. 覆盖物, 掩蔽物
a. 掩护的, 掩盖的
[计] 覆盖"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
[计] 通用汇编程序, 图形应用程序, 间距"
session,"n. 期间, 开庭期, 会议, 学期
[计] 会话, 对话, 会晤, 通用任务程序"
employer,"n. 雇主, 老板
[经] 雇主, 业主"
employee,"n. 职员, 员工, 受雇人员
[化] 职工; 雇员"
interviewer,"n. 会见者, 面谈者, 进行面试者"
off the top of one's head,不假思索
have butterflies in one's stomach,[网络] 感到紧张；肚子里有蝴蝶；忐忑不安
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
[计] 刷新, 重新整理"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
razor,"n. 剃刀
vt. 剃"
shaver,"n. 修面的人, 电动剃刀, 刨刀, 杀价买进期票的人, 善于讨价还价的人"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
haircut,[网络] 剪发；理发；发型
conservative,"a. 保守的, 守旧的, 有保存力的
[化] 防腐剂; 保存剂"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
roundabout,"周围, 向相反方向, 迂回地, 大约"
parking,"n. 停车
a. 停车的"
look somebody in the eye,"na. 无畏惧[无愧]地正视某人
[网络] 注视；直视"
look somebody in the eyes,无
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
follow something up, 紧追，对…进行进一步调查
give somebody the edge,无
punctuation,"n. 标点, 标点符号
[计] 标点符号"
as easy as pie,极容易
management,"n. 经营, 支配, 管理
[化] 管理处"
trainee,"n. 实习生, 新兵, 受培训者
[经] 学徒工, 培训人员"
smartly,"adv. 潇洒地, 火辣辣地, 刺痛地"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
team player,n. 合作意识强的人；有团队精神的人
