abandon,"vt.放弃,遗弃;n.放任,狂热"
acquire,"vt.获得,学到"
acre,"n.英亩,(pl.)地产,大片田地"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
actor,"n.男演员,行动者,参与者"
actual,"adj.实际的,真实的,现行的,目前的"
acute,"adj.敏锐的,[医]急性的,剧烈"
AD,
ad,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD) 公元 (Anno Domini)"
advertisement,"n.广告,做广告"
adapt,"vt.使适应,改编"
adaptation,"n.适应,改编,改写本"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
addicted,adj.沉溺于某种嗜好中的
addition,"n.加,加起来,增加物,增加,加法"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adequate,
adjust,"vt.调整,调节,校准,使适合"
adjustment,"n.调整,调节,调节器"
administration," /[)n/n.管理,经营,衅]网络管理"
admirable,"adj.令人倾佩的,值的赞美的,绝妙的,极好的"
admire,"v.赞美,钦佩,羡慕"
admission,"n.允许进入,承认某事之陈述,供认"
admit,"v.容许,承认,接纳"
adolescence,n.青春期(一般指成年以前由13至15的发育期)
adolescent,"adj.青春期的,青春的;n.青少年"
adopt,"vt.采用,收养"
adore,"v.崇拜,爱慕,(口语)喜爱"
adult,"n.成人,成年人adj.成人的,成熟的"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
advantage,"n.优势,有利条件,利益"
adventure,"n.冒险,冒险的经历v.冒险"
advertise,"v.做广告,登广告"
advertisement,"n.广告,做广告"
advice,"n.忠告,建议,[商]通知"
advise,"vt.劝告,忠告,警告,建议"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事"
affect,"vt.影响,感动,侵袭,假装"
affection,"n.友爱,爱情,影响,疾病,倾向"
afford,"vt.提供,给予,供应得起,"
afraid,"adj.害怕,担心"
Africa,
African,
afternoon,"n.午后,下午adv.下午的,晚期"
afterward,"adv.然后,后来"
afterwards,"adv.然后,后来地"
again,"adv.又,再次,此外,再一次"
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟"
agency,"n.代理处,行销处,代理,中介"
agenda,n.pl.议程
agent,n.代理(商)
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
ago,"adv.以前的,以往的"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agreement,"n.同意,一致,协定,协议"
agricultural,"adj.农业的,农艺的"
agriculture,"n.农业,农艺,农学"
ahead,"adj.adv.在前,向前,提前,在前面"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
AIDS,
Acquired Immune Deficiency Syndrome,
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
air,"n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示"
aircraft,n.航行器
airline,n.定期航线
airmail,n.航空邮件
airplane,n.飞机
airport,"n.<主美>小型民用机场,私人飞机降落场"
airspace,"n.空域,领空,编队飞行(或空中演习)所占用的空间"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
album,"n.集邮本,照相簿,签名纪念册"
alcohol,"n.酒精,酒"
alcoholic,"adj.含酒精的n.酗酒者,酒鬼"
algebra,n.代数学
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
alive,"adj.活着的,活泼的"
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部"
allergic,"adj.[医]过敏的,患过敏症的"
alley,"n.小路,巷,(花园里两边有树篱的)小径"
allocate,"vt.分派,分配"
allow,"vt.允许,承认"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
almost,"adv.几乎,差不多"
alone,"adj.单独的,独一无二的,孤独的,独自的adv.独自地"
alongside,adv.在旁 prep.横靠
aloud,adv.大声地
alphabet,n.字母表
already,adv.已经
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
altogether,"adv.完全地,总而言之"
aluminium,n.[化]铝adj.铝的
always,"adv.总是,永远,始终"
amateur,"n.业余爱好者,业余艺术家"
amaze,vt.使吃惊
amazing,adj.令人惊异的
ambassador,n.大使
ambassadress,"n.大使夫人,女大使"
ambiguous,"adj.暧昧的,不明确的"
ambition,"n.野心,雄心"
ambulance,"n.战时流动医院,救护车"
America,
amount,"n.数量vi.(to) 总计,等于"
ample,"adj.充足的,丰富的"
amuse,"vt.使发笑,使愉快"
analyse,"vt.分析,分解n.分析"
ancestor,"n.祖先,祖宗"
anchor,"n.锚v.抛锚,锚定"
ancient,"adj.远古的,旧的"
anecdote,"n.轶事,奇闻"
anger,"n.怒,愤怒v.恼火"
angle,"n.[数]角,角落vi.钓鱼,追逐"
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
animal,n.动物
ankle,n.[解]踝
anniversary,n.周年纪念
announce,"vt.宣布,通告"
annoy,"vt.使苦恼,骚扰"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应"
ant,
Antarctic,
antique,"n.古物,古董adj.古时的,过时的"
anxiety,"n.忧虑,焦急,渴望,热望"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
anyhow,"adv.无论如何,总之"
anyway,"adv.无论如何,总之"
anywhere,adv.无论何处
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
apartment,"n.<美>公寓住宅,单元住宅,房间"
apologize,"vi.道歉,辩白"
apparent,"adj.显然的,外观上的"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
appendix,"n.附录,附属品,[解]阑尾"
appetite,"n.食欲,胃口,欲望,爱好"
applaud,"v.拍手喝彩,称赞,赞同"
apply,"vt.申请,应用vi.申请,适用"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
appreciation,"n.感谢,感激,正确评价,欣赏,增值"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
appropriate,adj.适当的
approval,"n.赞成,承认,正式批准"
approve,"vi.赞成,满意vt.批准,通过v.批准"
approximately,"adv.近似地,大约"
apron,"n.围裙,外表或作用类似围裙的东西,[机]挡板,护坦"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
architect,n.建筑师
architecture,"n.建筑,建筑学 体系机构"
Arctic,
are," prep.是,在,公亩"
area,"n.范围,区域,面积,地区,空地"
argue,"vi.争论,辩论vt.说服"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
arise,"vi.出现,发生,起因于"
arithmetic,"n.算术,算法"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
armchair,n.扶手椅子
army,"n.陆军,军队,大群,大军"
arrange,"v.安排,排列,协商"
arrangement,"n.排列,安排"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
arrival,"n.到来,到达,到达者"
arrive,"vi.到达,抵达"
arrow,"n.箭,箭头记号"
art,"n.艺术,艺术品,技术,巧妙,美术"
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
artificial,"adj.人造的,假的,非原产地的"
artist,"n.艺术家,画家"
ash,"n.灰,灰烬,[植]岑树"
ashamed,"adj.惭愧的,羞耻的"
Asia,
ask,"vi.询问,问,要求vt.问,要求,需要,邀请"
asleep,"adj.睡着的,睡熟的"
aspect,"n.样子,外表,面貌,(问题等的)方面"
assess,"vt.估定,评定"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
assist,"v.援助,帮助"
assistance,"n.协助,援助,补助,<英>国家补助"
assistant,"n.助手,助教adj.辅助的,助理的"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
association,"n.协会,联合,结交,联想"
assume,"vt.假定,设想,采取,呈现"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
astonish,vt.使惊讶
astronaut,"n.太空人,宇航员"
astronomer,n.天文学家
astronomy,n.天文学
athlete,"n.运动员,运动选手"
athletic,adj.运动的
Atlantic,
atmosphere,"n.大气,空气,气氛"
atom,n.原子
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
attain,"vt.达到,获得v.达到"
attempt,"n.努力,尝试,企图vt.尝试,企图"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
attitude,"n.姿势,态度,看法,意见"
attract,"vt.吸引vi.有吸引力,引起注意"
attraction,"n.吸引,吸引力,吸引人的事物"
attractive,"adj.吸引人的,有魅力的"
audience,"n.听众,观众,接见,拜见"
authentic,adj.可信的
author,"n.作家,创造者"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
autonomous,adj.自治的
autumn,"n.秋天,成熟期,渐衰期"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
avenue,"n.林荫道,大街,方法,途径,路"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
avoid,"vt.避免,消除"
awake,"vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的"
award,"n.奖,奖品vt.授予,判给"
aware,"adj.知道的,明白的,意识到的"
away,"adv.在远处,到远处,离去"
awesome,"adj.引起敬畏的,可怕的"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
awkward,"adj.难使用的,笨拙的"
baby,n.婴孩
bachelor,"n.单身汉,文理学士,幼雄兽"
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
backwards,adv.向后
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
barbecue,n.吃烤烧肉的野餐
barber,"n.理发员,理发师vt.为...理发,刮脸等"
barbershop,
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
baseball,"n.棒球,棒球运动"
basement,"n.地下室,墙脚"
basic,
basin,"n.盆,盆地,水池"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
basket,"n.篮,一篮"
basketball,"n.篮球,篮球运动"
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练"
bacon,"n.咸肉,熏肉"
bacterium,n.细菌
bad,"adj.劣质的,有害的,坏的,不利的,不健康的,严重的"
badminton,n.羽毛球
bag,"n.袋子,猎获物"
baggage,"n.行李,[军] 辎重"
bakery,n.面包店
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
balcony,"n.阳台,包厢,(戏院)楼厅"
ball,"n.球,球状物,子弹,舞会,尽情地玩"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
balloon,n.气球
bamboo,n.竹子
ban,"n.禁令vt.禁止,取缔(书刊等)"
banana,n.香蕉
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
bandage,n.绷带
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
bath,"n.沐浴,浴室"
bathe,"v.沐浴,洗,(光线)充满n.洗澡"
bathroom,"n.浴室,盥洗室"
bathtub,"n.浴缸,澡盆"
battery,"n.电池,殴打"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
bay,"n.海湾,狗吠声,绝路vt.吠,使走投无路vi.吠"
BC,
beach,n.海滩
bean,"n.豆,豆形果实"
bean curd,
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
beard,n.胡须
beast,"n.兽,畜牲,人面兽心的人"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
beautiful,"adj.美丽的,很好的"
beauty,"n.美,美景,美好的东西"
become,"vi.变成,成为,变得vt.适合,相称"
bed,"n.床,基础,路基,河底,海底,一堆,一层vt.安置,嵌入,使睡,栽种vi.上床,分层  教育学士 BEd(Bachelor of Education)"
bedding,"n.被褥,(家畜)草垫,(建筑)基床"
bedroom,n.卧室
bee,
beef,n.牛肉
beer,n.啤酒
beg,"v.请求,乞求"
begin,"v.开始,首先"
behalf,"n.为,利益"
behave,"vi.举动,举止,运转v.行为表现"
behaviour,"n.行为,举止,习性"
being,"n.存在,生命,人,本质 art.在,有,是"
belief,"n.信任,信心,信仰"
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
bell,"n.铃,钟"
belly,"n.腹部,胃vi.涨满"
belong,"vi.属于,住"
belt,"n.带子,地带"
bench,n.长椅子
bend,"v.弯曲,专心于,屈服n.弯曲"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
bicycle,"n.脚踏车,自行车"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
big,"adj.大的,重要的,量大的,重要的adv.夸大地,顺利"
bike,"n.脚踏车,自行车"
bicycle,"n.脚踏车,自行车"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
bingo,"n.一种赌博游戏,烈酒"
biochemistry,n.生物化学
biography,n.传记
biology,"n.生物学,生物(总称)"
bird,"n.鸟,<俚>人vi.在野外观察或鉴别鸟类"
birthday,n.生日
birthplace,n.诞生地
biscuit,"n.饼干,小点心"
bishop,n.主教
bit,"n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制 vbl.咬n.[计]位,比特"
bite,
bitter,"adj.苦的,痛苦的,怀恨的"
black,"n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑"
blackboard,n.黑板
blame,"n.过失,责备vt.责备,谴责"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
blanket,n.毯子vt.覆盖
bleed,"v.使出血,放血"
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
blood,"n.血,血液,血统v.使(某人)先取得经验"
blouse,"n.宽松的上衣,似衬衫的上衣"
blow,"n.殴打,突然的打击v.风吹,吹气于,叫,喘气"
blue,"n.蓝色adj.蓝色的,忧郁的,沮丧的"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
boat,"n.小船,艇v.划船"
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
boil,"n.沸点,沸腾,疖子v.煮沸,激动"
bomb,"n.炸弹vt.投弹于,轰炸"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
bone,n.骨v.剔除
bonus,"n.奖金,红利"
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
boot,"n.<美> (长统)靴,靴子v.导入"
booth,"n.货摊,售货亭,棚"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
bored,"adj.无聊的,无趣的,烦人的,"
boring,n.钻(孔)adj.令人厌烦的
born,"adj.天生的,原本,天生就...的 vbl.出生"
borrow,"v.借,借入,借用"
boss,"n.老板,上司vt.指挥"
botanical,adj.植物学的n.植物性药材
botany,n.植物学
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
bottle,n.瓶子vt.用瓶装
bottom,"n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
boundary,"n.边界,分界线"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
bowl,"n.碗,碗状物,木球v.滚,(板球)投球"
bowling,n.保龄球
box,"n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击"
boxing,n.拳击
boy,"n.男孩,儿子,孩子气的人,男仆"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
brain,"n.脑,头脑"
brake,"n.闸,刹车v.刹车"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
brave,adj.勇敢的
bravery,n.勇敢
bread,"n.面包,生计"
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变"
breakfast,n.早餐vi.进早餐
breakthrough,n.突破
breast,"n.胸部,乳房,胸怀,心情vt.以胸对着,对付"
breath,"n.呼吸,气息,气味,空气,微风,暂停,瞬间"
breathe,"v.呼吸,发出"
breathless,"adj.无声息的,喘不过气来的,气喘吁吁的,停止呼吸的,死的"
brewery,n.酿酒厂
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
bride,n.新娘
bridegroom,n.新郎
bridge,"n.桥,船桥,鼻梁,桥牌vt.架桥,渡过;网桥"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
bright,"adj.明亮的,辉煌的,欢快的,聪明的,伶俐的"
brilliant,"adj.灿烂的,闪耀的,有才气的"
broad,"adj.宽的,阔的,广泛的,明朗的,露骨的,显著的,主要的adv.宽阔地n.宽阔部分"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
brochure,n.小册子
broken,"adj.坏掉的,患病的,被制服的,断掉的 vbl.break的过去分词"
broom,"n.扫帚,[植]金雀花vt.扫除"
brother,n.兄弟
brown,"n.褐色adj.褐色的,棕色的v.(使)成褐色,晒黑"
brunch,n.早午餐
brush,"n.刷子,毛刷,画笔vt.刷,掸,拂"
Buddhism,
budget,"n.预算vi.做预算,编入预算"
buffet,"n.餐具柜,小卖部,殴打,打击v.打击,搏斗"
build,"v.建造,建筑n.构造,体格,体形"
building,"n.建筑物,营造物(如房屋,大楼,工厂,船等)"
bunch,"n.串,束v.捆成一束"
bungalow,n.(带走廊的)平房
burden,"n.担子,负担v.负担"
bureaucratic,adj.官僚政治的
burglar,n.夜贼
burn,"v.烧,烧焦,点(灯),使感觉烧热n.烧伤,灼伤"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
bury,"vt.埋葬,掩埋,隐藏"
bus,"n.公共汽车,总线"
bush,"n.矮树丛,(机械)衬套"
business,"n.商业,买卖,交易,生意,事情,事物,营业,商行"
businessman,n.商人
businesswoman,n.妇女实业家
busy,"adj.忙碌的,热闹的,临时占用的"
butcher,"n.屠夫,屠户vt.屠宰,屠杀"
butter,"n.黄油,牛油vt.涂黄油于...上"
butterfly,n.[动]蝴蝶 蝶泳
button,"n.钮扣,[计]按钮v.扣住,扣紧"
buy,"v.买n.购买,买卖"
bye,"n.枝节的问题,不重要或次要的东西adj.附属的"
cab," 一种压缩文件格式;n.出租马车,出租汽车,计程车,(机车,卡车,起重机的)司机室,驾驶室vi.乘出租马车"
cabbage,"n.[植]甘蓝,卷心菜"
café,
cafeteria,n.自助餐厅
cage,"n.笼,槛,(矿井)贯笼"
cake,"n.蛋糕,饼,块,"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话"
calm,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的v.(使)平静,(使)镇定,平息"
camel,"n.骆驼,[船](打捞用的)浮筒"
camera,n.照相机
camp,"n.露营地,阵营vi.露营,扎营"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
can,"vt.装进罐中,把食品装罐n.罐头,铁罐 conj.能,可以"
canal,"n.运河,小道,导管,槽,沟渠vt.开运河"
cancel,"vt.取消,删去"
cancer,"n.癌,毒瘤"
candidate,"n.候选人,投考者"
candle,n.蜡烛vt.对着光检查
candy,"n.糖果,冰糖v.蜜饯,糖煮(水果)"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
cap,"n.帽子,军帽,(瓶)帽,(笔)帽;vt.戴帽子,盖在...顶上;carrierless amplitude and phase,相幅载波"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
captain,"n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅"
caption,"n.标题,说明,字幕vt.加上标题,加上说明"
car,"n.汽车,小汽车,车辆,客车,[铁]车厢"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
card,"n.纸牌,卡片"
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意"
careful,"adj.小心的,仔细的"
carpenter,n.木匠
carpet,n.地毯
carriage,"n.马车,客车,运费,姿态,(机械)车架"
carrot,n.胡萝卜
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到"
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词)v.画漫画n.卡通片,动画片"
carve,"v.雕刻,切开"
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格"
cash,n.现金vt.兑现
cassette,"n.盒子,盒式磁带"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
castle,n.城堡
casual,"adj.偶然的,不经意的,临时的"
cat,
catalogue,n.目录
catastrophe,"n.大灾难,大祸"
catch,"n.捕捉,捕获物,(窗)钩v.捕获,赶上(车船等),发觉,感染(疾病)vi.抓住,燃着"
category,"n.种类,别,[逻]范畴"
cater,"vi.备办食物,满足(需要),投合"
Catholic,
cattle,"n.牛,家养牲畜"
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
caution,"n.小心,谨慎,警告vt.警告"
cautious,"adj.谨慎的,小心的"
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷"
CD,
compact disc,
ceiling,"n.天花板,最高限度"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
celebration,"n.庆祝,庆典"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
cent,"n.(货币单位)分,分币"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
centimetre,"n.厘米,公分"
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机"
centre,"n.中心,中央,中心区v.集中"
century,"n.世纪,百年,百个,板球中的一百分,百元(钞票)"
ceremony,"n.典礼,仪式,礼节,报幕员"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
chair,"n.椅子,教授职位,主席位,讲座vt.使入座,使就任要职"
chairman,"n.主席,会长"
chairwoman,"n.女主席,女议长"
chalk,"n.粉笔,白垩vt.用粉笔写,和以白垩"
challenge,n.挑战vt.向...挑战
challenging,
champion,"n.冠军,拥护者,战士vt.拥护,支持"
chance,"n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的"
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换"
changeable,adj.可改变的
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
chant,n.圣歌
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
chapter,n.(书籍)章
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
chart,"n.海图,图表vt.制图"
chat,v.聊天n.聊天
cheap,"adj.便宜的,不值钱的"
cheat,"n.欺骗,骗子v.欺骗,骗取"
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼"
cheerful,"adj.愉快的,高兴的"
cheers,int.举杯敬酒之用语
cheese,"n.干酪,<俚>头等的人或事物"
chef,n.厨师
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
chemist,"n.化学家,药剂师"
chemistry,n.化学
cheque,n.支票
