abandon,"vt.放弃,遗弃;n.放任,狂热"
ability,"n.能力,才干"
able,"adj.能...的,有才能的,能干的,能够的"
ability,"n.能力,才干"
enable,"vt.使能够,授予权利或方法"
abnormal,"adj.反常的,变态的"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abortion,"n.流产,堕胎,失败,夭折,中止,早产"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
abrupt,"adj.突然的,陡峭的,生硬的"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absorb,"vt.吸收,吸引"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
absurd,"adj.荒谬的,可笑的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
academic,"adj.学院的,理论的"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
accelerate,"v.加速,促进"
accent,"n.重音,口音,重音符"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
access,"n.通路,访问,入门vt.存取,接近"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
accident,"n.意外事件,事故"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
accompany,"vt.陪伴,伴奏"
accomplish,"vt.完成,达到,实现"
according,adv.依照
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accountant,"n.会计(员),会计师"
accumulate,"v.积聚,堆积"
accuracy,"n.精确性,正确度"
accurate,"adj.正确的,精确的"
accuse,"vt.控告,谴责,非难"
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
ache,"n.疼痛vi.觉得疼痛,渴望"
backache,n.背痛
stomachache,"n.胃痛,肚子痛"
