coda,"n.乐章结尾部,完结部,终结句"
panoramic,adj.全景的
pandemic,adj.全国流行的
endemic,"n.地方病adj.风土的,地方的"
polemic,adj.争论的
anemic,"adj.贫血的,患贫血症的"
arrhythmic,adj.无节奏的
mimic,"adj.模仿的,假装的,[生]拟态的n.效颦者,模仿者,小丑,仿制品vt.模仿,摹拟"
anthropogenic,
laconic,"adj.(用词)简洁的,简明的"
histrionic,adj.戏剧的
chronic,"adj.慢性的,延续很长的"
tonic,"adj.激励的,滋补的n.滋补剂,滋补品"
embryonic,"adj.[生]胚胎的,开始的"
runic,adj.古代北欧文字的
cynic,n.愤世嫉俗者
stoic,"n. 高度自制者,坚忍克己之人 Stoic 斯多葛学派哲学家"
epic,"n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的"
philanthropic,adj.博爱的
misanthropic,"adj.厌恶人类的,憎恶(或蔑视)世人的"
myopic,adj.近视的
choleric,adj.易怒的
mesmeric,adj.催眠术的
generic,"adj.[生物]属的,类的,一般的,普通的,非特殊的"
esoteric,adj.深奥
meteoric,"adj.流星的,疾速的,大气的,辉煌而短暂的"
eccentric,adj.古怪n.行为古怪的人
panegyric,"n.颂词,推崇备至"
lyric,"n.抒情诗,歌词adj.(供)吟唱的,抒情的"
intrinsic,
dramatic,"adj.戏剧性的,生动的"
melodramatic,adj.情节剧的
pragmatic,"adj.国事的,团体事务的,实际的,注重实效的"
phlegmatic,"adj.冷静的,冷淡的"
dogmatic,"adj.教条的,独断的"
axiomatic,adj.自明的
diplomatic,"adj.外交的,老练的"
chromatic,adj.彩色的
monochromatic,"adj.[物]单色的,单频的"
somatic,adj.肉体的
automatic,"n.自动机械adj.自动的,无意识的,机械的"
traumatic,"adj.外伤的,创伤的"
fanatic,"n.狂热者,盲信者,入迷者adj.狂热的,盲信的"
bureaucratic,adj.官僚政治的
erratic,"adj.无确定路线,不稳定的,奇怪的n.古怪的人,漂泊无定的人"
static,"adj.静态的,静力的 静电噪声"
didactic,"adj.教诲的,说教的"
eclectic,"adj.折衷的,折衷学派的n.折衷主义者,折衷派的人"
apoplectic,"n.患中风者adj.中风的,易患中风的"
ascetic,"n.禁欲者,苦行修道者adj.修道的,苦行的"
prophetic,adj.预言的
bathetic,"adj.平庸的,陈腐的,顿降的"
anesthetic,"n.麻醉剂,麻药adj.麻醉的"
hermetic,"adj.密封的,与外界隔绝的"
peripatetic,"adj.逍遥学派的,走来走去的n.走来走去的人,逍遥学派的人"
politic,adj.策略性的
antic,"n.丑角,滑稽动作adj.奇特的,滑稽可笑的"
gigantic,"adj.巨人般的,巨大的"
authentic,adj.可信的
demotic,adj.通俗的
hypnotic,"adj.催眠的,易被催眠的n.催眠药"
despotic,"adj.专制的,暴虐的"
exotic,"adj.异国情调的,外来的,奇异的"
quixotic,"adj.唐吉诃德式的,狂想家的"
dyspeptic,"adj.[医] 消化不良的,胃弱的,患胃病的n.消化不良的人"
septic,"adj.腐败的,败血病的,脓毒性的n.腐烂物"
aseptic,n.防腐剂adj.无菌的
apocalyptic,"adj.启示录的,天启的"
cryptic,"adj.秘密的,含义模糊的,神秘的,隐藏的"
elastic,adj.弹性的
plastic,"n.塑胶,可塑体,塑料制品,整形adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的"
majestic,"adj.宏伟的,庄严的"
pessimistic,"adj.悲观的,厌世的"
chauvinistic,"adj.盲目的爱国心的,沙文主义的"
egoistic,
narcissistic,"adj.自恋的,自我陶醉的"
caustic,"adj.腐蚀性的,刻薄的"
rustic,adj.乡村的
therapeutic,"adj.治疗的,治疗学的n.治疗剂,治疗学家"
ad hoc,
havoc,"n.大破坏,浩劫vt.严重破坏"
dread,"n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心"
proofread,"vt.校正,校对"
fad,"n.时尚,一时流行的狂热,一时的爱好"
myriad,"n.无数,无数的人或物,<诗>一万adj.无数的,一万的,种种的"
ironclad,"adj.装甲的,打不破的"
nomad,"n.游牧部落的人,流浪者,游牧民adj.游牧的"
goad,"n.(赶牲口用的)刺棒,激励物,刺激物vt.用刺棒驱赶,驱策,激励,刺激,唆使,煽动"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
self-absorbed,
barefaced,"adj.不隐瞒的,公然的,厚颜无耻的,不戴面具的"
wrongheaded,"adj.判断错误的,固执的,坚持错误的"
levelheaded,"adj.头脑冷静的,清醒的 稳健的"
jaded,"adj.疲倦不堪的,厌倦的"
lopsided,"adj.倾向一方的,不平衡的"
backhanded,"adj.反手拍击的,间接的"
ham-handed,
outmoded,adj.过时的
secluded,"adj.隐退的,隐蔽的"
ragged,adj.粗糙的
dogged,"adj.顽固的,顽强的"
far-fetched,
wretched,"adj.可怜的,悲惨的,肮脏的,恶劣的"
polished,"adj.擦亮的,磨光的,精练的,优美的,无暇的"
cherished,
watershed,n.分水岭
full-bodied,
dignified,"adj.有威严的,有品格的"
serried,"adj.密集的,林立的,重叠罗列的"
half-baked,
wicked,"adj.坏的,邪恶的,缺德的,不道德的,恶劣的,刻毒的,淘气的"
dappled,adj.有斑点的
ingrained,"adj.彻底的,根深蒂固的,生染的"
thick-skinned,
cramped,"adj.狭促的,难辨的,难懂的"
ill-bred,
kindred,"n.家族,相似,亲属关系,(用作复数)亲戚、族人adj.同族的,同类的,血缘的,类似的"
mannered,"adj.守规矩的,矫饰的"
unlettered,"adj.无字的,未受教育的,无学问的,文盲的"
shred,"n.碎片,破布,少量剩余,最少量v.撕碎,切碎"
enamored,"adj.倾心的,被迷住的"
measured,"adj.标准的,整齐的,有规则的"
versed,adj.精通的
depressed,"adj.沮丧的,降低的"
sophisticated,"adj.诡辩的,久经世故的"
dated,"adj.有日期的,陈旧的"
variegated,"adj.杂色的,斑驳的,多样化的v.成为杂色"
corrugated,"adj.缩成皱纹的,使起波状的"
calculated,"adj.计算出的,有计划的,适当的,适合的,"
antiquated,adj.陈旧的
disaffected,"adj.抱不平的,有叛意的,不服的"
merited,adj.应得的
acquainted,"adj.有知识的,知晓的"
disjointed,"adj.脱节的,杂乱的"
unwonted,"adj.不寻常的,异常的,不习惯的,罕见的,少有的"
devoted,"adj.投入的,深爱的"
halfhearted,"adj.不认真的,不热心的"
stouthearted,"adj.刚毅的,大胆的"
concerted,"adj.商议定的,协定的,[乐]协调的"
disinterested,adj.无私的
tightfisted,adj.吝啬的
committed,
convoluted,"adj.旋绕的,费解的"
contrived,"adj.人为的,做作的"
reserved,"adj.保留的,包租的"
hackneyed,"adj.不新奇的,陈腐的,常见的"
upbraid,v.责备
rabid,"adj.狂暴的,激烈的,患有狂犬病的"
morbid,"adj.病的,由病引起的,病态的,恐怖的"
turbid,"adj.混浊的,不纯的,脏的,混乱的,雾重的"
placid,adj.平静的
flaccid,"adj.软弱的,无活力的,没气力的"
viscid,"adj.粘的,胶粘的,粘质的,半流体的"
lucid,adj.明晰的
pellucid,"adj.透明的,澄清的,易懂的"
sordid,adj.肮脏
frigid,"adj.寒冷的,冷淡的,(妇女)缺乏性感的"
turgid,"adj.肿的,浮夸的"
squalid,adj.肮脏的
pallid,"adj.苍白的,暗淡的"
solid,"n.固体,立体adj.固体的,实心的,坚固的,结实的,立体的,可靠的,一致的,纯粹的"
stolid,"adj.不易激动的,感觉迟钝的,神经麻木的"
timid,"adj.胆小的,羞怯的"
paranoid,
vapid,adj.索然乏味的
intrepid,"adj.无畏的,勇猛的"
tepid,"adj.微温的,温热的,不太热烈的,不热情的"
insipid,"adj.没有味道的,平淡的"
limpid,adj.清澈的
torpid,"adj.麻痹的,迟缓的,迟钝的,[动]蛰伏的"
arid,"adj.干旱的,贫瘠的(土地等),无趣的,沉闷的"
hybrid,"n.杂种,混血儿,混合物adj.混合的,杂种的"
acrid,"adj.辛辣的,(言语或语调)刻薄的"
florid,"adj.华丽的,红润的,炫耀的,绚丽的"
torrid,adj.热带的
lurid,"adj.<罕>苍白的,可怕的,血红的,耸人听闻的"
fetid,adj.有恶臭的
languid,"adj.疲倦的,无力的,没精打采的"
avid,adj.渴望的
fervid,"adj.热的,热心的"
piebald,adj.花斑的n.花马
ribald,adj.下流的
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
gild,v.镀金
chokehold,
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
uphold,"vt.支持,赞成"
untold,"adj.未说过的,未透露的,数不清的"
husband,n.丈夫
offhand,"adj.即时的,无准备的,唐突的adv.即时地,随便地"
bland,"adj.温和的,柔和的,乏味的,冷漠的,刺激性少的"
countermand,"vt.取消,撤消,下反对命令召回n.反对命令,取消"
strand,"n.绳、线之一股,线,绳,串,海滨,河岸vi.搁浅vt.使搁浅,使落后,使陷于困境,弄断,搓"
grandstand,n.正面看台
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
transcend,"vt.超越,胜过"
reprehend,n.责备
comprehend,"vt.领会,理解,包括(包含),由...组成"
commend,"vt.称赞,表扬,推荐,委托,吸引"
suspend,"vt.吊,悬挂v.延缓"
rend,v.撕碎
contend,"v.斗争,竞争,主张"
distend,"v.(使)扩大,(使)扩张"
rescind,v.废除
abscond,"vi.潜逃,避债"
moribund,adj.垂死的n.垂死的人
fecund,"adj.生殖力旺盛的,多产的,丰饶的,肥沃的"
rubicund,"adj.(脸色,肤色等)红润的,透红的"
jocund,"adj.欢乐的,高兴的"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
hidebound,"adj.营养不良的,量小的,死板的"
confound,"vt.使混淆,把...搞混,挫败,讨厌"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
foreground,"n.前景,最显著的位置"
sound,"n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探"
slipshod,adj.漫不经心的
falsehood,"n.谬误,不真实,谎言,虚假"
prod,
disregard,"v.不理漠视n.漠视,忽视"
sluggard,"n.偷懒者,懒鬼,游手好闲的人"
diehard,n.顽固分子
dullard,"n.愚人,笨蛋"
canard,"n.谣言,误传"
aboveboard,adj.光明正大的
hoard,v.储藏
retard,"vt.延迟,使减速,阻止,妨碍,阻碍"
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
awkward,"adj.难使用的,笨拙的"
untoward,"adj.倔强的,麻烦的,困难的,不幸的"
wayward,adj.任性的
haphazard,"n.偶然,偶然事件adj.偶然的,随便的adv.偶然地"
undergird,"v.加强,巩固...的底部"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
concord,"n.和谐,一致,和睦"
discord,"n.不一致,意见不合,嘈杂声,[音乐] 不和谐v.不和"
chord,"n.弦,和音,情绪n.[解]腱"
foreword,"n.前言,序"
absurd,"adj.荒谬的,可笑的"
shroud,"n.裹尸布,寿衣,覆盖物,船的横桅索vt.用裹尸布裹,遮蔽,隐藏"
shrewd,adj.精明
minutiae,
imbibe,v.吸收
gibe,v.嘲笑n.嘲笑
jibe,"vi.嘲笑,与...一致,使转向vt.嘲笑n.嘲笑"
bribe,"n.贿赂vt.贿赂,向...行贿"
circumscribe,"vt.在...周围画线,限制"
proscribe, 禁止
diatribe,"n.恶骂,诽谤"
xenophobe,"n.仇外,惧外者"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
efface,v.抹掉
solace,n.安慰v.安慰
commonplace,"n.平凡的事,平常话adj.平凡的"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
jaundice,"n.[医]黄疸,由妒嫉引起的偏见的心理状态vt.使患黄疸,使怀偏见"
cowardice,"n.怯懦,胆小"
edifice,"n.大厦,大建筑物"
splice,v.接合
rejoice,"v.(使)欣喜,(使)高兴,喜悦"
avarice,"n.贪财,贪婪"
caprice,"n.反复无常,任性,怪想"
entice,"v.诱惑,诱使"
novice,"n.新手,初学者"
arrogance,"n.傲慢态度,自大"
allegiance,"n.忠贞,效忠"
variance,"n.不一致,变化,变异,变迁,分歧,不和"
lance,"n.标枪,长矛,矛状器具,捕鲸枪v.切开"
surveillance,"n.监视,监督"
penance,"n.[天主教]忏悔,苦修vt.使...以苦行赎罪"
countenance,"n.面容,脸色,支持vt.支持,赞助"
appurtenance,"n.附件,附属物,[律]从属权利"
provenance,"n.起源,出处"
dissonance,"n.不一致,不调和,不谐和音"
forbearance,"n.自制,忍耐,[律]债务偿还期的延展"
entrance,"n.入口,门口,进入"
remonstrance,n.抗议
malfeasance,"n.不正当,不法行为,渎职"
complaisance,"n.彬彬有礼,殷勤,柔顺"
obeisance,"n.敬礼,鞠躬,顿首,服从"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
puissance,"n.(马的)越障能力测试,<古>权力,权势,力量,影响"
impuissance,"n.无力,无能"
pittance,"n.少量,微薄的薪俸"
nuance,n.细微差别
abeyance,"n.暂时无效,中止,归属待定"
decadence,n.颓废
credence,n.信任
resurgence,n.苏醒
prescience,"n.预知,先见"
resilience,"n.弹回,有弹力,恢复力,顺应力,轻快,达观,愉快的心情"
consilience,"n.符合,一致"
somnolence,"n.想睡,梦幻"
persistence,"n.坚持,持续"
confluence,n.汇合
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
evince,"vt.表明,表示"
province,n.省(一个国家的大行政区)
wince,v.退缩
ensconce,"vt.隐藏,安置"
denounce,"vt.公开指责,公然抨击,谴责"
renounce,v.断绝关系
farce,"n.笑剧,闹剧,滑稽剧,胡闹vt.<古>填塞,为(演讲,作品等)加穿插"
coerce,"vt.强制,强迫"
acquiesce,"vi.默许,勉强同意"
coalesce,v.接合
convalesce,"vi.渐渐康复,渐愈"
effervesce,"vi.冒泡,[化]泡腾,兴奋"
seduce,v.诱使
induce,"vt.劝诱,促使,导致,引起,感应"
truce,"n.休战,休战协定,休止"
barricade,v.设路障n.路障
cascade,"n.小瀑布,喷流vi.成瀑布落下n.层叠"
renegade,"n.背教者,变节者,叛徒adj.背弃的,脱离的,变节的vi.背弃,脱离"
accolade,"n.赞美,骑士爵位的授予,连谱号"
abrade,"v.磨损,摩擦,折磨"
masquerade,n.化妆舞会v.化装
retrograde,adj.倒退的v.倒退
tirade,n.长篇激烈的演说
dissuade,vt.劝阻
pervade,v.遍及
cede,vt.放弃
accede,"v.同意,加入,同意"
secede,"vi.正式脱离或退出,分离"
concede,"vt.勉强,承认,退让vi.让步"
impede,v.阻止
supersede,"vt.代替,取代,接替,紧接着...而到来,[律]延期vi.推迟行动"
chide,"v.斥责,责骂"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
backslide,v.倒退n.倒退
bromide,n.[化]溴化物
deride,"vt.嘲弄,嘲笑"
override,"vt.制服,践踏,奔越过,蹂躏,不顾,不考虑(某人的意见,决定,愿望等)n.代理佣金"
subside,"v.下沉,沉淀,平息,减退,衰减"
forebode,"v.预示,预言,预兆,预感"
decode,"vt.解码,译解"
implode,"vi.向内破裂,爆炸"
discommode,"vt.使不方便,使为难,使不自由"
avant-garde,
preclude,n.排除
elude,v.躲避
allude,"vi.暗指,影射,间接提到"
collude,"vi.串通,勾结,共谋"
denude,"vt.使裸露,剥下,剥夺,脱毛"
prude,"n.装成规矩的女人,(尤指在性问题上)故做正经的女人"
protrude,v.突出
solitude,n.孤独
magnitude,"n.大小,数量,巨大,广大,量级"
turpitude,"n.奸恶,卑鄙"
pulchritude,"n.美丽,标致"
lassitude,n.疲乏
vicissitude,n.变迁兴衰
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
platitude,n.陈词滥调
rectitude,"n.正直,公正,清廉,笔直"
certitude,"n.确实,确信"
exude,"v.(使)流出,(使)渗出,发散开来"
referee,"n.仲裁人,调解人,[体]裁判员v.仲裁,裁判"
carefree,"adj.无忧无虑的,轻松愉快的,不负责的"
repartee,"n.巧妙的应答,巧妙应答之才能"
vouchsafe,"vt.赐予,允许"
fail-safe,
gaffe,"n.过失,出丑,失态"
rife,adj.普遍的
disengage,v.脱离
persiflage,"n.戏弄,挖苦"
camouflage,v.伪装n.伪装
homage,n.敬意
badinage,"n.开玩笑,揶揄v.打趣"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
disparage,"vt.蔑视,贬损,使失去信誉"
umbrage,"n.树荫,不快"
mirage,"n.海市蜃楼,雾气,幻想,妄想"
forage,n.草料
barrage,"n.拦河坝,堰,阻塞,(敌军前进的)弹幕射击"
sage,"adj.贤明的,明智的,审慎的n.贤人,圣人,年高望重的人"
presage,n.预兆v.预示
montage,"n.蒙太奇,文学音乐或美术的组合体"
sabotage,"n.(不满的职工或敌特等的)阴谋破坏,怠工,破坏vi.从事破坏活动vt.对...采取破坏行动,妨害,破坏"
assuage,"vt.缓和,减轻,镇定"
salvage,"n.抢救财货,获救的财货,救难的奖金,海上救助,抢救,打捞vt.海上救助,抢救,打捞,营救"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
abridge,"v.删节,削减,精简"
dodge,"v.避开,躲避n.<俗> 诡计,躲藏"
hodgepodge,n.大杂烩
budge,v.移动
nudge,"n.用肘轻推,轻推为引起注意"
grudge,v.不给予
trudge,v.跋涉
sacrilege,"n.冒渎,亵渎圣物,悖理逆天的行为,渎圣罪"
renege,"vi.食言,违例出牌vt.否认,拒绝n.出牌违例"
beige,adj.浅褐色的n.米色
prestige,"n.声望,威望,威信"
vestige,"n.遗迹,痕迹,残余,丝毫,[生]退化的器官"
bulge,"n.凸出部分v.凸出,膨胀"
divulge,"vt.泄露,暴露"
estrange,v.疏远
revenge,"n.报仇,复仇vt.替...报仇,复仇"
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
constringe,"vt.使收缩,使收敛,压缩"
singe,"v.烧焦,烤焦"
tinge,"n.淡色,色调,些微气味,气息,风味vt.微染,使带气息"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
surcharge,"n.超载,追加罚款,额外费vt.使装载过多,追加罚款"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
submerge,"v.浸没,淹没,掩没vi.潜水"
diverge,"vi.(道路等)分叉,(意见等)分歧,脱离"
converge,"v.聚合,集中于一点vt.会聚"
forge,"v.稳步前进,铸造,伪造"
gorge,"n.咽喉,胃,暴食,山峡,峡谷,障碍物v.狼吞虎咽,塞饱"
disgorge,v.吐出
scourge,"n.鞭,笞,苦难的根源,灾祸vt.鞭打,痛斥,蹂躏"
gauge,"n.标准尺,规格,量规,量表v.测量"
subterfuge,n.托词
deluge,"n.洪水,豪雨v.使泛滥,淹,浸,压倒"
cache,"n.隐藏处所,隐藏的粮食或物资,贮藏物;vt.隐藏,窖藏;n.高速缓冲存储器"
panache,"n.羽饰,华丽"
cliche,"n.陈词滥调,铅版adj.陈腐的"
pastiche,"n.混成曲,模仿画"
gauche,"adj.笨拙的,粗鲁的,偏转的,无礼的"
catastrophe,"n.大灾难,大祸"
loathe,"vt.厌恶,憎恶"
lithe,"adj.(指人、身体)柔软的,易弯的"
blithe,"adj.愉快的,高兴的"
soothe,"vt.使(某人,其神经,其情绪)平静,安慰,使(痛苦,疼痛)缓和或减轻"
hie,
rookie,n.新手
belie,v.掩饰
bonhomie,"n.温和,敦厚"
stymie,"n.[高尔夫]妨碍球v.从中作梗,完全妨碍"
camaraderie,"n.同志之爱,友情"
slake,v.消除
brake,"n.闸,刹车v.刹车"
forsake,"vt.放弃,抛弃"
spike,"n.穗,长钉,钉鞋,女高跟鞋,道钉v.用大钉钉,用长而尖之物刺,阻止,穿刺"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
stoke,"v.司炉,(使)大吃"
evoke,"vt.唤起,引起,博得"
revoke,"vt.撤回,废除,宣告无效vi.n.有牌不跟"
invoke,v.调用
convoke,vt.召集
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
yoke,"n.轭,轭状物,套,束缚,支配v.把...套上轭,结合,连接"
bale,"n.大包,大捆,(指标准量货物,如稻草,麦杆)货物vt.打包,捆包,包装,灾难,痛苦,悲哀"
hale,"adj.强壮的,健壮的(尤指老人),矍铄的vt.<古>强拉,硬拖"
finale,"n.(戏剧的)最后一场,结局,终了,最后的一个乐章,终曲"
rationale,n.基本原理
chorale,n.赞美诗
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
imperturbable,"adj.沉着的,冷静的"
implacable,"adj.不缓和的,不安静的"
impeccable,"adj.没有缺点的,不会做坏事的"
irradicable,adj.不能根除的 根深蒂固的
applicable,"adj.可适用的,可应用的"
amicable,"adj.友善的,和平的"
despicable,"adj.可鄙的,卑劣的"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
dependable,adj.可靠的
agreeable,"adj.使人愉快的,惬意的,适合的"
malleable,"adj.有延展性的,可锻的"
permeable,"adj.有浸透性的,能透过的"
fable,"n.寓言,神话,谎言vi.讲故事,编寓言,煞有其事地讲述"
affable,adj.和蔼可亲的
ineffable,"adj.不能说的,不应说出的,避讳的"
unimpeachable,"adj.无懈可击的,无可指责的,无过失的,无可怀疑的"
imperishable,"adj.不灭的,不朽的"
appreciable,"adj.可感知的,可评估的"
pliable,"adj.易曲折的,柔软的,圆滑的,柔韧的"
amiable,"adj.亲切的,和蔼可亲的"
friable,"adj.易碎的,脆的"
viable,"adj.能养活的,能生育的,可行的"
unassailable,adj.攻不破的
estimable,"adj.可尊敬的,可估计的,<古>可贵的,有价值的"
inalienable,"adj.(指权利等)不能让与的,不能剥夺的"
amenable,"adj.应服从的,有服从义务的,有责任的"
tenable,adj.可维持的
untenable,"adj.防守不住的,站不住脚的,不能维持的,支持不住的"
interminable,"adj.无限的,冗长的"
unexceptionable,adj.无懈可击的
personable,adj.漂亮的
palpable,"adj.可触知的,明显的"
culpable,"adj.该责备的,有罪的,不周到的"
unflappable,"adj.不易惊慌的,镇定的"
arable,"adj.可耕的,适于耕种的"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
ponderable,adj.可以估计的
vulnerable,"adj.易受攻击的,易受...的攻击"
deplorable,adj.可叹的
favorable,"adj.赞成的,有利的,赞许的,良好的,讨人喜欢的,起促进作用的"
inexorable,adj.无情的
impenetrable,adj.难以渗透的
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
palatable,adj.美味的
redoubtable,adj.可怕的
tractable,"adj.易驾驭的,驯良的,易管教的,易处理的"
ineluctable,"adj.不可避免的,无法逃避的"
inimitable,"adj.无法模仿的,独特的,无比的"
inevitable,"adj.不可避免的,必然的"
potable,adj.适于饮用的n.饮料
immutable,"adj.不可变的,不变的,不能变的,永恒的"
scrutable,"adj.可解读的,可以了解的"
equable,"adj.变动小的,平静的"
babble,"v.呀呀学语,喋喋不休,作潺潺声,泄露(秘密)n.儿语,胡言乱语,潺潺声"
dabble,"v.弄湿,弄水,涉足"
rabble,"n.乌合之众,下层社会,拨火棍vt.聚众闹事,用拨火棍搅动"
nibble,"n.半位元组,细咬,轻咬,啃v.一点一点地咬,细咬,吹毛求疵"
scribble,"n.潦草的写法,潦草写成的东西,杂文v.潦草地写,乱写,滥写"
quibble,"n.双关语,遁辞,谬论vi.以双关语说出,说模棱两可的话,说俏皮话vt.对...诡辩"
gobble,"n.火鸡叫声vt.狼吞虎咽vi.贪食,咯咯叫声"
hobble,v.蹒跚
wobble,"n.摇晃,[生化]摆动,动摇,不稳定,变度vi.摇晃,摇摆,游移不定,抖动vt.使摇摆,使颤动"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
invincible,"adj.不能征服的,无敌的"
irascible,"adj.易怒的,暴躁的"
edible,adj.可食用的
intelligible,adj.可理解的
incorrigible,"adj.无药可救的,不能被纠正的"
tangible,adj.切实的
intangible,"adj.难以明了的,无形的"
fungible,"adj.可互换的,代替的n.代替物"
indelible,"adj.去不掉的,不能拭除的"
fallible,
foible,"n.弱点,(性格上的)缺点,自负的地方,怪癖,癖好,(刀剑)自中部至尖端的部分"
insensible,"adj.无知觉的,无同情心的,硬心肠的,麻木不仁的"
ostensible,"adj.可公开得,(指理由等)表面的,虚假的"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
plausible,adj.似是而非的
compatible,"adj.谐调的,一致的,兼容的"
perceptible,"adj.可察觉的,显而易见的,感觉得到的"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
incontrovertible, /adv.无疑地
combustible,adj.易燃的
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
amble,"vi.缓行,溜蹄"
gamble,"n.冒险v.赌博,投机,孤注一掷"
ramble,v.漫游n.漫游
dissemble,"v.掩饰,假装不知道"
bumble,"v.拙劣地做,弄糟n.大错误"
fumble,v.摸索
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
