coda,"n.乐章结尾部,完结部,终结句"
panacea,n.万能药
nostalgia,"n.思家病,乡愁,向往过去,怀旧之情"
mania,"n.[医]颠狂,狂躁,癖好,狂热"
cornucopia,"n.[希神]哺乳宙斯的羊角,满装花果象征丰饶的羊角(通常用于绘画或雕刻中),丰富,丰饶"
euphoria,"n.精神欢快.欣快,兴高采烈,[心]欣快症"
sequela,"n.后继者,后遗症"
anathema,"n.诅咒,咒逐,[宗]革出教门,被咒逐的人(物)"
enigma,"n.谜,不可思议的东西"
stigma,"n.污名,(植物)柱头,[动物] 气门,耻辱"
coma,n.昏迷
charisma,"n.超凡魅力,感召力,教皇般的指导力"
nirvana,"n.涅盘,天堂"
stamina,"n.毅力,持久力,精力"
patina,"n.铜绿,绿锈,薄层,光泽,古色"
chimera,"n.[希神]狮头,羊身,蛇尾的吐火怪物,妖怪,狂想"
plethora,"n.过剩,过多,多血症"
bravura,"n.大胜的尝试,勇气的举动(显示演奏家技艺的壮丽的乐段)"
quota,"n.配额,限额"
drab,"adj.土褐色的,单调的"
ad-lib,
glib,"adj.口齿伶俐的,油腔滑调的"
succumb,"vi.屈服,屈从,死"
plumb,"n.铅锤,铅弹adj.垂直的vt.使垂直,用铅增加重量,探测vi.垂直"
numb,adj.麻木的v.失去知觉
barb,"n.鱼钩,鱼叉的倒钩,巴巴里鸽(一种类似信鸽的鸽子)vt.装倒钩于"
snub,"n.故意怠慢,斥责v.故意怠慢,责骂,压熄(香烟等),冷落慢待"
archaic,"adj.古老的,古代的,陈旧的"
mosaic,"n.镶嵌,镶嵌图案,镶嵌工艺adj.嵌花式的,拼成的 最早出现的Internet上的WEB浏览器"
prosaic,"adj.散文的,散文体的,平凡的"
acerbic,"adj.酸的,尖刻的"
cherubic,"adj.天使的,天真无邪的,可爱的"
sporadic,adj.零星的
encyclopedic,"adj.如百科辞典的,百科全书式的"
episodic,adj.插话式的
soporific,"adj.催眠的,想睡的n.催眠剂,安眠药,使人昏昏沉沉的东西"
lethargic,"adj.昏睡的,瞌睡的"
synergic,"adj.协作的,合作的"
chic,n.别致的款式(尤指妇女的服饰)adj.别致的
hagiographic,
monolithic,"n.单片电路,单块集成电路"
diabolic,"adj.魔鬼似的,残忍的"
catholic,n.天主教徒adj.天主教的
vitriolic,"adj.硫酸的,象硫酸的,刻薄的,讽刺的"
