wonderful,"adj.令人惊奇的,奇妙的,极好的,令人愉快的"
get down to,
moment,"adj.片刻的,瞬间的,力矩的n.瞬间"
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
prosaic,"adj.散文的,散文体的,平凡的"
remember,"vt.回忆起,铭记,纪念vi.记得"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
thoroughly,"adv.十分地,彻底地"
hospitality,"n.好客,宜人,盛情"
elsewhere,adv.在别处
kindness,"n.仁慈,亲切,好意,善意"
weekend,"n.周末,周末休假adj.周末的vi.度周末的"
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练"
fortunate,"adj.幸运的,幸福的"
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
indeed,
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
generous,"adj.慷慨的,大方的,有雅量的"
surroundings,n.环境
charming,"adj.迷人的,娇媚的"
no wonder,
reciprocate,"v.互给,酬答,互换,报答"
on behalf of,
be available for,
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家"
campus,"n.<美>校园,大学教育"
cordially,"adv.诚恳地,诚实地,诚挚地"
January,
invite,"vt.邀请,引起n.邀请"
allocate,"vt.分派,分配"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
question and answer session,
leading,"adj.领导的,第一位的,最主要的"
expert,"n.专家,行家,[军](特等)射手adj.老练的,内行的,专门的vt.在...中当行家,当专家"
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
similarly,"adv.同样地,类似于"
dissatisfaction,"n.不满,不平,令人不满的事物"
disappointing,"adj.使人失望的,令人失望的"
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假"
extremely,"adv.极端地,非常地"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
overprice,"v.将...标价过高,索价过高"
five-star,
quality,"n.质量,品质,性质"
on a daily basis,
therefore,"adv.因此,所以"
clean up,
eat out,
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
enclose,"vt.放入封套,装入,围绕"
improve,"v.改善,改进"
favorable,"adj.赞成的,有利的,赞许的,良好的,讨人喜欢的,起促进作用的"
in the future,
greatly,"adv.很,非常"
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
discount,n.折扣
at your earliest convenience,
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
receipt,"n.收条,收据,收到v.收到"
professor,"n.教授,公开表示信仰的人"
memorable,"adj.值得纪念的,难忘的"
feedback,"n.[无]回授,反馈,反应"
handout,"n.分发的印刷品,新闻稿"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
take down,
thought,"n.思考,想法,思想,思潮,关心,关怀,挂念 vbl.think的过去式和过去分词"
discussion,n.讨论
in general,
method,n.方法
informative,"adj.情报的,提供情报的,见闻广博的"
suitable,"adj.适当的,相配的"
inspiring,"adj.灌输的,鼓舞的"
clarify,"v.澄清,阐明"
particularly,"adv.独特地,显著地"
deepen,"v.加深,深化"
demonstrate,"vt.示范,证明,论证vi.示威"
understanding,"n.谅解,理解"
complex,"adj.复杂的,合成的,综合的n.联合体"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
simple,"adj.简单的,简易的,朴素的,简朴的,天真的,率直的,无经验的,易受骗的"
look forward to,
commend,"vt.称赞,表扬,推荐,委托,吸引"
increasingly,"adv.日益,愈加"
additional,"adj.另外的,附加的,额外的"
in addition,
computer room,
lecture note,
request,"vt.请求,要求n.请求,要求,邀请"
lab,"n.实验室,研究室"
install,"vt.安装,安置,使就职"
access,"n.通路,访问,入门vt.存取,接近"
prestigious,"adj.享有声望的,声望很高的"
the Spring and Autumn Period,
celebrity,"n.名声,名人"
Confucius,
life story,
thinker,"n.思想者,思想家,心智"
disciple,"n.信徒,弟子,门徒"
educator,n.教育家
the Analects,
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
enduring,"adj.持久的,不朽的"
Confucianism,
long-standing,
sage,"adj.贤明的,明智的,审慎的n.贤人,圣人,年高望重的人"
inner world,
Confucian thought,
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
human value,
arrange,"v.安排,排列,协商"
inconvenience,"n.麻烦,不方便之处"
interview,"vt.接见,会见n.接见,会见"
postpone,"vt.推迟,使延期,延迟"
unfortunately,adv.不幸地
look forward to,
diagnose,v.诊断
be able to,
infection,"n.[医] 传染,传染病,影响,感染"
inform sb. of sth.,
require,"vt.需要,要求,命令"
situation,"n.情形,境遇,(建筑物等的)位置"
apologize,"vi.道歉,辩白"
congratulation,"n.祝词,贺辞"
Yale University,
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
hard work,
doctorate,n.博士头衔
on your part,
philosophy,"n.哲学,哲学体系,达观,冷静"
achievement,"n.成就,功绩"
be proud of,
no doubt,
pleasure,"n.愉快,快乐,乐事,乐趣,意志,愿望"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
certainly,"adv.的确,(口语)当然,行"
success,"n.成功,成就,胜利,发迹,兴旺"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
undertake,"vt.承担,担任,许诺,保证v.采取"
think over,
sightseeing,n.观光
Terracotta Warriors,
trip,"n.(短途)旅行,绊倒,摔倒,失足,往返,差错,支吾,旅程vt.使跌倒,使犯错,使失败,挑剔vi.轻快地走,摔倒,绊倒,失足,结巴,远足,犯错,旅行"
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
be sure,
tomb,n.坟墓v.埋葬
tourist destination,
emperor,"n.皇帝,君主"
in the old days,
Dayan Pagoda,
dynasty,"n.朝代,王朝"
the Banpo Museum,
be full of,
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
relic,"n.遗物,遗迹,废墟,纪念物"
plenty of,
major,"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
modern,"n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的"
attraction,"n.吸引,吸引力,吸引人的事物"
club,"n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用"
sense of responsibility,
serve as,
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
platform,"n.(车站)月台,讲台,讲坛 平台"
interpersonal relation,
outstanding,"adj.突出的,显著的"
various,"adj.不同的,各种各样的,多方面的,多样的"
ability,"n.能力,才干"
organize,"vt.组织,使有机化,给予生机vi.组织起来"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
proficiency,"n.熟练,精通,熟练程度"
a range of,
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
be involved in,
empower,"v.授权与,使能够"
a variety of,
decided,"adj.确定的,坚决的"
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行"
competitive,adj.竞争的
musical drama,
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
group discussion,
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
ample,"adj.充足的,丰富的"
file,"n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
written application,
participation,"n.分享,参与"
staff office,
be helpful to,
deadline,n.最终期限
strengthen,"v.加强,巩固"
sign up,
figure,
speedy,"adj.快的,迅速的"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
a large number of,
stable,adj.稳定的
in addition,
private car,
a great many,
all the time,
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
go up,
transportation," /n.运)n/n.运输,运送"
a good many,
greatly,"adv.很,非常"
factor,"n.因素,要素,因数,代理人"
improve,"v.改善,改进"
as follows,
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
to begin with,
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
line chart,
quickening pace,
gymnasium,"n.健身房,体育馆"
urban life,
doing exercise,
ever-increasing pressure,
reveal,"vt.展现,显示,揭示,暴露"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
in mounting numbers,
be on a steady rise,
considerably,adv.相当地
departments concerned,
contribute to,
tendency,"n.趋向,倾向"
respectively,"adv.分别地,各个地"
energetic,"adj.精力充沛的,积极的"
keep a balanced diet,
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
vigorous,"adj.精力旺盛的,有力的,健壮的"
burn the midnight oil,
stay up late,
persistent,adj.持久稳固的
studying abroad,
expand knowledge,
growth rate,
proficient,n.精通
studying overseas,
social interaction,
on a steady rise,
strong willpower,
on the contrary,
augment,"v.增加,增大n.增加"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
linguistic knowledge,
dramatically,"adv.戏剧地,引人注目地"
cultural understanding,
approximately,"adv.近似地,大约"
equipped with,
contribute to,
modern-day workplace,
aforementioned,"adj.上述的,前述的"
excellent opportunity,
bar chart,
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
formality,"n.拘谨,礼节,仪式,正式手续,拘泥形式"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
preferable,"adj.更可取的,更好的,更优越的"
contribute to,
undoubtedly,"adv.无庸置疑地,的确地"
above all,
prosperity,n.繁荣
availability,"n.可用性,有效性,实用性"
give birth to,
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
SOHO,
information technology,
promising,"adj.有希望的,有前途的"
e-commerce,
have access to,
inevitable,"adj.不可避免的,必然的"
what is more,
accordingly,"adv.因此,从而"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
convenient,"adj.便利的,方便的"
irreversible,"adj.不能撤回的,不能取消的"
last but not least,
column chart,
progression,"n.行进,级数"
clearly,"adv.明朗地,明显地,无疑地"
work life,
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
whereby,"adv.凭什么,为何"
statistics,"n.统计学,统计表"
increasingly,"adv.日益,愈加"
weekly earning,
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
bureau,"n.办公桌,衣柜 <美>局,办公署"
commensurate,"adj.相称的,相当的"
educational background,
in the second place,
competitive,adj.竞争的
range from A to B,
college degree,
bachelor's degree,
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
master's degree,
doctoral degree,
analysis,"n.分析,分解"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
predict,"v.预知,预言,预报"
as follows,
in order to,
in the first place,
workplace,
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
people in mounting numbers,
pre-requisite,
promising,"adj.有希望的,有前途的"
higher education,
imply,"vt.暗示,意味"
university degree,
markedly,"adv.显著地,明显地"
aged people,
shoot up,
financially,"adv.财政上,金融上"
approximately,"adv.近似地,大约"
spiritually,adv.在精神上地
involvement,"n.连累,包含"
the elderly,
civilization,"n.文明,文化,文明社会 文明,一个著名游戏的名称"
raise,"n.上升,高地,提出vt.升起,唤起,提高,使出现,解除,饲养,筹集,使复活"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
in conclusion,
be obliged to,
be conducive to,
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
obligation,"n.义务,职责,债务"
stable,adj.稳定的
art group,
priceless spiritual treasure,
mysterious,adj.神秘的
cultural exchange,
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
globalization,"n.全球化,全球性"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
irresistible,"adj.不可抵抗的,不能压制的"
international culture,
mutual,"adj.相互的,共有的"
controversial,"adj.争论的,争议的"
national culture,
at first sight,
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
resist its dark side,
be confronted with,
multidimensional,"adj.多面的,多维的"
sensible,"adj.有感觉的,明智的,有判断力的"
vigorous,"adj.精力旺盛的,有力的,健壮的"
absorb its essence,
box office,
hunger for,
film-goer,
in addition,
dramatically,"adv.戏剧地,引人注目地"
crowd-puller,
on a steady rise,
attractive,"adj.吸引人的,有魅力的"
at the same time,
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
primary reason,
idolize,"vt.极端崇拜,偶像化,醉心于vi.崇拜偶像"
special effect,
in summary,
basically,"adv.基本上,主要地"
prevalent,"adj.普遍的,流行的"
technology,"n.工艺,科技,技术"
temporarily,adv.临时
diagram,n.图表
a large number of,
clearly,"adv.明朗地,明显地,无疑地"
get prepared for,
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
last but not least,
dramatic,"adj.戏剧性的,生动的"
working pressure,
elevation,"n.上升,高地,正面图,海拔,提高,仰角,崇高,壮严"
take ... into account,
recruitment,"n.征募新兵,补充"
predict,"v.预知,预言,预报"
Master of Professional,
speedy,"adj.快的,迅速的"
Accounting,
forthcoming,adj.即将来临的n.来临
at a low level,
on the other side of the coin,
surprisingly,adv.令人惊讶地
contribute to,
tendency,"n.趋向,倾向"
above-mentioned,
bring about,
summarize,"v.概述,总结,摘要而言"
a good many,
as follow,
take effective measure,
first and foremost,
qualified,adj.有资格的
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
accountant,"n.会计(员),会计师"
get out of hand,
job market,
encourage,"vt.鼓励,怂恿v.鼓励,鼓励"
on the whole,
theoretical knowledge,
keep pace with,
practical skill,
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
oblige,"vt.迫使,责成"
reading quantity,
derive,vt.得自vi.起源
reading volumes,
companionship,"n.交谊,友谊"
respectively,"adv.分别地,各个地"
instruction,"n.指示,用法说明(书),教育,指导,指令"
on the contrary,
first and foremost,
tendency,"n.趋向,倾向"
disturbing,adj.烦扰的
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
on less necessary,
contentment,"n.满意,知己"
reading extensively,
furthermore,"adv.此外,而且"
a wide range of,
broaden our minds,
last but not the least,
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
intellectual ability,
enhance environmental awareness,
environmental protection,
keep ecological balance,
ecosystem,n.生态系统
nature reserve,
sustainable development strategy,
wind and sand breaks,
pleasant living environment,
save energy,
reduce the emission of greenhouse gases,
slow down the rate of resource degradation,
environment-friendly products,
global warming,
low carbon economy,
clean renewable energy,
nuclear energy,
solar energy,
high-power electrical appliance,
carbon dioxide,
climate change,
environmental deterioration,
deforestation,"n.采伐森林,森林开伐"
protect forests from overexploitation,
water and soil erosion,
desertification,
population growth,
wildlife protection,
endangered species,
wild species,
commercial fishing,
overfishing,
reckless exploitation,
natural disasters,
catastrophe,"n.大灾难,大祸"
destructive and disastrous earthquake,
sandstorm,"n.[气]沙暴,沙漠地带的暴风沙"
drought,"n.干旱,缺乏"
flood,"n.洪水,水灾,(因雨)涨潮,[诗]水vt.淹没,使泛滥,注满,充满vi.被水淹,溢出,涌进,喷出,涌出"
snowstorm,n.暴风雪
"""the-polluters-pay"" policy",
law enforcement inspection,
undertake treatment within a prescribed limit of time,
white pollution,
limit the use of disposable plastic bags,
ban the use of disposable plastic bags,
prohibit the use of disposable plastic bags,
throwaway biodegradable plastic bags,
disposable chopsticks,
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
garbage classification,
throw,"n.投,掷v.扔,抛,(指马)把骑者摔在地上,使苦恼,惊忧,投掷"
discard,"vt.丢弃,抛弃v.放弃"
trash,"n.无价值之物,无聊的作品,垃圾,废物"
rubbish,"n.垃圾,废物,废话"
garbage,"n.垃圾,废物"
decontamination of urban refuse,
refuse landfill,
three types of wastes,
waste water,
waste gas,
solid waste,
industrial waste,
toxic waste,
multipurpose use,
water resource conservation zone,
sewage treatment,
centralized treatment plant,
recycled water,
air pollution concentration,
motor vehicle exhaust,
exhaust purifier,
lead-free gasoline,
gas-fueled vehicles,
electric vehicles,
small-engine vehicles,
industrial dust discharge,
soot emission,
fossil fuels,
coal,n.煤v.加煤
oil and natural gas,
bachelor's degree,
master's degree,
doctor's degree,
acquire degree,
arts,n.文科
science,"n.科学,自然科学,理科"
Master of Arts,
M.A.,
Master of Science,
M.S.,
Master of Business Administration,
MBA,
Master of Public Administration,
MPA,
Master of Engineering,
ME,
Master of Professional Accounting,
MPAcc,
Master of Science in Finance,
MSF,
nursery,n.托儿所
kindergarten,"n.幼儿园adj.幼儿园的,初级的,启蒙阶段的"
primary school,
elementary school,
middle school,
university,n.(综合)大学
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
higher education,
college students,
university students,
college graduates,
university graduates,
business school,
law school,
graduate school,
professor,"n.教授,公开表示信仰的人"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
department,"n.部,局,处,科,部门,系,学部"
major,"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
teaching facilities,
dining hall,
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
dormitory,n.宿舍
elective course,
optional course,
tuition fees and other expenses,
life-long education,
education for all-round development,
compulsory education,
exam-oriented education,
adult education,
theoretical knowledge,
practical skills,
information era,
era of knowledge explosion,
affect school achievements,
skip classes,
academic performance,
academic atmosphere,
broaden one's horizon,
stimulate one's interest,
tap one's potential,
reduce study load,
separation between liberal arts and science,
relaxing college life,
recruitment,"n.征募新兵,补充"
enrollment,"n.登记,注册,入伍,入会,入学"
apply for admission to ...,
apply for admission into ...,
College Entrance Examination,
National Entrance Test for M.A. Candidates,
National Entrance Test for M.S. Candidates,
job market,
employer,"n.雇主,老板"
employee,"n.职工,雇员,店员"
vocational training,
cultural exchange,
cultural blending,
cultural integration,
traditional Chinese culture,
Confucianism,
Buddhism,
Daoism,
Taoism,
Peking Opera,
Chinese calligraphy,
western culture,
Enlightenment,
humanism,"adj.人道主义的,人文主义的n.人道主义"
post-modernism,
multi-culture,
pluralistic culture,
cultural diversity,
preserve and cherish,
absorb its essence and discard its dross,
promote cultural development positively,
splendid and glorious cultural heritage,
splendid and glorious cultural legacy,
splendid and glorious cultural relics,
keep pace with times,
cross-cultural communication,
cultural difference,
cultural tradition,
human civilization,
spiritual civilization,
mainstream culture,
interpretation of classics,
popular culture,
the pervasive advertisements on TV,
idol worship,
web addiction,
Internet addiction,
virtual life,
making friends online,
chatting on the Internet,
online gossip,
online shopping,
group buying,
group purchase,
the Internet supervision,
the Internet violence,
irresponsible remarks,
buy lottery tickets,
online games,
digital products,
text message,
mobile phone subscription,
self-dependence,
dote,"vi.昏聩,溺爱"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
only child,
fierce competition,
boomerang kids,
NEET,
Not currently engaged in Education,
Employment or Training,
reap without sowing,
make constant efforts,
never give up,
never stop making progress,
achieve success,
innovation,"n.改革,创新"
diligence,n.勤奋
striving spirit,
outlook on life,
world outlook,
world view,
perseverance,n.坚定不移
patience,"n.耐性,忍耐 Patience 佩兴斯(女子名)"
prudence,n.审慎 Prudence 普鲁登斯(女子名)
self-confidence,
modesty,"n.谦逊,虚心"
lack of confidence,
exaggerate difficulties,
overestimate difficulties,
underestimate one's abilities,
teamwork,"n.联合作业,协力"
team spirit,
cooperate with others,
joint efforts,
cooperative efforts,
help each other,
keep optimistic,
pessimism,"n.悲观,悲观主义"
be pessimistic,
positive attitude,
benevolence,"n.仁爱心,善行"
physical health,
mental health,
psychological health,
mental fitness,
psychological fitness,
health concern,
sub-health,
public health,
public hygiene,
state of mind,
physical exercises,
well-balanced diet,
junk food,
go on a diet,
provide medical services,
sacrifice health,
short-term economic benefits,
total tobacco ban,
illness,"n.疾病,生病"
disease,"n.疾病,弊病"
chronic disease,
infectious disease,
alcoholism,n.酒精中毒
cancer,"n.癌,毒瘤"
reform of medical system,
generation gap,
bridge the gap,
mutual understanding,
misunderstanding,"n.误会,误解"
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意"
take care of,
look after,
mistreat,vt.虐待
maltreat,"vt.虐待,滥用"
ill-treat,
aging society,
population aging,
old people,
aged people,
the old,
the aged,
the elders,
the elderly,
senior citizens,
practice filial piety,
public morality,
traditional virtues,
duty,"n.义务,责任,职责,职务,税"
responsibility,"n.责任,职责"
sense of responsibility,
shoulder one's duties,
assume one's duties,
undertake one's duties,
shoulder one's responsibilities,
assume one's responsibilities,
undertake one's responsibilities,
avoid one's duties,
shirk one's duties,
shun one's duties,
avoid one's responsibilities,
shirk one's responsibilities,
shun one's responsibilities,
devote,"vt.投入于,献身"
devotion,"n.热爱,投入"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
dedication,"n.贡献,奉献"
selfless devotion,
the crisis of trust,
the corruption of public morality,
the lack of moral sense,
immoral behaviors,
Project Hope,
China Red Cross Foundation,
charity,"n.慈善,施舍,慈善团体,"
donate,"v.捐赠,赠予"
donation,"n.捐赠品,捐款,贡献"
poor rural areas,
start schooling,
drop out of school,
finish school,
to respect the old and care for the young,
spit everywhere,
make noise,
talk loudly,
empty promise,
false promise,
fake commodities,
dishonest behavior,
honesty,"n.诚实,正直"
academic corruption,
plagiarism,"n.剽窃,剽窃物"
food safety,
construction quality,
drainage oil,
poisonous milk powder,
infant formula,
food additives,
unaffordable prices of medicines,
excessive growth,
illegal ads,
unfair competition,
compete for benefits,
address symptoms but not root causes,
administration department,
supervision department,
merchant,"n.商人,批发商,贸易商,店主adj.商业的,商人的"
manufacturer,"n.制造业者,厂商"
enterprise operator,
authorities concerned,
take bribes,
disregard of laws,
shift the blame onto ...,
consumers' rights and interests,
unqualified expert,
perform one's tasks fairly and effectively,
provide polite and hospitable services,
corruption phenomenon,
bus lane,
odd-and-even license plate rule,
morning and evening peak,
traffic jam,
traffic congestion,
heavy traffic,
rush hour,
public transport network,
traffic restrictions based on the last digit of license plate numbers,
traffic control,
car-free day,
traffic accident,
private car,
develop public transport,
drunk drive,
drive under the influence of alcohol,
driver,"n.驾驶员n.[计] 驱动器,驱动程序n.[机]起子,主动轮,传动器"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
economic crisis,
financial crisis,
financial turmoil,
financial meltdown,
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
bleeding economy,
depression,"n.沮丧,消沉,低气压,低压"
sluggish economy,
lose one's job,
be unemployed,
be redundant,
job losses mount,
unemployment climb,
unemployment,"n.失业,失业人数"
seek employment,
job seeker,
a tough job market,
confidence slump,
economic recovery,
the crisis's fallout,
face the crisis,
meet the crisis,
fight the crisis,
confidence reconstruction,
contain declines,
slow down declines,
affordable housing project,
comfortable housing project,
cost-cutting,
generate new employment,
stimulate consumer spending,
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
recovery,"n.恢复,痊愈,防御"
turnaround,"n.回车场,转变,转向,(经济,营业等的)突然好转"
proactive fiscal policy,
refrain from laying off employees,
cut the salaried work force,
structural adjustment,
stimulus package,
stimulus plan,
career guidance,
propel domestic demand,
drive domestic demand,
expand domestic demand,
infrastructure construction,
tax relief,
practice economy,
moderately loose monetary policy,
government bailout,
government's vow to do sth.,
the market economy system,
economic globalization,
international economic organization,
advancements in science and technology,
multinational,"adj.多国的,跨国公司的,多民族的n.多国籍公司,跨国公司"
private enterprise,
automobile industry,
real estate industry,
telecommunication industry,
domestic brand,
national brand,
Chinese brand,
market share,
market portion,
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
personnel,"n.人员,职员"
job satisfaction,
work pressure,
working pressure,
improve welfare and treatment,
attract foreign investment,
legal protection,
profound social and economic impact,
the reform and opening-up,
social security system,
unemployment,"n.失业,失业人数"
housing problem,
public infrastructure,
skyscraper,"n.摩天楼,高丛的烟囱"
sustainable urban development,
urbanization,"n.都市化,文雅化"
