act on,"按...行动, 作用于
[机] 作用于"
adapt to,适应…;适合…
add to,"na. 增加
[网络] 增添；增进；添加"
adhere to,"执着于,坚持,粘附于,信奉…"
apply to,抹；涂；把...应用于
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
a bit of,一点
above all,"尤其是, 首先"
access to,有权使用
according to,"na. 据…所说
[网络] 按照；根据；依照"
along with,"与…一道,与…一起,连同…"
anything but,"单单除...之外, 决不"
apart from,除了...之外
as a result,因此;结果
as a result of,作为结果
as far as,"远到, 直到, 至于"
as for,至于
as to,[=antistreptolysin-O]抗链球菌溶血素O
as if,"na. 彷佛；活像
[网络] 好像；仿佛；似乎"
as usual,a. 照常
as well as,"也, 又"
at all,"na. 全然；既然
[网络] 根本；究竟；丝毫"
at all costs,不惜任何代价
at large,"未被捕, 详尽, 普遍
[法] 未被捕的, 逍遥法外的, 详尽的"
at length,"最后, 详细地"
at odds with, 与…不和，与…争吵
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
at stake,"危如累卵, 在危险中"
at the end of,"在…末尾,在…结束时"
at times,"有时, 不时"
abide by, 遵守; 信守; 忠于（某人）; 接受
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
act for,代理
adjust to,[计] 调整至
agree on,"就…取得一致意见,商定"
agree to,"同意,赞成…"
agree with,"同意…,与…意见一致;适应…"
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
argue for,"支持,为支持…而辩论"
arrive in,"到达,抵达,来到"
associate with,"v. 与…联系
[网络] 结交；联合；交往"
attach importance to,重视
attach to," （使）贴[系, 粘]在…上; （使）相关; （使）牵连; （使）依附"
attempt to, 尝试，企图; 试图做某事
attribute to,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
avail oneself of,利用；趁(机会)，借此(机会)
alien to,adj. 与…相反
alien from,和…相反，和…相异，和…不合
all in all,"总而言之, 合计, 头等重要的东西"
all the same,仍然
a majority of,"大部分,大多数"
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
and so forth,等等
and so on,等等
and yet,可是
a period of, 阵子
as a whole,总体上
as opposed to,"完全不同, 截然相反, 反对, 对照"
a spell of,无
as regards,"关于, 至于"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
as long as,只要...
so long as,只要
as yet,至今仍
at all events,无论如何
at all times,一直
at a loss,"困惑, 亏本地"
at an end,"结束,终止"
at any rate,"无论如何, 至少"
at a profit,"[经] 赚钱, 获利"
at a time,"每次, 在某时"
at fault,"感到困惑, 有故障"
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
at leisure,"na. 在闲暇中；从容不迫地；失业
[网络] 有空；有空，闲暇时；从容地"
at random,"胡乱地, 随便地
[法] 任意地, 遂意地"
at sea,在海上；茫然；感觉困惑
at short notice,"一通知就
[经] 在通知的短期间内"
at best,"na. 充其量也不过
[网络] 至多；最多；最好也只是"
at the best," 至多, 充其量"
at the cost of,以...为代价
at the expense of,"归...付费, 在损害...的情况下
[法] 归...付费"
at the instant of,无
at the latest,最迟
at the longest,至多
at the mercy of,受...支配
at the moment,此刻
at worst,"adv. 无论怎样坏
[网络] 在最坏的情况下；最差的；就最不利的一方面看"
at the worst,"在最坏的情况下, 在最不利的情况下, 考虑到最不利的方面"
at will, [人名] [英格兰人姓氏] 阿特威尔 Attwell的变体
a variety of,"各种各样的..., 种种..."
a flash in the pan,昙花一现
akin to, 类似于
appropriate to, 将（某物）分配给…
benefit from,从…获利
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
be applicable to,(适)用于
be busy with,忙于
because of,因为
be concerned with,"涉及..., 与...有关"
be confronted with,面临
be conscious of,意识到...
be considered as,被认为/看作是...
be dependent on,"依靠, 依赖"
be eager to,"盼望,渴望"
be entitled to,[法] 有资格或权利...
be exposed to,"[计] 曝光, 曝露"
be inclined to,"倾向于..., 有...的趋势"
be interested in,对…很感兴趣
be likely to,"有可能…,很可能…"
be obliged to, 不得不; 只得; 必须
be puzzled by,无
be regarded as,[网络] 被认为是；被当做是；视为
be resistant to,"抵抗...的, 对...有耐药力的"
be satisfied with,对...感到满意
be second to,次于…
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
be vulnerable to,易受...的伤害
be willing to,愿意(做)...
be worth doing,无
by accident,偶然
by all means,"na. 必定；千方百计；不惜一切；好的
[网络] 务必；一定；无论如何"
by chance,"偶然, 也许"
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
by means of,依靠
by nature,天生地
by way of,"经由, 作为, 为了
[经] 当作, 为了, 通过"
back up,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
[计] 备份; DOS外部命令:通常使用于将硬磁盘上指定的文件复制到软盘上"
bear in mind,"na. 记住；铭记不忘；注意
[网络] 牢记在心；记在心里；考虑到"
keep in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
bear out,"na. 证明
[网络] 证实；支持；证实是正确的"
begin with,"以…开始,首先"
benefit by,"得益于…,从…中获得好处"
bet on,n. <法>混凝土
bid for,"要求,争取,投标,出价竞买"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
put into effect,"使生效, 执行...
[经] 执行, 使生效"
bring forth,生(孩子)；开(花)；结(果)；产生；宣布，公布，提出，显示；引起
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
[网络] 引进；带来；引入"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
bring out,"na. 公布；说出；出版；上演
[网络] 生产；阐明；说明"
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
burn down,"na. 烧光；(蜡烛等)逐渐烧完；火力减弱
[网络] 燃尽图；烧毁；把…烧成平地"
burn out,"n. 烧尽, 烧坏, 熄火
[化] 燃尽"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
burst out,"闯出来, 大声喊, 突发"
buy into,出钱入(某组织或企业)
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
[网络] 收购全部；买进全部产权或股权；买断"
buy up,"na. 囤积；整批收购；购进(其他公司)
[网络] 尽可能买进；全部买进；全部买下"
back and forth,[网络] 来来回回的
bad debt,[会计] 坏帐；[会计] 呆帐
badly off,"穷的, 缺少的"
be able to,"能, 会"
be addicted to,沉迷于…
be aware of,知道
be beneficial to,有益于
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be bound up with,与...有密切关系
be characterized by,"具有...的特性, 其特性为..."
be different from,"与…不同,和…不一样"
be distracted by,被…搞得心烦意乱;被…搞得要发狂
be enrolled in,"v. 入伍,入学"
be equal to,"胜任, 相等, 合适"
be equipped for,"准备好,对…有准备"
be equivalent to,"[计] 等价的, 等效的, 等值的"
be essential to,对…必要的
be faced with,"面对,面临着…"
be familiar with,熟悉
be familiar to,对…熟悉的
be fond of,"喜爱, 爱好"
behind the scenes,"在后台, 在幕后
[法] 秘密地, 暗中, 幕后"
be ignorant of,不知道
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be irrelevant to, 与。。。不相干，不切题
be jealous of,妒嫉
be liable for,"有...责任, 有...义务"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be made of,由...所组成
be marked by,"特点是,以…为特点"
be of ... importance,无
be open to,"对...开放, 愿接受...的"
be opposed to,"反对..., 与...相对"
be popular with,为...所喜欢
be proud of,"自豪, 高兴"
be relevant to,与...有关
be sensitive to,"敏感, 灵敏"
be stuck in, 困于，停止不前，动弹不得
be supposed to,"应该, 被期望"
be to blame,该受责备
be tolerant of,"忍耐,容忍,对…有忍耐力"
be typical of,是...的特点
be unaware of,"不知道, 不注意"
be unfamiliar with,"不熟悉…,对…很陌生"
be urged to,无
be worthwhile to,无
be worthy of,"值得,应得到"
beyond dispute,"没有争论余地, 无疑地
[法] 不可争辩"
beyond one's ability,无
bottom line,"adj. 起码的；最终；基本的
[网络] 底线；做人的底线；最重要的部分"
box office,"adj. 卖座很好的；受人欢迎的
[网络] 票房；售票处；谈票房"
but then,但另一方面
by analogy,用类推的方法
by and large,"大体上, 基本上"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
[网络] 用手工；手动；手工的"
by heart,[网络] 凭记忆；牢记；凭记性
by mistake,由于差错
by no means,决不
by reason of,"由于, 因为"
by the end of,"到…结束的时候,到…末"
blow up,"v. 炸掉；爆炸；充气；放大
[网络] 炸毁；发脾气；爆发"
boot up,"un. 启动；自举；引导；使系统开始工作
[网络] 启动磁盘；引导程序"
build in,"na. 加入；埋入；围以(房屋,围墙等)
[网络] 静态编译的驱动模块"
be appropriate for,"适合,适用于"
be charged with,"装满, 承担, 被控告
[法] 负...责任, 受...指控"
be correlated with,与...有关/相联系
be diligent in,无
be indispensable to,v. 必需
be indispensable for,无
between jobs,[网络] 失业；待业中；工作之间
beyond one's comprehension, 不可理解
beyond the capability of,无
beyond the dreams of,无
book value,"na. 账面价值；买卖净值；股本净值；单股价值
[网络] 公司净值；账面值；账面价值记账"
by a large margin,无
by courtesy of,蒙...好意
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
carry on,"继续开展, 行为愚蠢(或越轨)
[经] 继续发展(经营)下去"
check on,"检查,核对"
cling to,"依附, 依靠, 坚持"
come across,偶遇
compete with,与…竞争
comply with,照做
conform to,"符合,与…一致"
contribute to,捐献
cope with,"与...竞争, 应付, 处理"
contrary to,与…相反
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
[网络] 放弃；叫走，叫开；转移开"
call up,"na. 传；召集；打电话给；【电讯】呼唤
[网络] 动员；盖洛普组织；同本义"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
[网络] 赶上；追上；跟上"
cater to,迎合
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
[网络] 向…欢呼；为…加油；鼓励"
cheer up,"v. 鼓舞；振作一点
[网络] 振作起来；高兴起来；使高兴起来"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
[网络] 清除；打扫干净；清扫"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
close down,"[计] 停机, 关机, 停歇"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
[网络] 关闭；特写；靠近"
coincide with,符合
combine with,与...结合
come about,"发生, 改变方向"
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
come around,"na. 得到；达到；袭击
[网络] 苏醒；顺便过来；拜访"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come down to,"流传下来;压缩为,归结为,简化为"
come in,"na. 进入；当选；上台；(党派)组阁
[网络] 进来；请进；流行起来"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
come up with,"赶上, 提出"
comment on,评论
communicate with,通话
compare to, 把…比作， 喻为; 与…相比
