act on,"按...行动, 作用于
[机] 作用于"
compare with,"比较…,跟…相比,比得上…"
complain about,抱怨
complain of,"抱怨, 抗议"
concentrate on,"集中, 全神贯注于"
consent to,"同意, 答应"
consist of,由...组成
count in,"na. 算入
[网络] 把…计算在内；把……算入；算上"
cut across,抄近路通过
cut back,"na. 缩减；修剪(树枝等)；回叙往事
[网络] 削减；减少；消减"
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
cut out,"切掉, 删掉, 裁剪出, 安排好, 使适合, 停止, 放弃, 取代, 使分离, 突然离开
[建] 切断, 安全器"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
[网络] 切碎；剪碎；宰后得肉"
capable of, 有…能力（或技能）的，能…的
close to,"接近于, 靠近于"
come into being,"形成, 产生"
come into effect,"开始生效
[法] 生效"
go into effect,"生效,开始实施"
come into use,开始被使用
come to a close,结束
come to life,苏醒
come to light,"na. 显露
[网络] 真相大白；为人所知；出现"
come true,"实现, 成为事实"
commit suicide,[法] 自杀
common to, 共同的，共有的
comparable with,"可比较的, 比得上的；与…相容；可同…比较"
comparable to,"可比较的, 比得上的"
control over,控制
convenient to, 便利的，方便的；便于
choke up,"塞住, 噎住, 阻塞"
clamp down,"v. 严厉打击；强制执行；严禁；施压
[网络] 取缔"
clear away,"na. 扫除；砍去；(雾等)消散
[网络] 收拾；把…清除掉；去掉"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
[网络] 清除；消散；摆脱"
clear up,"n. 整理; 破案; 治愈
a. （案件）已经了结的; （罪犯）已捉拿的"
come apart,"分开, 分裂"
come in for,"遭到, 受到"
come into,"得到, 继承
[法] 继承"
compensate for,赔偿
confess to,"承认, 坦白; 〈宗〉向…忏悔"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
[网络] 平静下来；冷却；冷静下来"
correspond to,"相当于..., 与...相对应"
crack down," 采取严厉措施, 制裁; 打击"
crack down on,"制裁, 镇压"
curl up,"v. 蜷缩
[网络] 屈膝两头起；卷起；使蜷曲"
clear-cut,"a. 轮廓清晰的, 明确的, 清楚的
[法] 清晰的, 明确的, 轮廓清楚的"
come into operation,[法] 开始实施
go into operation,"生效, 开始工作"
come to a head,"出脓, 到紧急关头"
come to blows,开始互殴
come to grief,"遭到不幸, 遭难, 失败"
come to grips with,与...搏斗
come to hand,"na. 拿到手
[网络] 收到"
come to one's senses,"苏醒过来, 醒悟"
come to terms,"达成协议, 妥协, 让步
[法] 达成协议"
coupled with, 加上，外加
cross section,"n. 横截面（图）；剖面（图）；断面（图）；典型的一群人（或事物）
[网络] 横断面；横切面；横剖面"
cut and dried,"枯燥无味的,刻板的,老一套的;现成的,事先准备好的"
cut short,"na. 打断(讲话)；使停止；缩减；从简
[网络] 中断；突然停止；缩短"
deal with,"安排, 处理, 涉及, 做生意"
depend on,"依靠, 依赖"
derive from,从...得到；从...获取
die out,"熄灭, 平息, 消失"
do harm to, 损害。。。，伤害。。。; 残害
doze off,不知不觉地睡着了
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
date back to,"始于,可以追溯到…"
dedicate to,献身
deprive of,"un. 剥夺
[网络] 剥夺某人的；使失去；使丧失"
devote to, 把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注
die down,n. 【植物学】枯死
differ in, [医]达芙文（阿达帕林、丙二醇和EDTA凝胶）<抗痤疮药>
disagree with,"不同意, 不一致, 不适合"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
distinct from,adj. 不同于N
do business,"na. 做买卖
[网络] 做生意；经商；特指经商"
do for,"na. 帮助；适合做；除掉；毁掉
[网络] 照料；对…有效；照应"
do justice to,"公平对待, 适当处理"
do with,"与...相处, 忍受, 对付"
draw out,"na. 抽出；拔出；掏出；提出
[网络] 拉长；取出；拉出"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
drive away,"v. 赶走
[网络] 网站如；驱走；离开"
drop by,n. (招待政治家、议员等的)招待会
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
[网络] 减少；减弱；下车"
drop out,"n. 退学学生, 中途退学
[电] 离去"
drop out of,"退出,辍学,脱离"
drop to,下降到;跌到
dry out,n. 变干； (的过程)；干燥；[口语] (酒精中毒) 解毒办法 (或设备)
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
[网络] 枯竭；干透；乾涸"
do one's best,尽全力
try one's best,尽力
double-digit,"un. 两位数字的
[网络] 双位数；双位数字；位数百分比"
dozens of,"几十个,数十个;许多…"
draw a comparison,"做比较
打比方"
drive sb. to do sth.,无
deduce from,"推断
[法] ...从...推断(推出)..."
discriminate against,歧视
dispense with,"免除, 省却, 无需"
divide by,用…整除;因…而发生分裂
do away with,"废除, 弄死"
double up,"na. 摺；捏起(拳头)；(旅客等)同住一室；弯着身子
[网络] 加倍还款；增加供款额"
do up,"v. 修缮；收拾
[网络] 系；打扮；包扎"
dream up,"na. 凭空想出；凭空捏造出
[网络] 虚构；创造；梦想"
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
dead end,"a. 尽头的, 没有发展前景的, 无出路的
vi. 到达尽头"
do one's bit,尽自己的一份力量
do one's utmost,竭力
do the honors," 尽地主之谊, 招待宾客"
draw dividend,无
drive into action,无
evolve from,由...进化
exert influence on,对…施加影响
eat up,"吃光, 耗尽, 吞灭"
embark on,"从事, 着手"
engage in,"使从事于, 参加"
engage with,交战
escape from,逃脱
experiment on,对...进行实验
extract from,从…中提取
earn one's living,"谋生, 维持生活"
either ... or,"a. 两者择一, 两者择一的, 非此即彼的
[计] ""异"", 二者择一"
even if,即使
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
ever since,自从…时候起(一直)
every other,"na. 每隔；所有其他；每隔一；其他的…都
[网络] 每隔一个的；每隔一个地；其他的...都"
every so often,"时常, 常常, 不时"
except for,"除...以外
[经] 除...外"
expert in, 熟练于…
fail to, 未能…
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
filter out,[化] 滤出
for example,"na. 例如
[网络] 举例；比如；譬如"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for instance,n. [美国口语]例子
for long,"na. 长久 longs and shorts 1. 诗〔尤指古希腊的和古拉丁的〕. 2. 【建筑】长短砌合
[网络] 弗隆；佛龙；欧龙"
fall behind,"落在后面, 拖欠"
fall down,na. (向下游)流下；〔美俚〕失败；跌倒；同“fall”
fall for," 上当, 听信; 爱上"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
[网络] 感觉气温"
fight back,"n. 回击
[网络] 我们的声音"
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
fill up,"n. 真满；填满；填料；填筑的
v. 填塞；填补
[网络] 充满"
fill with,"v. 充满
[网络] 使充满；装满；用……填充"
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
finish up,"结束, 完成, 用光"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit into,"嵌入,进入"
fix on,"确定, 决定"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
[网络] 修补；安顿下来；改进"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
follow through,"n. 持久的贯彻, 持续"
fair play,"na. 正派的比赛；公平；漂亮
[网络] 公平裁判；费尔泼赖；费厄泼赖"
far from,"远离, 远非"
far off,"a. 遥远的, 心不在焉的"
far-reaching,"adj. 深远的；广泛的
[网络] 影响深远的"
first and foremost,首要地
first of all,首先
fit for, 给…量尺寸以便做…; 适于， 适合
fit to,"un. 调整到
[网络] 飞图；菲图；涂鸦墙"
follow suit,"跟着做, 跟着出同花色的牌"
for a while,暂时
for certain,肯定地
for ever,"na. 永远
[网络] 免费发短信的网站"
for free,免费地
for good,"永久地, 永远地, 一劳永逸地"
for one's part,"对某人来说, 就个人来说"
for one thing,首先
for sale,"na. 出售(的)
[网络] 待售；供出售；出售的"
for short,"简称, 缩写"
for sure,"adv. 确实
[网络] 肯定地；确切地；毫无疑问"
for the benefit of,为…的利益 ; 为惩戒…
for the most part,在极大程度上
for purpose of,为…的目的
for the purpose of, 为了，因…起见; 借以
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
full time,"专职,全部工作时间的,全日制"
fall out of,"放弃, 中止"
find fault with,"挑剔,指责,对…吹毛求疵"
flare up,"na. (突然)焚烧；(信号的)闪光；激怒；(一时的)盛况
[网络] 急剧释放"
flash on,"立刻理解,马上体会出;闪亮,闪烁;感到恍恍忽忽"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
for good measure,"作为额外增添, 另外"
for the time being,暂时
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
go against,"反对, 违反, 不利于"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
get ahead,"na. 进步；前进
[网络] 获得成功；超过；走在前面"
get back to,"回到…,继续…"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
[网络] 到达；收割；进站"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get out,n. 逃脱，逃避；逃脱手段，脱身之计；收支相抵，销售款与支出费用相同
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
[网络] 逃避；摆脱；离开"
give access to,"准许进入,使得以进入"
give birth to,产生
give priority to,"给…以优先权,优先考虑…"
go along,"na. 前进
[网络] 进行；沿着……一直走；同意"
go out,"na. 出国；(火,灯)熄；辞职；下台
[网络] 熄灭；出去；外出"
go with,"伴随, 与...相配"
get going,"na. 〈美口〉开始；出去；使某人发怒
[网络] 出发；动手；走"
get in the way,"挡住去路,障碍,碍事"
get ready,[网络] 准备好；预备；做好准备
get on in life,"发迹, 飞黄腾达"
get out of the way,"v. 解决；除去
[网络] 让开；避开；闪开"
have nothing to do with,与...无关
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
[网络] 交出；让与；交给"
happen to sb.,"碰巧,偶然;发生于"
happen to sth.,"碰巧,偶然;发生于"
have a good time,过得快乐
have an advantage over,"胜过,比…优越"
have connection with, 与…有联系
have difficulty in,对…有困难
have faith in,"na. 相信
[网络] 信任；对……有信心；信仰"
have no use for,"不需要, 厌恶"
hear from,"接到...的信, 受...批评"
help to,"un. 替某人或自己取食物、饮料等:
[网络] 有助于；促进"
hold on,不挂断电话，等一下；继续
hold up,"n. 拦劫行人的强盗行为, 劫盗, 停顿, 索高价
[经] 索高价, 阻碍, 停顿"
hundreds of thousands of,"几十万,无数"
insist on,"坚持, 坚决要求"
intend to,"打算(做)..., 想要(做)..."
if only,"na. 只要；只要…；要是…就好  if possible 如果可能
[网络] 如果能再爱一次；要是……就好了；但愿"
in addition,另外
in and out,"a. 时好时坏的, 暂时性的,买进卖出的"
in a sense,在某种意义上
in a word,"na. “in a few words”的变体
[网络] 总之；简言之；总而言之"
in brief,"简言之, 以简洁的形式"
in consequence,"n. 不合理, 矛盾, 不切题"
in contrast,"比较起来, 相反地, 而"
in effect,"有效
[法] 有效, 生效, 实际上"
in face of,"面对,在…面前;不顾,即使"
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
in favor of,"赞同, 有利于"
in general,大多数
in line with,符合
in order to, 为了…
in particular,特别
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
in terms of,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
in theory, 理论上
in the wake of,"尾随, 紧跟, 仿效"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
in vain,"na. 无益地；轻忽地
[网络] 徒然；徒劳；白白地"
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
integrate into,与…成为一体
integrate with,使与...结合
interact with, 与…相互作用，与…相互影响; 与…相互配合
interfere with,"干涉,干扰,妨碍"
ill-informed,"a. 消息不灵通的, 所知不多的"
in action,"n. 不活动, 无为, 怠惰, 迟钝
[医] 无作用"
in any case,无论如何
in-built,"a. 内置的, 固定的, 嵌入的"
in business,"在营业,在生产,在做生意"
in cash,[经] 用现金
in competition with,[网络] 与…竞争；在与…竞争之中；与……比赛
in contact with,与...在接触中
in danger,"na. 在危险中
[网络] 垂危；处于危险之中；处于危险中"
in depth,"na. 广泛
[网络] 深入地；全面深入地；深入的"
in despair,绝望地
in detail,详细地
in dispute,在争论中
in exchange for,交换
influence on,对…有影响
in front of,在...前面
in large numbers, 满谷满坑；成群；满坑满谷
in matter of,与…有关
in memory of,纪念...
in need,"在急需时,在贫困时,在危难中"
in order,"整齐, 状况良好, 适宜"
in other ways,在其他方面
in other words,换句话说
in part,部分地
in perspective,"正确地, 显示在脑海中, 符合透视法地"
in practice,"在实践中, 实际上, 熟练"
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
[网络] 印上；息气是铭印；铭印现象"
in public,当众
in quest of,为了追求...
in reality,"实际上, 事实上"
in respect of,"[法] 关于, 就...而言"
in response to,"回答..., 响应..., 对...有反应
[法] 为响应, 答复"
in return,作为报答
in return for,作为...的报答
in search of,寻找
in short supply,供应不足
in some ways,在某些方面
in spite of,不管
in sympathy with,"赞同..., 与...一致"
in ... terms,"用...的话来说, 以...的措词, 用...的思想方法, 在...方面, 从...方面说来"
in the background,在幕后;隐蔽地
in the end,"最后, 终于"
in the eyes of,在...心目中
in the heart of,在…中心
in the interest of,"na. 为了…的利益
[网络] 对……有利；为了……利益；符合……的利益"
in the knowledge of,无
in the light of,"由于, 当作
[法] 根据, 按照"
in the long run,"长远, 最后"
in the long term,长远地
in the short term,短期内
in the manner of,"以…方式,按照,根据…"
in the past,在过去
in the process of,在...的过程中
in the way,挡道
in the way of,在…方面;在…过程中;作为…;阻碍…
in use,"na. 正在用；通行；“in/out of use”的变体
[网络] 中；使用过；在使用中"
in words,口头上
impose on,"v. 强迫；欺骗
[网络] 把…强加于；施加影响于；利用"
interfere in,"干预,干涉,介入"
in ample supply,无
in a row,"成一长行, 连续, 一连串"
in blinding flash,无
in the pipeline,"在进行,在着手,在准备,在制定"
jump on,扑向
keep down,"na. 压住；压服；【印】用小活字排印；缩减
[网络] 控制；镇压；控制，压制，镇压"
keep an eye on,"照看, 密切注视"
keep one's word,守信
keep up,"na. 维持；保持；持续；停歇
[网络] 继续；坚持；继续下去"
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
kill off,"na. 消灭
[网络] 杀光；扼杀，否决；除去"
keen on, 热衷于有兴趣的
keep one's eyes open,"注意, 留心"
keep abreast of,保持与...并列
keep track of,了解
key in,"n. 〔计〕键盘输入
v. 键入
[网络] 录入；按键输入；键输入子模块"
lay off,"n. 解雇, (临时)解雇期, 关闭, 停歇
[经] 临时解雇, 停止工作, 休息"
lead to,"导致, 通向"
lead up to,"带到, 导致, 作为...的准备"
look for,"寻找, 期待"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
lead into,把…带入; 导致; (道路等)通向
lead on,"na. 哄骗；怂恿
[网络] 继续引领；雷帝；率领"
lean on,"na. 靠在；倚赖；【军】据险(固守)
[网络] 依靠；依赖；倚靠"
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
lie down,"v. 躺；不反抗；屈服；顺从
[网络] 躺下；躺卧；倒卧"
lie with,是...的权利/义务
line up,"n. 一排人; 一组人; （用途相同的）一批东西; （比赛时）球员的阵容
v. 排成行, 排成直线"
live by,靠…为生
live in,"na. 住进；(雇员)住在东家
[网络] 居住"
live off,"以...为食料, 靠...生活"
long for,渴望
