defensive,"adj.防御用的,自卫的n.防御"
criticise,"v.批评,吹毛求疵,非难"
apply,"vt.申请,应用vi.申请,适用"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
boost,v.推进
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
affirm,"v.断言,确认,肯定"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
false,"adj.错误的,虚伪的,假的,无信义的,伪造的,人工的,不老实的adv.欺诈地"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
genuine,"adj.真实的,真正的,诚恳的"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
intuition,"n.直觉,直觉的知识"
oversee,"v.俯瞰,监视,检查,视察"
paradise,n.天堂
participant,"n.参与者,共享者adj.参与的"
portray,v.描绘
profile,"n.剖面,侧面,外形,轮廓"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
reflection,"n.反射,映象,倒影,反省,沉思,反映"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
superiority,"n.优越,高傲"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
complain,"v.抱怨,悲叹,控诉"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
damn,v.谴责
despise,vt.轻视
humiliate,"v.羞辱,使丢脸,耻辱"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
reproach,v.责备
scold,"v.责骂,申斥,斥责"
underestimate,"vt.低估,看轻n.低估"
devoted,"adj.投入的,深爱的"
concertgoer,n.常参加音乐会者
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
recording,"adj.记录的,记录用的n.录音带,唱片"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
performance,"n.履行,执行,成绩,性能,表演,演奏"
miss the point,
abnormal,"adj.反常的,变态的"
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
activate,
announcement,"n.宣告,发表,一项公告,一项私人告示"
artistic,"adj.艺术的,有美感的,风雅的"
art-loving,
attract,"vt.吸引vi.有吸引力,引起注意"
audience,"n.听众,观众,接见,拜见"
availability,"n.可用性,有效性,实用性"
boot up,
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
classical music,
comparatively,"adv.比较地,相当地"
conductor,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
