defensive,"adj.防御用的,自卫的n.防御"
description,"n.描写,记述,形容,种类,描述"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
ever since,
favorable,"adj.赞成的,有利的,赞许的,良好的,讨人喜欢的,起促进作用的"
favourable,"adj.赞成的,称许的,有利的,顺利的n.有利"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
hitherto,"adv.迄今,至今"
holy,"adj.神圣的,圣洁的n.神圣的东西"
impressive,"adj.给人深刻印象的,感人的"
instrumentalist,
interesting,"adj.有趣味的,引起好奇(或注意)的"
invisible,"adj.看不见的,无形的"
iTunes,
listener,"n.收听者,听众"
markedly,"adv.显著地,明显地"
museum,n.博物馆
music director,
musician,n.音乐家
mysterious,adj.神秘的
novelty,"n.新颖,新奇,新鲜,新奇的事物"
opera house,
orchestra,"n.管弦乐队,乐队演奏处"
philharmonic,adj.爱好音乐的n.交响乐团
quality,"n.质量,品质,性质"
relay,"n.驿马,接替,[电工]继电器vt.(消息,货物等)分程传递,使接替,转播vi.得到接替,转播"
retrospect,n.回顾
sober,adj.冷静的v.镇定
solemn,"adj.庄严的,隆重的,严肃的"
troupe,n.剧团
unpretentious,"adj.不骄傲的,谦逊的"
vibrant,adj.振动
ant,
predatory,"adj.掠夺的,食肉的"
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的"
aphid,n.[动]蚜虫
spammer,
inbox,n.收件箱
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
acquire,"vt.获得,学到"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
astonish,vt.使惊讶
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
clumsy,adj.笨拙的
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
compare,"v.比较,相比,比喻 n.比较"
compete,"vi.比赛,竞争"
competition,"n.竞争,竞赛"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
dominate,"v.支配,占优势"
enemy,"n.敌人,仇敌,[集合名词]敌军,[喻]大敌adj.敌人的,敌方的"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
identity,"n.同一性,身份,一致,特性,恒等式"
imbalance,"n.不平衡,不均衡"
incidentally,"adv.附带地,顺便提及"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
input,n.输入v.输入
intricate,"adj.复杂的,错综的,难以理解的"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
notwithstanding," prep.虽然,尽管adv.尽管,还是 conj.虽然,尽管"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
prosperous,adj.繁荣的
purchase,"vt.买,购买n.买,购买"
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
record,"n.履历,档案,诉状,最高纪录,报告,唱片vt.记录,标明,将...录音vi.录音,被录音adj.创纪录的"
repay,"v.偿还,报答,报复"
replace,"vt.取代,替换,代替,把...放回原处"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
reveal,"vt.展现,显示,揭示,暴露"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
undertake,"vt.承担,担任,许诺,保证v.采取"
update,"v.使现代化,修正,校正,更新n.现代化,更新"
utilize,vt.利用
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
via," prep.经,通过,经由"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
whatsoever, pron.无论什么
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
continue,"v.继续,连续,延伸"
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东"
wholly,"adv.整个,统统,全部,专门地"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
unleash,v.释放
necessity,"n.必要性,需要,(常 pl.) 必需品"
adverse,"adj.不利的,敌对的,相反的"
agency,"n.代理处,行销处,代理,中介"
aggravate,"vt.使恶化,加重"
agony,"n.苦恼,极大的痛苦"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
ash,"n.灰,灰烬,[植]岑树"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
billion,n.adj.十亿(的)
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
casualty,n.伤亡
catastrophe,"n.大灾难,大祸"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
disperse,"v.(使)分散,(使)散开,疏散"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
emission,"n.(光、热等的)散发,发射,喷射"
emit,"vt.发出,放射,吐露,散发,发表,发行"
enclosure,"n.围住,围栏,四周有篱笆或围墙的场地"
evacuate,"v.疏散,撤出,排泄"
expenditure,"n.支出,花费"
expense,"n.费用,代价,损失,开支,费钱之物"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
fight,"n.打架,战斗,斗志vi.打仗,搏斗,对抗,打架vt.与...打仗,指挥战斗,反对...提案"
flame,"n.火焰,光辉,光芒,热情,激情"
frequency,"n.频率,周率,发生次数"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
ignite,"v.点火,点燃"
incidence,"n.落下的方式,影响范围,[物理]入射"
incident,"n.事件,事变adj.附带的,易于发生的"
inclusive,
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
percentage,"n.百分数,百分率,百分比"
pile,"n.堆,大堆,高大建筑,<美口>大量钱财,<美>[核]反应堆,[电]电池组vi.堆起,堆积,积累,挤vt.堆于,累积,堆叠,打桩于,用桩支撑"
precaution,"n.预防,警惕,防范"
problem,"n.问题,难题"
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
roast,"v.烤,烘,烘烤,暴露于某种热力下以得温暖"
simplify,"vt.单一化,简单化"
sparkle,"v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁n.火花,闪光,光彩,活力,发泡"
specialist,"n.专门医师,专家"
spend,"v.花费,消耗,用尽vt.度过,消磨"
toward," prep.向,对于,为了adj.有希望的,有利的,逼近的,温顺的"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
scrutinize, 细察
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
response,"n.回答,响应,反应"
shareholder,n.股东
pressure,"n.压,压力,电压,压迫,强制,紧迫"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
nod,"v.点头,点... n.点头"
wish,"n.愿望,心愿,请求,所愿望的事物,祝愿v.希望,想要,但愿,祝贺"
move on,
abound,"vi.多,大量存在,富于,充满"
acceptable,"adj.可接受的,合意的"
adhere,"vi.粘附,胶着,坚持v.坚持"
ambition,"n.野心,雄心"
aspiration,"n.热望,渴望"
aspiring,"adj.热心的,积极的,有抱负的"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
business,"n.商业,买卖,交易,生意,事情,事物,营业,商行"
candidate,"n.候选人,投考者"
cautious,"adj.谨慎的,小心的"
chairman,"n.主席,会长"
chief,"n.首领,领袖,酋长,长官,主要部分,最有价值的部分adj.主要的,首要的,首席的,主任的"
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
cloud,"n.云,烟云,(pl.)天空,污点vt.以云遮敝,玷污,使黯然vi.乌云密布,阴沉"
commodity,n.日用品
deputy,"n.代理人,代表"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
environment,"n.环境,外界"
excuse,"vt.原谅,申辩,做为...的托辞,为...免去n.饶恕,致歉,理由,口实,借口,清借条,免去"
exit,"n.出口,太平门,退场,去世vi.退出,脱离,去世 [计]  离开当前命令行外壳"
explanation,"n.解释,解说,说明,辩解,互相讲明"
financial,"adj.财政的,金融的"
financial crisis,
goal,"n.目的,目标,守门员,球门,(球赛等的)得分"
headhunter,n.猎取人头的蛮人
Internet-based,
manager,"n.经理,管理人员,管理器"
message,"n.消息,通讯,讯息,音讯,差使,广告词,预言,教训vt.通知vi.带信息"
nervous,"adj.神经紧张的,不安的,强健有力的"
poach,"vt.水煮(荷包蛋),把...踏成泥浆,侵入偷猎,窃取vi.偷猎"
president,"n.总统,会长,校长,行长"
pronouncement,n.声明
pursue,"vt.追赶,追踪,追击,继续,从事"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
recovery,"n.恢复,痊愈,防御"
recruiter,"n.征兵人员,招聘人员"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
straight up,
surprisingly,adv.令人惊讶地
turbulent,"adj.狂暴的,吵闹的"
unconventional," /n.非常规,异常ly//adv.不依惯例l/adj.非传统的"
usual,"adj.平常的,通常的,惯例的"
accordingly,"adv.因此,从而"
adore,"v.崇拜,爱慕,(口语)喜爱"
applaud,"v.拍手喝彩,称赞,赞同"
applause,"n.鼓掌欢迎,欢呼"
approve,"vi.赞成,满意vt.批准,通过v.批准"
commend,"vt.称赞,表扬,推荐,委托,吸引"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
extra,"adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员"
contribution,"n.捐献,贡献,投稿"
stand out,
abandon,"vt.放弃,遗弃;n.放任,狂热"
automation,"n.自动控制,自动操作"
batch,"n.(面包等)一炉,一批,批处理"
cotton,"n.棉花,棉线"
deficit,"n.赤字,不足额"
discard,"vt.丢弃,抛弃v.放弃"
erase,"vt.抹去,擦掉,消磁,<俚>杀死"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
foreign,"adj.外国的,外交的,外国产的,外来的,[医]异质的,不相关的"
impair,v.削弱
impetus,"n.推动力,促进"
joke,"n.笑话,玩笑v.(和...)开玩笑"
machine,"n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工"
manufacture,"vt.制造,加工n.制造,制造业,产品"
mill,"n.压榨机,磨坊,磨粉机,工厂,制造厂vt.碾磨,磨细,搅拌,使乱转,打vi.乱转,被碾磨"
momentum,"n.动力,要素"
normalization,"n.正常化,标准化"
propel,"vt.推进,驱使"
rapid,"adj.迅速的,飞快的,险峻的n.急流,高速交通工具,高速交通网"
strip,"vt.剥,剥去n.条,带"
strive,"v.努力,奋斗,力争,斗争"
stubborn,"adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的"
summon,"v.召集,召唤,号召,鼓起,振作"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
surpass,"vt.超越,胜过"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
terminate,"v.停止,结束,终止"
textile,n.纺织品adj.纺织的
undermine,v.破坏
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
weld,"vt.焊接n.焊接,焊缝"
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费"
costly,"adj.昂贵的,贵重的"
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
devalue,"v.(=devaluate)减值,贬值"
evaluate,"vt.评价,估计,求...的值v.评价"
invaluable,"adj.无价的,价值无法衡量的"
merit,"n.优点,价值v.有益于"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
worthy,"n.杰出人物,知名人士adj.有价值的,应...的,可敬的,值得的,相称的"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
exceptional,"adj.例外的,异常的"
notably,"adv.显著地,特别地"
specially,"adv.特别地,临时地"
describe,
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
reaction,"n.反应,反作用,反动(力)"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
abrupt,"adj.突然的,陡峭的,生硬的"
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
amplifier,"n.[电工]扩音器,放大器"
antenna,n antenae <动>触角 (antenna)n.天线
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
coexistence,n.共存
compose,"v.组成,写作,排字,(使)安定,调解"
composer,"n.作家,作曲家,设计者,著作者"
composition,"n.写作,作文,成分,合成物"
concerto,n.协奏曲
consecutive,"adj.连续的,联贯的"
continuity,"n.连续性,连贯性"
courageous,"adj.勇敢的,有胆量的"
crescendo,n.声音渐增
echo,"n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射 [计] 禁止(或允许)在屏幕上显示批处理命令行"
harmony,"n.协调,融洽"
have something to do with,
human being,
impress,"vt.印,盖印,留下印象"
instrument,"n.工具,手段,器械,器具,手段"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
marvelous,"adj.引起惊异的,不可思议的,非凡的"
mathematical,"adj.数学的,精确的"
metaphysical,"adj.形而上学的,纯粹哲学的,超自然的"
musical,"adj.音乐的,悦耳的 音乐喜剧"
overhear,"vt.无意中听到,偷听"
performer,n.表演者
philosophical,adj.哲学的
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
poetic,adj.诗歌的
prelude,"n.先驱,前奏,序幕"
prevail,"vi.流行,盛行,获胜,成功"
principally,adv.主要地
purely,"adv.纯粹地,完全地"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
revolutionary,adj.革命的
rhythm,"n.节奏,韵律"
sensual,"adj.肉欲的,色情的,世俗的,感觉的,感觉论的"
soft music,
sonata,n.[音]奏鸣曲
soul,"n.灵魂,心灵,精神,精力"
spiritual,adj.精神上的
strength,"n.力,力量,力气,实力,兵力,浓度"
symphony,"n.交响乐,交响曲"
tone,"n.音调,音质,语调,色调,状况,品质,语气,气氛vt.调和,增强,以特殊腔调说,配合,定音调vi.颜色调和"
underlying,"adj.在下面的,根本的,潜在的,[商]优先的"
volume,"n.卷,册,体积,量,大量,音量"
jump to,
distinctly,"adv.清楚地,显然"
shaky,"adj.虚弱的,颤抖的,不安的,不可靠的,震动的,摇晃的,动摇的"
to the effect,
eat up,
fail to,
absence,"n.不在,缺席,缺乏,没有"
biologist,n.生物学家
biotic,"adj.关于生命的,生物的"
continuance,"n.持续,继续,停留"
creature,"n.人,动物,傀儡,创造物"
ecologically,
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
ethic,"n.道德规范,伦理"
forester,"n.林务官,森林人"
forestry,"n.林产,森林地,林学"
in respect of,
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
land,"n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于"
lapse,"n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降"
mammal,n.哺乳动物
noncommercial,adj.非经营的
noneconomic,adj.非经济的 无实用价值的
painful,"adj.疼痛的,使痛苦的"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
self-interest,
stability,n.稳定性
timber,"n.木材,木料"
uneconomic,
botany,n.植物学
bud,"n.芽,蓓蕾vi.发芽,萌芽"
bush,"n.矮树丛,(机械)衬套"
hay,
herb,"n.药草,香草"
moss,"n.苔,藓"
oak,"n.[植]橡树,橡木adj.橡木制的"
pine,"n.松树,树木v.消瘦,憔悴,渴望,渴慕"
reed,"n.芦苇,芦笛,簧片,管乐器"
reservation,"n.保留,(旅馆房间等)预定,预约"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
sprout,v.萌芽n.苗芽
stalk,"n.茎,柄,梗,秆"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
straw,"n.稻草,麦杆"
thorn,"n.[植]刺,棘,荆棘"
weed,"n.野草,杂草v.除草,铲除"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
cricket,"n.[昆]蟋蟀,[运动]板球"
flea,"n.跳蚤,低廉的旅馆,生蚤的动物"
insecticide,n.杀虫剂
mosquito,n.蚊子
moth,"n.蛾,蛀虫"
pest,n.有害物
spider,"n.蜘蛛,设圈套者,三脚架"
vermin,"n.害虫,寄生虫,害兽,害鸟,歹徒"
wasp,
marked,"adj.有记号的,显著的"
noticeable,"adj.显而易见的,值得注意的"
outstanding,"adj.突出的,显著的"
pronounced,"adj.讲出来的,显著的,断然的,明确的"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
transparent,"adj.透明的,显然的,明晰的"
moralist,"n.道德家,有道德的人,伦理学者"
satirist,n.讽刺作家
reformer,"n.改革家,改革运动者"
craft,"n.工艺,手艺"
complex,"adj.复杂的,合成的,综合的n.联合体"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
striking,"adj.打击的,显著的,惊人的,罢工的"
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
panorama,"n.全景 全景画,全景摄影"
a series of,
at the same time,
backdrop,"n.背景幕,(事件的)背景"
best-known,
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
celebrated,adj.著名的
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
comic,"n.滑稽演员adj.滑稽的,喜剧的"
comic novel,
commit suicide,
darkness,"n.黑暗,漆黑"
displeasure,"n.不愉快,不满意"
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
generally,"adv.一般,通常,一般地"
idea,"n.想法,念头,意见,主意,思想,观念,概念"
installment,n.部分
internationally,"adv.国际性地,在国际间"
man of letters,
novelist,n.(长篇)小说家
pen name,
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
prose,n.散文
reputation,"n.名誉,名声"
respectable,"adj.可敬的,有名望的,高尚的,值得尊敬的"
serially,"adv.连续地,连续刊载地"
shorthand,n.速记
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
story,"n.故事,小说,传说,事迹,经历,假话,谎话"
successfully,"adv.顺利地,成功地"
transcribe,v.转录
unacknowledged,"adj.不被承认的,未答复的"
woodcut,"n.木刻,[印]木刻印版,木版画"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
court stenographer,
slum,n.贫民窟vi.访问贫民区
earn one's living,
education reform,
errand,"n.差事,差使,使命"
factory,"n.工厂,制造厂,商住花园外的代理"
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
housekeeper,"n.主妇,女管家"
humiliation,"n.羞辱,蒙耻"
imprison,"vt.监禁,关押v.监禁"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
orphan,"n.孤儿,失去生母的幼小动物adj.无双亲的,孤儿的vt.使成孤儿"
possess,"vt.占有,拥有,持有,摆布,支配"
poverty,"n.贫穷,贫困,贫乏,缺少"
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
reporter,"n.记者,通讯员"
social conflict,
social environment,
sociology,n.社会学
status,"n.身份,地位,情形,状况"
steward,"n.(轮船,飞机等)乘务员,干事"
supposedly,"adv.想像上,按照推测"
workhouse,"n.囚犯工厂,贫民习艺所"
wound,"n.创伤,伤口vt.伤,伤寒v.击伤"
century,"n.世纪,百年,百个,板球中的一百分,百元(钞票)"
town,"n.市镇,城镇"
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的"
planning,n.计划编制
enable,"vt.使能够,授予权利或方法"
retain,"vt.保持,保留"
enviable,"adj.令人羡慕的,可羡慕的"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
coherence,n.一致
low-density,
urban,"adj.城市的,市内的"
living,"n.生活,生计,生存空间,居住面积adj.活的,起作用的,逼真的,现存的"
alongside,adv.在旁 prep.横靠
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
concept,"n.观念,概念"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
conservation,"n.保存,保持,守恒"
considered,"adj.考虑过的,被尊重的"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
countryside,"n.乡下地方,乡下居民"
crowded,"adj.拥挤的,塞满的"
dweller,"n.居住者,居民"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
green belt,
guardianship,"n.保护,守护,监护人的职责"
infrastructure,"n.下部构造,基础下部组织"
landscape,"n.风景,山水画,地形,前景v.美化"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
leisure,"n.空闲,闲暇,悠闲,安逸"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
meadow,"n.草地,牧场"
natural,"adj.自然的,自然界的,关于自然界的,天生的,天赋的,普通的,正常的,简单自然的 本位号"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
profitable,adj.有利可图的
renewal,"n.更新,复兴,恢复,续借,重申,补充"
renovation,n.革新
rescue,"vt.援救,营救n.援救,营救"
sensible,"adj.有感觉的,明智的,有判断力的"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
spectrum,"n.光,光谱,型谱 频谱"
sustainable,"adj.可以忍受的,足可支撑的,养得起的,"
village,"n.乡村,村庄adj.村庄的"
agriculture,"n.农业,农艺,农学"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
barn,"n.[农]谷仓,畜棚,畜舍,机器房"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
cultivate,"vt.培养,耕作"
dam,"n.水坝,障碍v.控制,筑坝"
ditch,"n.沟,沟渠,壕沟"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
drill,"n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机v.训练,钻孔,条播"
famine,"n.饥荒,<古>饥饿,严重的缺乏"
fell," vbl.fall 的过去式vt.击倒,打倒(疾病等),致于...死地,砍伐n.一季所伐的木材,兽皮,羊毛adj.凶猛的,可怕的"
fertile,"adj.肥沃的,富饶的,能繁殖的"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
orchard,"n.果园,果园里的全部果树,<美俚>棒球场"
ore,"n.矿石,含有金属的岩石"
