watermelon,n. 西瓜
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pencil case,n. 铅笔盒
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
lawn,"n. 草地, 草坪, 上等细麻布
[机] 细筛"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
[计] 路径; DOS内部命令:设定DOS读取程序的路径"
bench,"n. 长椅；法官；法官席位；法官（或裁判官）的职位
v. 在…安置凳子；使坐凳子上；使坐席位；使坐名誉席
[网络] 长凳"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
[计] 阴影"
sun,"n. 太阳；日；太阳的光和热；阳光
v. 晒太阳
[网络] 阳光(sunshine)；孙；昇阳"
the sun, 阳；东曦；太阳
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
high,"adj. 高的；有某高度的；（离地面）很高的；海拔很高的
adv. 在高处；向高处；（成本、价值）高；（数量）大
n. 最高水平；最大数量；高气压区；反气旋
[网络] 高档礼盒；高压；高品质"
at noon,adv. 在中午
go down,"na. 下去；(日,月)落下；继续到  (风,浪等)平静下来；消退
[网络] 下降；下沉；下降，降低"
play football,踢足球;对难办的事采取踢足球的态度
play table tennis,[网络] 打乒乓球；打桌球；玩乒乓球
play volleyball,[网络] 打排球；玩排球；排球比赛
play badminton,[网络] 打羽毛球；打羽球；玩羽毛球
play basketball,[网络] 打篮球；玩篮球；篮球锻炼知多少
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
poster,"n. 海报, 招贴, 驿马"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
[计] 连接; 汇合指令"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
cat food,"n. 【食】猫粮
[网络] 猫食；猫食物；猫罐头"
dog food,[网络] 吃狗食；吃狗粮；吃自己的狗食
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
tortoise,"n. 龟, 行动迟缓的人"
cute,"a. 可爱的, 聪明的, 伶俐的
[医] 品他病"
bedroom,[网络] 卧室；睡房；卧室系列
living room,"客厅, 起居室"
bathroom,"na. 洗澡间；盥洗室；〈书〉厕所
[网络] 浴室；卫生间；浴室系列"
kitchen,"n. 厨房, 全套炊具
[医] 厨房"
homework,"na. 课外习题；家庭工作；(讨论等以前的)准备工作
[网络] 功课"
model plane, 模型飞机
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
dinner,"n. 晚餐, 正餐, 宴会"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
bell,"v. 叫；给…装上铃；使成铃状；鸣钟[按铃]召(人)
n. 铃（声）；钟（声）；钟状物；电铃（声）
[网络] 魂断日内瓦；颠茄；龙癸"
television,[网络] 电视；上电视；远距传递视野
TV,"n. 电视；电视机
abbr. (=television)
[网络] 电视(television)；电视剧；快门优先"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
[计] 声音"
noisy,"a. 嘈杂的, 喧闹的
[机] 噪声的, 嘈杂的"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
watch TV, 看电视
seven o'clock,[网络] 七点钟；七点；七点整
a quarter past seven,无
half past seven,无
a quarter to eight,无
get up,"na. 起床；起身；站起来；叫…起床
[网络] 起立；打扮；安排"
brush my teeth,[网络] 刷牙；刷我的牙；我正在刷牙
wash my face,无
have breakfast, 吃早饭
always,"adv. 总是, 始终"
usually,"adv. 通常, 大抵"
often,"adv. 时常, 常常"
sometimes,"adv. 有时, 时常, 往往"
never,"adv. 从不, 决不, 不曾
[法] 永不, 决不, 从来没有"
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Chinese chess,n. 象棋
at weekends, 在周末
piano,n. 钢琴
violin,n. 小提琴
triangle,"n. 三角形, 三个一组, 三角关系
[医] 三角, 三角形"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
[计] 磁鼓"
music,"n. 音乐, 乐曲"
the Spring Festival, 春节
the Dragon Boat Festival, 端午节（端午节为每年农历五月初五，本来是夏季的一个驱除瘟疫的节日，后来楚国诗人屈原于端午节投江自尽，就变成纪念屈原的节日。端午节的习俗有吃粽子、赛龙舟、挂菖蒲、蒿草、艾叶、薰苍术、白芷，喝雄黄酒等）; 端节
the Mid-autumn Festival,[网络] 中秋节
the Double Ninth Festival,无
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
rice dumpling, 粽子
duckling,n. 小鸭子
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
[计] 嵌套"
