accustomed,"adj.通常的,习惯的,按照风俗习惯的"
imminent,"adj.即将来临的,逼近的"
inaugural,"adj.就职的,开始的n.就职演说"
indifferent,adj.无关紧要的
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
lingering,"adj.延迟的,逗留不去的"
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸"
mutual,"adj.相互的,共有的"
namely,"adv.即,也就是"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
ominous,"adj.预兆的,恶兆的,不吉利的"
ostensibly,adv.表面上
outspoken,adj.坦率直言的
pending,adj.未决的
perpetual,adj.永久的
persistent,adj.持久稳固的
persuasive,"n.说服者,劝诱adj.善说服的"
pervasive,adj.普遍深入的
phony,adj.假冒的n.假冒者
poignant,"adj.令人痛苦的,(味觉、嗅觉方面)刺激的、辛辣的,尖锐的,剧烈的"
preliminary,"adj.预备的,初步的"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
primitive,"adj.原始的,远古的,粗糙的,简单的"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
prominent,"adj.卓越的,显著的,突出的"
promising,"adj.有希望的,有前途的"
radical,"adj.根本的,基本的,激进的n.激进分子"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
reckless,adj.不计后果的
reminiscent,adj.回忆往事的
reminiscent of,
renowned,"adj.有名的,有声誉的"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
rugged,"adj.高低不平的,崎岖的,粗糙的,有皱纹的"
savage,"adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人"
sensible,"adj.有感觉的,明智的,有判断力的"
sensitive,"adj.敏感的,灵敏的,感光的"
shrewd,adj.精明
significant,"adj.有意义的,重大的,重要的"
sluggish,adj.行动迟缓的
sophisticated,"adj.诡辩的,久经世故的"
staggering,"adj.蹒跚的,摇晃的,另人惊愕的"
strapped,"adj.用皮带装饰的,用皮绳捆住的,身无分文的"
strapped for cash,
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
subject to,
substantial,"adj.坚固的,实质的,真实的,充实的"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
sweeping,"n.扫除,垃圾adj.扫荡的,彻底的,广泛的,规模大的"
tangible,adj.切实的
thriving,
tremendous,"adj.极大的,巨大的"
tricky,"adj.狡猾的,机警的"
unanimous,"adj.意见一致的,无异议的"
unprecedented,adj.空前的
urgent,"adj.急迫的,紧急的"
venerable,"adj.庄严的,值得尊敬的,古老的"
vigorous,"adj.精力旺盛的,有力的,健壮的"
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
vulnerable,"adj.易受攻击的,易受...的攻击"
abandon,"vt.放弃,遗弃;n.放任,狂热"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
acknowledge,"vt.承认,答谢,报偿"
acquire,"vt.获得,学到"
adapt,"vt.使适应,改编"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
affect,"vt.影响,感动,侵袭,假装"
amount,"n.数量vi.(to) 总计,等于"
amount to,
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
assemble,"vt.集合,聚集,装配vi.集合"
assert,"v.断言,声称"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
assure,"vt.断然地说,确告,保证,担保"
ban,"n.禁令vt.禁止,取缔(书刊等)"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
characterize,"vt.表现...的特色,刻画的...性格"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
collide,"vi.碰撞,抵触"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
compel,"vt.强迫,迫使"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
concede,"vt.勉强,承认,退让vi.让步"
condemn,"vt.判刑,处刑,声讨,谴责"
conduct,"n.行为,操行v.引导,管理,为人,传导"
confront,"vt.使面临,对抗"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
constitute,"vt.制定(法律),建立(政府),组成,任命"
contemplate,"v.凝视,沉思,预期,企图"
contend,"v.斗争,竞争,主张"
contribute,"v.捐助,捐献,贡献,投稿"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
convey,"vt.搬运,传达,转让"
convince,"vt.使确信,使信服"
cope,"vi.(善于)应付,(善于)处理"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
curb,n.路边
demonstrate,"vt.示范,证明,论证vi.示威"
deprive,"vt.剥夺,使丧失"
detect,"vt.察觉,发觉,侦查,探测v.发现"
deteriorate,v.(使)恶化
devastate,vt.毁坏
devote,"vt.投入于,献身"
diagnose,v.诊断
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
displace,"vt.移置,转移,取代,置换v.转移"
distinguish,"v.区别,辨别"
document,"n.公文,文件,文档,档案,文献v.证明"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
echo,"n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射 [计] 禁止(或允许)在屏幕上显示批处理命令行"
eliminate,"vt.排除,消除v.除去"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
enhance,"vt.提高,增强v.提高"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
evade,"v.规避,逃避,躲避"
exceed,"vt.超越,胜过vi.超过其他"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
file,"n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
forge,"v.稳步前进,铸造,伪造"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
fund,"n.资金,基金v.支助,投资"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
generate,"vt.产生,发生"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
host,"n.主机,主人,旅馆招待vt.当主人招待"
hug,
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
infect,"vt.[医] 传染,感染"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
install,"vt.安装,安置,使就职"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
invade,"vt.侵略,侵袭,拥挤"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
justify,v.证明...是正当的
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
levy,"n.征收,征税,征兵v.征收,征集,征用"
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立"
maintain,"vt.维持,维修,继续,供养,主张"
merge,"v.合并,并入,结合,吞没,融合"
muster,"n.集合,阅,样品,清单,一群v.集合,召集,征召,鼓起(勇气等),集聚"
navigate,"vi.航行,航海,航空vt.航行于,驾驶,操纵,使通过"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
observe,"vt.观察,观测,遵守,评述,说"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
overhaul,v.检查
oversee,"v.俯瞰,监视,检查,视察"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
perceive,"vt.察觉v.感知,感到,认识到"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
ponder,"v.沉思,考虑"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
prevail,"vi.流行,盛行,获胜,成功"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
pursue,"vt.追赶,追踪,追击,继续,从事"
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
reduce,"vt.减少,缩小,简化,还原"
reflect,"v.反射,反映,表现,反省,细想"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
replace,"vt.取代,替换,代替,把...放回原处"
resemble,"vt.象,类似"
resent,"v.愤恨,怨恨"
reside,vi.居住
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
resort to,
restore,"vt.恢复,使回复,归还,交还,修复,重建"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
rush,"n.匆促,冲进,急流,灯芯草vi.冲,奔,闯,赶紧,涌现vt.使冲,匆忙地做,突袭,飞跃,用 灯芯草做adj.急需的"
sabotage,"n.(不满的职工或敌特等的)阴谋破坏,怠工,破坏vi.从事破坏活动vt.对...采取破坏行动,妨害,破坏"
scatter,"v.分散,散开,撒开,驱散"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
shrink,"v.收缩,(使)皱缩,缩短"
slash,"v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打n.猛砍,(大幅度)削减,斜线"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
steer,"v.驾驶,掌舵"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
stimulate,"vt.刺激,激励v.刺激,激励"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
sue,"vt.控告,向...请求,请愿vi.提出诉讼,提出请求"
suppress,"vt.镇压,抑制,查禁,使止住"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
sustain,"vt.支撑,撑住,维持,持续"
tap,"n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号"
testify,"v.证明,证实,作证"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
tolerate,"vt.忍受,容忍"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
transcend,"vt.超越,胜过"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
undergo,"vt.经历,遭受,忍受"
undermine,v.破坏
undertake,"vt.承担,担任,许诺,保证v.采取"
worship,"n.崇拜,礼拜,尊敬vi.敬神,拜神vt.崇拜,尊敬"
access,"n.通路,访问,入门vt.存取,接近"
agenda,n.pl.议程
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
amateur,"n.业余爱好者,业余艺术家"
anarchy,"n.无政府状态,政治混乱"
anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
assault,"n.攻击,袭击v.袭击"
bailout,"n.跳伞,将优先股发给股东作为红利之行为adj.救援行动的"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
boost,v.推进
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
clout,"n.敲打,轻叩,破布vt.叩,敲一下"
coalition,"n.合并,接合,联合"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
commonplace,"n.平凡的事,平常话adj.平凡的"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
compassion,"n.同情,怜悯"
conflict,"n.斗争,冲突vi.抵触,冲突"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
conspiracy,"n.共谋,阴谋"
credibility,n.可信性
debut,"n.v.初次登场,开张"
demonstration,"n.示范,实证"
disability,"n.无力,无能,残疾n.[律] 无能力,无资格"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
establishment,"n.确立,制定,设施,公司,军事组织"
euphoria,"n.精神欢快.欣快,兴高采烈,[心]欣快症"
expedition,"n.远征,探险队,迅速,派遣"
fantasy,"n.幻想,白日梦"
feud,"n.不和,(部落或家族间的)世仇,封地,争执vi.长期不和,长期争斗"
flair,"n.才能,本领"
foe,"n.反对者,敌人,危害物"
genre,"n.类型,流派"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
glimpse,"n.一瞥,一看v.瞥见"
grandeur,"n.庄严,伟大"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
greed,"n.贪欲,贪婪"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
incentive,n.动机adj.激励的
inclination,"n.倾斜,弯曲,倾度,倾向,爱好"
infrastructure,"n.下部构造,基础下部组织"
initiative,n.主动
insight,"n.洞察力,见识"
integrity,"n.正直,诚实,完整,完全,完整性"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
merchandise,"n.商品,货物"
mess,"n.混乱,脏乱v.弄乱"
monopoly,"n.垄断,垄断者,专利权,专利事业"
nomination,n.任命
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
opponent,"adj.对立的,对抗的n.对手,反对者"
ordeal,"n.严酷的考验,痛苦的经验,折磨"
passion,"n.激情,热情,耶稣的受难和死亡"
peril,n.危险
persecution,"n.迫害,烦扰"
phase,"n.阶段,状态,相,相位v.定相"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
priority,"n.先,前,优先,优先权"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
proliferation,"n.增殖,分芽繁殖"
propaganda,"n.宣传,[天主教]传道总会"
proponent,"n.建议者,支持者,[律]提出认证遗嘱者"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
prosperity,n.繁荣
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
remains,"n.残余,遗迹,遗体"
reputation,"n.名誉,名声"
reservation,"n.保留,(旅馆房间等)预定,预约"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
revolt,"v.反抗,起义,反叛,反感,厌恶"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
sanctuary,n.避难所
scenario,"n.想定 游戏的关,或是某一特定情节"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
scrutiny,n.详细审查
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
strife,"n.斗争,冲突,竞争"
tactic,"n.策略,战略adj.按顺序的,排列的"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
transition,"n.转变,转换,跃迁,过渡,变调"
turmoil,"n.骚动,混乱"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
version,"n.译文,译本,翻译"
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
wrath,n.愤怒
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
acute,"adj.敏锐的,[医]急性的,剧烈"
affable,adj.和蔼可亲的
affiliated,"adj.附属的,有关连的"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
allegedly,adv.依其申述
aloft,"adv.在高处,在上"
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
ambivalent,"adj.矛盾的,好恶相克的"
assorted,adj.多样混合的v.分类配全
audacious,"adj.大胆的,卤莽的,大胆创新的"
austere,"adj.严峻的,严厉的,操行上一丝不苟的,简朴的"
avant-garde,
benevolent,adj.慈善的
bewildered,
bizarre,"adj.奇异的(指态度,容貌,款式等)"
blatant,"adj.喧嚣的,俗丽的,吵闹的,炫耀的"
blue-chip,
capricious,adj.反复无常的
chronic,"adj.慢性的,延续很长的"
compatible,"adj.谐调的,一致的,兼容的"
compelling,"adj.强制的,强迫的,引人注目的"
complacent,"adj.自满的,得意的"
confidential,"adj.秘密的,机密的"
congenial,"adj.性格相似的,适意的"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
conspicuous,adj.显著的
consummate,"vt.完成,使达到极点adj.圆满的,至上的,完美的"
daunting,adj.使人畏缩的
eclectic,"adj.折衷的,折衷学派的n.折衷主义者,折衷派的人"
eligible,"adj.符合条件的,合格的"
enigmatic,"adj.谜一般的,高深莫测的"
epic,"n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的"
exuberant,"adj.繁茂的,丰富的,非凡的,(语言等)华而不实的"
exultant,"adj.非常高兴的,欢跃的"
fanatic,"n.狂热者,盲信者,入迷者adj.狂热的,盲信的"
feasible,"adj.可行的,切实可行的"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
fervent,adj.炽热的
forthcoming,adj.即将来临的n.来临
fractious,"adj.易怒的,倔强的,脾气不好的"
frantic,"adj.狂乱的,疯狂的"
full-fledged,
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
genetic,"adj.遗传的,起源的"
giddy,"adj.眼花缭乱的,头晕的,轻率的v.(使)眼花,(使)眩晕"
gorgeous,"adj.华丽的,灿烂的"
heady,"adj.鲁莽的,顽固的,任性的,性急的,猛烈的"
illiterate,"n.文盲adj.不识字的,没受教育的"
incessant,"adj.不断的,不停的"
incumbent,"adj.职责所在的,负有...义务的"
indignant,"adj.愤怒的,愤慨的"
inherent,"adj.固有的,内在的,与生俱来的"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
intricate,"adj.复杂的,错综的,难以理解的"
invalid,"n.病人,残废者adj.有病的,残废的"
invariably,"adv.不变地,总是n.总是"
lavish,"adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予"
lethal,adj.致命的n.致死因子
lucrative,adj.有利的
ludicrous,"adj.可笑的,滑稽的,愚蠢的"
malicious,"adj.怀恶意的,恶毒的"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
mundane,"adj.世界的,世俗的,平凡的"
optional,"adj.可选择的,随意的"
perennial,"adj.四季不断的,终年的,长期的,永久的,(植物)多年生的"
placid,adj.平静的
poised,"adj.泰然自若的,平衡的"
precarious,adj.不稳定的
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
prestigious,"adj.享有声望的,声望很高的"
presumably,"adv.推测起来,大概"
prone,adj.倾向于
quaint,"adj.离奇有趣的,奇怪的,做得很精巧的"
rampant,"adj.猖獗的,蔓生的,猛烈的,狂暴的,跛拱的"
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
requisite,"adj.需要的,必不可少的,必备的n.必需品"
resurgent,adj.复活的
robust,adj.精力充沛的
sentimental,"adj.感伤性的,感情脆弱的"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
simmering,
simplistic,adj.过分单纯化的
simultaneously,adv.同时地
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
speculative,adj.投机的
sporadic,adj.零星的
sprawling,
stationary, 固定的
stringent,"adj.严厉的,迫切的,银根紧的"
sublime,"adj.庄严的,崇高的,壮观的,卓越的,极端的,异常的v.提高,(使)变高尚,(使)纯化,(使)升华n.庄严,崇高,顶点"
subsequent,"adj.后来的,并发的"
tantalizing,adj.非常着急的
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
thrilling,"adj.毛骨悚然的,颤动的,发抖的"
trivial,"adj.琐细的,价值不高的,微不足道的"
tumultuous,adj.喧嚣的
turbulent,"adj.狂暴的,吵闹的"
untapped,"adj.塞子未开的,未使用的"
vaunted,
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
viable,"adj.能养活的,能生育的,可行的"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的n.元音,声乐作品"
with a vengeance,
abhor,"vt.憎恶,痛恨"
accelerate,"v.加速,促进"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
accumulate,"v.积聚,堆积"
administer,"v.管理,给予,执行"
adore,"v.崇拜,爱慕,(口语)喜爱"
afflict,"vt.使痛苦,折磨"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
annihilate,"vt.消灭,歼灭"
appease,"vt.平息,安抚,缓和,使满足"
