accustomed,"adj.通常的,习惯的,按照风俗习惯的"
affluent,"adj.丰富的,富裕的"
ambiguous,"adj.暧昧的,不明确的"
anonymous,adj.匿名的
appropriate,adj.适当的
at stake,
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
bilateral,"adj.有两面的,双边的"
bland,"adj.温和的,柔和的,乏味的,冷漠的,刺激性少的"
blunt,"adj.钝的,生硬的"
bull,"n.[动]公牛,粗壮如牛的人"
burgeoning,
coherent,"adj.粘在一起的,一致的,连贯的"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
conciliatory,"adj.抚慰的,调和的"
conscious,
conventional,"adj.惯例的,常规的,习俗的,传统的"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
crucial,adj.至关紧要的
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
dazzling,"adj.眼花缭乱的,耀眼的"
dedicated,"adj.专注的,献身的"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
determined,"adj.坚决的,决定了的"
disabled,adj.伤残的v.丧失能力
disastrous,"adj.损失惨重的,悲伤的"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
doomed,命定的
drastic,"adj.激烈的,(药性等)猛烈的"
eccentric,adj.古怪n.行为古怪的人
elevated,"adj.提高的,严肃的,欢欣的"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
enduring,"adj.持久的,不朽的"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
ferocious,"adj.凶恶的,残忍的,凶猛的,<口>十分强烈的,极度的"
flamboyant,"adj.辉耀的,华丽的,火焰似的,艳丽的"
fledgling,"n.羽毛初长的雏鸟,刚会飞的幼鸟,无经验的人,初出茅庐的人"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
fragile,"adj.易碎的,脆的"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
genuine,"adj.真实的,真正的,诚恳的"
hefty,"adj.重的,肌肉发达的"
hostile,"adj.敌对的,敌方的n.敌对"
immense,"adj.极广大的,无边的,<口>非常好的"
