conduct,"n.行为,操行v.引导,管理,为人,传导"
reveal,"vt.展现,显示,揭示,暴露"
according to,
make the most of,
innate,"adj.先天的,天生的"
attain,"vt.达到,获得v.达到"
academic,"adj.学院的,理论的"
excellence,"n.优秀,卓越,优点,美德"
principle,"n.法则,原则,原理"
to begin with,
priority,"n.先,前,优先,优先权"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
in other words,
recreation,"n.消遣,娱乐"
addition,"n.加,加起来,增加物,增加,加法"
in addition,
in addition to,
make a point of doing sth.,
athlete,"n.运动员,运动选手"
memorise,v.<主英> =memorize
biology,"n.生物学,生物(总称)"
work out,
interview,"vt.接见,会见n.接见,会见"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
consistency,"n.连结,结合,坚固性,浓度,密度,一致性,连贯性"
factor,"n.因素,要素,因数,代理人"
perform,"vt.履行,执行,表演,演出v.完成任务"
involve,"vt.包括,笼罩,潜心于,使陷于"
be involved in,
get involved in,
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
track and field,
rugby,n.橄榄球
association,"n.协会,联合,结交,联想"
debate,"v.争论,辩论n.争论,辩论"
disclose,"vt.揭露,透露"
file,"n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉"
colour-coded,
folder,"n.文件夹,折叠器,折叠机,折叠式印刷品"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
technique,"n.技术,技巧,方法,表演法,手法"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
effectively,"adv.有效地,有力地"
retention, 保持力
lead to,
schedule,"n.时间表,进度表v.确定时间"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
assignment,"n.分配,委派,任务,(课外)作业"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
at hand,
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
procrastinate,"v.延迟,耽搁"
take down,
revision,"n.修订,修改,修正,修订本"
jot,"n.少量,少额,稍许vt.略记,摘要记载下来,草草地记下"
jot down,
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
scan,"v.细看,审视,浏览,扫描n.扫描"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
refresh one's memory,
formula,"n.公式,规则,客套语"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
lie in,
on the way to,
