conduct,"n.行为,操行v.引导,管理,为人,传导"
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分"
context,"n.上下文,文章的前后关系"
speak up,
clarify,"v.澄清,阐明"
participation,"n.分享,参与"
demonstrate,"vt.示范,证明,论证vi.示威"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
curiosity,n.好奇心
concisely,adv.简明地
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
on one's own,
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
hypothetical,"adj.假设的,假定的,爱猜想的"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
base on,
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
employ,"vt.雇用,用,使用v.使用n.雇用"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
undertake,"vt.承担,担任,许诺,保证v.采取"
last but not least,
crucial,adj.至关紧要的
contribution,"n.捐献,贡献,投稿"
infancy,n.幼年
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
instead of,
pressure,"n.压,压力,电压,压迫,强制,紧迫"
take pains to do sth.,
motivate,v.激发
impress,"vt.印,盖印,留下印象"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
personal,"adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的"
advertisement,"n.广告,做广告"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
on one's part,
fluently,"adv.流利地,通畅地"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
qualified,adj.有资格的
ridiculous,"adj.荒谬的,可笑的"
or else,
natural,"adj.自然的,自然界的,关于自然界的,天生的,天赋的,普通的,正常的,简单自然的 本位号"
efficiently,"adv.有效率地,有效地"
it's no use doing sth.,
argue,"vi.争论,辩论vt.说服"
individual,"n.个人,个体adj.个别的,单独的,个人的"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
no doubt,
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
to an extent,
to some extent,
to what extent,
to a certain extent,
to such an extent,
helpful,"adj.有帮助的,有用的,有益的"
advantage,"n.优势,有利条件,利益"
have an advantage,
have an advantage over,
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
go to extremes,
assume,"vt.假定,设想,采取,呈现"
precise,"adj.精确的,准确的n.精确"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
vice versa,
translation,"n.翻译,译文,转化,调任,转换[物][数]平移"
provide with,
provide sb. with,
let alone,
intonation,"n.语调,声调"
behaviorist,n.<美>行动主义者
psychology,"n.心理学,心理状态"
be fond of doing sth.,
continually,"adv.不断地,频繁地"
parrot,"n.鹦鹉,学舌者,机械模仿别人的人vt.学舌"
chimpanzee,"n.[动]非洲的小人猿,黑猩猩"
theorist,"n.理论家,空谈家"
in one's opinion,
unlike,"adj.不同的,不相似的 prep.不象...,和...不同"
relate,"vt.叙述,讲,使联系,发生关系"
relate sth. to sth. else,
be worth sth.,
be worth doing sth.,
means,"n.手段,方法v.意味,想要"
communication,"n.传达,信息,交通,通讯"
be similar to,
formula,"n.公式,规则,客套语"
relevant,"adj.有关的,相应的"
pine,"n.松树,树木v.消瘦,憔悴,渴望,渴慕"
gathering,"n.聚集,收款"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
recall,"vt.回忆,回想,记起,取消n.召回"
turn out,
senior,"adj.年长的,资格较老的,地位较高的,高级的"
prom,
occur,"vi.发生,出现"
turn into,
scent,"n.气味,香味,香水,线索,嗅觉,臭迹vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味vi.嗅猎,发出气味"
mow,"n.干草堆,谷堆v.刈,扫除,收割庄稼,扫倒"
take sb. by surprise,
catch sb. by surprise,
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
eyebrow,n.眉毛
inquiry,"n.质询,调查"
disturbing,adj.烦扰的
blade,"n.刀刃,刀片"
shred,"n.碎片,破布,少量剩余,最少量v.撕碎,切碎"
fingernail,n.手指甲
acquaint,"vt.使熟知,通知"
be acquainted with,
become acquainted with,
be acquainted with sth.,
become acquainted with sth.,
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
have ... on one's mind,
gather one's thoughts,
squawk,"v.发出叫声,诉苦,抗议n.叫声,诉苦,抗议,故障"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
awkward,"adj.难使用的,笨拙的"
alarmingly,
surgery,"n.外科,外科学,手术室,诊疗室"
keep sth. from sb.,
option,"n.选项,选择权,[经]买卖的特权"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
behavior,"n.举止,行为"
accomplishment, ns//n.造诣
create,"vt.创造,创作,引起,造成"
hem and haw,
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东"
soak,"v.浸,泡,浸透n.浸透"
soak up,
come full circle,
go full circle,
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
sway,"v.摇摆,摇动"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走"
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
soft-spoken,
settle into sth.,
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
anything like,
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
midst,n.中间 prep.在...中间
in the midst of,
honorable,"adj.可敬的,荣誉的,光荣的"
honourable,"adj.可敬的,荣誉的,光荣的"
industrious,"adj.勤勉的,刻苦的"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
fit in with,
emphatically,"adv.强调地,用力地"
rebellion,"n.谋反,叛乱,反抗,不服从"
stubborn,"adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
survive,"v.幸免于,幸存,生还"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
dormitory,n.宿舍
childhood,n.孩童时期
compare with,
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
would give a lot,
would give anything,
would give the world,
would give a lot to do sth.,
would give anything to do sth.,
would give the world to do sth.,
in one's own right,
topic,"n.话题,主题"
glare,"n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀"
be sick of,
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
savor,"n.滋味,气味,食欲,特定的味道或气味,一种有特色的性质vi.有...的滋味,有...气味vt.加调味品于,使有风味,尝到或闻到,尽情享受"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
intersection,"n.[数]交集,十字路口,交叉点"
before one knows it,
idiot,"n.白痴,愚人,傻瓜"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
sustain,"vt.支撑,撑住,维持,持续"
dent,"n.凹,凹痕,(齿轮的)齿,弱点v.使凹下,凹进,削弱"
guilty,"adj.犯罪的,有罪的,心虚的"
complain,"v.抱怨,悲叹,控诉"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
choke,"v.窒息,哽住,使呼吸困难,阻塞n.窒息,阻气门"
choke back,
insurance,"n.保险,保险单,保险业,保险费"
panic,"n.惊慌,恐慌,没有理由的"
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
batter,"n.击球手v.打坏,猛击"
trudge,v.跋涉
hold one's head up,
eve,"n.[诗]黄昏,前夕,前日 Eve 伊夫(女子名)"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
rarely,"adv.很少地,罕有地"
hug,
distinctive,"adj.与众不同的,有特色的"
combination,"n.结合,联合,合并,化合,化合物"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
sum up,
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
outgoing,"n.外出,开支,流出adj.即将离职的,对人友好的 喜欢外出的"
complex,"adj.复杂的,合成的,综合的n.联合体"
compose,"v.组成,写作,排字,(使)安定,调解"
be composed of sth.,
element,"n.要素,元素,成分,元件,自然环境"
fall into,
emotional,"adj.情绪的,情感的"
social,"adj.社会的,爱交际的,社交的,群居的"
anxiety,"n.忧虑,焦急,渴望,热望"
respond,"v.回答,响应,作出反应vi.有反应"
sorrow,"n.悲哀,悲痛"
reflective,adj.沉思的
throw a party,
keep sth. to oneself,
observe,"vt.观察,观测,遵守,评述,说"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
sociable,"adj.好交际的,友善的,增进友谊的,喜欢群居的"
trait,"n.显著的特点,特性"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
humor,"n.幽默,心情,诙谐vt.迎合,牵就,顺应"
entertaining,"adj.愉快的,有趣的n.招待,款待"
at work,
heredity,"n.遗传,形质遗传"
environment,"n.环境,外界"
in fact,
inherit,"vt.继承,遗传而得"
ancestor,"n.祖先,祖宗"
resemblance,n.类同之处
evidently,"adv.明显地,显然"
opportunity,"n.机会,时机"
aspect,"n.样子,外表,面貌,(问题等的)方面"
circumstance,"n.环境,详情,境况"
surround,"vt.包围,环境v.围绕"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
have an impact on,
complicated,"adj.复杂的,难解的"
affect,"vt.影响,感动,侵袭,假装"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
harmful,"adj.有害的,伤害的"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
growth,"n.生长,种植,栽培,发育,等比级数"
boring,n.钻(孔)adj.令人厌烦的
on the other hand,
satisfied,adj.感到满意的
at least,
adjustment,"n.调整,调节,调节器"
adolescence,n.青春期(一般指成年以前由13至15的发育期)
along with,
determined,"adj.坚决的,决定了的"
be determined to,
sunglasses,
contentedly,"adv.满足地,安心地"
section,"n.部分,断片,部件,节,项,区,地域,截面"
fling,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视vi.猛冲,直冲,急行"
sandbox,"n.沙箱,沙盒"
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
tuck away,
all but,
deserted,"adj.荒芜的,荒废的,为人所弃的"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
seesaw,n.秋千
motionless,"adj.不动的,静止的"
abandoned,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
squat,"v.蹲坐,蹲伏n.蹲坐adj.蹲着的"
diligently,"adv.勤勉地,坚持不懈地"
side by side,
a sense of well-being,
a feeling of well-being,
coop,"n.小屋,鸡(兔)笼,拘留所,<俗>监狱vt.关进(鸡舍等),拘禁"
coop up,
cube,"n.立方体,立方"
affectionately,"adv.挚爱地,亲切地"
concentration,"n.集中,集合,专心,浓缩,浓度"
tunnel,"n.隧道,地道"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
chubby,"adj.丰满的,圆胖的"
spade,"n.铲,铁锹v.铲"
spadeful,n.满满一铲子
a spadeful of,
shovel,"n.铲,铁铲v.铲"
stolid,"adj.不易激动的,感觉迟钝的,神经麻木的"
impassive,adj.冷漠的
unblinking,
expectancy,"n.期待,期望"
husky,"adj.谷的,像谷的,(声音)沙哑的,嘶哑的"
roller skate,
take up,
comic,"n.滑稽演员adj.滑稽的,喜剧的"
spit,"n.唾液v.吐(唾沫),吐出,发射,发出,喷吐"
deftly,"adv.灵巧地,熟练地"
swiftly,"adv.很快地,即刻"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
instinct,n.本能
aware,"adj.知道的,明白的,意识到的"
become,"vi.变成,成为,变得vt.适合,相称"
be aware of,
apologetic,"adj.道歉的,认错的,辩护的"
reasonableness,"n.合理,妥当"
lower,"adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低"
insolent,"n.侮慢无礼的人adj.傲慢的,无礼的,侮慢的"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
feel like,
feel like doing,
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
lose one's temper,
suffuse,v.充满
tenderness,"n.嫩,亲切,柔和,敏感,棘手"
impotent,"adj.无力的,虚弱的,无效的,[医]阳萎的"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
distasteful,"adj.味道不佳的,(令人)不愉快的,讨厌的"
just a minute,
courteously,"adv.有礼貌地,亲切地"
shut up,
flex,"vt.弯曲(四肢),伸缩,折曲 vi折曲,弯曲n.电线,松紧带"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
dreadful,"adj.可怕的,<口>讨厌的"
incredible,adj.<口>难以置信的
sleeve,n.袖子
adjust,"vt.调整,调节,校准,使适合"
unevenly,"adv.不平坦地,不均衡地"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
nakedly,"adv.裸体地,露出地"
limp,"adj.柔软的,易曲的vi.跛行"
self-consciousness,
stoop,"n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没"
chant,n.圣歌
dignity,"n.尊严,高贵"
summon,"v.召集,召唤,号召,鼓起,振作"
sandy,"adj.沙的,含沙的,沙质 Sandy 桑迪(男子名)"
perspire,"v.出汗,流汗,分泌,渗出"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
layer,"n.层,阶层"
inescapable,"adj.逃不掉的,不可避免的"
incident,"n.事件,事变adj.附带的,易于发生的"
on one's way to,
wretched,"adj.可怜的,悲惨的,肮脏的,恶劣的"
go wrong,
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
break down,
irritable,"adj.易怒的,急躁的"
check into,
shabby,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
decorate,"v.装饰,为...做室内装修"
greasy,"adj.多脂的,油脂的,油污的"
occupy,"vt.占,占用,占领,占据"
by oneself,
all by oneself,
monotonously,"adv.单调地,无变化地"
miserable,"adj.痛苦的,悲惨的,可怜"
scold,"v.责骂,申斥,斥责"
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
minor,"n.未成年人,副修科目adj.较小的,次要的,二流的,未成年的vi.辅修n.[乐]小调,小音阶"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
dripping,"n.滴,滴下,滴下物,油滴"
ragged,adj.粗糙的
rundown,"n.裁减,纲要"
monsieur,"n.先生,绅士"
wearily,"adv.疲倦地,无聊地"
hoarsely,"adv.嘶哑地,刺耳地"
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧"
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
ancient,"adj.远古的,旧的"
straighten,"v.(使)弄直,伸直"
straighten up,
permission,"n.许可,允许"
motion,"n.运动,动作v.运动"
merry,"adj.欢乐的,愉快的"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
bomb,"n.炸弹vt.投弹于,轰炸"
hobble,v.蹒跚
folk,"n.人们,亲属(复数),民族adj.民间的"
feast,"n.节日,盛宴,筵席,宴会,酒席vt.盛宴,款待,享乐,请客vi.参加宴会,享受"
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
in time,
radiant,"adj.发光的,辐射的,容光焕发的"
laughter,"n.笑,笑声"
bellow,"v.(牛,象等)吼叫,怒吼,咆哮"
uninhibited,
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
lad,"n.少年,青年男子,<口>伙计,家伙(呢称)"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
champagne,"n.香槟酒,香槟色"
round,"n.圆,圆形物,巡回,一轮;adj.圆的,丰满的,大概的,完全的,率直的;prep.围着,附近,绕过,在...周围;vt.弄圆,使成圆形,绕行,完成,四舍五入vi.变圆,发胖,环行,拐弯,进展;adv.围绕着,循环地,在周围,迂回地,朝反方向,挨个"
Noel,
keep time,
carol,"n.欢乐的歌,颂歌,(尤指)圣诞节颂歌v.歌颂,欢唱 Carol 卡罗尔(女子名)"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
smother,v.窒息
cyberspace,n.电脑空间
novice,"n.新手,初学者"
paradox,"n.似非而是的论点,自相矛盾的话"
telling,"adj.有效的,明显的,生动的"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
colleague,"n.同事,同僚"
maven,"n.<美口>专家,内行"
hunger for,
hunger after,
hang on to,
far too,
give up,
used to,
resent,"v.愤恨,怨恨"
install,"vt.安装,安置,使就职"
give sb. away,
give sth. away,
hooked,adj.钩状的
be hooked,
get hooked,
be hooked on sth.,
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
souped-up,
extended,"adj.伸出的,延长的,广大的,扩大范围的,长期的"
face to face,
face to face with,
barely,"adv.仅仅,刚刚,几乎不能"
pour out one's heart,
pour one's heart out,
open up,
on the phone,
obliqueness,
dribs and drabs,
in dribs and drabs,
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
bearing-down,
get the upper hand,
tend,"vi.趋向,往往是vt.照管,护理"
tend to,
tend towards,
maintain,"vt.维持,维修,继续,供养,主张"
cooperation,"n.合作,协作"
captivate,"vt.迷住,迷惑"
typically,"adv.代表性地,作为特色地"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
dominate,"v.支配,占优势"
balk,"n.障碍,梁木v.妨碍,(马)不肯前进"
appropriate,adj.适当的
incite,"vt.激动,煽动"
defiance,"n.挑战,蔑视,挑衅"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
whip into shape,
cooperate,"vi.合作,协作"
typical,"adj.典型的,象征性的"
fairly,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
exception,"n.除外,例外,反对,异议"
tinker,"vi.做焊锅匠,笨拙的修补vt.修补n.修补匠,焊锅"
grapple,v.格斗
eliminate,"vt.排除,消除v.除去"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
dynamics,n.动力学
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
on the side,
on the top side,
on the winning side,
on the losing side,
inevitable,"adj.不可避免的,必然的"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
technical,"adj.技术的,技术上的,技巧方面的"
linguist,n.语言学家
be flooded with,
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
generosity,"n.慷慨,宽大"
expertise,"n.专家的意见,专门技术"
coed,"n.男女合校大学中的女生adj.男女同学的,男女兼收的,对男女都开放的"
male,"adj.男的,雄的,男性"
specifically,"adv.特定的,明确的"
get the floor,
have the floor,
anonymity,"n.匿名,作者不明(或不详)"
vituperative,adj.责骂的
tolerate,"vt.忍受,容忍"
turn sb. off,
deluge,"n.洪水,豪雨v.使泛滥,淹,浸,压倒"
counterevidence,n.反证
rapport,"n.和谐,亲善"
convey,"vt.搬运,传达,转让"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
wane,"vi.变小,亏缺,衰落,退潮,消逝,呈下弦n.月亏,月亏期,衰退,衰退期"
bibliography,"n.(有关一个题目或一个人的)书目,参考书目"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
checkbook,n.支票簿
begrudge,"vt.嫉妒,羡慕,舍不得给"
rescue,"vt.援救,营救n.援救,营救"
in need,
call upon,
damsel,"n.年轻女人,闺女,处女"
knave,n.流氓
would rather ...,
would rather ... than,
booklet,n.小册子
hard drive,
wield,v.挥
screwdriver,n.螺丝起子
manage to do sth.,
