keep in touch with,与...保持联络
evolution,[网络] 演化；网络发展
device,"n. 装置, 设计, 策略, 发明物, 设备
[计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序"
drawback,"收回, 退却, 缩回
[经] 退钱, 退税"
principle,"n. 原则, 原理, 主义
[化] 原理"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
[计] 延迟, 延时"
black-and-white,"白纸黑字, 黑白照片
[计] 单色"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
satellite dish,n. 圆盘式卫星电视天线
distribute,"vt. 分配, 散布, 分发
[经] 分配, 分发"
percentage,"n. 百分比, 比率, 部分, 可能性
[计] 百分比"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
[计] 管子"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
[计] 组件"
eventually,"adv. 最后, 终于"
portable,"a. 可携带的, 可搬运的, 可移动的
[计] 可移植的"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
[计] 字盒"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
[计] 数字, 数字式"
VCD,[电] 可变电容二极体的简写
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
[计] 存放处; 存储"
foresee,"vt. 预见, 预知"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
adaptation,"n. 适应, 改编, 改编本
[医] 适应[作用]"
relay,"v. 再铺设, 再安置"
sceptical,"a. 怀疑论的, 怀疑的"
ample,"a. 大量的, 充足的, 丰富的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
insurance,n. 保险；保险费；保险契约；赔偿金
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
all-round,"周围, 四处"
electronic,"a. 电子的
[计] 电子工业协会接口"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
[计] 转换"
idiom,"n. 习语, 成语, 惯用语法, 方言"
gram," [医]〔后缀〕意为图, 像"
suitable,"a. 适当的, 相配的
[法] 合适的, 适宜的, 适当的"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
[计] 网络软件目录, 编码与分析系统"
elegant,"a. 优雅的, 端庄的, 高雅的"
battery,"n. 电池, 殴打
[化] 蓄电池"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
carriage,"n. 马车, 客车, 举止, 运输
[经] 搬运费, 运费"
refrigerator,"n. 电冰箱, 冷藏库
[计] 冷冻机; 致冷器"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
tight,comb.form 表示“不透的”，“不漏的”，“密封的”，“防…的”
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
[经] 有效的"
circumstance,"n. 环境, 状况, 事件"
merely,adv. 只
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
typical,"a. 典型的, 象征性的
[医] 典型的"
text message, 正文消息
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
dustbin,垃圾箱
for good measure,"作为额外增添, 另外"
rid,[网络] 康威世界；示差折光检测器；琼脂扩散
chemist,"n. 化学家, 药剂师
[化] 化学家; 化学师; 化学工作者; 药剂师; 药房"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
[计] 探针"
surgeon,"n. 外科医生, 军医, 船医
[医] 外科医师"
operating theatre, 手术室
life-saving,救生
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
[化] 回转"
cupboard,碗厨
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
[计] 计数器; 计数字"
aspirin,"n. 阿斯匹林
[化] 乙酰水杨酸; 阿司匹灵; 邻乙酸基苯甲酸"
penicillin,"n. 盘尼西林, 青霉素
[化] 青霉素"
beneficial,"a. 有益的, 受益的
[经] 有使用权的, 可享利益的"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
[法] 持有, 占有, 具有"
salicylic acid,"[化] 水杨酸; 邻羟基苯甲酸
[医] 水杨酸, 柳酸"
acid,酸
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
[化] 片剂"
best-selling,"a. 最畅销的, 畅销作品的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
[医] 生命的, 生活的, 生活上必需的, 紧要的"
