machine,[网络] 机具
best,"adv. 最；最高程度地；最出色地；最高标准地
adj. 最好的；最出色的；最优秀的；最愉快的
n. 最好的事物（或人）；（人或事物所能达到的）最高标准
v. 胜过；打败
[网络] 最佳；贝斯特；倍思特"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
have a rest, 休息一下; 歇
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
speak,"v. 说；说话；讲话；发言
[网络] 谈话；演说"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
maybe, 也许，可能
map,[计] 映射文件；Duke Nukem 3D WAD游戏文件
because,conj. 因为
language,[网络] 语言
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
kangaroo,"n. 袋鼠
[医] 袋鼠(澳洲产)"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
postcard,明信片
plan,"n. 计划；方案；打算；平面图
v. 计划；打算；设计；策划
[网络] 规划；计画；计划阶段"
museum,"n. 博物馆
[网络] 展览馆；博物院；美术馆"
restaurant,[网络] 餐馆
