disastrous,"adj.损失惨重的,悲伤的"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
cracker,"n.饼干,爆竹,胡桃夹n.解密高手"
massage,n.按摩v.按摩
brigade,"n.旅,队"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
indulge,v.纵容
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
mild,"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的"
vicinity,"n.邻近,附近,接近"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
threat,"n.恐吓,凶兆,威胁"
prohibit,"vt.禁止,阻止"
excellent,"adj.卓越的,极好的"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
regret,"n.遗憾,悔恨,抱歉,歉意vt.为...感到遗憾,后悔,惋惜,哀悼,懊悔vi.感到抱歉"
climate,"n.气候,风土,思潮"
theory,"n.理论,学说,...论,原理,意见,推测"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
resent,"v.愤恨,怨恨"
ministry,n.(政府的)部门
specimen,"n.范例,标本,样品,样本,待试验物"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
worthwhile,"adj.值得做的,值得出力的"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
official,"n.官员,公务员adj.职务上的,公务的,官方的,正式的"
bend,"v.弯曲,专心于,屈服n.弯曲"
corruption,"n.腐败,贪污,堕落"
indeed,
imagine,"vt.想象,设想"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
narrow,"n.狭窄部分,海峡,隘路adj.狭窄的,精密的,严密的,有限的,气量小的,勉强的,眼光短浅的vi.变窄vt.使变狭窄,使缩小"
blow,"n.殴打,突然的打击v.风吹,吹气于,叫,喘气"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
luxury,"n.奢侈,华贵"
principle,"n.法则,原则,原理"
convey,"vt.搬运,传达,转让"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
intend,"vt.想要,打算,意指,意谓"
highly,"adv.高地,非常"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
decade,"n.十年,十"
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
probability,"n.可能性,或然性,概率"
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
invariably,"adv.不变地,总是n.总是"
minimise,
according,adv.依照
accuse,"vt.控告,谴责,非难"
moderate,"adj.中等的,适度的,适中的v.缓和"
deficit,"n.赤字,不足额"
reap,"v.收割,收获"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
relevant,"adj.有关的,相应的"
magnetic,"adj.磁的,有磁性的,有吸引力的"
evidently,"adv.明显地,显然"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
superiority,"n.优越,高傲"
distinguish,"v.区别,辨别"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
malnutrition,"n.营养失调,营养不良"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
stimulate,"vt.刺激,激励v.刺激,激励"
pathetic,"adj.可怜的,悲惨的"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
candidate,"n.候选人,投考者"
misfortune,"n.不幸,灾祸"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
outpost,"n.前哨,边区村落"
monastery,"n.修道院,僧侣"
battalion,"n.军营,军队"
regime,"n.政体,政权,政权制度"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
psychiatrist,"n.精神病医师,精神病学家"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
haunt,v.神鬼出没
synthesis,"n.综合,合成"
eligible,"adj.符合条件的,合格的"
symposium,"n.讨论会,座谈会"
constrict,v.压缩
reside,vi.居住
incompatible,"adj.性质相反的,矛盾的,不调和的"
bust,"n.半身像,胸像,(妇女的)胸部"
symmetrical,"adj.对称的,均匀的"
brink,n.(峭岸、崖的)边缘
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
conceited,"adj.自以为是的,逞能的,狂想的"
voucher,"n.证人,保证人,证明者,凭证,凭单,<美>优惠购货卷"
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
leaflet,"n.小叶,传单"
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
geology,"n.地质学,地质概况"
mortgage,n.抵押v.抵押
observatory,"adj.天文台,气象台"
linguistic,"adj.语言上的,语言学上的"
thrift,"n.节俭,节约,[植]海石竹"
boxing,n.拳击
skyscraper,"n.摩天楼,高丛的烟囱"
bolster,n.垫子v.支持
abbreviation,"n.缩写,缩写词"
malice,"n.恶意,怨恨,预谋,蓄意犯罪"
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
equate,"vt.使相等,[数]视为平等vi.等同"
bead,"n.珠子,水珠"
tournament,"n.比赛,锦标赛,联赛"
infrastructure,"n.下部构造,基础下部组织"
parole,"n.诺言,誓言vt.有条件释放,假释"
cosmos, 宇宙
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
barbecue,n.吃烤烧肉的野餐
BBQ,
cult,"n.礼拜,祭仪,一群信徒,礼拜式"
bitch,"n.母狗,母狼,母狐,<俚>婊子"
waive,v.放弃
align,"vi.排列vt.使结盟,使成一行"
broke,adj.一文不名的 vbl.break的过去式
doze,"vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡"
potent,"adj.有力的,有效的"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
tumour,"n.[医]瘤,肿瘤,肿块"
parrot,"n.鹦鹉,学舌者,机械模仿别人的人vt.学舌"
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
warehouse,"n.仓库,货栈,大商店vt.贮入仓库,<俚>[经]以他人名义购进(股票)"
sufficient,"adj.充分的,足够的"
testify,"v.证明,证实,作证"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
poverty,"n.贫穷,贫困,贫乏,缺少"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
nervous,"adj.神经紧张的,不安的,强健有力的"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
entertainment,"n.款待,娱乐,娱乐表演"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
solar,"adj.太阳的,日光的"
tragedy,"n.悲剧,惨案,悲惨,灾难"
recall,"vt.回忆,回想,记起,取消n.召回"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
ashamed,"adj.惭愧的,羞耻的"
prevent,"v.防止,预防"
worthless,"adj.无价值的,无益的"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
cargo,"n.船货,(车、船、飞机等运输的)货物"
equipment,"n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
optional,"adj.可选择的,随意的"
abrupt,"adj.突然的,陡峭的,生硬的"
waste,"n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
evident,"adj.明显的,显然的"
indifferent,adj.无关紧要的
satisfy,"vt.满足,使满意,说服,使相信v.满意,确保"
bind,"v.绑,镶边,装订,凝固,约束"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
expertise,"n.专家的意见,专门技术"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
invest,"v.投(资),购买(有用之物)～,授予,投资"
atomic,"adj.原子的,原子能的,微粒子的"
trial,"n.试验,考验,审讯,审判"
repeatedly,"adv.重复地,再三地"
dense,"adj.密集的,浓厚的"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
identical,"adj.同一的,同样的"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
decode,"vt.解码,译解"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
tuition,n.学费
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
academic,"adj.学院的,理论的"
deprive,"vt.剥夺,使丧失"
element,"n.要素,元素,成分,元件,自然环境"
sorrow,"n.悲哀,悲痛"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
marvellous,
dominate,"v.支配,占优势"
ignite,"v.点火,点燃"
temporary,"adj.暂时的,临时的,临时性"
accurate,"adj.正确的,精确的"
likelihood,"n.可能,可能性"
pursue,"vt.追赶,追踪,追击,继续,从事"
conquest,n.征服n.战利品
tenant,"n.承租人,房客,租客v.出租"
meantime,"n.其间,其时adv.其间"
undergo,"vt.经历,遭受,忍受"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
negligible,"adj.可以忽略的,不予重视的"
esthetic,adj.感觉的
immunise,"v.使免疫,赋予免疫性"
denote,"vt.指示,表示"
afflict,"vt.使痛苦,折磨"
fatality,"n.命运决定的事物,不幸,灾祸,天命"
detain,"v.拘留,留住,阻止"
reshuffle,n.改组v.改组
impromptu,"n.即席演出,即兴曲adj.即席的adv.即席地,未经准备地"
subsidy,"n.补助金,津贴"
martyr,"n.烈士,殉教者v.杀害,折磨"
verge,v.濒临n.边缘
intelligible,adj.可理解的
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
stitch,"v.缝,缝合n.一针,针脚,缝针"
retrieve,v.重新得到n.找回
baffle,"vt.困惑,阻碍,为难"
junk,"n.垃圾,舢板"
sergeant,"n.警官,军士"
sarcasm,"n.挖苦,讽刺"
magnitude,"n.大小,数量,巨大,广大,量级"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
wedge,"n.楔vt.楔入,楔进"
concise,"adj.简明的,简练的"
massacre,"n.残杀,大屠杀v.残杀,集体屠杀"
insulate,"vt.使绝缘,隔离"
adversary,"n.敌手,对手"
bilateral,"adj.有两面的,双边的"
embroidery,"n.刺绣品,粉饰,刺绣,装饰"
collaborate,"vi.合作,通敌"
turkey,"n.火鸡,无用的东西 Turkey 土耳其"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
beset,v.困扰
orphan,"n.孤儿,失去生母的幼小动物adj.无双亲的,孤儿的vt.使成孤儿"
Marxism,
plumber,n.水管工人
commune,"n.公社vi.密切联系,谈心"
malignant,adj.恶性的
antenna,n antenae <动>触角 (antenna)n.天线
maternal,"adj.母亲的,似母亲的,母性的"
vendor,n.卖主
superstition,n.迷信
astronaut,"n.太空人,宇航员"
hospitable,"adj.好客的,招待周到的"
badminton,n.羽毛球
avenge,"vt.为...报复,报仇"
dissertation,"n.(学位)论文,专题,论述,学术演讲"
eminent,"adj.显赫的,杰出的,有名的,优良的"
sanctuary,n.避难所
homeland,"n.祖国,本国"
nitrogen,n.[化]氮
interrogate,"vt.审问,询问v.审问"
genre,"n.类型,流派"
lavish,"adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予"
involve,"vt.包括,笼罩,潜心于,使陷于"
confuse,"vt.搞乱,使糊涂"
cynical,adj.愤世嫉俗的
precise,"adj.精确的,准确的n.精确"
ascribe,"vt.归因于,归咎于"
so-called,
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
portion,"n.一部分,一分"
competent,"adj.有能力的,胜任的"
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
vibrate,"v.(使)振动,(使)摇摆"
angle,"n.[数]角,角落vi.钓鱼,追逐"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
comparison,"n.比较,对照,比喻,比较关系"
incomplete,"adj.不完全的,不完善的"
session,"n.会议,开庭"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
construction,"n.建筑,建筑物,解释,造句"
confident,"adj.自信的,确信的"
offense,n.进攻
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
youngster,"n.年青人,少年"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
breakthrough,n.突破
declaration,"n.宣布,宣言,声明"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
column,"n.圆柱,柱壮物,专栏,纵队"
umbrella,"n.伞,雨伞,庇护"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
damn,v.谴责
pray,"v.祈祷,恳求,请"
deadline,n.最终期限
estate,"n.状态,不动产,时期,阶层,财产"
detection,"n.察觉,发觉,侦查,探测,发现"
rhythm,"n.节奏,韵律"
symphony,"n.交响乐,交响曲"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
advisable,"adj.可取的,明智的"
commence,"v.开始,着手"
exceptional,"adj.例外的,异常的"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
input,n.输入v.输入
simplicity,"n.简单,简易,朴素,直率"
induce,"vt.劝诱,促使,导致,引起,感应"
inner,"adj.内部的,里面的,内心的n.内部"
drought,"n.干旱,缺乏"
specialise,"v.专门研究,深入"
arrange,"v.安排,排列,协商"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
persuasion,"n.说服,说服力"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
critic,"n.批评家,评论家,吹毛求疵者"
disable,"v.使残废,使失去能力,丧失能力"
commercial,"adj.商业的,贸易的"
initiative,n.主动
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
sensitive,"adj.敏感的,灵敏的,感光的"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
alter,v.改变
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
affirm,"v.断言,确认,肯定"
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
genius,"n.天才,天赋,天才人物"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
consult,"v.商量,商议,请教,参考,考虑"
classical,"adj.古典的,正统派的,古典文学的"
denial,"n.否认,否定,谢绝,拒绝"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
supervise,"v.监督,管理,指导"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
beneath,adv.在...之下 prep.在...之下
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
rap,"n.叩击,轻拍,轻敲,斥责vt.敲,拍,打,厉声说出,斥责,使着迷vi.敲击,交谈 [军] Rocket Assisted Projectile,火箭助推炮弹"
intermittent,"adj.间歇的,断断续续的"
diligent,"adj.勤勉的,用功的,细心而继续不断的"
adjacent,"adj.邻近的,接近的"
deport,"vt.举止,驱逐"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
blunt,"adj.钝的,生硬的"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
inhibit," 抑制,约束,[化][医]抑制"
retrospect,n.回顾
deductive,"adj.推论的,演绎的"
conscientious,adj.尽责的
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
desirous, 渴望的
prospective,adj.预期的
incompetence,"n.无能力,不适当 [律]无行为能力,法律上无资格"
seniority,n.资历
console,"vt.安慰,藉慰n.[计] 控制台"
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
dispense,"vt.分发,分配"
tract,"n.广阔的地面,土地,地方,地域,(解剖)管道,小册子"
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
broadband, 宽带
brace,"n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持"
quarantine,"n.检疫,隔离,(政治或商业上的)封锁,检疫期间vt.检疫,使在政治或商业上孤立"
anecdote,"n.轶事,奇闻"
baby boom,
bleach,"v.漂白,变白"
trickle,v.滴流
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
jargon,n.行话
peep,"n.窥看,隐约看见vi.窥视,偷看"
proximate,adj.最近的
smog,n.烟雾
consulate,"n.领事,领事馆,领事任期,领事的职位、权力和职责"
brag,n.v.吹牛
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
navigate,"vi.航行,航海,航空vt.航行于,驾驶,操纵,使通过"
amass,"vt.收集,积聚(尤指财富)"
mar,"v.弄坏,毁坏,损害n.损伤,毁损,障碍n.(Mar) 三月(=March)"
ceramic,adj.陶器的n.陶瓷制品
convoy,"n.护送,护卫vt.护航,护送"
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
shred,"n.碎片,破布,少量剩余,最少量v.撕碎,切碎"
pasta,"n.意大利面制品,意大利面食(包括通心粉及面条等)"
salon,n.沙龙
app,
bout,"n.一回,一场,回合,较量vt.来回耕"
monotony,"n.单音,单调,千篇一律"
solitary,adj.孤独的
jeep,n.吉普车
mentor,"n.[希神]门特(良师益友),贤明的顾问,导师,指导者"
caravan,"n.(商队,游客经过沙漠时为安全起见而结队同行的)沙漠,旅行队,大篷车"
mingle,v.(使)混合
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
shrink,"v.收缩,(使)皱缩,缩短"
rarely,"adv.很少地,罕有地"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
doubtful,"adj.可疑的,不确的,疑心的"
priority,"n.先,前,优先,优先权"
forth,"adv.往前,向外"
suspend,"vt.吊,悬挂v.延缓"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
pull,"v.拉,拖,拔n.拉,拖,拉力,牵引力"
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东"
praise,"vt.赞扬,歌颂,称赞n.赞扬,赞美的话,赞美,荣耀,称赞"
collective,adj.集体的n.集体
delightful,"adj.令人愉快的,可喜的"
destruction,"n.破坏,毁灭"
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
steam,"n.蒸汽,水汽vi.蒸发vt.蒸"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
stare,"v.(～ at) 凝视,盯着看"
ego,"n.自我,利已主义,自负"
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
annoy,"vt.使苦恼,骚扰"
seek,"v.寻找,探索,寻求"
deficiency,"n.缺乏,不足"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
assemble,"vt.集合,聚集,装配vi.集合"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
irritate,"vt.激怒,使急躁v.刺激"
survive,"v.幸免于,幸存,生还"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
incredible,adj.<口>难以置信的
layer,"n.层,阶层"
suburb,"n.市郊,郊区"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
oblige,"vt.迫使,责成"
deny,"v.否认,拒绝"
correspondent,"n.通讯记者,通信者"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
specify,"vt.指定,详细说明,列入清单"
occasion,"n.场合,时机,机会"
ponder,"v.沉思,考虑"
provision,"n.供应,(一批)供应品,预备,防备,规定"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
moreover,"adv.而且,此外"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
threshold,"n.开始,开端,极限"
expire,"v.期满,终止,呼气,断气,届满"
profess,v.表示
equality,"n.等同性,同等,平等,相等,等式"
multiply,"v.繁殖,乘,增加"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
caution,"n.小心,谨慎,警告vt.警告"
investigate,"v.调查,研究"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
germ,"n.微生物,细菌"
reconcile,"vt.使和解,使和谐,使顺从"
modest,"adj.谦虚的,谦让的,适度的"
install,"vt.安装,安置,使就职"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
contrive,"v.发明,设计,图谋"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
inconsistency,n.矛盾
reconciliation,"n.和解,调和,顺从"
composite,"adj.合成的,复合的n.合成物"
onset,"n.攻击,进攻,有力的开始,肇端n.[医]发作"
harassment,n.折磨
terrace,"n.梯田的一层,梯田,房屋之平顶,露台,阳台,倾斜的平地 adj.(女服)叠层式的vt.使成梯形地,使有平台屋顶"
secrecy,"n.秘密,保密"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
fuse,"n.保险丝,熔丝v.熔合"
mastery,n.掌握
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
detention,"n.拘留,禁闭,阻止,滞留,留堂"
disjointed,"adj.脱节的,杂乱的"
unilateral,"adj.单方面,单边的,片面的,单系,[植]单侧的,[语]单边音"
feasibility,"n.可行性,可能性"
missionary,"adj.传教的,传教士的n.传教士"
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
batter,"n.击球手v.打坏,猛击"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
consultative,adj.咨询的
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
actuality,"n.实在,现状"
allotment,n.分配
lily,"n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的 Lily 莉莉(女子名)"
affluent,"adj.丰富的,富裕的"
corporal,"n.<美>下士adj.肉体的,身体的"
poultry,n.家禽
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
exponent,"n.解释者,说明者,代表者,典型,指数"
antagonism,"n.对抗(状态),对抗性"
depot,"n.库房,仓库,火车站,公共汽车站,航空站,军械库,补给站,新兵训练营"
high-tech,
obsess,"vt.迷住,使困扰"
augment,"v.增加,增大n.增加"
attic,"n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝adj.(古希腊)雅典(Athens)的"
helmet,"n.头盔,钢盔"
Buddhism,
plumbing,"n.铅工业,铅管品制造"
wield,v.挥
stout,"adj.结实的,勇敢坚定的,激烈的,矮胖的,顽强的n.矮胖子,烈性啤酒"
aftermath,"n.结果,后果"
teller,"n.讲话的人,告诉的人,(银行)出纳员,(投票的)检票员"
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
awe,n.敬畏vt.敬畏
legacy,"n.遗赠(物),遗产(祖先传下来)"
numb,adj.麻木的v.失去知觉
underlie,"vt.位于...之下,成为...的基础"
ardent,"adj.热心的,热情洋溢的,激烈的,燃烧般的"
unemployed,"adj.失业的,未被利用的"
detergent,"n.清洁剂,去垢剂"
bin,n.箱柜 [计] 二进制文件的扩展名
whereas," conj.然而,反之,鉴于,尽管,但是"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
prominent,"adj.卓越的,显著的,突出的"
