across from,在...对面
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
star,"adj. 用星装饰的；戴着星章的；标有星号的；…主演的
n. 恒星；星状物；星形饰物；星号
v. 主演；担任主角；使主演；由…担任主角
[网络] 祈祷星；明星；星球大战"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
central,"a. 中央的, 重要的
[医] 中央的, 中心的, 中枢的"
take photos, 照像，拍照
museum,"n. 博物馆
[网络] 展览馆；博物院；美术馆"
dream,"vi. 梦想；做梦，梦见；想到
n. 梦想，愿望；梦
vt. 梦想；做梦；想到
adj. 梦的；理想的；不切实际的"
sea,"n. 海；海洋；大量；海面情况
abbr. (=Southeast Asia)东南亚
[网络] 大海；战略环境评价(Strategic Environmental Assessment)；统计能量分析(Statistical Energy Analysis)"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
eat seafood,无
visit the Mogao Caves,无
West Lake,n. 韦斯特莱克（姓氏）；西湖
row a boat,[网络] 划艇
the Great Wall, 长城; 万里长城
take photos, 照像，拍照
summer vacation,暑假
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
skateboarding,n. 滑板运动
singing,"n. 歌唱, 歌声
[计] 振鸣; 蜂鸣"
dancing,"n. 舞蹈
[建] 跳动的"
doing jigsaw puzzles,无
making models,无
collecting erasers,无
different,"a. 不同的
[机] 差动, 微分的, 差速器"
hobby,"n. 嗜好, 癖好, 爱好"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
catch,"v. 抓住；捕捉；捕获；接住
n. 接（球等）；总捕获量；扣拴物；扣件
adj. 有趣味的；设有圈套的
[网络] 赶上；捉住"
go for a picnic,[网络] 去野餐；去野炊；出去野炊
play the violin,叹苦经想得到人们的同情
go skating,去滑冰
go camping,去野营
do the housework,[网络] 做家务；做家务活；料理家务
free,"adv. 免费；脱离束缚
v. 释放；使摆脱；解除（或去除、清除）；使可用（于某目的）
adj. 能随自己意愿的；随心所欲的；不受限制的；不受约束的
[网络] 自由的；空闲的；内存清理实"
never,"adv. 从不, 决不, 不曾
[法] 永不, 决不, 从来没有"
once a week,[网络] 一周一次；每周一次；一星期一次
twice a week,[网络] 一周两次；每周两次；一星期两次
three times a week,[网络] 一周三次；每周三次；一星期三次
Canada,n. 加拿大
Australia,"n. 澳洲, 澳大利亚"
the UK,[网络] 英国；英国系列；英国青少年的时尚
the USA,[网络] 美国；美利坚合众国；现在我们有美国的大哥
China,"n. 中国, 瓷器
a. 中国的"
koala,n. 袋熊
maple leaves,枫树叶子
Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)"
Disneyland,n. 迪斯尼乐园
campfire,"n. 营火, 营火会"
cute,"a. 可爱的, 聪明的, 伶俐的
[医] 品他病"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
