abandon oneself to,沉溺于
abide by, 遵守; 信守; 忠于（某人）; 接受
be about to do sth., 即将做某事
keep abreast of,保持与...并列
be absorbed in,"全神贯注于, 专心于"
be abundant in,"富于,有很多"
access to,有权使用
by accident,偶然
of one's own accord,自愿地
with one accord,一致
in accordance with,"与...一致, 依照"
on one's own account,"为自身利益, 靠自己
[法] 自负其责, 后果自负"
take ... into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
on account of,由于
on no account,决不
accuse sb. of sth.,"un. 控告
[网络] 指责；指控；因某事控告某人"
be accustomed to,习惯于
be acquainted with,熟悉
cut across,抄近路通过
act on,"按...行动, 作用于
[机] 作用于"
adapt oneself to,使(自己)适应于(某种环境)；使(自己)习惯于(某事)；使(自己)对…通融
adapt sth. for,把…改成…; 为…改…
in addition,另外
in addition to,"另外, 加之, 除…之外还"
adhere to,"执着于,坚持,粘附于,信奉…"
adjust ... to,[计] 调整至
in advance,"预先
[经] 预先"
have an advantage over sb.,"胜过,比…优越"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take full advantage of,充分利用
go after,"追逐, 追求"
agree with,"同意…,与…意见一致;适应…"
agree with sb.,"同意…,与…意见一致;适应…"
in agreement with,"同意,与…一致"
ahead of,在…之前
be up in the air,"na. 悬而未决；尚未决定
[网络] 悬而未决的；不肯定；还没有确定"
above all,"尤其是, 首先"
after all,毕竟
all at once,"突然, 同时
[计] 整批发送"
first of all,首先
all but,"几乎, 差一点"
make allowance for,"体谅, 估及, 为...留余地"
make allowances for,"[法] 体谅, 顾及"
angle for,"取得, 谋取"
amount to,"[经] 等于, 相当于"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
answer to,"与…一致,符合;因…而起作用"
anything but,"单单除...之外, 决不"
apart from,除了...之外
apologize to sb. for sth.,[网络] 因某事向某人道歉
appeal to sb. for sth.,[网络] 求助于
apply for,"申请,请求,要求…"
apply to,[计] 应用于
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
as for,至于
as if,"na. 彷佛；活像
[网络] 好像；仿佛；似乎"
as it is,"事实上, 实际上, 既然如此"
as it were,"可以说是, 似乎就是"
assert oneself,坚持自己的权利
assure sb. of sth.,"un. 查明
[网络] 让……放心；保证；向…保证"
attach ... to ...,"v. 连接在…上；归于
[网络] 附属于；贴上；附上"
attend to, 处理; 注意; 听取; 致力于
pay attention to,注意
attribute ... to ...,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
on the average, 平均而言; 一般来说;  通常; 平均来讲
be aware of,知道
right away,立刻
back and forth,来回地
at one's back,"(紧紧)跟在某人之后；追赶某人，跟随某人；支持某人,给某人撑腰,作某人后盾 [亦作 at the back of someone]"
turn one's back on,"背弃, 抛弃"
back off,后退
badly off,"穷的, 缺少的"
be based on,"以…为基础,以…为根据"
be based upon,基于
on the basis of,以...为基础
on behalf of,"代表...
[经] 代表"
be behind bars,无
come into being,"形成, 产生"
believe in,"信仰, 信任"
benefit from,从…获利
at best,"na. 充其量也不过
[网络] 至多；最多；最好也只是"
be better off,境况好
get the better of,"战胜, 在...中占上风"
in between,在中间
give birth to,产生
bit by bit,一点一点
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
turn a blind eye," 熟视无睹：拒绝正视, 装作没看见"
turn a blind eye to sth.,熟视无睹
on board,"在船/车/飞机上, 在公共交通车辆上
[经] 已装船"
boast of,吹嘘;引以自豪地拥有
be bound up with,与...有密切关系
know no bounds,无限
break in,"na. 闯入；插嘴；驯(马)；训练(人)
[网络] 打断；强行进入；插话"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
[机] 铸漏"
break through,"突围, 突破
[计] 断缺"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
[网络] 分手；结束；分解"
hold one's breath,屏息
out of breath,上气不接下气
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
bring forward,"na. 提出(计划等)；提示；提前；公开
[网络] 提议；把…提前；将…提前"
build up,"树立, 增进, 增大, 堵塞
[化] 提升力"
in bulk,"散装, 大批
[经] 散装, 整批"
bump into,偶然遇见
burn down,"烧成平地, 火力减弱
[机] 烧去, 火力衰退"
burn out,"烧坏, 烧掉, 烧尽
[机] 烧光"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
but for,要不是
by and large,"大体上, 基本上"
get down to sth.,开始认真考虑
get down to doing sth.,无
get down to business,"开始做正经事,言归正传"
a piece of cake,轻松的事
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
[网络] 放弃；叫走，叫开；转移开"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
be capable of,能够
care for,"喜欢, 照顾, 为...操心, 尊重"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
in case,万一
a case in point,恰当的例子
in case of,"假设, 万一"
in the case of,在...的情况
in any case,无论如何
carry on,"继续开展, 行为愚蠢(或越轨)
[经] 继续发展(经营)下去"
carry out,"na. 实行；开展；完成
[网络] 执行；实现；贯彻"
carry through,"na. 完成(计划等)；坚持到底
[网络] 贯彻；进行；进行到底"
be cautious of,"留心..., 谨防..."
check in,"登记, 报到
[法] 登记, 报到, 住宿"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
keep sb. in check,"抑制,约束,制止,牵制"
keep sth. in check,"抑制,约束,制止,牵制"
hold sb. in check,"制止, 控制"
hold sth. in check,"制止, 控制"
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
[网络] 向…欢呼；为…加油；鼓励"
cheer up,"v. 鼓舞；振作一点
[网络] 振作起来；高兴起来；使高兴起来"
chew over,"na. “chew upon”的变体
[网络] 仔细考虑；仔细商量；深思，细想"
choke up,"塞住, 噎住, 阻塞"
in chorus," 一齐, 一致, 共同; 齐声"
on condition that,"若是…, 以…为条件"
center one's attention on,无
be certain of,确信
for certain,肯定地
take a chance,冒险
be in charge of,管理
in the charge of ...,"由…保管,在…的率领下"
charge ... for, 要价，收费
round the clock,连续一整天
commit oneself to,致力于
in common,共有
keep company with,与...结交
compare ... with ...,"比较…,跟…相比,比得上…"
compare ... to ..., 把…比作， 喻为; 与…相比
by comparison,比较起来
by comparison with sth.,与…相比
be composed of ...,由...组成
complain of,"抱怨, 抗议"
comply with,照做
conceive of,想象
in conclusion,最后
confess to,"承认, 坦白; 〈宗〉向…忏悔"
confide in,信任
in confidence,"na. 秘密地
[网络] 信任；暗中；推心置腹地"
consent to,"同意, 答应"
in consequence of,"因此, 结果; 由于, 因为…的缘故"
on no consideration,决不
be consistent with,与...一致
on the contrary,"正相反
[法] 正相反, 相反地"
in contrast to,"与...形成对照, 而..."
by contrast,"对比起来, 与之相比, 相反地"
contribute to,捐献
be under control,[网络] 处于控制之中；在控制之中；得到控制
at one's convenience,"最方便地, 最合适地"
convince sb. of,"na. 使(人)承认
[网络] 确信；使确信；使信服"
cook up,"v. 伪造
[网络] 虚构；编造；捏造"
cool down,"变凉, 平静下来
[建] 冷却"
cope with,"与...竞争, 应付, 处理"
in a tight corner,"处于困境,走投无路"
turn the corner,"拐弯, 转危为安"
correspond with,"符合, 一致, 通信"
at the cost of,以...为代价
at all costs,不惜任何代价
count in,"na. 算入
[网络] 把…计算在内；把……算入；算上"
in the course of,"在...期间
[法] 在...过程中, 在...期间"
in due course,"及时地, 在适当时
[经] 顺次, 适期"
courtesy of sb.,[网络] 蒙…好意；经由…提供；由……配音
by courtesy of sb.,蒙...好意
off the cuff,"即兴地, 非正式地"
cure sb. of sth.,"v. 治愈
[网络] 医治；矫正；治癒"
be in danger, 遇险；出险
be in danger of,有危险
to date,迄今为止
out of date,"过时的, 废弃的
[化] 过期的; 过时的"
date back to,"始于,可以追溯到…"
date from, 始于
dawn on,被理解
call it a day,"收工, 当天的工作干完了."
day and night,日以继夜
turn a deaf ear,"对…根本不听,对…置若罔闻"
in depth,"na. 广泛
[网络] 深入地；全面深入地；深入的"
on the decline,没落
to one's delight,无
take delight in,乐于
deprive sb. of sth.,"un. 剥夺
[网络] 剥夺某人的；使失去；使丧失"
derive from,"得自, 由来, 衍生"
despair of,对…感到绝望
deviate from,"偏离…,背离…;放弃…"
die away,"熄灭, 平息, 消失"
die out,"熄灭, 平息, 消失"
at sb.'s disposal,无
on a diet,"按规定进食,进规定的饮食"
differ from ... in,无
discharge sb. for,因…而解雇
discharge sb. from ... for,无
fall back,"后退, 退却
[计] 回落"
on display,"陈列着,在展览"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
beyond dispute,"没有争论余地, 无疑地
[法] 不可争辩"
in dispute,在争论中
be distinct from,与…不同
distinguish between,v. 区别
distinguish ... from,"v. 区别,识别"
doze off,不知不觉地睡着了
drop out,"掉出, 退出, 离队
[机] 落砂"
do away with,"废除, 弄死"
have ... to do with,"na. 和…有关系
[网络] 与…有关；和……有关系；与…有关系"
without doubt,毫无疑问地
due to,"由于, 应归于"
in duplicate,[经] 一式二份
dwell on,"细想, 详述"
be eager for,渴望
by ear, 不看乐谱; 凭听觉
have an ear for,对...听觉灵敏
on earth,"在世上, 究竟"
with ease,"容易, 不费力"
be at ease, 安逸，自由自在; 宽心; 放心
feel at ease, 释然；心里踏实；舒气；实落
be at one's ease,无
feel at one's ease,无
economize on,"节约,节省"
have an effect on,(对…)有影响〔产生效果〕
be in effect,"na. 正在实行[厉行]
[网络] 现行"
take effect,"见效, 生效
[法] 生效"
in effect,"有效
[法] 有效, 生效, 实际上"
to the effect that,"大意是, 以便"
or else,否则
emerge from,从…出现
place an emphasis on,无
on end,"竖着, 连续地"
at an end,"结束,终止"
in the end,"最后, 终于"
at one's wit's end,"智穷计尽, 不知所措"
end up with,〈非正〉以…结束
engage in,"使从事于, 参加"
enter for,"na. 参加(赛跑)
[网络] 报名参加；报名参赛；报名参加比赛"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
[法] 进入, 参加, 缔结"
enter on,"正式开始, 着手, 开始考虑, 占有"
be entitled to,[法] 有资格或权利...
be equal to,"胜任, 相等, 合适"
on equal terms,关系平等
equip with, 装备，配备
equivalent to, 等于，折合
be equivalent to,"[计] 等价的, 等效的, 等值的"
in essence,"本质上, 实质上
[法] 实质上"
even if,即使
in any event,"不论怎样, 无论如何"
in the event that,如果;在…情况下
in evidence,"明显
[法] 明显的, 显而易见的"
in excess of,"超过, 较...为多"
exchange ... for,用…换取
exclusive of,"除...外, 不包括"
in excuse of,"作为辩解
[法] 作为...辩解"
exert ... on ...,对…施加
exert oneself to do sth.,无
be exposed to ...,"[计] 曝光, 曝露"
keep an eye on,"照看, 密切注视"
in the eyes of sb.,在...心目中
in sb's eyes,"得宠于某人, 受某人青睐"
face to face,面对面
face up to,勇敢地面对
fall behind,"落在后面, 拖欠"
fall in with,"偶遇, 同意"
fall short of,"没有达到标准, 不够, 不足"
have a fancy for,"喜欢,爱好;爱上,对…想入非"
by far,显然
far from,"远离, 远非"
find fault with,"挑剔,指责,对…吹毛求疵"
in favor of,"赞同, 有利于"
favorable to,"un. 赞成
[网络] 支持；有利于"
be favorable to, 有利于，赞成
be fed up with,"饱受,厌烦"
figure out,"合计为, 计算出, 明白"
fill in,"na. 填充；填写；同“fill”
[网络] 填满；填入；过门"
set the world on fire,非常成功
at first sight,乍一看
for the first time,第一次
fit into,适合
as follows,如下
first and foremost,首要地
and so forth,等等
