triumph,"n.胜利,成功v.获得胜利"
crucial,adj.至关紧要的
inevitable,"adj.不可避免的,必然的"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
intelligence,"n.智力,聪明,智能"
compare,"v.比较,相比,比喻 n.比较"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
attain,"vt.达到,获得v.达到"
dread,"n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心"
introduce,"vt.介绍,传入,引进,提出"
glowing,"adj.炽热的,容光焕发的,生气勃勃的"
relieve,"vt.减轻,解除,援救,救济,换班"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
diverge,"vi.(道路等)分叉,(意见等)分歧,脱离"
correspond,"vi.符合,协调,通信,相当,相应"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
sensation,"n.感觉,感情,感动,耸人听闻的"
rectify,"vt.矫正,调整,[化]精馏"
anonymous,adj.匿名的
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
casualty,n.伤亡
proposition,"n.主张,建议,陈述,命题"
apprehensive,adj.有理解力的
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
analogy,"n.类似,类推"
charity,"n.慈善,施舍,慈善团体,"
chronic,"adj.慢性的,延续很长的"
estate,"n.状态,不动产,时期,阶层,财产"
underlie,"vt.位于...之下,成为...的基础"
late,"adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期"
assimilate,v.吸收
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
initiative,n.主动
purchase,"vt.买,购买n.买,购买"
terrify,"vt.使恐怖,恐吓"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
concentrate,"v.集中,浓缩"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
enhance,"vt.提高,增强v.提高"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
morality,adj.道德的n.道德
monotonous,"adj.单调的,无变化的"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
occur,"vi.发生,出现"
vulnerable,"adj.易受攻击的,易受...的攻击"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
insidious,adj.阴险的
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
justify,v.证明...是正当的
acknowledge,"vt.承认,答谢,报偿"
mechanism,"n.机械装置,机构,机制"
acquisition,"n.获得,获得物"
visible,"adj.看得见的,明显的,显著的n.可见物"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
relevant,"adj.有关的,相应的"
profile,"n.剖面,侧面,外形,轮廓"
operation,"n.运转,操作,实施,作用,业务,工作,手术,军事行动"
ingredient,"n.成分,因素"
remedy,"n.药物,治疗法,补救,赔偿vt.治疗,补救,矫正,修缮,修补"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
assault,"n.攻击,袭击v.袭击"
proceed,"vi.进行,继续下去,发生"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
pursuit,n.追击
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
concept,"n.观念,概念"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
simulate,"vt.模拟,模仿,假装,冒充"
sincere,"adj.诚挚的,真实的,真诚的"
tactic,"n.策略,战略adj.按顺序的,排列的"
concise,"adj.简明的,简练的"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
vicinity,"n.邻近,附近,接近"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
alienate,v.疏远
anecdote,"n.轶事,奇闻"
amiable,"adj.亲切的,和蔼可亲的"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
candidate,"n.候选人,投考者"
cautious,"adj.谨慎的,小心的"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
cherish,"vt.珍爱,怀抱(希望等)"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
detect,"vt.察觉,发觉,侦查,探测v.发现"
deviate,"vi.背离,偏离v.偏离"
discreet,"adj.小心的,慎重的,有思虑的,贤明的"
dissolve,"v.溶解,解散"
distinguish,"v.区别,辨别"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
feasible,"adj.可行的,切实可行的"
generous,"adj.慷慨的,大方的,有雅量的"
gratitude,n.感谢的心情
hierarchy,n.层次 层级
homogeneous,"adj.同类的,相似的,均一的,均匀的"
ideology,n.意识形态
illegal,"adj.违法的,不合规定的"
immune,adj.免疫的
judicial,"adj.司法的,法院的,公正的,明断的"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
kin,"n.家属(集合称),亲戚,同族,血缘关系,家族adj.有亲属关系的,性质类似的,同类的"
legacy,"n.遗赠(物),遗产(祖先传下来)"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
maintain,"vt.维持,维修,继续,供养,主张"
merit,"n.优点,价值v.有益于"
misery,
notorious,adj.声名狼籍的
optional,"adj.可选择的,随意的"
participate,"vi.参与,参加,分享,分担"
pathetic,"adj.可怜的,悲惨的"
performance,"n.履行,执行,成绩,性能,表演,演奏"
philosophy,"n.哲学,哲学体系,达观,冷静"
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
radiant,"adj.发光的,辐射的,容光焕发的"
recreation,"n.消遣,娱乐"
sarcastic,adj.讽刺的
