triumph,"n.胜利,成功v.获得胜利"
taste,"v.品尝,辨味,(of)有 ...味道,领略vt.体验,感到n.味道,味觉"
anxiety,"n.忧虑,焦急,渴望,热望"
apologize,"vi.道歉,辩白"
applaud,"v.拍手喝彩,称赞,赞同"
theoretical, 理论的
thorough,"adj.十分的,彻底的"
sprout,v.萌芽n.苗芽
statue,vt.以雕像装饰n.雕像
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
avoid,"vt.避免,消除"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
solar,"adj.太阳的,日光的"
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
gauge,"n.标准尺,规格,量规,量表v.测量"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
contribute,"v.捐助,捐献,贡献,投稿"
generate,"vt.产生,发生"
generalize,"vt.归纳,概括,推广,普及"
genetic,"adj.遗传的,起源的"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
sympathize,"vi.同情,共鸣,同感,同意,吊唁"
pursue,"vt.追赶,追踪,追击,继续,从事"
brace,"n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持"
fluent,"adj.流利的,流畅的"
senate,"n.参议院,上院"
fortunate,"adj.幸运的,幸福的"
genuine,"adj.真实的,真正的,诚恳的"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
propel,"vt.推进,驱使"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
portray,v.描绘
queer,"n.同性恋者adj.奇怪的,可疑的,不舒服的vt.搞糟n.同性恋者"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
spiral,adj.螺旋形的n.螺旋v.盘旋
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
fertile,"adj.肥沃的,富饶的,能繁殖的"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
assassinate,"vt.暗杀,行刺"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sensitive,"adj.敏感的,灵敏的,感光的"
frequent,"adj.时常发生的,频繁的"
predict,"v.预知,预言,预报"
refine,"vt.精炼,精制,使文雅高尚"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
assure,"vt.断然地说,确告,保证,担保"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attractive,"adj.吸引人的,有魅力的"
haste,"n.匆忙,急忙"
prevail,"vi.流行,盛行,获胜,成功"
religious,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的n.僧侣,尼姑,修道士"
rhythm,"n.节奏,韵律"
shame,"n.羞耻,羞愧,可耻的人(或事物)"
conversion,"n.变换,转化"
glamour,"n.[亦作glamor] 魔力,魅力v.迷惑"
prohibit,"vt.禁止,阻止"
rouse,"v.唤醒,激起,使振奋,惊起n.觉醒,奋起"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
remnant,"n.残余,剩余,零料,残迹adj.剩余的,残留的"
gracious,"adj.亲切的,高尚的"
gross,"adj.总的,毛重的n.总额"
harassment,n.折磨
rescue,"vt.援救,营救n.援救,营救"
restrain,"vt.抑制,制止"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
fold,"n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
attitude,"n.姿势,态度,看法,意见"
attempt,"n.努力,尝试,企图vt.尝试,企图"
adopt,"vt.采用,收养"
counterpart,"n.副本,极相似的人或物,配对物"
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
create,"vt.创造,创作,引起,造成"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
criterion,"n.(批评判断的)标准,准据,规范"
criticize,"v.批评,责备"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
decimal,"adj.十进的,小数的,以十为基础的,十进制n.小数"
depict,"vt.描述,描写"
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
obstacle,"n.障碍,妨害物"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
mental,"adj.精神的,智力的"
doctrine,"n.教条,学说"
convey,"vt.搬运,传达,转让"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
dynamic,"adj.动力的,动力学的,动态的"
eccentric,adj.古怪n.行为古怪的人
mist,n.薄雾
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
eligible,"adj.符合条件的,合格的"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
approve,"vi.赞成,满意vt.批准,通过v.批准"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
moan,"n.呻吟,哀悼,呼啸vi.发出呻吟声,抱怨,哀悼vt.呻吟"
stride,"v.大步走(过),跨过,大步行走n.步幅"
argue,"vi.争论,辩论vt.说服"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
stream,"n.溪,川,流,一股,一串,河流v.流,涌,流注"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
tremendous,"adj.极大的,巨大的"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
comparable,"adj.可比较的,比得上的"
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
trade-off,
corridor,n.走廊
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
tragic,"adj.悲惨的,悲剧的n.(文艺作品或生活中的)悲剧因素,悲剧风格"
traffic,"n.交通,通行,运输,贸易,交通量,交易,交往,通信量vi.交易,买卖vt.在...通行,用...作交换"
artistic,"adj.艺术的,有美感的,风雅的"
as,"adv.同样地,被看作,象 prep.当做 conj.与...一样,当...之时,象,因为 [域] American Samoa,东萨摩亚 [军] Air to Surface,空对地 (As)symb [化]砷 (arsenic)"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
coward,"n.懦弱的人,胆小的人"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
treasure,"n.财宝,财富,珍品,财产vt.珍爱,珍惜,储藏,珍藏"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
subsidy,"n.补助金,津贴"
physician,"n.医师,内科医师"
strengthen,"v.加强,巩固"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
ashore,"adv.向岸地,在岸上地"
blueprint,"n.蓝图,设计图,计划vt.制成蓝图,计划"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
trivial,"adj.琐细的,价值不高的,微不足道的"
appetite,"n.食欲,胃口,欲望,爱好"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
suburb,"n.市郊,郊区"
later,"adj.更迟的,更后的adv.稍后,随后"
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
deem,"v.认为,相信"
license,"n.许可(证),执照vt.许可,特许v.许可"
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
magnificent,"adj.华丽的,高尚的,宏伟的"
magnitude,"n.大小,数量,巨大,广大,量级"
differ,"vi.不一致,不同"
metal,n.金属
nationality,"n.国籍,国家,部落,民族,民族性"
navigation,"n.航海,航空,导航,领航,航行"
conviction,"n.深信,确信,定罪,宣告有罪"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
pant,v.气喘n.气喘
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
classify,"vt.分类,分等"
clause,"n.子句,条款"
value,"n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
pave,
convince,"vt.使确信,使信服"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
monopoly,"n.垄断,垄断者,专利权,专利事业"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
volt,"n.(马术中的)环骑,[击剑]闪避,[电工]伏特"
ample,"adj.充足的,丰富的"
perceive,"vt.察觉v.感知,感到,认识到"
volume,"n.卷,册,体积,量,大量,音量"
anniversary,n.周年纪念
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
sustain,"vt.支撑,撑住,维持,持续"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
civilize,"vt.使开化,使文明,教化"
utilize,vt.利用
utmost,"n.极限,最大可能,极力adj.极度的,最远的"
penalty,"n.处罚,罚款"
swear,"vi.诅咒v.宣誓,发誓"
tendency,"n.趋向,倾向"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
assess,"vt.估定,评定"
asset,"n.资产,有用的东西"
assist,"v.援助,帮助"
veto,"n.否决,禁止,否决权vt.否决,禁止"
syndrome,n.综合病症
toss,"v.投,掷"
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
vicious,"adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
astonish,vt.使惊讶
attract,"vt.吸引vi.有吸引力,引起注意"
bosom,"n.胸部,胸,胸怀,内心,内部,中间,任何温暖、舒适而熟悉的地方vt.怀抱,隐匿"
census,n.人口普查
climate,"n.气候,风土,思潮"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
bribe,"n.贿赂vt.贿赂,向...行贿"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
clarify,"v.澄清,阐明"
vibrate,"v.(使)振动,(使)摇摆"
classic,"n.[pl.] 杰作,名著adj.第一流的"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的n.元音,声乐作品"
bonus,"n.奖金,红利"
auxiliary,"adj.辅助的,补助的"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
currency,n.流通
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
dazzle,"v.(使)眼花,眩耀n.耀眼"
deficit,"n.赤字,不足额"
levy,"n.征收,征税,征兵v.征收,征集,征用"
loosen,"v.解开,放松,松开"
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
militant,"adj.好战的,积极从事或支持使用武力的"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
verge,v.濒临n.边缘
verse,"n.韵文,诗,诗节,诗句,诗篇"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
withstand,"vt.抵挡,经受住"
last,"adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
browse,"v.n.浏览,吃草,放牧"
cease,"v.停止,终了"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
clone,"n.无性系,无性繁殖,克隆v.无性繁殖,复制"
coalition,"n.合并,接合,联合"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
bypass,"n.旁路vt.设旁路,迂回"
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
campus,"n.<美>校园,大学教育"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
differentiate,"v.区别,区分"
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
opt,vi.选择
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
parcel,"n.小包,包裹vt.打包,捆扎"
worth," prep.相当...价值n.价值,财产adj.值钱的,值的看中的"
adapt,"vt.使适应,改编"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
obtain,"vt.获得,得到"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
aviation,"n.飞行,航空,航空学,航空术"
mourn,"v.哀悼,忧伤,服丧"
ambitious,"adj.有雄心的,野心勃勃的"
amend,"v.修正,改进,改正"
pollute,"vt.弄脏,污染"
colonial,"adj.殖民的,殖民地的n.殖民地居民"
preach,v.鼓吹
adjust,"vt.调整,调节,校准,使适合"
submerge,"v.浸没,淹没,掩没vi.潜水"
temporary,"adj.暂时的,临时的,临时性"
agent,n.代理(商)
pour,"v.灌注,倾泻,涌入,流,倾盆大雨"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
tempo,"n.(音乐)速度、拍子,发展速度"
aggravate,"vt.使恶化,加重"
ancestor,"n.祖先,祖宗"
pension,"n.养老金,退休金"
subsequent,"adj.后来的,并发的"
tend,"vi.趋向,往往是vt.照管,护理"
tropical,"adj.热带的,热情的"
anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦"
assemble,"vt.集合,聚集,装配vi.集合"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
applicable,"adj.可适用的,可应用的"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练"
appliance,"n.用具,器具"
plea,"n.恳求,请求,辩解,藉口"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
plural,adj.复数的
massacre,"n.残杀,大屠杀v.残杀,集体屠杀"
masterpiece,"n.杰作,名著"
burnish,"vt.磨光,擦亮(金属)"
disservice,"n.伤害,虐待,不亲切的行为"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
strategy,"n.策略,军略"
disguise,"v.假装,伪装,掩饰n.伪装"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
synthetic,"adj.合成的,人造的,综合的"
testify,"v.证明,证实,作证"
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
aural,adj.听觉的
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
commodity,n.日用品
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
comprise,"v.包含,由...组成"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
compute,"v.计算,估计,用计算机计算(或确定)"
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
desolate,"adj.荒凉的,无人烟的"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
despise,vt.轻视
despite," prep.不管,尽管,不论"
destiny,"n.命运,定数"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
dine,"vi.吃饭,进餐"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
discriminate,"v.歧视,区别,区别待遇"
complicate,v.(使)变复杂
drastic,"adj.激烈的,(药性等)猛烈的"
dubious,"adj.可疑的,不确定的"
exceptional,"adj.例外的,异常的"
excessive,"adj.过多的,过分的,额外"
compatible,"adj.谐调的,一致的,兼容的"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
formula,"n.公式,规则,客套语"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
fragile,"adj.易碎的,脆的"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
guilty,"adj.犯罪的,有罪的,心虚的"
heritage,"n.遗产,继承权,传统"
hypocrisy,n.伪善
hypothesis,n.假设
hysterical," a歇斯底里的,异常兴奋的"
identical,"adj.同一的,同样的"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
impair,v.削弱
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
incidence,"n.落下的方式,影响范围,[物理]入射"
incredible,adj.<口>难以置信的
indicative,"adj.(～ of) 指示的,预示的,可表示的"
indifferent,adj.无关紧要的
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
influential,"adj.有影响的,有势力的"
inherit,"vt.继承,遗传而得"
institution,"n.公共机构,协会,制度"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
interfere,"vi.干涉,干预,妨碍,打扰"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
invalid,"n.病人,残废者adj.有病的,残废的"
irrespective,"adj.不顾的,不考虑的,无关的"
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
loom,"n.织布机,织机v.隐现,迫近"
mercy,"n.仁慈,宽恕,怜悯"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
oppress,"vt.压迫,压抑"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
monster,"n.怪物,妖怪"
monument,n.纪念碑
prosperous,adj.繁荣的
concede,"vt.勉强,承认,退让vi.让步"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
illusion,n.幻想
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
concession,n.让步
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
emotion,"n.情绪,情感,感情"
interference,"n.冲突,干涉"
condense,"v.(使)浓缩,精简"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
turbulent,"adj.狂暴的,吵闹的"
disposal,"n.处理,处置,布置,安排,配置,支配"
fault,"n.过错,缺点,故障,毛病vt.挑剔vi.弄错"
shove,"n.<口>推,挤vt.<口>推挤,猛推,强使vi.推"
plight,"n.情况,状态,困境,盟誓(婚姻)vt.保证,约定"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
royalty,"n.皇室,王权"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
sensible,"adj.有感觉的,明智的,有判断力的"
confusion,"n.混乱,混淆"
mosquito,n.蚊子
avert,v.转移
municipal,"adj.市政的,市立的,地方性的,地方自治的"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
romance,"n.冒险故事,浪漫史,传奇文学,风流韵事,虚构vi.写传奇,渲染,虚构"
rough,"adj.粗糙的,粗略的,大致的,粗野的,粗暴的,粗略叙述的v.大体描述adv.粗糙地"
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
consecutive,"adj.连续的,联贯的"
undermine,v.破坏
transcend,"vt.超越,胜过"
conservation,"n.保存,保持,守恒"
alert,"adj.提防的,警惕的n.警惕,警报"
overhear,"vt.无意中听到,偷听"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
endow,"v.捐赠,赋予"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
evade,"v.规避,逃避,躲避"
constitute,"vt.制定(法律),建立(政府),组成,任命"
resemble,"vt.象,类似"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
scrutiny,n.详细审查
eliminate,"vt.排除,消除v.除去"
adult,"n.成人,成年人adj.成人的,成熟的"
contemporary,"n.同时代的人adj.当代的,同时代的"
survival,"n.生存,幸存,残存,幸存者,残存物"
promise,"vt.允诺,答应n.允诺,答应,许诺"
substantial,"adj.坚固的,实质的,真实的,充实的"
contradict,"vt.同...矛盾,同...抵触"
subtract,"v.(～ from)减去,减"
ascend,"v.攀登,上升"
convention,"n.大会,协定,习俗,惯例"
conversely,"adv.倒地,逆地"
royal,"adj.王室的,皇家的,第一流的,高贵的"
dominate,"v.支配,占优势"
economic,"adj.经济(上)的,产供销的,经济学的"
necessitate,v.成为必要
suspend,"vt.吊,悬挂v.延缓"
version,"n.译文,译本,翻译"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
discard,"vt.丢弃,抛弃v.放弃"
definite,"adj.明确的,一定的"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
derive,vt.得自vi.起源
deserve,"vt.应受,值得v.应受"
devote,"vt.投入于,献身"
detain,"v.拘留,留住,阻止"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
discount,n.折扣
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
agreeable,"adj.使人愉快的,惬意的,适合的"
agreement,"n.同意,一致,协定,协议"
agriculture,"n.农业,农艺,农学"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
aircraft,n.航行器
airplane,n.飞机
airport,"n.<主美>小型民用机场,私人飞机降落场"
aisle,"n.走廊,过道"
album,"n.集邮本,照相簿,签名纪念册"
alcohol,"n.酒精,酒"
allow,"vt.允许,承认"
alloy,"n.合金vt.使成合金,减低成色"
aloud,adv.大声地
already,adv.已经
also,"adv.也,同样"
although," conj.虽然,尽管"
altogether,"adv.完全地,总而言之"
aluminum,n.[化]铝
ambassador,n.大使
ambulance,"n.战时流动医院,救护车"
amid, prep.在...中
among," prep.在...之中,...之一"
anchor,"n.锚v.抛锚,锚定"
angle,"n.[数]角,角落vi.钓鱼,追逐"
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
ankle,n.[解]踝
announce,"vt.宣布,通告"
antenna,n antenae <动>触角 (antenna)n.天线
antique,"n.古物,古董adj.古时的,过时的"
anyway,"adv.无论如何,总之"
apology,"n.(为某种思想,宗教,哲学等)辩解,道歉"
apparent,"adj.显然的,外观上的"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
appearance,"n.出现,露面,外貌,外观"
appendix,"n.附录,附属品,[解]阑尾"
apple,"n.苹果,似苹果的果实"
apply,"vt.申请,应用vi.申请,适用"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appointment,
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
architect,n.建筑师
architecture,"n.建筑,建筑学 体系机构"
area,"n.范围,区域,面积,地区,空地"
arise,"vi.出现,发生,起因于"
arithmetic,"n.算术,算法"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
arrange,"v.安排,排列,协商"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
artery,"n.动脉,要道"
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
ash,"n.灰,灰烬,[植]岑树"
aside,"adv.在旁边,到旁边"
assistance,"n.协助,援助,补助,<英>国家补助"
assistant,"n.助手,助教adj.辅助的,助理的"
association,"n.协会,联合,结交,联想"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
astronaut,"n.太空人,宇航员"
astronomy,n.天文学
at," prep.在,于,向,对准,在...方面;Austria,奥地利"
athlete,"n.运动员,运动选手"
atmosphere,"n.大气,空气,气氛"
atom,n.原子
