benefit,"n.利益,好处vt.有益于,有助于vi.受益"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
apply,"vt.申请,应用vi.申请,适用"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
challenge,n.挑战vt.向...挑战
involve,"vt.包括,笼罩,潜心于,使陷于"
access,"n.通路,访问,入门vt.存取,接近"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
resource,"n.[pl.] 资源,财力,办法,智谋"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
opportunity,"n.机会,时机"
reflect,"v.反射,反映,表现,反省,细想"
debate,"v.争论,辩论n.争论,辩论"
tend,"vi.趋向,往往是vt.照管,护理"
conduct,"n.行为,操行v.引导,管理,为人,传导"
amount,"n.数量vi.(to) 总计,等于"
purchase,"vt.买,购买n.买,购买"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
despite," prep.不管,尽管,不论"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
agency,"n.代理处,行销处,代理,中介"
financial,"adj.财政的,金融的"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
institution,"n.公共机构,协会,制度"
attitude,"n.姿势,态度,看法,意见"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
estimate,"v.估计,估价,评估n.估计,估价,评估"
assume,"vt.假定,设想,采取,呈现"
unique,"adj.唯一的,独特的"
eventually,"adv.最后,终于"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
replace,"vt.取代,替换,代替,把...放回原处"
series,"n.连续,系列,丛书,级数"
significant,"adj.有意义的,重大的,重要的"
fund,"n.资金,基金v.支助,投资"
predict,"v.预知,预言,预报"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
respond,"v.回答,响应,作出反应vi.有反应"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
boost,v.推进
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
enhance,"vt.提高,增强v.提高"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
confidence,n.信心
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
motivate,v.激发
define,"vt.定义,详细说明"
numerous,"adj.众多的,许多的,无数的"
eliminate,"vt.排除,消除v.除去"
expose,"vt.使暴露,受到,使曝光v.揭露"
expense,"n.费用,代价,损失,开支,费钱之物"
overall,"adj.全部的,全面的"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
