benefit,"n.利益,好处vt.有益于,有助于vi.受益"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
outcome,"n.结果,成果"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
discount,n.折扣
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
responsibility,"n.责任,职责"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
complex,"adj.复杂的,合成的,综合的n.联合体"
corporate,"adj.社团的,法人的,共同的,全体的"
obtain,"vt.获得,得到"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
intend,"vt.想要,打算,意指,意谓"
majority,"n.多数,大半n.[律] 成年"
reveal,"vt.展现,显示,揭示,暴露"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
attribute,"n.属性,品质,特征,加于,归结于"
distinguish,"v.区别,辨别"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
assess,"vt.估定,评定"
identity,"n.同一性,身份,一致,特性,恒等式"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
invest,"v.投(资),购买(有用之物)～,授予,投资"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
rely,"v.依赖,依靠,信赖,信任,依赖于"
perceive,"vt.察觉v.感知,感到,认识到"
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
enable,"vt.使能够,授予权利或方法"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
construction,"n.建筑,建筑物,解释,造句"
diminish,"v.(使)减少,(使)变小"
option,"n.选项,选择权,[经]买卖的特权"
priority,"n.先,前,优先,优先权"
consist,"vi.由...组成,在于,一致"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
emission,"n.(光、热等的)散发,发射,喷射"
imply,"vt.暗示,意味"
incentive,n.动机adj.激励的
remind,"vt.提醒,使想起"
accelerate,"v.加速,促进"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
detail,"n.细节,详情vt.详述,细说"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
shrink,"v.收缩,(使)皱缩,缩短"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
counterpart,"n.副本,极相似的人或物,配对物"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
ongoing,adj.正在进行的
status,"n.身份,地位,情形,状况"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
cater,"vi.备办食物,满足(需要),投合"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
crucial,adj.至关紧要的
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
investigate,"v.调查,研究"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
cooperation,"n.合作,协作"
demonstrate,"vt.示范,证明,论证vi.示威"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
necessarily,adv.必要地
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
regulation,"n.规则,规章,调节,校准"
sophisticated,"adj.诡辩的,久经世故的"
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
circumstance,"n.环境,详情,境况"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
generate,"vt.产生,发生"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
talent,"n.天才,才干,才能"
alter,v.改变
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
revenue,"n.收入,国家的收入,税收"
adapt,"vt.使适应,改编"
behave,"vi.举动,举止,运转v.行为表现"
cognitive,"adj.认知的,认识的,有感知的"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
curriculum,n.课程
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
stimulate,"vt.刺激,激励v.刺激,激励"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
abandon,"vt.放弃,遗弃;n.放任,狂热"
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
modify,"vt.更改,修改v.修改"
relate,"vt.叙述,讲,使联系,发生关系"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
absorb,"vt.吸收,吸引"
candidate,"n.候选人,投考者"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
maintain,"vt.维持,维修,继续,供养,主张"
statistic,"n.统计量adj.统计的,统计学的"
switch,"n.开关,电闸,转换vt.转换,转变"
tuition,n.学费
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
reward,"n.报酬,奖金vt.酬劳,奖赏"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
appropriate,adj.适当的
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
budget,"n.预算vi.做预算,编入预算"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
expertise,"n.专家的意见,专门技术"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
insist,"v.坚持,强调"
obstacle,"n.障碍,妨害物"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
prior,"adj.优先的,在前的n.预先adv.在"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
remedy,"n.药物,治疗法,补救,赔偿vt.治疗,补救,矫正,修缮,修补"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
strengthen,"v.加强,巩固"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
transition,"n.转变,转换,跃迁,过渡,变调"
acknowledge,"vt.承认,答谢,报偿"
conflict,"n.斗争,冲突vi.抵触,冲突"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
discourage,"vt.使气馁,阻碍"
evolve,"v.(使)发展,(使)进展,(使)进化"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
manner,"n.礼貌,风格,方式,样式,习惯"
massive,"adj.厚重的,大块的,魁伟的,结实的"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
toxic,"adj.有毒的,中毒的"
vulnerable,"adj.易受攻击的,易受...的攻击"
ceremony,"n.典礼,仪式,礼节,报幕员"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
aspect,"n.样子,外表,面貌,(问题等的)方面"
capable,"adj.有能力的,能干的,有可能的,可以...的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
endanger,vt.危及
exaggerate,"v.夸大,夸张"
explore,"v.探险,探测,探究"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
meanwhile," (=meantime)n.其间,其时;adv.其间"
passion,"n.激情,热情,耶稣的受难和死亡"
phenomenon,n.现象
pile,"n.堆,大堆,高大建筑,<美口>大量钱财,<美>[核]反应堆,[电]电池组vi.堆起,堆积,积累,挤vt.堆于,累积,堆叠,打桩于,用桩支撑"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
adolescent,"adj.青春期的,青春的;n.青少年"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
float,"n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满"
furthermore,"adv.此外,而且"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
occupy,"vt.占,占用,占领,占据"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
regulate,"vt.管制,控制,调节,校准"
relieve,"vt.减轻,解除,援救,救济,换班"
robust,adj.精力充沛的
ecosystem,n.生态系统
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
cultivate,"vt.培养,耕作"
decrease,"n.减少,减少之量v.减少"
luxury,"n.奢侈,华贵"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
retain,"vt.保持,保留"
ultimate,"adj.最后的,最终的,根本的n.最终"
adjust,"vt.调整,调节,校准,使适合"
due,"n.应得物、权力,[复]应付款adj.应得的,应付的,正当的,预期的,(车、船预定)应到的"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
version,"n.译文,译本,翻译"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
ingredient,"n.成分,因素"
recall,"vt.回忆,回想,记起,取消n.召回"
artificial,"adj.人造的,假的,非原产地的"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
acquisition,"n.获得,获得物"
arise,"vi.出现,发生,起因于"
arrange,"v.安排,排列,协商"
award,"n.奖,奖品vt.授予,判给"
contend,"v.斗争,竞争,主张"
complain,"v.抱怨,悲叹,控诉"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
consultant,"n.顾问,商议者,咨询者"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
controversy,"n.论争,辩论,论战"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
curb,n.路边
deny,"v.否认,拒绝"
differ,"vi.不一致,不同"
dramatic,"adj.戏剧性的,生动的"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
equip,"vt.装备,配备,训练,准备行装"
essence,"n.基本,[哲]本质,香精"
illegal,"adj.违法的,不合规定的"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
inquiry,"n.质询,调查"
insurance,"n.保险,保险单,保险业,保险费"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
intelligence,"n.智力,聪明,智能"
literacy,"n.有文化,有教养,有读写能力"
minimum,"adj.最小的,最低的n.最小值,最小化"
obvious,"adj.明显的,显而易见的"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
prosperity,n.繁荣
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
segregation,n.种族隔离
semester,n.学期
shortage,"n.不足,缺乏"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
specialise,"v.专门研究,深入"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
accuse,"vt.控告,谴责,非难"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
consult,"v.商量,商议,请教,参考,考虑"
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
decorate,"v.装饰,为...做室内装修"
devote,"vt.投入于,献身"
dynamic,"adj.动力的,动力学的,动态的"
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
grant,"vt.同意,准予,承认(某事为真)～"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
justify,v.证明...是正当的
mortgage,n.抵押v.抵押
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
penalty,"n.处罚,罚款"
prejudice,"n.偏见,成见,损害,侵害v.损害"
profile,"n.剖面,侧面,外形,轮廓"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
scare,"v.惊吓,受惊,威吓n.惊恐,恐慌,恐惧"
skeptical,"adj.怀疑性的,好怀疑的,<口>无神论的"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
symptom,"n.[医][植]症状,征兆"
tenant,"n.承租人,房客,租客v.出租"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固"
stake,n.树桩
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
concentrate,"v.集中,浓缩"
confront,"vt.使面临,对抗"
derive,vt.得自vi.起源
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
endure,"v.耐久,忍耐"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
evaluate,"vt.评价,估计,求...的值v.评价"
impress,"vt.印,盖印,留下印象"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
portray,v.描绘
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
complicate,v.(使)变复杂
bet,"n.赌,打赌v.赌,赌钱"
distract,v.转移
sensitive,"adj.敏感的,灵敏的,感光的"
strive,"v.努力,奋斗,力争,斗争"
junior,"n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生adj.年少的,下级的,后进的"
modest,"adj.谦虚的,谦让的,适度的"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
bureau,"n.办公桌,衣柜 <美>局,办公署"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
stable,adj.稳定的
accurate,"adj.正确的,精确的"
underestimate,"vt.低估,看轻n.低估"
sufficient,"adj.充分的,足够的"
compel,"vt.强迫,迫使"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
activate,
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
involved,"adj.棘手的,有关的"
leisure,"n.空闲,闲暇,悠闲,安逸"
relevant,"adj.有关的,相应的"
caution,"n.小心,谨慎,警告vt.警告"
territory,"n.领土,版图,地域"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
adopt,"vt.采用,收养"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
accumulate,"v.积聚,堆积"
analysis,"n.分析,分解"
affordable,
aggravate,"vt.使恶化,加重"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
asset,"n.资产,有用的东西"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
availability,"n.可用性,有效性,实用性"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
characterize,"vt.表现...的特色,刻画的...性格"
characterise,vt.<英>=characterize
chronic,"adj.慢性的,延续很长的"
classify,"vt.分类,分等"
clause,"n.子句,条款"
collaboration,"n.协作,通敌"
commitment,"n.委托事项,许诺,承担义务"
complexity,"n.复杂(性),复杂的事物,复杂性"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
confident,"adj.自信的,确信的"
confuse,"vt.搞乱,使糊涂"
conserve,"vt.保存,保藏"
continuous,"adj.连续的,持续的"
correlate,vt.使相互关联vi.和...相关
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
democracy,"n.民主政治,民主主义"
deprive,"vt.剥夺,使丧失"
descendant,"n.子孙,后裔,后代"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
dilemma,"n.进退两难的局面,困难的选择"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子"
dropout,"n.退学学生,中途退学,辍学学生"
eligible,"adj.符合条件的,合格的"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
engagement,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
evolution,"n.进展,发展,演变,进化"
exceptional,"adj.例外的,异常的"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
forum,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
genuine,"adj.真实的,真正的,诚恳的"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
guilty,"adj.犯罪的,有罪的,心虚的"
handicraft,"n.手工艺,手工艺品,手艺"
illiterate,"n.文盲adj.不识字的,没受教育的"
inadequate,"adj.不充分的,不适当的"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
innovation,"n.改革,创新"
insight,"n.洞察力,见识"
intention,"n.意图,目的"
interact,"vi.互相作用,互相影响"
internal,"adj.内在的,国内的"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
literally,"adv.照字面意义,逐字地"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
nonetheless,"adv.虽然如此,但是"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
optimistic,adj.乐观的
oriental,"n.东方人(尤指中国人和日本人)adj.东方诸国的,亚洲的,东方的,(珍珠等)最优质的"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
persuasive,"n.说服者,劝诱adj.善说服的"
postpone,"vt.推迟,使延期,延迟"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
prospective,adj.预期的
racial,"adj.人种的,种族的,种族间的"
rarely,"adv.很少地,罕有地"
refine,"vt.精炼,精制,使文雅高尚"
reliable,"adj.可靠的,可信赖的"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
rid,"vt.使摆脱,使去掉"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
simulate,"vt.模拟,模仿,假装,冒充"
stimulus,"n.刺激物,促进因素,刺激,刺激"
speciality,"n.特性,特质,专业,特殊性"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
undermine,v.破坏
