adjust,"vt.调整,调节,校准,使适合"
baseball,"n.棒球,棒球运动"
basement,"n.地下室,墙脚"
bout,"n.一回,一场,回合,较量vt.来回耕"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
complain,"v.抱怨,悲叹,控诉"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
crippled,
despite," prep.不管,尽管,不论"
envious,"adj.嫉妒的,羡慕的"
fighter,"n.斗士,战士,斗争者,奋斗者,好战者"
frustration,"n.挫败,挫折,受挫"
halting,"adj.跛的,犹豫的,蹒跚的"
handrail,"n.栏杆,扶手"
indignity,"n.轻蔑,侮辱,侮辱的行为"
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊v.哄骗,取笑,开玩笑,欺骗"
knowledgeable,"adj.知识渊博的,有见识的"
lower,"adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
memorable,"adj.值得纪念的,难忘的"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
precisely,adv.adv.正好
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
regain,"v.收回,恢复,重到,重新夺得"
reluctance,"n.不愿,勉强"
severely,"adv.严格地,激烈地"
shove,"n.<口>推,挤vt.<口>推挤,猛推,强使vi.推"
sleigh,"n.雪橇v.乘雪橇,用雪橇运输"
trifle,"n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄"
tunnel,"n.隧道,地道"
unaided,"adj.未受协助的,独立的"
unwanted,"adj.不必要的,空闲的,多余的,讨厌的,有害的"
unworthy,"adj.不值得的,不足取的n.不足道的,卑劣的家伙"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
vicariously,"adv.代理地,担任代理者地"
a matter of,
engage in,
let on,
now that,
on leave,
see to it that ...,
set the pace,
subject ... to ...,
