adjust,"vt.调整,调节,校准,使适合"
bedtime,n.就寝时间
bygone,n.过去的事adj.过去的
commodity,n.日用品
confidentially,
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
devotion,"n.热爱,投入"
floodgate,"n.水门,(河流,运河的)水闸,防潮水闸"
frail,"adj.虚弱的,脆弱的,(意志)薄弱的n.<美俚>少女,少妇,灯心草篓"
gaze,"v.盯,凝视n.凝视"
impulsively,有推动力地
insecure,"adj.不可靠的,不安全的"
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆vi.重叠,围住,轻拍,舔vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
lover,"n.爱人,爱好者,情人"
medication,"n.药物治疗,药物处理,药物"
melodious,adj.音调优美的
monopoly,"n.垄断,垄断者,专利权,专利事业"
motionless,"adj.不动的,静止的"
nightgown,n.女睡衣
overnight,"n.头天晚上adj.通宵的,晚上的,前夜的adv.在前一夜,整夜,昨晚一晚上"
pamper,v.纵容
pill,"n.药丸,口服避孕药,弹丸"
porch,"n.门廊,走廊"
puzzled,
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
reminisce,v.回忆
restless,"adj.得不到休息的,不平静的,不安宁的"
scrapbook,n.剪贴簿
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
slipper,"n.拖鞋,制轮器vt.用拖鞋打(孩子等)"
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
throat,"n.咽喉,喉咙,嗓音,窄路,口子vt.用喉音说,开沟于"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
watchful,"adj.警惕的,注意的,警戒的"
well,"n.井vi.涌出adj.健康的,良好的,适当的adv.好,满意地,充分地,彻底地,有理地,适当地,夸奖地int.唔,咳"
withdrawn,"adj.性格内向的,偏僻的,孤独的"
wrinkled,
as though,
as if,
on duty,
off duty,
be on duty,
be off duty,
clear one's throat,
come to life,
come back to life,
deprive ... of ...,
open the floodgates,
tuck ... in,
turn up,
additional,"adj.另外的,附加的,额外的"
adoring,"adj.崇拜的,敬慕的"
Alzheimer's,
appreciation,"n.感谢,感激,正确评价,欣赏,增值"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
brilliant,"adj.灿烂的,闪耀的,有才气的"
capable,"adj.有能力的,能干的,有可能的,可以...的"
cute,"adj.可爱的,聪明的,伶俐的,装腔作势的"
disability,"n.无力,无能,残疾n.[律] 无能力,无资格"
diversion,"n.转移,转换,牵制,解闷,娱乐"
eagerly,"adv.热心地,急切地"
emotion,"n.情绪,情感,感情"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
growl,"v.咆哮,发牢骚地说n.咆哮声,怨言"
human being,
independently,"adv.独立地,自立地"
interaction,"n.交互作用,交感"
nap,"n.(白天)小睡,打盹,细毛,孤注一掷;vi.小睡,疏忽;vt.使拉毛,修整,预测...为获胜马;Nationa Attachment Point,国家附属站点"
ownership,"n.所有权,物主身份"
popularity,"n.普及,流行,声望"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
purr,"v.咕噜咕噜叫,发出喉音n.咕噜咕噜声"
relaxation,"n.松弛,放宽,缓和,减轻,娱乐"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
resident,"n.居民adj.居住的,常驻的"
rub,"v.擦,摩擦 rt. (～ along) 和谐相处,(～ off) 擦掉,擦破,(～ out) 把(记号,笔记,笔迹等)擦掉"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
security,n.安全
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
suggestion,"n.提议,意见,暗示,微量"
therapy,n.治疗
touching,"adj.动人的,令人同情的 prep.<书>关于,至于"
unconditional,"adj.无条件的,绝对的,无限制的"
veterinarian,n.兽医
vitamin,"n.维他命,维生素"
wag,"vt.摇摆,摇动,饶舌vi.爱说笑打趣的人,摆动,喋喋不休n.摇摆,小丑"
be capable of,
identify with,
in return,
acceptance,"n.接受,承诺,容忍,赞同,相信"
anymore,"adv.不再,再也不"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
assistance,"n.协助,援助,补助,<英>国家补助"
assume,"vt.假定,设想,采取,呈现"
chart,"n.海图,图表vt.制图"
conflict,"n.斗争,冲突vi.抵触,冲突"
connotation,"n.含蓄,储蓄的东西(词、语等),内涵"
convey,"vt.搬运,传达,转让"
emotional,"adj.情绪的,情感的"
emphasis,"n.强调,重点"
exaggerate,"v.夸大,夸张"
factual,"adj.事实的,实际的"
generalization,"n.一般化,普遍化,概括,广义性"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
ironically,"adv.说反话地,讽刺地"
literal,"adj.文字的,照字面上的,无夸张的"
literally,"adv.照字面意义,逐字地"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
misinterpret,vt.曲解
mislead,vt.误导
mistakenly,"adv.错误地,曲解地"
phrase,"n.短语,习语,惯用语,成语,措词vt.用短语表达"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
react,"vi.起反应,起作用,反抗,起反作用"
rethink,"v.再想,重想"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
superlative,adj.最高的
translator,n.翻译者
unclear,adj.不清楚的
unloving,
unsupportive,
unsupportively,
verge,v.濒临n.边缘
feel like,
for effect,
lead to,
on the verge of,
pull out,
take ... lightly,
accomplishment, ns//n.造诣
admirable,"adj.令人倾佩的,值的赞美的,绝妙的,极好的"
admiration,"n.钦佩,赞美,羡慕"
aura,"n.气氛,气味,(圣象头部的)光环 [医]先兆,预感"
brightly,adv.明亮地
cheerfully,adv.高高兴兴地
chick,"n.即将孵出或刚孵出的小鸟,(尤指)小鸡"
comprehend,"vt.领会,理解,包括(包含),由...组成"
determination,"n.决心,果断"
distinguish,"v.区别,辨别"
dread,"n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
gratitude,n.感谢的心情
hen,"n.母鸡,雌鸟"
memorize,"v.[亦作memorise] 记住,记忆"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
over-crowded,
possess,"vt.占有,拥有,持有,摆布,支配"
postal,"adj.邮政的,邮局的"
promising,"adj.有希望的,有前途的"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
solely,"adv.独自地,单独地"
surprising,adj.令人惊讶的
unfamiliarity,
burst into tears,
hold back,
in a different light,
attendant,n.服务员
bum,"n.游荡者,游民,闹饮adj.无价值的vi.过游民生活,免费得到,流浪vt.乞讨"
foreigner,"n.外国人,外地人"
gasp,"vi.喘息,气喘vt.气吁吁地说"
highway,"n.公路,大路"
restroom,
takeoff,"n.起飞,开始,移去adj.起飞的,卸除的"
uncombed,"adj.未梳理过的,蓬乱的"
uncommon,"adj.不凡的,罕有的,难得的"
in the end,
in the world,
pull over,
turn out,
achievement,"n.成就,功绩"
appropriately,adv.适当地
capability,"n.(实际)能力,性能,容量,接受力"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
contribute,"v.捐助,捐献,贡献,投稿"
creatively,
cruelty,"n.残忍,残酷"
dependence,"n.依靠,依赖,信任,信赖"
dominate,"v.支配,占优势"
evaluate,"vt.评价,估计,求...的值v.评价"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
genuinely,"adv.真诚地,诚实地"
genuineness,
guilt,"n.罪行,内疚"
helpless,"adj.无助的,无能的,没用的"
inadequate,"adj.不充分的,不适当的"
independence,"n.独立,自主"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
limitation,"n.限制,局限性"
loser,"n.失主,失败者,输者"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
nutrition,"n.营养,营养学"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
responsive,"adj.响应的,作出响应的"
rigid,"adj.刚硬的,刚性的,严格的"
trustworthy,adj.可信赖的
unaware,"adj.不知道的,没觉察到的"
unique,"adj.唯一的,独特的"
uniqueness,
call for,
channel ... into ...,
contribute to,
enter into,
in one's own right,
in the face of,
live up to,
refer to ... as ...,
see ... as ...,
blacksmithing,
bluebird,n.北美产的蓝知更鸟
bypass,"n.旁路vt.设旁路,迂回"
callous,"adj.无情的,冷淡的,硬结的,起老茧的"
depression,"n.沮丧,消沉,低气压,低压"
enlistment,"n.征募,服役期间"
fairness,"n.公平,正直,美好,明亮,清晰,适当,顺利性"
ferryboat,"n.渡船,渡轮"
fireman,"n.救火队员,消防队员"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
insurance,"n.保险,保险单,保险业,保险费"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
kidnapper,"n.拐子,绑匪"
locomotive,"n.机车,火车头adj.运动的"
miserable,"adj.痛苦的,悲惨的,可怜"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
pension,"n.养老金,退休金"
playtime,"n.游戏时间,娱乐时间"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
resent,"v.愤恨,怨恨"
resist,"vt.抵抗,反抗,抗,忍得住"
retire,"vi.退休,引退,退却,撤退,就寝"
runaway,"n.逃跑,逃跑者,巨大的胜利,失控的车(或核子反应堆系统)adj.逃亡的,逃走的"
span,"n.跨度,跨距,范围v.横越"
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
twilight,"n.黎明,微光,略知adj.微明的,黄昏的,黎明的,模糊的"
unbroken,"adj.未破损的,完整的,继续的"
washer,"n.洗衣人,垫圈,洗衣机,洗碗机"
carry on,
drop out,
drop out of,
give away,
hit the road,
run out,
acknowledge,"vt.承认,答谢,报偿"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
circumstance,"n.环境,详情,境况"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
empire,"n.帝国,帝权"
excellence,"n.优秀,卓越,优点,美德"
expel,"v.驱逐,开除,排出,发射"
expose,"vt.使暴露,受到,使曝光v.揭露"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
glowing,"adj.炽热的,容光焕发的,生气勃勃的"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
isolated,"adj.隔离的,孤立的,单独"
leadership,"n.领导能力,领导阶层"
lengthy,"adj.(演说、文章等)冗长的,过分的"
lord,"n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族"
military,"adj.军事的,军用的"
nomination,n.任命
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
pursuit,n.追击
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
renomination,"n.再提名,再任命"
senate,"n.参议院,上院"
statesman,n.政治家
unpromising,"adj.无前途的,没有希望的"
vice-,
give up,
home and abroad,
at home and abroad,
bleeding,"n.出血,流血"
capsule,"n.(植物)蒴果,胶囊,瓶帽,太空舱"
harmless,adj.无害的
heal,"v.治愈,医治,结束"
placebo,"n.为死者所诵的晚祷词,安慰剂"
prescribe,"v.指示,规定,处(方),开(药)"
prescription,"n.指示,规定,命令,处方,药方"
reaction,"n.反应,反作用,反动(力)"
reality,"n.真实,事实,本体,逼真"
reassurance,n.放心
seasickness,n.晕船
swear,"vi.诅咒v.宣誓,发誓"
treatment,"n.待遇,对待,处理,治疗"
tribal,"adj.部落的,种族的"
ulcer,"n.溃疡,腐烂物"
as a result,
fool somebody into doing something,
in a way,
open up,
rest with,
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
addicted,adj.沉溺于某种嗜好中的
addiction,"n.沉溺,上瘾"
advertise,"v.做广告,登广告"
advertiser,"n.登广告者,广告客户"
budget,"n.预算vi.做预算,编入预算"
compulsion,"n.强迫,强制,[心]强迫性冲动"
compulsive,"adj.强制的,强迫的,由强迫产生的,禁不住的"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
discount,n.折扣
hunter,n.猎人
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
irrational,"adj.无理性的,失去理性的"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
psychological,adj.心理(上)的
reasonably,"adv.适度地,相当地"
reflect,"v.反射,反映,表现,反省,细想"
salesclerk,n.商店里的店员
self-discipline,
stem,"n.茎,干,词干,茎干v.滋生,阻止"
symbol,"n.符号,记号,象征"
therapist,n.临床医学家
for instance,
hold on to something,
in addition,
on credit,
stem from,
analyse,"vt.分析,分解n.分析"
annoyance,"n.烦恼,可厌之事"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
automated,
cite,"vt.引用,引证,提名表扬"
computerised,
dynamic,"adj.动力的,动力学的,动态的"
electrical,"adj.电的,有关电的"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
lengthen,"v.延长,(使)变长"
minimize,vt.将...减到最少v.最小化
neighbouring,"adj.附近的,毗邻的"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
preferable,"adj.更可取的,更好的,更优越的"
queue,"n.行列,长队,队列vi.排队,排队等待"
reclaim,"vt.要求归还,收回,开垦"
teller,"n.讲话的人,告诉的人,(银行)出纳员,(投票的)检票员"
terminus,"n.终点,[建]界标,终点站"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
ultimately,"adv.最后,终于,根本,基本上"
unbearable,"adj.无法忍受的,承受不住的"
back up,
be related to,
fed up,
have to do with,
on average,
take a short cut,
tear one's hair out,
analysis,"n.分析,分解"
ancient,"adj.远古的,旧的"
bedding,"n.被褥,(家畜)草垫,(建筑)基床"
bookshop,n.书店
conscious,
decade,"n.十年,十"
doorbell,n.门铃
dreamer,"n.做梦的人,梦想家"
enthusiast,"n.热心家,狂热者"
error,"n.错误,过失,误差"
frustrating,
heater,"n.加热器,发热器"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
inner,"adj.内部的,里面的,内心的n.内部"
instantly,"adv.立即地,即刻地"
interpretation,"n.解释,阐明,口译,通译"
misfire,v.不发火
mode,"n.方式,模式,样式,时尚"
nonsense,"n.胡说,废话"
omen,"n.预兆,征兆vt.预示,有...的前兆"
physiological,"adj.生理学的,生理学上的"
predict,"v.预知,预言,预报"
psychoanalyst,n.心理分析学者
recognizable,"adj.可认识的,可辨认的,可公认的,可认知的"
recording,"adj.记录的,记录用的n.录音带,唱片"
recur,"vi.复发,重现,再来"
subconscious,adj.下意识的
unconscious,"adj.不省人事,未发觉的,无意识的"
volume,"n.卷,册,体积,量,大量,音量"
be tied up with,
date back to,
cancel,"vt.取消,删去"
churchyard,"n.墓地,境内"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
elm,n.[植]榆树
footpath,"n.人行道,小路"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
naturalist,"n.自然主义者,博物学者"
nightmare,"n.梦魇,恶梦,可怕的事物"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
premonition,n.前兆
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
thump,"v.重击,砰然地响n.重击,重击声"
thunder,"n.雷,雷声,轰隆声vi.打雷,雷鸣"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
wicker,n.柳条adj.柳条制的
call off,
come to a halt,
on top of,
on the top of,
run into,
actively,"adv.活跃地,积极地"
awaken,"v.唤醒,醒来,唤起"
depressed,"adj.沮丧的,降低的"
disturbing,adj.烦扰的
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
laboratory,n.实验室
mechanism,"n.机械装置,机构,机制"
mood,"n.心情,情绪,语气,状态"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
participant,"n.参与者,共享者adj.参与的"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
progressively,adv.日益增多地
relieve,"vt.减轻,解除,援救,救济,换班"
separation,"n.分离,分开"
topic,"n.话题,主题"
unpleasant,"adj.使人不愉快的,讨厌的"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
dream up,
now and then,
right away,
work through,
anthropologist,"n.人类学者,人类学家"
apparently,adv.显然地
appropriate,adj.适当的
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
boxer,n.拳师
broccoli,n.椰菜
butterfly,n.[动]蝴蝶 蝶泳
calorie,n.卡路里
cheaply,adv.便宜地
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
disgusting,adj.令人厌恶的
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
fertilize,"vt.施肥,使丰饶,使受精,使肥沃,使多产"
foodseller,
forbid,"vt.禁止,不许v.禁止"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
manure,n.肥料v.施肥于
nauseating,"adj.作呕的,恶心的,厌恶的"
nomad,"n.游牧部落的人,流浪者,游牧民adj.游牧的"
nomadic,adj.游牧的
nutritious,"adj.有营养成分的,营养的"
pork,"n.猪肉,<美俚><粗>与(女子)性交"
protein,n.[生化]蛋白质adj.蛋白质的
rat,
sacred,"adj.神的,宗教的,庄严的,神圣的"
sufficiently,"adv.十分地,充分地"
taboo,"n.(宗教)禁忌、避讳,禁止接近,禁止使用adj.禁忌的,忌讳的vt.禁忌,避讳,禁制,禁止"
trichinosis,n.旋毛虫病
pick up,
regard ... as ...,
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
appearance,"n.出现,露面,外貌,外观"
appetite,"n.食欲,胃口,欲望,爱好"
association,"n.协会,联合,结交,联想"
atmosphere,"n.大气,空气,气氛"
casual,"adj.偶然的,不经意的,临时的"
chalkboard,n.黑板
competition,"n.竞争,竞赛"
considerably,adv.相当地
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
decorate,"v.装饰,为...做室内装修"
diner,n.用餐者
distinctive,"adj.与众不同的,有特色的"
document,"n.公文,文件,文档,档案,文献v.证明"
documentation,n.文件
drive-in,
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
effectiveness,n.效力
emphasize,"vt.强调,着重v.强调"
graphics,"n.(作单数用)制图法,制图学,图表算法,图形"
guideline,n.方针
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
handwritten, vbl.handwrite的过去分词 adj.手写的
historian,"n.历史学家,史家"
impractical,"adj.不切实际的,昧于实际的"
legibility,"n.易读性,易辨认,易理解"
management,"n.经营,管理,处理,操纵,驾驶,手段"
originality,"n.创意,新奇"
pancake,n.薄烤饼
photography,"n.摄影,摄影术"
pizza,n.比萨饼(一种涂有乳酪核番茄酱的意大利式有馅烘饼)
pleasing,"adj.令人高兴的,愉快的,合意的"
prelude,"n.先驱,前奏,序幕"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
printing,"n.印刷,印刷术,[纺]印花"
publication,"n.出版物,出版,发行,公布,发表"
rationing,n.(食物等的)配给
recitation,"n.朗诵,背诵,叙述,背诵的东西"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
souvenir,n.纪念品
steak,"n.(供煎,烤等的)肉,鱼,肉片,鱼片,肉排,牛排"
theme,"n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐] 主题,主题曲,主旋律"
underestimate,"vt.低估,看轻n.低估"
version,"n.译文,译本,翻译"
above all,
eat out,
give ... credit for ...,
acute,"adj.敏锐的,[医]急性的,剧烈"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
attractive,"adj.吸引人的,有魅力的"
attractively,"adv.动人地,迷人地"
bewildering,"adj.令人困惑的,使人混乱的"
bland,"adj.温和的,柔和的,乏味的,冷漠的,刺激性少的"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
borderline,n.边界线
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
cookery,n.烹调术
crispness,"n.易碎,精神愉快"
cuisine,"n.厨房烹调法,烹饪,烹调风格"
curry,"n.咖哩粉,咖哩饭菜vt.用咖哩粉调味,用马梳梳,制革"
dazzling,"adj.眼花缭乱的,耀眼的"
discriminating," /adv.有辨别力/adj.识别的,有差地,有差别地,区别别的,有识别力的"
edible,adj.可食用的
enhance,"vt.提高,增强v.提高"
fiery,"adj.火的,火焰的,炽热的,热烈的,暴躁的,[眼]炯炯有神的"
goodness,"n.仁慈,善良"
inclination,"n.倾斜,弯曲,倾度,倾向,爱好"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
inexpensive,"adj.便宜的,不贵重的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
instinctive,adj.本能的
linguistic,"adj.语言上的,语言学上的"
locality,"n.位置,地点"
necessity,"n.必要性,需要,(常 pl.) 必需品"
nutritional,"adj.营养的,滋养的"
omit,"vt.省略,疏忽,遗漏"
perfection,"n.尽善尽美,完美,完成"
persist,"vi.坚持,持续"
preference,"n.偏爱,优先选择"
preparation,"n.准备,预备"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
racial,"adj.人种的,种族的,种族间的"
recipe,n.处方
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
regional,"adj.整个地区的,地方地,地域性地"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
remarkably,"adv.非常地,显著地,引人注目地"
retain,"vt.保持,保留"
simplicity,"n.简单,简易,朴素,直率"
sophistication,"n.强词夺理,诡辩,混合"
sour,"adj.酸的,发酵的,酸腐的,酸味的"
soy,"n.酱油,大豆"
soy sauce,
specialty,n.专业
spiced,
spicy,"adj.加香料的,出产香料的,辛辣的,有风味的"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
subtly,"adv.敏锐地,精细地,巧妙地"
supreme,"adj.极度的,极大的,至高的,最高的"
survival,"n.生存,幸存,残存,幸存者,残存物"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
threat,"n.恐吓,凶兆,威胁"
