declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
provincial,adj.省的
myth,"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法"
vow,"n.誓约v.宣誓,立誓,发誓"
cargo,"n.船货,(车、船、飞机等运输的)货物"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
grief,"n.悲痛,伤心事,不幸,忧伤"
affectionate,"adj.亲爱的,挚爱的"
symbol,"n.符号,记号,象征"
vein,"n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪vt.使成脉络,象脉络般分布于"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
due,"n.应得物、权力,[复]应付款adj.应得的,应付的,正当的,预期的,(车、船预定)应到的"
uneasiness,n.不安
conception,"n.观念,概念"
sum,"n.总数,和,金额,算术题"
unnatural,adj.不自然的
dense,"adj.密集的,浓厚的"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
bondage,"n.奴役,束缚"
tiresome,"adj.无聊的,烦人的"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
obstinate,"adj.倔强的,顽固的"
gulp,"vt.吞,一口吞(下),忍住,抑制vi.吞咽n.吞咽"
shrewd,adj.精明
creative,adj.创造性的
sermon,"n.训诫,说教,布道"
sensation,"n.感觉,感情,感动,耸人听闻的"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
indication,"n.指出,指示,迹象,暗示"
proposal,"n.提议,建议"
acquaintance,"n.相识,熟人"
rejoice,"v.(使)欣喜,(使)高兴,喜悦"
determination,"n.决心,果断"
throng,v.群集
triumph,"n.胜利,成功v.获得胜利"
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
necessary,"n.必需品adj.必要的,必需的,必然的"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
host,"n.主机,主人,旅馆招待vt.当主人招待"
queer,"n.同性恋者adj.奇怪的,可疑的,不舒服的vt.搞糟n.同性恋者"
sin,"n.[俗] 违背习俗,不合情理之事,过失,罪过,[数学] 正弦函数"
parliament,"n.国会,议会"
passion,"n.激情,热情,耶稣的受难和死亡"
monster,"n.怪物,妖怪"
hospitable,"adj.好客的,招待周到的"
striking,"adj.打击的,显著的,惊人的,罢工的"
humanity,"n.人性,人类,博爱,仁慈"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
pretence,n.伪装
accentuate,"v.重读,强调,着重强调"
grind,"v.磨(碎),碾(碎),折磨"
saunter,"n.vi.闲逛,漫步"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
harden,"vt.使变硬,使坚强,使冷酷vi.变硬,变冷酷,涨价"
artistic,"adj.艺术的,有美感的,风雅的"
statistical,"adj.统计的,统计学的"
contradiction,"n.反驳,矛盾"
inhabit,"vt.居住于,存在于,占据,栖息"
profession,"n.职业,专业,表白,宣布"
logical,"adj.合乎逻辑的,合理的"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
streak,"v.飞跑,加上条纹"
span,"n.跨度,跨距,范围v.横越"
sarcastic,adj.讽刺的
impressive,"adj.给人深刻印象的,感人的"
grunt,"vi.(猪等)作呼噜声,(表示烦恼、反对、疲劳、轻蔑等)发哼声vt.咕哝着说出n.呼噜声,咕哝"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
immaterial,adj.非实质的
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
genuine,"adj.真实的,真正的,诚恳的"
rescue,"vt.援救,营救n.援救,营救"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
limp,"adj.柔软的,易曲的vi.跛行"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
vomit,"n.呕吐,呕吐物,催吐剂vi.呕吐,大量喷出vt.吐出,呕吐"
illiterate,"n.文盲adj.不识字的,没受教育的"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
nutrition,"n.营养,营养学"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
conscientious,adj.尽责的
steal,"v.偷,窃取,偷窃,偷盗"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
stimulate,"vt.刺激,激励v.刺激,激励"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
curb,n.路边
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫vt.解雇,装入袋,洗劫,就寝"
spontaneous,"adj.自发的,自然产生的"
splendid,"adj.壮丽的,辉煌的,极好的"
ruin,"v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
bore,"n.令人讨厌的人,怒潮,枪膛,孔v.使烦扰,钻孔 钻孔"
occupy,"vt.占,占用,占领,占据"
panic,"n.惊慌,恐慌,没有理由的"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
hospitality,"n.好客,宜人,盛情"
charity,"n.慈善,施舍,慈善团体,"
monotonous,"adj.单调的,无变化的"
smack,"n.滋味,风味,少量,拍击v.带有...风味,用掌击,拍打"
passionate,adj.充满热情的
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
wrap,"n.外套,围巾,包裹,秘密,约束,限制vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏vi.缠绕,重叠,穿外衣,包起来"
pursue,"vt.追赶,追踪,追击,继续,从事"
jerk,"n.性情古怪的人,急推,猛拉,肌肉抽搐,(生理)反射,牛肉干vi.痉挛,急拉,颠簸地行进vt.猛拉"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
prejudiced,adj.怀偏见的
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
costume,"n.装束,服装"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
casual,"adj.偶然的,不经意的,临时的"
insane,"adj.患精神病的,精神病患者的,极愚蠢的"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
economize,"v.节约,节省,有效地利用"
according,adv.依照
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
chatter,"n.(动物,尤其是鸟类)唠叨,啁啾声,(小溪的)潺潺流水声vi.喋喋不休的谈,卡搭作响"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
impatient,"adj.不耐烦的,急躁的,不耐心的"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
blame,"n.过失,责备vt.责备,谴责"
bald,"adj.光秃的,单调的,枯燥的"
frightened,"adj.受惊的,受恐吓的"
swallow,"n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下"
nominate,"vt.提名,推荐,任命,命名"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
glimpse,"n.一瞥,一看v.瞥见"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
concentrate,"v.集中,浓缩"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
rough,"adj.粗糙的,粗略的,大致的,粗野的,粗暴的,粗略叙述的v.大体描述adv.粗糙地"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
ignorant,adj.无知的
contribute,"v.捐助,捐献,贡献,投稿"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
generous,"adj.慷慨的,大方的,有雅量的"
involve,"vt.包括,笼罩,潜心于,使陷于"
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
invest,"v.投(资),购买(有用之物)～,授予,投资"
sensitive,"adj.敏感的,灵敏的,感光的"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
unify,"vt.统一,使成一体"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
cluster,"n.串,丛;vi.丛生,成群"
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
humid,"adj.充满潮湿的,湿润的,多湿气的"
oblige,"vt.迫使,责成"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
struggle,"n.竞争,努力,奋斗vi.努力,奋斗,挣扎vt.尽力使得,使劲移动"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
surmount,"vt.战胜,超越,克服,在...顶上"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
urgent,"adj.急迫的,紧急的"
interval,"n.间隔,距离,幕间休息n.时间间隔"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
investment,"n.投资,可获利的东西"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
buoy,"n.(湖,河等中的)浮标,浮筒,救生圈vt.使浮起,支撑,鼓励"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
comprise,"v.包含,由...组成"
derive,vt.得自vi.起源
inward,"adv.向内,在内adj.向内的,内在的"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
furnish,"vt.供应,提供,装备,布置v.供给"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
detect,"vt.察觉,发觉,侦查,探测v.发现"
excel,"v.优秀,胜过他人"
dazzle,"v.(使)眼花,眩耀n.耀眼"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
spectator,n.观众(指比赛或表演)
sufficient,"adj.充分的,足够的"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
resolute,adj.坚决的
contradict,"vt.同...矛盾,同...抵触"
distrust,n.不信任vt.不信任
oppress,"vt.压迫,压抑"
maternal,"adj.母亲的,似母亲的,母性的"
abrupt,"adj.突然的,陡峭的,生硬的"
legacy,"n.遗赠(物),遗产(祖先传下来)"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
hinder,"adj.后面的v.阻碍,打扰"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
allot,"vt.(按份额)分配,分派"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
contaminate,v.污染
shame,"n.羞耻,羞愧,可耻的人(或事物)"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
waken,vi.醒来vt.唤醒
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
habitual,"adj.习惯的,惯常的"
indifferent,adj.无关紧要的
lofty,"adj.高高的,崇高的,高傲的,高级的"
adhere,"vi.粘附,胶着,坚持v.坚持"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
grant,"vt.同意,准予,承认(某事为真)～"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
purchase,"vt.买,购买n.买,购买"
deficient,"adj.缺乏的,不足的,不完善的"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
legitimate,"adj.合法的,合理的,正统的v.合法"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
precise,"adj.精确的,准确的n.精确"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
magnet,"n.磁体,磁铁"
instruction,"n.指示,用法说明(书),教育,指导,指令"
amiss,"adj.有毛病的,出差错的adv.错误的"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
