declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
scold,"v.责骂,申斥,斥责"
deter,v.阻止
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
suspicious,"adj.(～ of) 可疑的,怀疑的"
quantity,"n.量,数量"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
dispel,"vt.驱散,驱逐,使消散"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
retreat,"vi.撤退,退却n.撤退,退却"
leisure,"n.空闲,闲暇,悠闲,安逸"
consult,"v.商量,商议,请教,参考,考虑"
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
persist,"vi.坚持,持续"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
slacken,"v.松弛,放慢,减弱,减少,减缓放慢"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
possess,"vt.占有,拥有,持有,摆布,支配"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
cease,"v.停止,终了"
counterpart,"n.副本,极相似的人或物,配对物"
thwart,"adj.横放的vt.反对,阻碍,横过adv.prep.横过n.[船]横坐板"
prevail,"vi.流行,盛行,获胜,成功"
adapt,"vt.使适应,改编"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
ward,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔vt.守护,保卫,防止,挡住,躲开,避免"
accurate,"adj.正确的,精确的"
acknowledge,"vt.承认,答谢,报偿"
persevere,v.坚持
dread,"n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心"
sincere,"adj.诚挚的,真实的,真诚的"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
reflect,"v.反射,反映,表现,反省,细想"
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
confuse,"vt.搞乱,使糊涂"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
mislead,vt.误导
ascend,"v.攀登,上升"
satisfy,"vt.满足,使满意,说服,使相信v.满意,确保"
challenge,n.挑战vt.向...挑战
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
afford,"vt.提供,给予,供应得起,"
savage,"adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人"
sensible,"adj.有感觉的,明智的,有判断力的"
mischief,"n.伤害,危害,故障,恶作剧,淘气,调皮的人,损害"
scatter,"v.分散,散开,撒开,驱散"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
proficient,n.精通
intention,"n.意图,目的"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
disdain,"n.轻蔑,以高傲的态度对待vt.蔑视,鄙弃"
intermediate,adj.中间的n.媒介
gratitude,n.感谢的心情
approve,"vi.赞成,满意vt.批准,通过v.批准"
elevate,"vt.举起,提拔,振奋,提升...的职位"
refuge,"n.庇护,避难,避难所"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
exaggerate,"v.夸大,夸张"
individual,"n.个人,个体adj.个别的,单独的,个人的"
recollect,"v.回忆,想起,记起,忆起,记得"
picturesque,adj.独特的
hush,v.安静n.安静
sustain,"vt.支撑,撑住,维持,持续"
restrain,"vt.抑制,制止"
abound,"vi.多,大量存在,富于,充满"
estimate,"v.估计,估价,评估n.估计,估价,评估"
revenge,"n.报仇,复仇vt.替...报仇,复仇"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
refute,"vt.驳倒,反驳"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
testify,"v.证明,证实,作证"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
hesitate,"v.犹豫,踌躇,不愿"
assume,"vt.假定,设想,采取,呈现"
condolence,"n.哀悼,吊唁"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
regulate,"vt.管制,控制,调节,校准"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
duration,"n.持续时间,为期"
revolve,"v.(使)旋转,考虑,循环出现"
disarm,"vt.解除武装,回复平常的编制,缓和,消除(敌意,疑虑)vi.放下武器"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
visible,"adj.看得见的,明显的,显著的n.可见物"
relieve,"vt.减轻,解除,援救,救济,换班"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
blessing,n.祝福
obvious,"adj.明显的,显而易见的"
proclaim,"vt.宣布,声明,显示,显露"
regardless,"adj.不管,不顾,不注意"
indignant,"adj.愤怒的,愤慨的"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
torment,n.痛苦v.折磨
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
adjust,"vt.调整,调节,校准,使适合"
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
wink,"n.眨眼,使眼色,瞬间,(星光等的)闪烁vi.眨眼,使眼色,闪烁,打信号,假装不见,终止,熄灭vt.眨(眼)"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
imaginary,"adj.假想的,想象的,虚构的"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
trifle,"n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄"
emphasis,"n.强调,重点"
transformation," 9trAnsfE`meIFalism/9trAnsfE`malist/9trAnsfE`mally/9trAnsfE`meist/9trAnsfE` men/n.变化,转化,改EnEl/adj.[语]转籩IFEnElIzEm/n.[觘IFEnElIst/n.[语IFEnElI/adv.[语]IFEnIst/n.=trans适,改革,转换"
obedience,"n.服众,顺从"
tender,"adj.嫩的,温柔的,软弱的"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
innumerable,"adj.无数的,数不清的"
inspiration,n.灵感
occurrence,"n.发生,出现,事件,发生的事情"
sluggish,adj.行动迟缓的
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
loan,"n.(借出的)贷款,借出v.借,借给"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
opportunity,"n.机会,时机"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
destruction,"n.破坏,毁灭"
rub,"v.擦,摩擦 rt. (～ along) 和谐相处,(～ off) 擦掉,擦破,(～ out) 把(记号,笔记,笔迹等)擦掉"
mere,"adj.仅仅的,起码的,纯粹的"
heighten,"v.提高,升高"
swollen,adj.肿胀的
malicious,"adj.怀恶意的,恶毒的"
paradise,n.天堂
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
curl,v.(使)卷曲
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
relaxation,"n.松弛,放宽,缓和,减轻,娱乐"
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
foam,"n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料vi.起泡沫,冒汗水,吐白沫vt.使起泡沫"
miserable,"adj.痛苦的,悲惨的,可怜"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
corridor,n.走廊
distraction,"n.娱乐,分心,分心的事物"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
ridicule,"n.嘲笑,奚落v.嘲笑,奚落"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
reaction,"n.反应,反作用,反动(力)"
regain,"v.收回,恢复,重到,重新夺得"
verbal,adj.口头的
obligation,"n.义务,职责,债务"
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
murmur,"n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语"
tray,"n.盘,碟,盘子"
manuscript,"n.手稿,原稿"
masterpiece,"n.杰作,名著"
readily,"adv.乐意地,欣然,容易地"
recover,"vt.重新获得,恢复,使改过vi.痊愈,复原,胜诉"
tyranny,"n.暴政,苛政,专治"
bet,"n.赌,打赌v.赌,赌钱"
hesitation,"n.犹豫,踌躇"
clamor,"n.喧闹,叫嚷,大声的要求v.喧嚷,大声的要求"
frame,"n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架"
intolerable,"adj.无法忍受的,难耐的"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
reminiscence,"n.回想,记忆力,怀旧"
roughly,"adv.概略地,粗糙地"
respectable,"adj.可敬的,有名望的,高尚的,值得尊敬的"
unaware,"adj.不知道的,没觉察到的"
necessity,"n.必要性,需要,(常 pl.) 必需品"
vessel,"n.船,容器,器皿,脉管,导管"
fate,"n.天数,命运,运气vt.注定,送命"
melody,n.悦耳的音调
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
