acknowledge,"vt.承认,答谢,报偿"
comforts,
fortune,"n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
in possession of,
be in want of,
heroine,"n.女英雄,女主人公"
eventual,"adj.<古>可能的,最后的,结局的,万一的,终于的,"
assure,"vt.断然地说,确告,保证,担保"
comment,"n.注释,评论,意见vi.注释,评论"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
make a remark,
unsociable,adj.不爱交际的
resemble,"vt.象,类似"
to one's astonishment,
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
go mad,
intensely,"adv.激烈地,热情地"
head over heels,
sensible,"adj.有感觉的,明智的,有判断力的"
superficial,"adj.表面的,肤浅的,浅薄的"
rightly,"adv.端正地,正当地,正确地,公正地,恰当地"
disclose,"vt.揭露,透露"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
resentfully,adv.充满愤恨地
hypocritical,"adj.伪善的,伪善者的"
deign,vi.屈尊vt.赐予
compassion,"n.同情,怜悯"
discretion,n.判断力
fretfully,"adv.焦躁地,焦急地"
teasing,
circumspection,"n.细心,慎重"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
emphatic,"adj.语势强的,用力的,显著的,断然的"
exclamation,"n.惊呼,感叹惊叹,惊叹词"
adjust,"vt.调整,调节,校准,使适合"
surpass,"vt.超越,胜过"
tumult,"n.吵闹,骚动,拥挤,混乱"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
rapture,"n.全神贯注,兴高采烈,欢天喜地vt.使狂喜"
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
splendour,"n.[亦作splendor] 光彩壮丽,显赫,杰出"
string,"n.线,细绳,一串,一行v.排成一列"
scatter,"v.分散,散开,撒开,驱散"
