acknowledge,"vt.承认,答谢,报偿"
overpower,"vt.制服,压倒,供给...过强的力量"
emigrate,vi.永久(使)移居vt.(使)移民
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
jellyfish,n.水母
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
tentacle,"n.(动物)触须、触角,(植物)腺毛"
massive,"adj.厚重的,大块的,魁伟的,结实的"
visible,"adj.看得见的,明显的,显著的n.可见物"
poisonous,adj.有毒的
venom,"n.(蛇的)毒液,恶意,怨恨vt.放毒,使恶毒"
be home to,
swallow,"n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下"
in trouble,
in terms of,
scorpion,"n.[动]蝎子,心黑的人,蝎子鞭,<俚>直布罗陀人"
funnel,"n.漏斗,烟窗"
spider,"n.蜘蛛,设圈套者,三脚架"
transportation," /n.运)n/n.运输,运送"
hostile,"adj.敌对的,敌方的n.敌对"
breathtaking,"adj.惊人的,惊险的"
epic,"n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的"
variety,"n.变化,多样性,种种,品种,种类"
enslave,"v.奴役,沉溺,束缚"
hobbit,
rolling,"adj.旋转的,转动的,摇摆的,起伏的n.旋转,翻滚,动摇"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
fiery,"adj.火的,火焰的,炽热的,热烈的,暴躁的,[眼]炯炯有神的"
sacred,"adj.神的,宗教的,庄严的,神圣的"
trilogy,"n.三部剧,三部曲"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
anthem,"n.圣歌,赞美诗"
embody,"vt.具体表达,使具体化,包含,收录"
resourcefulness,n.足智多谋
controversy,"n.论争,辩论,论战"
icon,"n.图标,肖像,偶像"
accredit,"vt.信任,授权,归于"
romanticise,v.<主英>=romanticize
shearer,
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
squatter,n.蹲着的人vi.涉水而过
swagman,"n.流浪汉,收买赃货的人"
disturbance,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
jolly,"adj.欢乐的,高兴的,快活的"
eucalyptus,n.[植]桉树
chant,n.圣歌
aggressively,"adv.侵略地,攻势地"
sinew,"n.肌肉,精力,体力,原动力,[解]腱vt.赋予力量,加强"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
thigh,"n.大腿,股"
puff,"n.一阵喷烟,肿块,蓬松,吹嘘,宣传广告v.喷出,张开,夸张,(使)膨胀,(使)骄傲,喘息,鼓吹,吹捧"
slavery,"n.奴隶身分,奴隶制度,苦役,束缚"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
deserve,"vt.应受,值得v.应受"
freedom,"n.自由,自主,直率,特权"
abolish,"vt.废止,废除(法律、制度、习俗等)"
come into existence,
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
agree to,
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
be born into,
circus,"n.马戏团,杂技团,马戏场,杂技场"
reveal,"vt.展现,显示,揭示,暴露"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
cabin,"n.小屋,船舱"
stimulate,"vt.刺激,激励v.刺激,激励"
runaway,"n.逃跑,逃跑者,巨大的胜利,失控的车(或核子反应堆系统)adj.逃亡的,逃走的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
superb,"adj.庄重的,堂堂的,华丽的,极好的"
triangular,"adj.三角形的,三人间的"
numerous,"adj.众多的,许多的,无数的"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
mine,"n.矿,矿山,矿井,源泉,宝库,地雷,水雷vt.挖掘,开采,在...布雷,破坏vi.开矿,埋设地雷 pron.我的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
indigenous,adj.本土的
unsuited,adj.不合适的
cowrie,"n.[动]宝贝科宝贝,(从前南亚和非洲部分地区作货币用的)货贝"
textile,n.纺织品adj.纺织的
brandy,"n.白兰地酒,(夹心)糖果"
leg,"n.腿,胫,旅程的一段vi.走,跑"
offload,"v.卸下,卸货"
smith,"n.铁匠,金属品工匠"
cooper,n.制桶工人
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
cargo,"n.船货,(车、船、飞机等运输的)货物"
rum,"n.浪姆酒(用甘蔗或糖蜜等酿制的一种甜酒)adj.古怪的,奇特的"
molasses,n.<美>糖蜜
indigo,"n.靛,靛青"
forcibly,"adv.强制地,用力,硬"
exceed,"vt.超越,胜过vi.超过其他"
enslavement,"n.奴役,强制"
abduct,"vt.诱拐,绑架"
dislocation,"n.混乱,断层,脱臼"
unimaginable,"adj.,想不到的,不可思议的"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
cemetery,"n.墓地,公墓"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
proposition,"n.主张,建议,陈述,命题"
endure,"v.耐久,忍耐"
portion,"n.一部分,一分"
fitting,"adj.适合的,相称的,适宜的n.试穿,试衣,装配,装置"
consecrate,"vt.用作祭祀,献给,使神圣adj.被献给神的,神圣的"
hallow,"vt.使...神圣,视为神圣"
detract,v.转移
in vain,
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
cameraman,"n.照相师,摄影师(尤指电影)"
symbolic,"adj.象征的,符号的"
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
glamorous,"adj.富有魅力的,迷人的"
viewer,"n.电视观众,阅读器"
gown,"n.长袍,法衣,礼服,睡袍"
limousine,n.豪华轿车
photographer, 摄影师;n.摄影师
journalist,"n.新闻记者,从事新闻杂志业的人"
intention,"n.意图,目的"
scriptwriter,n.编剧
vote for,
category,"n.种类,别,[逻]范畴"
statue,vt.以雕像装饰n.雕像
in weight,
cut off,
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
publicity,n.公开
look back,
superficially,adv.浅薄地
furthermore,"adv.此外,而且"
demanding,"adj.过分要求的,苛求的"
musical,"adj.音乐的,悦耳的 音乐喜剧"
suspense,"n.焦虑,悬念,悬而不决"
animated,"adj.活生生的,活泼的,动的,愉快的"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
animation,"n.活泼,有生气,动画"
realism,n.现实主义
lifelike,adj.逼真的
sophisticated,"adj.诡辩的,久经世故的"
toast,"n.烤面包(片),吐司面包,干杯vt.敬酒,烤(面包等),使暖和vi.烤暖,烤火,烘"
blockbuster,"n.(破坏力极大的)巨型炸弹,一鸣惊人者"
mark,"n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号 Mark 马克(男子名)"
centenary,n.一百年adj.一百年的
lavish,"adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予"
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
shoot,"n.射击,发射,摄影,急流vt.射击,投射,伸出,拍摄,用完,挥出,给...注射,使爆炸vi.射出,射击,发出,发芽,射门,拍电影"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
tremendous,"adj.极大的,巨大的"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
documentary,"n.记录片adj.文件的 纪录片 记录片,文献片"
reap,"v.收割,收获"
revenue,"n.收入,国家的收入,税收"
tie-in,
usher,"n.引座员,招待员,传达员,前驱vt.引导,展示vi.作招待员"
mainstream,n.主流
deregulate,v.解除管制
liberalise,
consolidate,v.巩固
decisively,"adv.决然地,果断地"
eliminate,"vt.排除,消除v.除去"
restriction,"n.限制,约束"
new-found,
milestone,"n.里程碑,里程标,重要事件,转折点"
regain,"v.收回,恢复,重到,重新夺得"
setback,"n.顿挫,挫折,退步,逆流,(疾病的)复发"
mistreat,vt.虐待
lawful,"adj.法律许可的,守法的,受自然规律支配的"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
degrade,"v.(使)降级,(使)堕落,(使)退化"
faltering,"adj.犹豫的,支吾的,蹒跚的"
PDA,
Personal Digital Assistant,
digital,"adj.数字的,数位的,手指的n.数字,数字式"
constantly,"adv.不变地,经常地,坚持不懈地"
impressive,"adj.给人深刻印象的,感人的"
non-profit,
bowling,n.保龄球
never look back,
certificated,
FAQs,
Frequently Asked Questions,
dream of,
sensibly,"adv.明显地,敏感地,聪明地"
curriculum,n.课程
geek,n.做低级滑稽表演的人
obsession,"n.迷住,困扰"
burn down,
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
chat room,
copyright,"n.版权,著作权"
reliable,"adj.可靠的,可信赖的"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
coastguard,"n.海岸警卫队,水上警察,美国海岸警卫队"
worm,"n.虫,蠕虫,蚯蚓,蜗杆,螺纹,小人物;vi.蠕行,慢慢前进;vt.使蠕行,慢慢地走,给(烟草作物)除虫"
emergency services,
vocational,adj.职业的
kit,"n.成套工具,用具包,工具箱,成套用具"
give in to,
peer pressure,
cable TV,
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
appliance,"n.用具,器具"
turn up,
remote,"adj.遥远的,偏僻的,细微的"
revolutionise,v.<主英> =revolutionize
enable,"vt.使能够,授予权利或方法"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
feasible,"adj.可行的,切实可行的"
efficiently,"adv.有效率地,有效地"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
effectively,"adv.有效地,有力地"
double,"n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力"
productivity,n.生产力
capability,"n.(实际)能力,性能,容量,接受力"
workload,n.工作量
multitasking,n.[计]多(重)任务处理
juggle,"vi.玩戏法,诓骗,篡改vt.耍弄,歪曲,篡改n.玩戏法,魔术,欺骗"
creativity,"n.创造力,创造"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
gadget,"n.小器具,小配件,小玩意,诡计"
stay abreast of,
wireless,adj.无线的
equip,"vt.装备,配备,训练,准备行装"
distract,v.转移
culturally,
racially,"adv.按人种,人种上"
diverse,"adj.不同的,变化多的"
totem,"n.图腾,标识,徽章"
salmon,"n.[鱼]鲑鱼,大麻哈鱼,鲜肉色"
shellfish,"n.贝,甲壳类动物"
seal,"n.封铅,封条,印,图章,密封vt.封,密封n.海豹,海豹毛皮"
porpoise,"n.[动]海豚,小鲸"
harmony,"n.协调,融洽"
windsurfing,
metropolis,"n.首都,主要都市,都会,大主教教区,大城市"
magnet,"n.磁体,磁铁"
fusion,"n.熔化,熔解,熔合,熔接"
cuisine,"n.厨房烹调法,烹饪,烹调风格"
suburb,"n.市郊,郊区"
minority,"n.少数,少数民族"
not to mention,
prosperous,adj.繁荣的
microcosm,n.微观世界
multiculturalism,
diversity,"n.差异,多样性"
full-scale,
derive,vt.得自vi.起源
name after,
talkative,"adj.多话的,爱说话的,多嘴的"
incapable,"adj.无能力的,不能的"
imaginings,
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
thistle,n.[植]蓟
skunk,"n.[动]臭鼬,臭鼬皮,讨厌鬼vt.使惨败,欺骗"
honeysuckle,"n.[植]忍冬,金银花"
parlor,"n.客厅,会客室,店营业室,业务室adj.客厅的"
lilac,"n.[植]丁香(尤指西洋丁花)紫丁香,丁香花,淡紫色adj.淡紫色的"
lily,"n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的 Lily 莉莉(女子名)"
scrawny,"adj.瘦脊的,骨瘦如柴的"
somewhat,"adv.稍微,有点,有些"
satire,"n.讽刺文学,讽刺"
irony,"n.反话,讽刺,讽刺之事"
societal,adj.社会的
underdog,"n.失败者,受压迫者"
tycoon,"n.企业界大亨,将军"
mild,"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的"
unmistakably,adv.明白地
deprecation,"n.强烈不赞成,祈免,反对"
anthology,"n.诗选,文选"
comic,"n.滑稽演员adj.滑稽的,喜剧的"
elevate,"vt.举起,提拔,振奋,提升...的职位"
appendage,"n.附加物,附属肢体"
runaway,"n.逃跑,逃跑者,巨大的胜利,失控的车(或核子反应堆系统)adj.逃亡的,逃走的"
confederation,n.联邦
