triumph,"n.胜利,成功v.获得胜利"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
acquire,"vt.获得,学到"
prosperous,adj.繁荣的
remind sb. of ...,
get by,
make the most of sth.,
reap the benefits,
reap the benefits of sth.,
in advance,
stand a chance,
stand a chance of doing sth.,
over time,
turn into sth.,
turn ... into ...,
all at once,
take pleasure in sth.,
take pleasure in doing sth.,
open the door to sth.,
take delight in sth.,
take delight in doing sth.,
participate,"vi.参与,参加,分享,分担"
incredible,adj.<口>难以置信的
deny,"v.否认,拒绝"
undeniably,
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
inquisitive,adj.好奇的
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
stimulate,"vt.刺激,激励v.刺激,激励"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
bind,"v.绑,镶边,装订,凝固,约束"
assure,"vt.断然地说,确告,保证,担保"
assured,"adj.确实的,确定的"
career,"n.(原意:道路,轨道)事业,生涯,速度"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
decade,"n.十年,十"
genuine,"adj.真实的,真正的,诚恳的"
instinct,n.本能
confident,"adj.自信的,确信的"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
comprehend,"vt.领会,理解,包括(包含),由...组成"
cultivate,"vt.培养,耕作"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
innocence,n.清白
curiosity,n.好奇心
amount,"n.数量vi.(to) 总计,等于"
flexibility,"n.弹性,适应性,机动性,挠性"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
enthusiastic,"adj.热心的,热情的"
enthusiastically,"adv.热心地,狂热地"
talent,"n.天才,才干,才能"
evolve,"v.(使)发展,(使)进展,(使)进化"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
bold,adj.大胆的n.粗体
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
enormously,"adv.非常地,巨大地"
be about to do sth.,
go off,
open up,
take ... seriously,
sign up,
sign up for sth.,
get to sb.,
give sb. the benefit of the doubt,
reduce sb. to sth.,
as long as,
feel like sth.,
feel like doing sth.,
safe and sound,
take ... away,
be born to be sth.,
be born to do sth.,
sb. can't wait,
clutter,n.混乱
await,vt.等候
vehicle,"n.交通工具,车辆,媒介物,传达手段"
efficiency,"n.效率,功效"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
embarrassment,"n.困窘,阻碍"
rust,n.铁锈vt.(使)生锈
blade,"n.刀刃,刀片"
tube,"n.管,管子,[英] 地铁,<美> 电子管,显象管"
paste,"n.糊,面团,黏土团vt.用浆糊粘,张贴n.粘贴"
toothpaste,n.牙膏
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
trash,"n.无价值之物,无聊的作品,垃圾,废物"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配"
mismatched,
purple,adj.紫色的n.紫色
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
comic,"n.滑稽演员adj.滑稽的,喜剧的"
fiction,"n.虚构,编造,小说"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
historical,"adj.历史(上)的,有关历史的"
beloved,"adj.心爱的n.所爱的人,爱人"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫vt.解雇,装入袋,洗劫,就寝"
stack,"n.堆,一堆,堆栈v.堆叠"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
clumsy,adj.笨拙的
charity,"n.慈善,施舍,慈善团体,"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
curl,v.(使)卷曲
curler,"n.卷发的人,卷发夹子"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
donation,"n.捐赠品,捐款,贡献"
curb,n.路边
sore,"adj.疼痛的,痛心的,剧烈的n.痛的地方,痛处"
ridiculous,"adj.荒谬的,可笑的"
toss,"v.投,掷"
strip,"vt.剥,剥去n.条,带"
craft,"n.工艺,手艺"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
emotional,"adj.情绪的,情感的"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
token,"n.表示,向征,记号,代币adj.象征的,表意的"
make it,
free of,
free from,
catch oneself doing sth.,
throw away,
after all,
reverse oneself,
straighten up,
keep back,
with open arms,
limp,"adj.柔软的,易曲的vi.跛行"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
complain,"v.抱怨,悲叹,控诉"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
chilly,adj.寒冷的
stride,"v.大步走(过),跨过,大步行走n.步幅"
melt,"v.(使)融化,(使)熔化,使软化,使感动"
melting,"adj.熔化的,融化的,溶解的,混合的"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
immense,"adj.极广大的,无边的,<口>非常好的"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
hut,"n.小屋,棚屋"
barrel,n.桶vt.装入桶内
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置"
shellfish,"n.贝,甲壳类动物"
bundle,"n.捆,束,包v.捆扎"
eel,"n.鳗鲡,美洲鳗,蛇形鱼类,油滑的人"
portion,"n.一部分,一分"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
migration,"n.移民,移植,移往,移动"
wrap,"n.外套,围巾,包裹,秘密,约束,限制vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏vi.缠绕,重叠,穿外衣,包起来"
unwrap,"vt.打开,解开,展开"
suspicious,"adj.(～ of) 可疑的,怀疑的"
suspiciously,"adv.猜疑着,怀疑着"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
cracker,"n.饼干,爆竹,胡桃夹n.解密高手"
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
reluctance,"n.不愿,勉强"
stoop,"n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没"
restraint,"n.抑制,制止,克制"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
gradual,"adj.逐渐的,逐步的,渐进的"
gradually,adv.逐渐地
sway,"v.摇摆,摇动"
accompany,"vt.陪伴,伴奏"
pureed,
tuna,n.金枪鱼n.[动] 鲔鱼
awkward,"adj.难使用的,笨拙的"
sip,
champagne,"n.香槟酒,香槟色"
slow down,
make sense,
at least,
lay sth. out,
hang up,
be supposed to do sth.,
not that ... but ...,
not that ... but that ...,
once in a while,
the small of one's back,
not care for ...,
campus,"n.<美>校园,大学教育"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
typical,"adj.典型的,象征性的"
access,"n.通路,访问,入门vt.存取,接近"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
response,"n.回答,响应,反应"
engineering,n.工程(学)
dialect,"n.方言,语调"
analyze,"vt.分析,分解"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
sophisticated,"adj.诡辩的,久经世故的"
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的"
adopt,"vt.采用,收养"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
regulate,"vt.管制,控制,调节,校准"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
budget,"n.预算vi.做预算,编入预算"
estimate,"v.估计,估价,评估n.估计,估价,评估"
estimated,
assignment,"n.分配,委派,任务,(课外)作业"
highway,"n.公路,大路"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
inferiority,"n.自卑,次等"
complex,"adj.复杂的,合成的,综合的n.联合体"
compensate,"v.偿还,补偿,付报酬"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
competitive,adj.竞争的
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
portable,"adj.轻便的,手提(式)的,便携式的"
mode,"n.方式,模式,样式,时尚"
loan,"n.(借出的)贷款,借出v.借,借给"
loaner,"n.债权人,代替品"
meantime,"n.其间,其时adv.其间"
amazing,adj.令人惊异的
solve,"vt.解决,解答"
solver,
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
less than interesting,
less than honest,
less than helpful,
add to sth.,
visit with sb.,
take the lead,
account for,
fire off,
keep up with,
at a disadvantage,
stand out,
set up,
in large part,
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
addiction,"n.沉溺,上瘾"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
enable,"vt.使能够,授予权利或方法"
media,n.媒体
outlet,"n.出口,出路"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
practically,"adv.实际上,事实上,在实践上adv.几乎,简直"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
aspect,"n.样子,外表,面貌,(问题等的)方面"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
involved,"adj.棘手的,有关的"
agony,"n.苦恼,极大的痛苦"
risk,"vt.冒...的危险n.冒险,风险"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
concerned,"adj.关心的,有关的"
discipline,"n.纪律,学科v.训练"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
cease,"v.停止,终了"
imaginary,"adj.假想的,想象的,虚构的"
attribute,"n.属性,品质,特征,加于,归结于"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
interaction,"n.交互作用,交感"
blog,
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
endorphin,
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
sustain,"vt.支撑,撑住,维持,持续"
sustained,"adj.持续不变的,相同的"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
feedback,"n.[无]回授,反馈,反应"
interact,"vi.互相作用,互相影响"
gamble,"n.冒险v.赌博,投机,孤注一掷"
gambler,"n.赌博的人,赌徒"
lever,"n.杆,杠杆,控制杆v.抬起"
rational,"adj.理性的,合理的,推理的n.[数]有理数"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
moderate,"adj.中等的,适度的,适中的v.缓和"
moderation,
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
schedule,"n.时间表,进度表v.确定时间"
a wealth of sth.,
make use of sth.,
give rise to sth.,
charge sb. with sth.,
charge sb. with doing sth.,
keep sb. from sth.,
keep sb. from doing sth.,
care for,
tell of,
as well,
at risk,
nothing but,
era,"n.时代,纪元,时期,[地]代"
victim,"n.受害人,牺牲者,牺牲品"
survivor,"n.生还者,残存物"
tragedy,"n.悲剧,惨案,悲惨,灾难"
subsequent,"adj.后来的,并发的"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
congresswoman,"n.国会女议员,众议院女议员"
tender,"adj.嫩的,温柔的,软弱的"
sympathy,"n.同情,同情心"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
bullet,n.子弹
priest,n.牧师
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
humanity,"n.人性,人类,博爱,仁慈"
civilian,"n.平民,公务员,文官adj.民间的,民用的"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
circumstance,"n.环境,详情,境况"
respond,"v.回答,响应,作出反应vi.有反应"
responder,"n.回答者,回应者n.[电] 应答器,响应器"
widow,n.寡妇v.使成寡妇(或鳏夫)
solemn,"adj.庄严的,隆重的,严肃的"
solemnly,"adv.严肃地,庄严地"
sergeant,"n.警官,军士"
commitment,"n.委托事项,许诺,承担义务"
automobile,"n.<主美>汽车(=<英>motor car,car)"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
military,"adj.军事的,军用的"
personnel,"n.人员,职员"
jail,n.监狱vt.监禁
confine,"vt.限制,禁闭n.界限,边界"
solitary,adj.孤独的
chamber,"n.室,房间,议院,会所,(枪)膛"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
harmony,"n.协调,融洽"
reconcile,"vt.使和解,使和谐,使顺从"
conflict,"n.斗争,冲突vi.抵触,冲突"
conflicted,
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
grief,"n.悲痛,伤心事,不幸,忧伤"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
association,"n.协会,联合,结交,联想"
legislation,"n.立法,法律的制定(或通过)"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
involve,"vt.包括,笼罩,潜心于,使陷于"
fulfill,"vt.履行,实现,完成(计划等)"
fulfillment,"n.履行,实行"
give one's life,
ring out,
shield ... from ...,
with grace,
with good grace,
with a good grace,
be caught up in sth.,
get caught up in sth.,
in the words of sb.,
in sb.'s words,
reserve sth. for ...,
relate to ...,
make sense of sth.,
sum up,
in need,
count on,
call on,
aspiration,"n.热望,渴望"
barely,"adv.仅仅,刚刚,几乎不能"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
abolish,"vt.废止,废除(法律、制度、习俗等)"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
slippery,"adj.滑的,光滑的"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
primitive,"adj.原始的,远古的,粗糙的,简单的"
crystal,"adj.结晶状的n.水晶,水晶饰品,结晶,晶体"
reflect,"v.反射,反映,表现,反省,细想"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
patrol,"v.出巡,巡逻n.巡逻"
slam,"v.砰地关上,砰地放下,猛力抨击,冲击n.砰,猛击,撞击,冲击"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
yell,"vi.大叫,忍不住笑,呼喊vt.叫着说n.叫声,喊声"
backup,"n.后援,支持,阻塞;vt.做备份;adj.候补的,支持性的"
swell,"v.(使)膨胀,增大"
monster,"n.怪物,妖怪"
roar,"n.吼叫,怒号vi.吼叫,怒号v.滚动,咆哮"
limb,"n.肢,翼,分支"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
submerge,"v.浸没,淹没,掩没vi.潜水"
heave,v.举起n.举起
lord,"n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族"
lower,"adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
badge,"n.徽章,证章"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
moan,"n.呻吟,哀悼,呼啸vi.发出呻吟声,抱怨,哀悼vt.呻吟"
grab,"v.抢夺,攫取,夺取"
slender,"adj.苗条的,微薄的,微弱的"
streak,"v.飞跑,加上条纹"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
heal,"v.治愈,医治,结束"
acute,"adj.敏锐的,[医]急性的,剧烈"
nightmare,"n.梦魇,恶梦,可怕的事物"
live in terror of ...,
a string of,
turn off,
lean on,
beat sb. to it,
pull over,
slip off,
slip down,
bring sth. to a halt,
cut through,
fill up with,
identify sb. as sb.,
catch up with,
break through sth.,
hold on,
let go,
let go of ...,
be grateful for,
marathon,"n.[体]马拉松赛跑(全长42,1954米),耐力的考验"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
route,"n.路线,路程,通道v.发送"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
endurance,"n.忍耐(力),持久(力),耐久(性)"
regardless,"adj.不管,不顾,不注意"
super,"n.不重要的角色,冗员vt.用冷纱布贴(书背)vi.充当跑龙套的角色adj.上等的,特大的,特级的,十分的,过分的,极好的adv.非常 /n.上标/下标"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
prominent,"adj.卓越的,显著的,突出的"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
furnish,"vt.供应,提供,装备,布置v.供给"
substantial,"adj.坚固的,实质的,真实的,充实的"
mechanism,"n.机械装置,机构,机制"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
distinction,"n.区别,差别,级别,特性,声望,显赫"
amateur,"n.业余爱好者,业余艺术家"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
invisible,"adj.看不见的,无形的"
assemble,"vt.集合,聚集,装配vi.集合"
assembled,"vbl.装配,组合"
assert,"v.断言,声称"
react,"vi.起反应,起作用,反抗,起反作用"
apparent,"adj.显然的,外观上的"
publicity,n.公开
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画"
shuffle,"n.拖着脚走,混乱,蒙混,洗纸牌v.拖曳,搅乱,慢吞吞地走,推诿,洗牌"
commentator," 评论员,讲解员"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
insane,"adj.患精神病的,精神病患者的,极愚蠢的"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
award,"n.奖,奖品vt.授予,判给"
prominence,"n.突出,显著,突出物"
despite," prep.不管,尽管,不论"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
magnificent,"adj.华丽的,高尚的,宏伟的"
brilliant,"adj.灿烂的,闪耀的,有才气的"
individual,"n.个人,个体adj.个别的,单独的,个人的"
inherent,"adj.固有的,内在的,与生俱来的"
inherently,"adv.天性地,固有地"
up to,
in attendance,
might as well,
might just as well,
at a time,
leave ... behind,
out loud,
fall ill,
have no intention of doing sth.,
endear sb. to sb.,
give away,
pass away,
to this day,
mold,"n.模子,铸型vt.浇铸,塑造"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
generous,"adj.慷慨的,大方的,有雅量的"
emphasize,"vt.强调,着重v.强调"
mutual,"adj.相互的,共有的"
obligation,"n.义务,职责,债务"
graceful,adj.优美的
youngster,"n.年青人,少年"
nevertheless," conj.然而,不过adv.仍然,不过"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
concept,"n.观念,概念"
strategy,"n.策略,军略"
cooperation,"n.合作,协作"
crucial,adj.至关紧要的
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
outcome,"n.结果,成果"
ambition,"n.野心,雄心"
participation,"n.分享,参与"
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
psychology,"n.心理学,心理状态"
psychologist,n.心理学者
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
intensity,"n.强烈,剧烈,强度 亮度"
psychological,adj.心理(上)的
emphasis,"n.强调,重点"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
exclusively,"adv.排外地,专有地"
outlook,"n.景色,风光,观点,见解,展望,前景"
demanding,"adj.过分要求的,苛求的"
excessive,"adj.过多的,过分的,额外"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
draining,
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
accomplish,"vt.完成,达到,实现"
accomplishment, ns//n.造诣
adapt,"vt.使适应,改编"
define,"vt.定义,详细说明"
redefine,vt.重新定义vi.重新定义
trait,"n.显著的特点,特性"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
extremely,"adv.极端地,非常地"
pave,
the here and now,
early on,
free ride,
blame sb. for sth.,
place emphasis on sth.,
cancel out,
on the surface,
in shape,
deal with sth.,
the way of the world,
pave the way for sth.,
numerous,"adj.众多的,许多的,无数的"
reliable,"adj.可靠的,可信赖的"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
indicator,"n.指示器,[化]指示剂"
decrease,"n.减少,减少之量v.减少"
assess,"vt.估定,评定"
alter,v.改变
stake,n.树桩
academic,"adj.学院的,理论的"
