triumph,"n.胜利,成功v.获得胜利"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
routine,"n.例行公事,常规,日常事务,程序"
attain,"vt.达到,获得v.达到"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
resource,"n.[pl.] 资源,财力,办法,智谋"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
explore,"v.探险,探测,探究"
fascinating,"adj.迷人的,醉人的,着魔的"
pursue,"vt.追赶,追踪,追击,继续,从事"
passion,"n.激情,热情,耶稣的受难和死亡"
unique,"adj.唯一的,独特的"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
reap,"v.收割,收获"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
opportunity,"n.机会,时机"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
assume,"vt.假定,设想,采取,呈现"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
roommate,"n.同屋者,室友"
owl,"n.[动]猫头鹰,枭,惯于晚上活动的人 Object Window Library,Borland C++ 的类库"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
virtually,"adv.事实上,实质上"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
glow,"vi.发光,发热"
confidence,n.信心
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
responsibility,"n.责任,职责"
inherit,"vt.继承,遗传而得"
inheritor,"n.继承人,后继者"
