emperor,"n.皇帝,君主"
federation,"n.同盟,联邦,联合,联盟"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
justify,v.证明...是正当的
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分"
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
migration,"n.移民,移植,移往,移动"
overweight,n.超重
cooperation,"n.合作,协作"
zoological,adj.动物学的
stamp,"n.邮票,印花,印,图章,标志,印记,跺脚,顿足v.跺(脚),顿(足),压印"
whistle,"n.口哨,汽笛,口哨声,汽笛声v.吹口哨,鸣汽笛"
detective,n.侦探adj.侦探的
occupy,"vt.占,占用,占领,占据"
ceremony,"n.典礼,仪式,礼节,报幕员"
diagnose,v.诊断
denote,"vt.指示,表示"
chink,"n.裂口,裂缝,叮当声v.(使)叮当响 <蔑>中国佬"
iris,"n.[解]虹膜,鸢尾属植物,[希神]彩虹之女神,虹,虹彩"
resource,"n.[pl.] 资源,财力,办法,智谋"
entire,"adj.全部的,完整的,整个"
epitomise,
crocodile,"n.鳄鱼,鳄鱼皮"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
odour,"n.<主英>气味,香味,臭味,意味,名声"
accurate,"adj.正确的,精确的"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
tender,"adj.嫩的,温柔的,软弱的"
willing,"adj.乐意的,自愿的,心甘情愿的,反应迅速的"
perform,"vt.履行,执行,表演,演出v.完成任务"
seep,"v.渗出,渗漏"
ambassador,n.大使
delinquency,"n.行为不良,错失"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
implication,"n.牵连,含意,暗示"
broom,"n.扫帚,[植]金雀花vt.扫除"
opponent,"adj.对立的,对抗的n.对手,反对者"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
decisive,adj.决定性的
substantial,"adj.坚固的,实质的,真实的,充实的"
questionnaire,"n.调查表,问卷"
viewpoint,n.观点
routine,"n.例行公事,常规,日常事务,程序"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
slight,"adj.轻微的,微小的"
genetic,"adj.遗传的,起源的"
similarly,"adv.同样地,类似于"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
literature,"n.文学(作品),文艺,著作,文献"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
impede,v.阻止
spring,"n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发"
biological,adj.生物学的
deduce,"vt.推论,演绎出"
doctorate,n.博士头衔
absolute,"adj.完全的,绝对的"
theoretical, 理论的
internship,"n.<美>实习医师,实习医师期"
slender,"adj.苗条的,微薄的,微弱的"
respondent,adj.回答的n.回答者
surroundings,n.环境
couple,"n.(一)对,(一)双,夫妇vt.连合,连接,结合vi.结合,结婚"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
commercial,"adj.商业的,贸易的"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
tablet,"n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块"
actual,"adj.实际的,真实的,现行的,目前的"
fold,"n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败"
instrument,"n.工具,手段,器械,器具,手段"
simplify,"vt.单一化,简单化"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
irritation,n.愤怒
expense,"n.费用,代价,损失,开支,费钱之物"
muddle,"vt.混合,使微醉,使咬字不清晰,鬼混vi.胡乱对付n.困惑,混浊状态,糊涂"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
induce,"vt.劝诱,促使,导致,引起,感应"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
disharmony,n.不调和
cosset,"n.亲手饲养的宠物,宠儿vt.宠爱,珍爱,溺爱"
unique,"adj.唯一的,独特的"
crossword,n.纵横字谜
atomic,"adj.原子的,原子能的,微粒子的"
disagree,"vi.不一致,不适宜"
check-up,
silt,"n.淤泥,残渣,煤粉,泥沙v.(使)淤塞,充塞"
inclusive,
reservation,"n.保留,(旅馆房间等)预定,预约"
transcript,n.抄本
include,"vt.包括,包含"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
abode,"n.住所,住处"
gadget,"n.小器具,小配件,小玩意,诡计"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
legacy,"n.遗赠(物),遗产(祖先传下来)"
leisure,"n.空闲,闲暇,悠闲,安逸"
overlap,v.(与...)交迭
counterpart,"n.副本,极相似的人或物,配对物"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
ambiguous,"adj.暧昧的,不明确的"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
mechanism,"n.机械装置,机构,机制"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
furniture,"n.家具,设备,储藏物"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
typical,"adj.典型的,象征性的"
strengthen,"v.加强,巩固"
workaholic,"n.工作第一的人,专心工作的人"
unaware,"adj.不知道的,没觉察到的"
erosion,"n.腐蚀,侵蚀"
exclusively,"adv.排外地,专有地"
feather,"n.翎毛,轻的东西,羽毛vi.长羽毛vt.用羽毛装饰,射掉(飞禽)的羽毛"
pronounceable,"adj.可发音的,可断言的"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
luggage,"n.行李,皮箱"
hose,"n.软管,水龙带,长筒袜v.用软管浇水"
bulb,"n.鳞茎,球形物"
internal,"adj.内在的,国内的"
ion,
cruise,"vi.巡游,巡航n.巡游,巡航"
illusion,n.幻想
shave,"v.剃,刮,削刮vt.刨,削n.刮脸"
incredible,adj.<口>难以置信的
vertebrate,"n.脊椎动物adj.有椎骨的,有脊椎的,脊椎动物"
industrious,"adj.勤勉的,刻苦的"
intestine,"adj.内部的,国内的n.[解,动]肠"
outpost,"n.前哨,边区村落"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
consignment,"n.(货物的)交托,交货,发货,运送,托付物,寄存物"
administrator,"n.管理人,行政官 (Administrator)[计]网络管理员"
convention,"n.大会,协定,习俗,惯例"
organic,"adj.器官的,有机的,组织的,建制的"
trapeze,n.吊秋千
intersection,"n.[数]交集,十字路口,交叉点"
concept,"n.观念,概念"
cardiovascular,adj.心脏血管的
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
brass,"n.黄铜,黄铜制品,厚脸皮"
fauna,"n.动物群,动物区系,动物志"
expel,"v.驱逐,开除,排出,发射"
equator,"n.赤道,赤道似的圈.圆"
invest,"v.投(资),购买(有用之物)～,授予,投资"
essay,"vt.企图,尝试n.企图,散文,小品文,随笔,短文,评论"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
astrology,"n.占星术,占星学(以观测天象来预卜人间事务的一种方术)"
attain,"vt.达到,获得v.达到"
divisional,"adj.分割的,分区的,师的除法的,部门所有的"
ambition,"n.野心,雄心"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
ultimate,"adj.最后的,最终的,根本的n.最终"
counsellor,"n.顾问,律师,辅导员"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
wastage,"n.消耗量,损耗,废物"
earthquake,"n.地震,[喻]在震荡,在变动"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
regulate,"vt.管制,控制,调节,校准"
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
discretion,n.判断力
ambitious,"adj.有雄心的,野心勃勃的"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
dorm,n.<俗> 宿舍(=dormitory)
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
striking,"adj.打击的,显著的,惊人的,罢工的"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
refrigerator,"n.电冰箱,冷藏库"
minimise,
imaginative,"adj.想象的,虚构的"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
decrepit,adj.衰老的
ignorant,adj.无知的
leopard,"n.豹,美洲豹.美洲虎"
mastery,n.掌握
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
precision,"n.精确,精密度,精度"
quote,"vt.引用,引证,提供,提出,报(价)"
comparative,"adj.比较的,相当的"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
gloss,"n.光泽的表面,光彩,欺人的表面,假象,注释vt.使有光彩,掩饰,上光于,注释,曲解vi.发光,作注释"
committee,n.委员会
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
representative,"n.代表adj.典型的,有代表性的"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
resign,"n.辞去(职务)v.辞去,辞职"
preparation,"n.准备,预备"
eyesight,"n.视力,目力"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
judgment,n.判断
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
consequently,"adv.从而,因此"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
withstand,"vt.抵挡,经受住"
anthropologist,"n.人类学者,人类学家"
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索"
suitably,"adv.合适地,适宜地,相称地"
pulley,"n.滑车,滑轮"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
infrastructure,"n.下部构造,基础下部组织"
allocate,"vt.分派,分配"
qualification,"n.资格,条件,限制,限定,赋予资格"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
intern,"n.实习医师,被拘留者vi.作实习医师vt.拘留"
repaint,"v.重漆,重画v.重新绘制"
specialist,"n.专门医师,专家"
migratory,"adj.迁移的,流浪的"
nutrition,"n.营养,营养学"
inlet,"n.进口,入口,水湾,小港,插入物"
censor,"n.检查员vt.检查,审查"
widespread,"adj.分布广泛的,普遍的"
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
shareholder,n.股东
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
alight,"vi.落下adj.点着的,发亮的"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
shrewd,adj.精明
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
explosive,"adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药"
inherent,"adj.固有的,内在的,与生俱来的"
world-wide,
grope,v.n.摸索
lever,"n.杆,杠杆,控制杆v.抬起"
ethical,"adj.与伦理有关,民族的,民族特有的"
improvement,"n.改进,进步"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
truant,n.逃避者adj.逃避
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
tenant,"n.承租人,房客,租客v.出租"
psychiatric,"adj.精神病学的,精神病治疗的"
campfire,"n.营火,营火会"
bolster,n.垫子v.支持
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
sequence,"n.次序,顺序,序列"
ecosystem,n.生态系统
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
exotic,"adj.异国情调的,外来的,奇异的"
evaporate,"v.(使)蒸发,消失"
destiny,"n.命运,定数"
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
sore,"adj.疼痛的,痛心的,剧烈的n.痛的地方,痛处"
virtually,"adv.事实上,实质上"
tangibly,"adv.可触摸的,可触知地,明白地"
windscreen,n.风档玻璃
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
alluvial,"adj.冲积的,淤积的"
slum,n.贫民窟vi.访问贫民区
distill,"vt.蒸馏,提取vi.滴下"
economical,"adj.节约的,经济的"
fate,"n.天数,命运,运气vt.注定,送命"
medication,"n.药物治疗,药物处理,药物"
target,"n.目标,对象,靶子"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
radius,"n.半径,范围,辐射光线,有效航程,范围,界限"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
shade,"n.荫,阴暗,荫凉处,图案阴影,黑暗,颜色深浅,遮光物,帘vi.渐变vt.遮蔽,使阴暗,使渐变,微减"
headmaster,"n.英国中小学校长,男舍监"
wean,"vt.使断奶,使丢弃,使断念n.<苏格兰>幼儿,小儿"
comprise,"v.包含,由...组成"
stable,adj.稳定的
disappointing,"adj.使人失望的,令人失望的"
delta,"n.三角州,德耳塔(希腊字母的第四个字)"
urban,"adj.城市的,市内的"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
execution,"n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力"
heritage,"n.遗产,继承权,传统"
appropriate,adj.适当的
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
depict,"vt.描述,描写"
literacy,"n.有文化,有教养,有读写能力"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
luxury,"n.奢侈,华贵"
souvenir,n.纪念品
purchase,"vt.买,购买n.买,购买"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
dormancy,"n.睡眠,冬眠,隐匿"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
subscription,"n.捐献,订金,订阅,签署,同意,[医]下标处方"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
demolish,"vt.毁坏,破坏,推翻,粉碎"
durable,"adj.持久的,耐用的"
cope,"vi.(善于)应付,(善于)处理"
circulation,"n.循环,流通,发行额"
tradition,"n.传统,惯例"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类 发送,发行"
defect,"n.过失,缺点"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
statistics,"n.统计学,统计表"
stuffy,adj.乏味的
approximately,"adv.近似地,大约"
excusable,"adj.可原谅的,可容许的,言之有理的,可免除的"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
energetic,"adj.精力充沛的,积极的"
atmospheric,adj.大气的
cooperative,"adj.合作的,协力的"
corrode,"v.使腐蚀,侵蚀"
honour,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
except,"vt.除,把...除外,反对,不计vi.反对 prep.除了...之外,若不是,除非 conj.只是,要不是"
soluble,"adj.可溶的,可溶解的"
administration," /[)n/n.管理,经营,衅]网络管理"
environment,"n.环境,外界"
licence,"n.执照,许可证,特许vt.许可,特许,认可,发给执照"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
activate,
major,"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
concentrate,"v.集中,浓缩"
conflict,"n.斗争,冲突vi.抵触,冲突"
antidote,"n.[医]解毒剂,矫正方法"
discover,"vt.发现,发觉v.发现"
necessarily,adv.必要地
continent,"n.大陆,陆地"
turret,"n.小塔,塔楼,炮塔"
elastic,adj.弹性的
enhance,"vt.提高,增强v.提高"
demonstration,"n.示范,实证"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
redundant,adj.多余的
mishandle,"vt.粗鲁地对待(人或物),虐待,错误地处理,胡乱操作"
discovery,"n.发现,发明的东西"
alcohol,"n.酒精,酒"
suppression,"n.镇压,抑制"
mainly,"adv.大体上,主要地"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
lens,"n.透镜,镜头"
coordinator,"n.协调者,同等的人或物"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
crisp,"adj.脆的,易碎的"
guilty,"adj.犯罪的,有罪的,心虚的"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
dimensional,adj.空间的
gravel,"n.砂砾,砂砾层"
advertisement,"n.广告,做广告"
insulation,n.绝缘
hesitation,"n.犹豫,踌躇"
undermine,v.破坏
eliminate,"vt.排除,消除v.除去"
volcano,n.火山
exclude,"vt.拒绝接纳,把...排除在外,排斥"
laundry,"n.洗衣店,要洗的衣服,洗熨"
apparently,adv.显然地
gelatin,"n.凝胶,白明胶"
stimulate,"vt.刺激,激励v.刺激,激励"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
operational,"adj.操作的,运作的"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
notice board,
intend,"vt.想要,打算,意指,意谓"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
probation,"n.试用,见习,鉴定,查验,证明,察看,缓刑"
depression,"n.沮丧,消沉,低气压,低压"
proximity,"n.接近,亲近"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
factual,"adj.事实的,实际的"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到"
devastate,vt.毁坏
response,"n.回答,响应,反应"
postcode,n.邮递区号
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
tropical,"adj.热带的,热情的"
rumour,"n.[亦作rumor] 谣言,传闻v.谣传"
endeavour,"n.<英>尽力,竭力"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
superb,"adj.庄重的,堂堂的,华丽的,极好的"
intention,"n.意图,目的"
demonstrate,"vt.示范,证明,论证vi.示威"
agenda,n.pl.议程
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
optimism,"n.乐观,乐观主义"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
dimension,"n.尺寸,尺度,维(数),度(数),元"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
dioxide,n.二氧化物
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
administrative,  court//n.行政法庭 law//n.行政法
frustrating,
resistant,"adj.抵抗的,有抵抗力的"
overdue,adj.迟到的
impressive,"adj.给人深刻印象的,感人的"
analysis,"n.分析,分解"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
refresher,n.恢复精神的人或物adj.复习进修的
blaze,"n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布"
misjudge,v.判断错
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
unyielding,"adj.坚硬的,不能弯曲的,不屈的"
