emperor,"n.皇帝,君主"
exact,"adj.精确的,准确的,原样的,精密的,严格vt.强求,急需,要求"
traditional,"adj.传统的,惯例的,口传的,传说的"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
pardon,"vt.原谅,宽恕n.原谅,宽恕"
regent,"n.摄政者,董事adj.摄政的"
burgeon,n.嫩芽v.萌芽
argue,"vi.争论,辩论vt.说服"
barely,"adv.仅仅,刚刚,几乎不能"
methane,"n.[化]甲烷,沼气"
hierarchy,n.层次 层级
guidance,"n.指导,领导"
easy-going,
electrical,"adj.电的,有关电的"
electronic,adj.电子的
roll film,
philosophy,"n.哲学,哲学体系,达观,冷静"
chronic,"adj.慢性的,延续很长的"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
consortium,"n.社团,协会,联盟,(国际)财团,[律]配偶的权利,<美>大学联盟协定"
buckle,"n.带扣v.扣住,变弯曲"
curry,"n.咖哩粉,咖哩饭菜vt.用咖哩粉调味,用马梳梳,制革"
subliminal,"adj.下意识的,潜在意识的"
chamber,"n.室,房间,议院,会所,(枪)膛"
frequent,"adj.时常发生的,频繁的"
prosperous,adj.繁荣的
purpose,"n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心"
variety,"n.变化,多样性,种种,品种,种类"
immigration,"n.外来的移民,移居入境"
natural,"adj.自然的,自然界的,关于自然界的,天生的,天赋的,普通的,正常的,简单自然的 本位号"
bet,"n.赌,打赌v.赌,赌钱"
consumer,n.消费者
physician,"n.医师,内科医师"
equal,"adj.相等的,均等的,胜任的,平静的,合适的,不相上下的n.相等的事物(或数量),对手,匹敌,同辈vt.等于,比得上"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
leadership,"n.领导能力,领导阶层"
equity,"n.公平,公正,公平的事物,资产净值,[律]平衡法"
excavate,"v.挖掘,开凿,挖出,挖空"
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
mutual,"adj.相互的,共有的"
hectare,n.公顷(等于1万平方米)
density,n.密度
massive,"adj.厚重的,大块的,魁伟的,结实的"
congratulate,"vt.祝贺,庆贺,恭喜"
companion,"n.同伴,共事者"
rig,"n.索具装备,钻探设备,钻探平台,钻塔v.装上索具,配备,装配"
input,n.输入v.输入
merely,"adv.仅仅,只,不过"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
forfeit,"n.(因犯罪.过失.违约等而)丧失的东西,没收物,罚款vt.没收,丧失adj.丧失了的"
calorie,n.卡路里
van,
ventilation,"n.通风,流通空气"
intermediate,adj.中间的n.媒介
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
invasion,n.入侵
nevertheless," conj.然而,不过adv.仍然,不过"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
inspiring,"adj.灌输的,鼓舞的"
attendance,"n.出席,出席的人数,伺候,照料"
optional,"adj.可选择的,随意的"
enable,"vt.使能够,授予权利或方法"
departmental,adj.部门的
heal,"v.治愈,医治,结束"
dismantle,v.拆除
wage,n.[常pl.] 工资v.发动
landscape,"n.风景,山水画,地形,前景v.美化"
emotion,"n.情绪,情感,感情"
commonwealth,"n.国民整体,共和国,联邦"
newsletter,n.时事通讯
periodical,"adj.周期的,定期的n.期刊,杂志"
receptionist,"n.招待员,传达员"
security,n.安全
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
apace,"adv.快速地,急速地"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴"
regional,"adj.整个地区的,地方地,地域性地"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
code,"n.代码,代号,密码,编码v.编码"
seek,"v.寻找,探索,寻求"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
crown,"n.王冠,花冠,顶vt.加冕,顶上有,表彰,使圆满完成"
effort,"n.努力,成就"
point,"n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明"
review,"vt.回顾,复习n.回顾,复习,评论"
fabrication,"n.制作,构成,伪造物,装配工"
series,"n.连续,系列,丛书,级数"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
distraction,"n.娱乐,分心,分心的事物"
complicate,v.(使)变复杂
tram,"n.有轨电车,电车轨道,煤车,吊车v.乘电车"
maturity,"n.成热,完备,(票据)到期,成熟"
download,"下载,下传"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
interview,"vt.接见,会见n.接见,会见"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
evacuate,"v.疏散,撤出,排泄"
stint,v.紧缩节省
embankment,"n.堤防,筑堤"
squash,"n.南瓜,易压烂的物品,拥挤的人群,壁球v.压扁,压制,镇压,挤进,挤压"
