elementary,"adj.初步的,基本的,[化]元素的,自然力的"
future,"n.未来,将来,前途,远景adj.未来的,将来的"
Kenya,
lawyer,n.律师
return,"n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回"
expert,"n.专家,行家,[军](特等)射手adj.老练的,内行的,专门的vt.在...中当行家,当专家"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
instrument,"n.工具,手段,器械,器具,手段"
presentation,"n.介绍,陈述,赠送,表达"
program,"n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的"
state,"n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定"
businesswoman,n.妇女实业家
generation,"n.产生,发生,一代,一代人"
Johannesburg,
lucky,"adj.幸运的,吉祥的,侥幸的"
neighborhood,"n.附近,邻近"
pool,"n.池,撞球,联营,石油层vt.合伙经营,共享,共有,集中(钱、力量等),采掘,汇聚成vi.汇合成塘,郁积,联营"
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
shantytown,n.以临时搭盖的陋屋为主的地区
South Africa,
suburb,"n.市郊,郊区"
Western,
bottled water,
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫"
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费"
expensive,"adj.花费的,昂贵的"
plastic,"n.塑胶,可塑体,塑料制品,整形adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的"
planet,n.[天]行星
tap,"n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号"
trash,"n.无价值之物,无聊的作品,垃圾,废物"
unhealthy,"adj.不健康的,对健康有害的"
wasteful,"adj.浪费的,不经济的"
Africa,
African,
Arabia,
Brazil,
favorite,"n.特别喜欢的人(或物),喜欢的事物,亲信,心腹,幸运儿adj.喜爱的,宠爱的,中意的"
nope,"adv.不,不是"
serious,"adj.严肃的,认真的,严重的"
amazing,adj.令人惊异的
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
challenge,n.挑战vt.向...挑战
cotton,"n.棉花,棉线"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
evaporate,"v.(使)蒸发,消失"
fresh,"adj.新鲜的,无经验的,生的,冒失的,鲜艳的adv.最新地,刚刚n.开始,泛滥"
Ganges,
protect,vt.保护 /n.保护/解除
thirsty,"adj.口渴的,渴望的,热望的"
T-shirt,
urgent,"adj.急迫的,紧急的"
ceviche,n.=seviche
chili,n.红辣椒
crunchy,"adj.发嘎吱嘎吱声的,易碎的"
grasshopper,"n.蚱蜢,蝗虫,小型侦察机"
gross,"adj.总的,毛重的n.总额"
Latin America,
lime,"n.酸橙,石灰,黏鸟胶"
mint,"n.薄荷,薄荷糖,造币厂,大量,来源v.铸造(硬币)"
Moroccan,
pepper,n.胡椒粉
raw,"n.生肉,擦伤处,身上的痛处adj.未加工的,生疏的,处于自然状态的,,不掺水的,擦掉皮的,阴冷的,刺痛的vt.擦伤"
refreshing,"adj.提神的,凉爽的,使人喜欢的"
salty,"adj.有盐分的,咸味浓的"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
spicy,"adj.加香料的,出产香料的,辛辣的,有风味的"
tangy,"adj.强烈盐味的,扑鼻的,有刺激性的"
tasty,"adj.好吃的,可口的n.好吃的东西,吸引人的东西"
Vietnam,
yummy,n.美味
cafeteria,n.自助餐厅
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴"
vending machine,
atmosphere,"n.大气,空气,气氛"
ingredient,"n.成分,因素"
landscape,"n.风景,山水画,地形,前景v.美化"
Macao,
mushroom,"n.蘑菇,<古>暴发户vi.迅速生长,迅速增加,采蘑菇adj.蘑菇形的,迅速生长的"
