abscissa,n.横坐标
absolute value,
acute angle,
addition,"n.加,加起来,增加物,增加,加法"
adjacent angle,
algebra,n.代数学
algorithm,n.[数]运算法则
angle bisector,
angular,adj.有角的
arc,"n.弧,弓形,拱;Advanced RISC Computer,高级精简指令集计算机"
area,"n.范围,区域,面积,地区,空地"
arithmetic,"n.算术,算法"
arithmetic mean,
arithmetic progression,
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
average out,
bisect,"v.切成两分,对(截)开"
bracket,"n.墙上凸出的托架,括弧,支架v.括在一起"
breadth,"n.宽度,(布的)幅宽,(船)幅"
calculator,"n.计算机,计算器"
calculus,"n.微积分学,结石"
center,"n.中心,中央,中心点,中锋adj.中央的,位于正中的vt.集中,使聚集在一点,定中心,居中vi.居中,有中心,被置于中心"
chord,"n.弦,和音,情绪n.[解]腱"
coefficient,n.[数]系数
common divisor,
composite number,
concentric,adj.同中心的
concentric circle,
cone,"n.[数、物]锥形物,圆锥体,(松树的)球果vt.使成锥形"
congruent,adj.适合的
consecutive integer,
cube,"n.立方体,立方"
decimal,"adj.十进的,小数的,以十为基础的,十进制n.小数"
denominator,"n.[数] 分母,命名者"
diagonal,"adj.斜的,斜纹的,对角线的n.对角线,斜纹织物"
diameter,n.直径
difference,"n.差异,差别,分歧,争论,[数]差额,差分adj.[数]微分的,[机]差动的"
digit,"n.阿拉伯数字,手指或足趾,一指宽(约四分之三英寸)"
dimension,"n.尺寸,尺度,维(数),度(数),元"
dimensional,adj.空间的
divided evenly,
dividend,"n.被除数,股息,红利,额外津贴,奖金,年息"
divisible,adj.可分的
divisor,"n.除数,约数"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
equilateral triangle,
even number,
factor,"n.因素,要素,因数,代理人"
factorial,"adj.因子的,阶乘的n.[数]阶乘积 阶乘"
formula,"n.公式,规则,客套语"
fraction,"n.小部分,片断,分数"
geometric,"adj.几何的,几何学的"
geometric mean,
geometric progression,
hexagon,"n.六角形,六边形"
hypotenuse,n.直角三角形之斜边
improper fraction,
increment,"n.增加,增量"
indices,n.index 的复数
integer,n.整数
