abscissa,n.横坐标
invariant,"adj.无变化的,不变的n.[数]不变式,不变量"
isosceles,adj.二等边的
isosceles triangle,
leg,"n.腿,胫,旅程的一段vi.走,跑"
length,"n.长度,长,时间的长短,[语]音长"
mathematics,n.数学
matrix,n.矩阵
median,"adj.中央的,[数学] 中线的,中值的n.中部,当中,[数学] 中线,中值"
median of a triangle,
midpoint,"n.中点,正中央"
millimeter,n.毫米
minus,"adj.负的,减的 prep.减去n.负数"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
multiply,"v.繁殖,乘,增加"
natural number,
negative number,
number,"n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入"
number lines,
numerator,n.分子
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
obtuse angle,
octagon,"n.八边形,八角形"
odd number,
ordinate,"n.[数]纵线,纵座标"
parallel lines,
parallelogram,n.[数]平行四边形
parameter,"n.参数,参量,<口>起限定作用的因素"
pentagon,"n.五角形,五边形"
perimeter,"n.[树数] 周长,周界"
permutation,"n.改变,交换,[数]排列,置换"
perpendicular,"adj.垂直的,正交的n.垂线"
plane,"n.平面,飞机,水平,程度,刨adj.平的,平面的v.刨,刨平"
plus," prep.加上adj.正的,加的"
polygon,"n.[数]多角形,多边形"
positive number,
power,"n.能力,力量,动力,权力,[数]幂,[物]功率vt.使...有力量,供以动力,激励"
prime factor,
prime number,
product,"n.产品,产物,乘积"
proper fraction,
pyramid,"n.角锥、棱椎,金字塔,叠罗汉v.(使)成金字塔状,(使)渐增,(使)上涨"
quadrant,"n.象限,四分仪 信号区"
quadratic,adj.二次的n.二次方程式
quadrilateral,"n.四边形,四边地,四角地"
quadruple,"adj.四倍的,四重的,[乐]每小节四拍的n.四倍vt.使成四倍vi.成为四倍"
quotient,"n.商,份额"
radial,"adj.光线的,光线状的,放射状的,半径的n.光线,射线"
radius,"n.半径,范围,辐射光线,有效航程,范围,界限"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
rectangle,"n.长方形,矩形"
rectangular prism,
regular polygon,
remainder,"n.残余,剩余物,其他的人,[数]余数v.廉价出售adj.剩余的,出售剩书的"
rhombus,"n.菱形,斜方形"
right angle,
right triangle,
salient,"adj.易见的,显著的,突出的,跳跃的n.凸角,突出部分"
scalene triangle,
semicircular,adj.半圆的
side,"n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边"
spatial,adj.空间的
square,"n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算"
square root,
straight angle,
subset,n.[数]子集
subtract,"v.(～ from)减去,减"
sum,"n.总数,和,金额,算术题"
surface area,
tangent,"adj.接触的,切线的,相切的,离题的n.切线,[数]正切"
theorem,"n.[数]定理,法则"
times,"n.时期,次"
total,"n.总数,合计adj.总的,全部的,整个的v.合计,总数达,达到"
trapezium,"n.[数]不等边四边形,梯形"
triangle,"n.[数]三角形,三人一组,三角关系"
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
variance,"n.不一致,变化,变异,变迁,分歧,不和"
vector,"n.[数]向量,矢量,带菌者vt.无线电导引"
vertex,"n.顶点,最高点,[解]头顶,[天]天顶"
vertex angle,
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
vertical angle,
whole number,
width,"n.宽度,宽广,广博,有一定宽度的东西(如一快布料等) /n.宽/高比"
accountant,"n.会计(员),会计师"
agent,n.代理(商)
antitrust law,
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
borrowing,n.借款
brokerage,"n.经纪人之业务,回扣"
budget,"n.预算vi.做预算,编入预算"
capitalistic,"adj.资本主义的,资本家的"
commercial,"adj.商业的,贸易的"
compound interest,
consortium,"n.社团,协会,联盟,(国际)财团,[律]配偶的权利,<美>大学联盟协定"
coupon,"n.息票,商家的优待券"
currency,n.流通
deficit,"n.赤字,不足额"
economic,"adj.经济(上)的,产供销的,经济学的"
economical,"adj.节约的,经济的"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
financial crash,
fiscal,"adj.财政的,国库的,会计的,国库岁入的n.(苏格兰和欧洲某些国家的)检查官,印花税票"
free market,
GNP,
import relief,
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
interest rate,
inventory,"n.详细目录,存货,财产清册,总量"
investment,"n.投资,可获利的东西"
invigorate,v.鼓舞
keynesian,"n.凯恩斯主义者adj.凯恩斯理论的,符合凯恩斯理论的"
laissez-faire capitalism,
list price,
managerial,adj.管理的
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
mark up,
mark down,
mercantilist,n.重商主义者
merchandise,"n.商品,货物"
monetary,"adj.货币的,金钱的"
mortgage,n.抵押v.抵押
nickel,"n.[化]镍,镍币,(美国和加拿大的)五分镍币vt.镀镍于"
outlet,"n.出口,出路"
output,"n.产量,输出,输出量"
pension,"n.养老金,退休金"
per capita,
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
privatize,
proceeds,n.pl.收益
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
productivity,n.生产力
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
profitable,adj.有利可图的
purchasing price,
quota,"n.配额,限额"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
rating,"n.等级级别(尤指军阶),额定,责骂,申斥"
real estate,
receipt,"n.收条,收据,收到v.收到"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
recurrent,"adj.再发生的,周期性发生的,循环的"
revenue,"n.收入,国家的收入,税收"
sale price,
simple interest,
sluggish economy,
statistic,"n.统计量adj.统计的,统计学的"
stipend,"n.薪金,定期生活津贴"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
subcontract,n.转包合同
subsidize,"v.资助,津贴"
subsidy,"n.补助金,津贴"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
tariff,"n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表vt.课以关税"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
treasury,"n.财政部,国库"
turnaround,"n.回车场,转变,转向,(经济,营业等的)突然好转"
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
unemployment,"n.失业,失业人数"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
proxy,n.代理人
collateral,adj.间接的
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
takeover,
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
acupuncture,n.针刺疗法v.施行针刺疗法
adrenal,adj.肾上腺的n.肾上腺
ambulance,"n.战时流动医院,救护车"
amphetamine,n.[药]安非他明
analgesic,"adj.止痛的,不痛的n.[医]止痛剂"
anesthetic,"n.麻醉剂,麻药adj.麻醉的"
antipsychotic,adj.安定药
astringent,"n.收敛剂adj.收敛性的,严酷的,涩的"
cancerous,adj.癌的
clinical,"adj.临床的,病房用的"
coronary angiography,
diagnose,v.诊断
dope,"n.粘稠物,浓液,涂料,涂布油,麻醉药物,笨蛋vt.上涂料,预测出vi.服麻醉品n.<美口>内幕,消息"
dosage,"n.剂量,配药,用量"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
disfunction,n.&vi.=dysfunction
erythromycin,n.<美>抗生素的一种
hypertherm,n.[医]人工发热(治疗)机
immunology,n.[生]免疫学
infectious,"adj.有传染性的,易传染的,有感染力的"
infirmary,"n.医院,医务室<美>养老院,救济院"
influenza,n.流行性感冒
inherited,"adj.通过继承得到的,遗传的 继承权的"
inhibitor,"n.[化]抑制剂,抑制者"
inoculate,"vt.接种,嫁接"
inpatient,n.住院病人
insomnia,"n.失眠,失眠症"
insulin,n.胰岛素
intestine,"adj.内部的,国内的n.[解,动]肠"
irritant,n.刺激物adj.刺激的
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
liver,"n.居住者,生活优裕的人,肝脏"
malady,n.疾病
malaria,"n.疟疾,瘴气"
manic,adj.[医]狂躁的n.噪狂者
marijuana,"n.[植]大麻n.[植]大麻,大麻干叶和花"
marrow,"n.髓,骨髓,精华,活力,<苏格兰>配偶"
measles,"n.[医]麻疹,风疹,包虫病,痧子"
medication,"n.药物治疗,药物处理,药物"
migraine,n.偏头痛
morphine,n.吗啡
morphogenetic,
narcotic,"n.麻醉药,致幻毒品,镇静剂adj.麻醉的,催眠的"
nausea,"n.反胃,晕船,恶心,作呕,极度的不快"
nicotine,n.烟碱
off-the-shelf,
opiate,n.鸦片剂adj.安眠的v.缓和
outpatient,n.门诊病人
panacea,n.万能药
paralysis,"n.瘫痪,麻痹"
pediatric,adj.小儿科的
penicillin,"n.[微]青霉素(一种抗菌素,音译名为盘尼西林)"
pharmaceutical,
pharmacy,"n.药房,药剂学,配药业,制药业,一批备用药品"
physician,"n.医师,内科医师"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
plaque,n.装在墙上作装饰或纪念用的薄金属板或瓷片
pneumonia,n.[医] 肺炎
prescription,"n.指示,规定,命令,处方,药方"
proprietary,"adj.所有的,私人拥有的n.所有者,所有权"
psychiatric,"adj.精神病学的,精神病治疗的"
psychoactive,"adj.作用于精神的,影响(或改变)心理状态的"
psychological,adj.心理(上)的
psychosis,n.精神
psychotherapy,"n.精神疗法,心理疗法"
quarantine,"n.检疫,隔离,(政治或商业上的)封锁,检疫期间vt.检疫,使在政治或商业上孤立"
remedy,"n.药物,治疗法,补救,赔偿vt.治疗,补救,矫正,修缮,修补"
respiratory,adj.呼吸的
respire,v.呼吸
sanitary,"adj.(有关)卫生的,(保持)清洁的,清洁卫生的n.(有关生设备的)公共厕所"
sanitation,"n.卫生,卫生设施"
smallpox,n.[医]天花
spleen,n.脾
surgeon,n.外科医生
surgical,"adj.外科的,外科医生的,手术上的n.外科病房,外科手术"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
sustenance,"n.食物,生计,(受)支持"
syndrome,n.综合病症
tablet,"n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块"
tardive,adj.迟缓的
thyroid,"n.甲状腺,甲状软骨"
tranquilizer,"n.镇定剂,使镇定的人或物"
tuberculosis,n.肺结核
typhoid,"n.[医]伤寒症adj.伤寒的,斑疹伤寒症的"
ulcer,"n.溃疡,腐烂物"
vaccinate,v.进行预防接种n.被接种牛痘者
vaccine,"adj.疫苗的,牛痘的n.疫苗"
varicose,"adj.[医]肿胀的,曲张的"
vascular,"adj.[解][动]脉管的,有脉管的,血管的"
venous,adj.静脉的
vitamin,"n.维他命,维生素"
viral,"adj.滤过性毒菌的,滤过性毒菌引起的"
virulent,"adj.剧毒的,致命的,刻毒的,[医]有病毒的,恶毒的,充满敌意的,恶性的"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
womb,"n.子宫,发源地vt.(如子宫般的)包含,容纳"
yellow fever,
aluminium,n.[化]铝adj.铝的
amalgam,"n.[采矿]汞合金,汞齐"
arsenic,"n.[化]砷,砒霜"
brazen,"adj.黄铜制的,厚颜无耻的"
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
buffer,"n.缓冲,缓冲器"
caffeine,"n.咖啡因,茶精(兴奋剂)"
calcium,n.[化]钙(元素符号Ca)
carbohydrate,"n.[化]碳水化合物,醣类"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
carotene,n.[生化]胡罗卜素
catalyst,n.催化剂
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
cholesterol,n.胆固醇
cocaine,"n.古柯碱,可卡因"
cocoa,"n.可可粉,可可饮料,可可豆"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
dioxide,n.二氧化物
dispersant,n.分散剂
ethylene,"n.[化]乙烯,乙烯基"
formaldehyde,"n.[化]甲醛,蚁醛"
glycerol,"n.甘油,丙三醇"
graphite,n.石墨
helium,"n.氦(化学元素,符号为He)"
hemoglobin,n.血色素
herpesvirus,n.[微]疱疹病毒
hormone,"n.荷尔蒙,激素"
hydrocarbon,"n.烃,碳氢化合物"
hydrogen,n.氢
insecticide,n.杀虫剂
metabolize,v.产生代谢变化
methane,"n.[化]甲烷,沼气"
mineral,"n.矿物,矿石"
molecule,"n.[化]分子,些微"
nitrogen,n.[化]氮
nucleotide,
ocher,"n.黄土,赭土"
oligosaccharide,"n.[生化]低聚糖,寡糖"
ore,"n.矿石,含有金属的岩石"
oxide,n.[化]氧化物
ozone,"n.新鲜的空气,[化]臭氧"
particulates,
pesticide,n.杀虫剂
petroleum,n.石油
phosphate,n.磷酸盐
pigment,"n.[生]色素,颜料"
plutonium,
pollutant,n.污染物质
polymorph,"n.多形体,同质异像体"
potassium, 钾
precipitation,n.仓促
preservative,n.防腐剂
protein,n.[生化]蛋白质adj.蛋白质的
pseudomer,
radon,n.[化]氡
ribosome,n.[生化]核糖体
sodium,n.[化] 钠
sulfur,"n.[化] 硫磺,硫黄vt.用硫磺处理"
uranium,n.铀
cinder,"n.煤渣,灰烬"
char,v.烧焦
crystallize,v.明确
anole,"n.变色龙,避役(蜥蜴类产于美洲)"
anopheles," 按蚊,疟蚊"
antenna,n antenae <动>触角 (antenna)n.天线
ape,
avian,adj.鸟类的n.鸟
bipedalism,
carnivore,"n.食肉动物n.(动物或植物)食肉类,食肉动物,食虫植物"
caterpillar,n.毛虫
chameleon,n.变色龙
condor,"n.[动]秃鹰,秃鹫"
dinosaur,n.恐龙
fauna,"n.动物群,动物区系,动物志"
fledgling,"n.羽毛初长的雏鸟,刚会飞的幼鸟,无经验的人,初出茅庐的人"
gorilla,"n.大猩猩,壮而残暴的男人,<俚>歹徒(尤指使用暴力者)"
hamster,n.东欧或亚洲产的大颊的鼠类
herbivore,n.草食动物
herring,"n.青鱼,鲱"
hippo,n.河马
invertebrate,"adj.无脊椎的,无骨气的n.无脊椎动物,无骨气的人"
lactation,n.哺乳期
larva,n.幼虫
leaven,"n.酵素,酵母,潜移默化的影响vt.使发酵,影响"
lepidopter,n.[动] 鳞翅类昆虫
livestock,"n.家畜,牲畜"
lobster,n.龙虾
mammal,n.哺乳动物
microbe,"n.微生物,细菌"
mosquito,n.蚊子
moth,"n.蛾,蛀虫"
neuron,"n.[解]神经细胞,神经元"
parasite,"n.寄生虫,食客"
pelvis,n.[解]骨盆
plankton,n.浮游生物
plasma,"n.[解]血浆,乳浆,[物]等离子体,等离子区"
poultry,n.家禽
predator,"n.掠夺者,食肉动物"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
primate,"n.首领,大主教,灵长类的动物"
pupation,n.[昆]化蛹
quadrupedal,"adj.有四脚的,四足动物的"
raccoon,"n.<美>[动]浣熊,浣熊毛皮"
reptile,"n.爬虫动物,卑鄙的人adj.爬行的,爬虫类的,卑鄙的"
rhinoceros,n.[动]犀牛
rodent,"adj.咬的,嚼的,[动物] 啮齿目的,侵蚀性的n.啮齿动物"
saliva,"n.口水,唾液"
scavenger,"n.清道夫,食腐动物"
silkworm,"n.蚕,桑蚕,家蚕"
skull,"n.头脑,头骨"
specimen,"n.范例,标本,样品,样本,待试验物"
spine,"n.脊骨,书脊,地面隆起地带,中心,剌"
squirrel,n.松鼠v.贮藏
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
swarm,"n.蜂群,一大群v.涌往,挤满,密集,成群浮游,云集"
tadpole,n.[动]蝌蚪
vegetarian,"n.素食者,食草动物adj.素食的"
vertebrate,"n.脊椎动物adj.有椎骨的,有脊椎的,脊椎动物"
vessel,"n.船,容器,器皿,脉管,导管"
wasp,
weevil,n.[昆]象鼻虫
woodpecker,n.[鸟]啄木鸟
yeast,"n.酵母,发酵粉"
anthropology,n.人类学
orthogenetic,
overlord,"n.最高统治主,霸王"
paleolithic,adj.旧石器时代的
posterity,"n.子孙,后裔"
prehistoric,"adj.史前的,陈旧的"
sacralization,
sexist,n.男性至上主义者
throne,"n.王座,君主"
sovereign,"n.君主,统治adj.至高无上的,君主的,独立自主的,完全的"
hominid,n.原始人类
adhesive,"adj.带粘性的,胶粘;n.粘合剂"
alloy,"n.合金vt.使成合金,减低成色"
amplitude,"n.广阔,丰富,振幅,物理学名词"
ballistic,"adj.弹道的,弹道学的"
blind spot,
conductive,adj.传导的
deform,v.(使)变形
density,n.密度
dynamics,n.动力学
elastic,adj.弹性的
electrical,"adj.电的,有关电的"
electric,"adj.电的,导电的,电动的,电气"
electricity,"n.电流,电,电学"
electromagnet,n.电磁石
electron,n.电子
electronic,adj.电子的
elliptical,"adj.椭圆的,省略的"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
gel,n.凝胶体v.成冻胶
globular,adj.球状的
gradient,"adj.倾斜的n.梯度,倾斜度,坡度"
gravitation,"n.地心吸力,引力作用"
gravitational,adj.重力的
gravity,"n.地心引力,重力"
inelasticity,n.无伸缩性
inertia,"n.惯性,惯量"
infrared,adj.红外线的n.红外线
ion,
isotope,n.[化]同位素
laser,"n.激光;Light amplification by stimulated emission of radiation,激光器,应用量子效应产生相干光束的设备。"
leverage,n.杠杆作用
magnetic,"adj.磁的,有磁性的,有吸引力的"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
mechanics,"n.(用作单数)机械学、力学,(用作复数)技巧,结构"
molten,v.熔化adj.熔铸的
nucleus," [nuclear的复数,见nuclear];n.核子"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
parallax,n.视差 视差 著名的影视编辑软件
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
photon,n.[物]光子
prism,"n.[物]棱镜,[数]棱柱"
proton,n.[核]质子
pulsation,"n.跳动,有节奏地跳动,震动"
quanta,n.pl.量子(quantum的复数)
radioactive,"adj.放射性的,有辐射能的"
reactor,n.反应堆
reflex,"adj.反射的,反省的,反作用的,优角的n.反射,反映,映象"
refraction,"n.折光,折射"
semiconductor,n.[物] 半导体
speed velocity,
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
transistor,n.[电子]晶体管
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
velocity,"n.速度,速率,迅速,周转率"
rubbery,"adj.橡胶似的,有弹力的"
agrarian,"adj.有关土地的,耕地的"
arable,"adj.可耕的,适于耕种的"
cereal,"n.谷类食品,谷类"
cultivate,"vt.培养,耕作"
fertilizer,"n.肥料(尤指化学肥料),[动]受精媒介物"
graft,"n.嫁接,(接技用的)嫩枝,(皮肤等的)移植,赎职v.嫁接,接技,移植(皮肤等),赎职"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
niche,n.小生境
nomad,"n.游牧部落的人,流浪者,游牧民adj.游牧的"
plantation,"n.耕地,种植园,大农场,森林,人造林,殖民"
specialty,n.专业
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
algae,"n.藻类,海藻"
cashew,"n.[植]腰果树,腰果"
coriander,n.[植]胡荽
escarole,n.做沙拉的一种蔬菜
flora,n.[罗神]花神 Flora 弗洛拉(女子名)
foliage,"n.树叶,植物"
forage,n.草料
hemp,"n.大麻,纤维"
husk,"n.(果类或谷物的)外壳(通常用复数),皮,无价值之物vt.剥...的壳,削皮"
intracellular,adj.细胞内的
laurel,"n.[植]月桂树,(pl.)桂冠,殊荣vt.使戴桂冠,授予荣誉"
maize,"n.玉米,黄色adj.玉米色的,黄色的"
membrane,"n.膜,隔膜"
mitochondria,
organelle,n.细胞器官
organic,"adj.器官的,有机的,组织的,建制的"
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
photosynthesis,n.光合作用
pollen,n.花粉vt.传授花粉给
pollinate,vt.对...授粉
protoplasm,n.[生]原生质
rib,
runner,"n.奔跑者,信使"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
spinach,"n.菠菜,胡说八道"
squash,"n.南瓜,易压烂的物品,拥挤的人群,壁球v.压扁,压制,镇压,挤进,挤压"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
sugarcane,"n.[植]甘蔗,糖蔗"
tissue,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
unicellular,adj.单细胞的
vegetation,"n.[植]植被,(总称)植物、草木,(植物的)生长、呆板单调的生活"
alluvial,"adj.冲积的,淤积的"
arctic,"adj.北极的,北极区的n.北极,北极圈"
aseismic,
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
delta,"n.三角州,德耳塔(希腊字母的第四个字)"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
epicenter,"n.震中,中心"
equator,"n.赤道,赤道似的圈.圆"
Eurasian,
geography,"n.地理学,地理"
geology,"n.地质学,地质概况"
hemisphere,n.半球
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
leeway,"n.[航海]风压差,偏航,风压角,可允许的误差,退路,<喻>落后,<口语>回旋余地"
limestone,n.石灰石
longitudinal,"adj.经度的,纵向的"
lunar,"adj.月的,月亮的"
magma,"n.(有机物或矿物的)稀糊,岩浆,[药]乳浆剂"
magnitude,"n.大小,数量,巨大,广大,量级"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
meteorite,n.陨星
peninsula,n.半岛
prairie,"n.大草原,牧场,<美方>林间小空地"
ranch,n.大农场v.经营牧场
rapid,"adj.迅速的,飞快的,险峻的n.急流,高速交通工具,高速交通网"
salinity,"n.盐分,盐度"
seismic,adj.[地]地震的
seismology,n.地震学
semi-arid,
slant,"v.(使)倾斜,歪向n.倾斜"
solar,"adj.太阳的,日光的"
stratigraphy,"n.地层学,地层中的岩石组成"
theodolite,n.[测]经纬仪
topographical,adj.地形学的
topsoil,"n.上层土,表层土"
transatlantic,adj.大西洋彼岸的
tributary,"adj.进贡的,附庸的,从属的,辅助的,支流的n.进贡国,附庸国,支流"
tropical,"adj.热带的,热情的"
Yare,
terrain,n.地形
zoning,n.分区制
enact,"vt.制定法律,颁布,扮演"
enforce,"vt.强迫,执行,坚持,加强"
investigate,"v.调查,研究"
judgment,n.判断
jurisdiction,n.权限
justify,v.证明...是正当的
lawsuit,n.诉讼(尤指非刑事案件)
legacy,"n.遗赠(物),遗产(祖先传下来)"
legislature,"n.立法机关,立法机构"
legitimate,"adj.合法的,合理的,正统的v.合法"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
lien,"n.留置权,抵押品所产生的利息"
litigant,n.诉讼人
malpractice,n.玩忽职守
motion,"n.运动,动作v.运动"
obligation,"n.义务,职责,债务"
ordinance,"n.法令,训令,布告,条例,圣餐礼,传统的风俗习惯"
parole,"n.诺言,誓言vt.有条件释放,假释"
penalize,v.处罚
perpetrate,v.犯
plaintiff,"n.[律]起诉人,原告"
probate,"n.遗嘱,遗嘱检验vt.检验遗嘱,加以监护"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
purge,"n.净化,清除,泻药v.(使)净化,清除,肃清,(使)通便"
recess,"n.(墙壁等的)凹进处,[解]隐窝vt.使凹进vi.休假,休息"
recoup,"vt.赔偿,补偿,扣除vi.补偿损失"
respondent,adj.回答的n.回答者
sentinel,n.哨兵
session,"n.会议,开庭"
statute,"n.法令,条例"
sue,"vt.控告,向...请求,请愿vi.提出诉讼,提出请求"
superintendent,"n.主管,负责人,指挥者,管理者"
tribunal,"n.法官席,审判员席,(特等)法庭"
vendor,n.卖主
subterfuge,n.托词
tactic,"n.策略,战略adj.按顺序的,排列的"
practitioner,"n.从业者,开业者"
defendant,"n.被告adj.辩护的,为自己辩护的"
bilingual,adj.能说两种语言的
clause,"n.子句,条款"
conjunction,"n.联合,关联,连接词"
countable,"adj.可计算的n.可数的东西,可数名词"
dialect,"n.方言,语调"
etymology,"n.语源,语源学"
figurative,"adj.比喻的,修饰丰富的,形容多的"
idiomatic,"adj.惯用的,合乎语言习惯的"
infinitive,n.不定词adj.不定词的
lingo,"n.(尤指)方言,行话,隐语"
linguistics,n.语言学
lyrical,"adj.抒情诗调的,充满感情的,热情的"
methodology,"n.方法学,方法论"
non-verbal,
paradox,"n.似非而是的论点,自相矛盾的话"
parenthetical,"adj.插句的,附加说明的"
passive,adj.被动的
polygraph,"n.复写器,多种波动描写器"
poststructuralism,
punctuation,"n.标点,标点符号"
rhetoric,adj.花言巧语的
skim,v.撇去
syllable,n.[语]音节vt.分成音节
synonymous,adj.同义的
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
transitive,adj.及物的n.及物动词
