afternoon,n. 午后，下午
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
leg,"挑选,采集"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
stand,[网络] 热连轧机因受轧机
toe,[=total organic extracts]总有机提取物
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
up,[网络] -向上
animal,[网络] 动物
bear,[网络] 蚕豆
bird,"n. 鸟, 羽毛球
vi. 打鸟"
budgie,"n. (budgerigar之略), 相思鹦鹉"
eat,"v. 吃；吃饭；用餐
[网络] 食；喝；进食"
elephant,n. 象
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
frog,"n. 青蛙
[医] 蛙, 马蹄叉"
giraffe,"n. 长颈鹿, 鹿豹座"
hamster,"n. 仓鼠
[医] 仓鼠"
have got, 拥有
like, 类似…的；有…特征的
mice,"abbr. 〈英(=Member of the Institute of Civil Engineers)土木工程师学会会员
[网络] 会展；奖励旅游；展览"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
panda,"n. 大熊猫, 小熊猫"
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
sit,"v. 坐；蹲；开庭；担任
[网络] 坐下；静电感应晶体管(static induction transistor)；就座"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
chicken,"n. 小鸡, 鸡肉"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
[计] 关闭"
dad,[网络] 爸爸；无明显疾病；一台带二级管阵列检测器
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
food,"n. 食物, 养料
[医] 食物, 食品"
Friday,n. 星期五
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
Monday,n. 星期一
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
Saturday,n. 星期六
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Thursday,n. 星期四
Tuesday,n. 星期二
Wednesday,n. 星期三
week,"n. 星期, 周"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
jeans,"n. 工装裤, 牛仔裤"
put on,"na. 假话
[网络] 穿上；上演；戴上"
shirt,"n. 衬衫, 内衣, 汗衫"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
shorts,[网络] 短的
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
[化] 发汗器"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
trainer,"n. 训练员, 驯马师
[电] 列车器"
T-shirt,无
wear,"n. 穿著,磨损,耐久性
v. 穿著,用旧,耗损
n. (Wear)人名；(英)韦尔"
angry,"a. 生气的, 愤怒的"
another,n. 待定人选
big,[网络] 装瓶业务投资集团；犬组冠军；犬种群冠军
but,"conj. 而；然而；只有；尽管如此
prep. 除了；除…之外
adv. 只有；仅仅
n. 借口；托辞
v. 对(某人)讲“但是”(以示反对,拒绝等)
[网络] 可是；不过；而是"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cycle helmet,[网络] 骑行头盔
eleven,"num. 十一, 十一个"
eighteen,"num. 十八, 十八个"
feel,[地名] 菲湖 ( 爱 )
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
fifteen,"num. 十五, 十五个"
finger,"abbr. fucking (slang=copulating) （俚语）性交, 交配, 交尾
(f-ing 的比较级)"
fourteen,"num. 十四, 十四个"
he,"abbr. 阁下；高等教育
[网络] 他；氦(helium)；贺"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
nineteen,"num. 十九, 十九个"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
rice,[网络] -白饭
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
sad,"a. 忧愁的, 悲哀的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
seventeen,"num. 十七, 十七个"
she,"pron. 她；它；船或车等
n. 〈口〉女性；雌性动物
[网络] 佘；就是她；伊"
Sit down.,"坐下, 占据, 参加静坐罢工(或示威)"
sixteen,"num. 十六, 十六个"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
smile,[网络] 众人仰慕
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
[计] 子网访问协议"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
Stand up.,"na. 站起来；持久；露头角；〔美俚〕背约
[网络] 起立；我挺你；站得住脚"
stretch,"vt. 伸展,张开
vi. 伸展
adj. 可伸缩的
n. 伸展，延伸
n. (Stretch)人名；(英)斯特雷奇"
stupid,"a. 愚蠢的, 麻木的"
thirteen,"num. 十三, 十三个"
tired,"a. 疲累的, 疲乏的, 厌倦的"
twelve,"num. 十二, 十二个"
twenty,"n. 二十几；二十年代
num. 二十
[网络] 二十个；廿；第二十"
we,"pron. 我们；咱们；人们
[网络] 世界精英(World Elite)；是我们；我们的"
bad,"a. 坏的
n. 坏
adv. 坏地"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
breakfast,[网络] 早餐；早餐红茶；破斋
bus,"n. 公共汽车；巴士；（计算机系统的）总线
v. 用公共汽车运送
[网络] 汇流排；公交车；公车"
cola,"n. 可乐；可乐树（其子含咖啡碱）
n. (Cola)人名；(塞)措拉；(西、意、罗)科拉"
cornflakes,"na. 玉米片
[网络] 粟米片；玉米脆片；玉米薄片"
for,[网络] 铁路交货点的货价；励磁系统强迫停运率
friend,"n. 朋友, 支持者, 赞助者
[法] 朋友, 友人, 赞助者"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
hamburger,"汉堡, 汉堡[饼]"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
noodles,"n. 面条, 挂面（noodle的复数形式）"
popcorn,爆粒玉米
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
tummy,"n. 胃, 肚子"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
[计] 体"
captain,[网络] 队长；首领；头头
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
ear,"n. 耳；耳朵；有…耳朵的；耳朵…的
v. 抽穗
[网络] 耳状物；听觉；听力"
everybody,[网络] 每个人；每一个人；每个物体
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
[计] 现场可改变的控制元件"
foot,comb.form [与数字连用构成复合词]：two-foot;three-foot
hair,"n. 头发, 毛发, 些微
[医] 毛, 发"
