hi,abbr. Hawiian Islands 夏威夷群岛；height of instrument 仪器高度；horizontal internal 水平间隔
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
[计] 名称, 文件名, 姓名"
is,"v. 是
abbr. (=island；isle)岛；群岛
[网络] 冰岛；在；印度标准(Indian Standard)"
goodbye,"interj. 再见, 再会
n. 告别"
bye,"int. 再见；再会
n. 轮空（参赛者无对手而自动进入下一轮比赛）
[网络] 拜拜(bye-bye)；比赛轮空；再见啦"
what,"pron. 什么；多么；真；…的事物
adj. 什么；多少；关系形容词
adv. 多少
conj. 同“as much as. He helps me what he can”
[网络] 什麽；做什么；是什么"
your,"pron. 你的, 你们的"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
sit,"SIT
abbr.
self-induced transparency自感应透明
sit
[sit]
vi.
坐，坐下，就座：
坐落，位于：
坐着让人画像(或照相)；作模特：
坐在(议会等的)座位上，担当职务：
(议会等)开会；(法院)开庭：
静坐示威；参加示威：
搁置；搁置一旁：
停留；滞留：
被安置，被安放：
代人临时看管小孩，做临时保姆：
(衣服)合身，合体；适合：
(鸟)栖息，停落，(动物)蹲伏：
(鸡等)抱窝，孵蛋
(风自某个方向)吹来：
[主英国英语]应试，参加考试：
vt.
使坐，使就座：
(汽车等)有…坐位；可供…坐：
骑(马等)：
代人暂时照看(小孩等)：
(鸡等)孵(蛋)：
[主英国英语]参加(考试)：
n.
坐；坐着的时间
(衣服)合身，合体；适合
短语:
sit at someone's feet
见foot
sit like a jellyfish(或vegetable)
坐着一动不动
sit loose
见loose
sit on one's hands
见hand
sit tight
见tight
sitting pretty
见pretty
变形：
vi.
sat
. sat或 sitten
. sitting
sit.
abbr.
situation"
down,"adv. 下降；向下；下跌；降低
prep. 沿着；顺着；往下；朝着
adj. 沮丧；停机；情绪低落；悲哀
n. 绒毛；软毛；汗毛
v. 击倒；咽下；使倒下"
how,"how1
[hau]
adv.
如何，怎样，怎么；用什么手段(或方法)
(指数量、程度)几何，多少；多么
价钱多少
(指情况、状态)怎么样
(指原因、目的)怎么；为什么
什么(=what)
以为如何，什么意思
[用作加强语气词]多么，何等
用什么称呼(或称号、名称)
不管用什么方法(或方式)
[用作不定式、名词短语的前置词]如此，多么
[在间接引语或口语中作关系副词，相当于that]
[作副词短语的前置词]尽可能
conj.
怎样，如何：
I wondered how he came here.
我想知道他是怎样来到这儿的。
以…的方式(或状态、方法)：
That is how it happened.
事情就是这样发生的。
I don't care how you spend your holidays.
我不管你怎么度假。
随便怎样：
Do it how you can.
你尽可能试着做做看。
n.
方式，方法
关于方式(或方法)的问题
短语:
and how
[美国俚语]…极了，那还用说，可不是[亦作And how!]
any (old) how
[口语]粗枝大叶地，胡乱地；无论如何；反正
Here's how!
敬你一杯!祝你健康!干杯!
How about…?
[口语]
你看…怎么样?，你以为(或觉得)…怎么样了?，你看…好不好?
那么为什么…?，…又是怎么回事呢?
How about that!
[口语]太好了!，太妙了!
How are you?
[口语]
你好![招呼用语]
你好吗?，你身体怎么样?
How… can you get?
这是最…不过了!
How(或How's)come…?
见come
How do (you do)?(或Howd'ye do?)
你好!
How do you like them apples!
[美国俚语]你们看棒不棒![炫耀用语]
How goes it?
见go
How is that for…?
多么…!难道不…吗?
How much?
见much
How now?
那是怎么回事?这是什么意思?
How's about…?
(你觉得)…怎么样?
How so?
怎么会这样?为什么?怎么搞的?
How's that?
[口语]
怎么会那样呢?为什么?
你说什么?再说一遍好吗?
…怎么样?
【板球】(询问裁判员)算不算出局?
How's tricks?
[美国俚语]你好吗?你的情况怎么样?
How then?
这是怎么回事?这是什么意思?
后来怎样?还有什么?
How they hanging?
[美国俚语、粗俗语](男子间的问候语)你好吗?
the how and the why
(做某事的)方法及理由
how2
[hau]
interj.
[美国英语][印第安人的问候语]好哇!
how3
[hau]
n.
[美国方言]小丘[主要用于地名]
how.
abbr.
howitzer"
old,"n. 老年人；…岁的(人)；旧事物
adj. 老的；陈年的；…久的；年龄较长的
[网络] 旧的；年纪大了点；奥兹莫比尔"
five,"num. 五
n. 五岁；五点钟；(牌的)五点；【板】得五分
[网络] 第五；五的"
one,"num. 一；同一个
n. 一个人；一体；独一；一岁
pron. 人们；用来避免重复已提过的或是听者已知的事物的名称
adj. 某(一个人)；一致的；同一的；不变的
[网络] 壹；唯一；一人"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的
n. (Nine)人名；(塞)尼内"
ten,"ten
[ten]
n.
十，十个
表示十的符号(如10，X)
第十
十个(人或物)一组
以十计数的东西
有十点的扑克牌
10分钟；10点钟
[口语] 10英镑纸币
10美元纸币
10号尺码(的衣服)
[亦作 ten's place]【数学】十位
【广播】(电台或电视台播出的)10秒钟广告
[美国口语]大美人，最美的女子
(以10表示最好或最高记录)顶级，最佳者，得分最高者，最优秀者，佼佼者
[Ｔ-][口语](以10分为满分的评比中)得分最高者
adj.
十(个)的
短语:
nine times (或 cases) out of ten
十之八九，几乎每次，常常
take ten
[美国口语]小憩；休息10分钟
ten a penny
[英国口语](就像1便士可买10个似的)不值钱
tens of thousands
好几万
ten times
十倍(于…)，(比…)得多
ten to one
[口语]十之八九，很可能
十比一
the upper ten
贵族阶层，上流社会[亦作 the upper ten thousand]
ten.
abbr.
tenor
【音乐】tenuto"
not,comb.form [用于元音字母前]=noto-
panda,"n. 大熊猫, 小熊猫"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
it,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
[网络] 信息技术(Information Technology)；它；资讯科技"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
[计] 字母"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟
n. (Bird)人名；(英、西)伯德"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
the,"art. 这个；那个；河流；不言而喻的某事物
defa. 此；指已提到或易领会到的人或事物
[网络] 定冠词；这些；表示一类人"
fat,"adj. 肥的，胖的；油腻的；丰满的
n. 脂肪，肥肉
vt. 养肥；在…中加入脂肪
vi. 长肥
n. (Fat)人名；(法、西、塞)法特；(东南亚国家华语)发"
hen,"abbr. (=Henry)
[网络] 亨；寰堥毦"
bee,[网络] 生物强化萃取技术
frog,"n. 青蛙
[医] 蛙, 马蹄叉"
this,"pron. 这；这里；这时；(前述二物中的)后者
adj. 这；即将来到的；今…
adv. 这个；本；这样；这么
[网络] 这场；此；这位"
an,"suf. 表示; “碳水化合物的酐类”：dextran; “不饱和的碳化物”：tolan; 用于专有人、地名等后构成通常可兼作名词用的形容词表示“…时期的(人)”, “…地方的(人)”, “在…居住的(人)”, “在…出生的(人)”：American, Asian, Elizabethan, Victorian; 用于表示体制、学科等的词后及宗教或其他流派创始人的人名后构成可兼作名词的形容词或单词性的形容词或名词表示“精通…的(人)”, “带有…特征的(人)”, “属于…的(人)”, “信奉…的(人)”, “追随…的(人)”"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
red,"Red
= Red River
red1
[red]
adj.
红色的；鲜红的
红头发的；红褐色毛发的
红肤色的
(因生气或害羞而)脸红的；红润的
(眼睛等)充血的；发炎的
[常作R-]激进的；革命的；共产党的；苏维埃的
沾满鲜血的
烧红的；赤热的
流血的；暴力的
表示亏欠的，赤字的
用紫葡萄制成的(酒)
[美国英语]红种人的；北美印第安人的
n.
红色
红颜料；红色染料
红色的物品(如红衣服，红棋子，红台球，红色交通信号灯等)
[常为R-，西方新闻界用语]激进分子；赤色分子(尤指共产党)
[美国英语][常为R-][复数]北美印第安人
【经济学】赤字；亏空
[口语]红葡萄酒
【英国历史】(17世纪英国舰队的)红舰队
[俚语](巴比妥酸盐)红胶囊，“红魔鬼”[亦作red devil]
vt.,vi.
= redden
短语:
(as) red as a rose (或berry)
脸色红润的
(as) red as a turkey-cock (或beetroot)
(由于发怒或害羞而)满面通红的
be (或get) out of the red
不再亏损；赢利
dago red
[美国俚语]劣等红酒
go into (the) red
[美国英语](资产负债表、资金平衡表、预算等)出现赤字；出现亏损
go red
[美国俚语]“赤化”；变成“激进派”
in the red
[美国英语]负债；亏空；亏损；有赤字
into the red
[英国英语]负债；财政情况欠佳
paint it red
[美国俚语]把某事弄得引人注目；把某事物描绘成骇人听闻的样子
paint the town red
见town
red, white, and blue
红白蓝三色米字旗，英国国旗
see red
[口语]
发怒，狂怒；气得发疯
嗜血(成性)，残暴
患红视病
变形：
adj.
redder
. reddest
vt.,vi.
redded
. redding
red2
[red]
vt.,vi.
1的异体
变形：
vt.,vi.
red 或 redded
. redding redd
red.
abbr.
reduce
reduced
reduction"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
that,"adj. 那；那个；那样的
pron. 那个；那些；（指已提到过或已知的人或事物）那；引导从句
adv. 那个；那么；（指已提到过或已知的人或事物）那；不很
conj. 引出从句；（表示结果）如此…以致；（表示希望或愿望）多么
[网络] 爸爸的好儿子；一三国际"
bun,[计] CakeWalk 声音捆绑文件（一种MIDI程序）
rat,"n. 老鼠；耗子；讨厌的人；卑鄙的小人
v. 责骂；脱党；不参加罢工；做特务
abbr. (=rocket-launched antisubmarine torpedo)火箭发射式反潜鱼雷
[网络] 仿藤编织工艺品"
bag,Bachelor of Agriculture 农学士
in,"prep. 参与；参加；穿着；进入
adv. 进入；在内；上涨；在里面
n. 执政党；〈美口〉入口；门路；提携
adj. 流行的；时髦的
abbr. (=indium)【化】(铟)
[网络] 在……里面；输入端(inputs)；用"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
blue,"adj. 蓝色的；忧郁的，沮丧的；下流的
n. 蓝色
vi. 变蓝
vt. 使成蓝色
n. (Blue)人名；(英、西、意)布卢"
and,"conj. 与；和；而；又
n. 附加条件；附加细节
[网络] 并且；而且；及"
box,"n. 箱；盒；方框；匣
v. （拳击运动中）击打（某人）；把（某物）装箱（或盒、匣）
[网络] 盒子；箱子；长方体"
black,"adj. 黑色的；黑人的；邪恶的
n. 黑色；黑人；黑颜料
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑
n. (Black)人名；(英、西)布莱克；(德、葡、捷)布拉克"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
hat,"n. 帽子
vt. 给...戴帽子"
Mrs,"na. 夫人
[网络] 太太；女士；某太太"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
[计] 精细"
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
dad,[网络] 爸爸；无明显疾病；一台带二级管阵列检测器
banana,n. 香蕉
for,"prep. 为, 因为, 至于
conj. 因为
[计] DOS批处理命令:对一组参数重复执行指定的命令"
baby,"n. 婴儿，婴孩；孩子气的人
vt. 纵容，娇纵；把……当婴儿般对待
adj. 婴儿的；幼小的
n. (Baby)人名；(法、葡)巴比；(英)巴比，芭比(女名)；(俄)巴贝"
apple,"n. 苹果, 家伙
[医] 苹果"
chick,"n. 小鸡, 小鸟, 竹帘"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
[计] 作废字符"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中
寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上"
sad,"abbr. 季节性情感障碍
[网络] 悲哀的；难过；悲伤"
big,"adv. 大大；给人印象深地
n. 大亨；大公司
adj. 巨大的；年龄较大的；重大的；严重的
[网络] 恐怕袖子有点儿长；大型日式饭盒；飞越未来"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
yellow,"n. 黄色
a. 黄色的"
